"date","Sikkim/East Sikkim","Sikkim/North Sikkim","Sikkim/South Sikkim","Sikkim/West Sikkim"
"2020-05-23","","","",""
"2020-06-03","","","",""
"2020-06-05","","","",""
"2020-06-06","","","",""
"2020-06-09","3","","",""
"2020-06-12","3","","",""
"2020-06-13","4","","",""
"2020-06-14","4","","",""
"2020-06-17","4","","",""
"2020-06-18","5","","",""
"2020-06-19","2","","18","1"
"2020-06-21","2","","22",""
"2020-06-22","","","26",""
"2020-06-24","3","","26","10"
"2020-06-25","3","","26",""
"2020-06-26","3","","26",""
"2020-06-27","12","","","11"
"2020-06-28","12","","",""
"2020-06-30","","","","12"
"2020-07-01","12","1","",""
"2020-07-02","14","","","11"
"2020-07-04","14","","",""
"2020-07-05","23","","",""
"2020-07-07","23","","",""
"2020-07-08","29","","",""
"2020-07-09","29","","",""
"2020-07-10","38","","",""
"2020-07-11","38","","",""
"2020-07-12","39","","",""
"2020-07-13","45","","26",""
"2020-07-14","44","","26","11"
"2020-07-15","45","","",""
"2020-07-16","45","","",""
"2020-07-17","46","","","11"
"2020-07-18","48","","",""
"2020-07-19","48","","",""
"2020-07-20","50","","",""
"2020-07-21","66","","26",""
"2020-07-22","70","","26","11"
"2020-07-23","70","","36","11"
"2020-07-24","70","","51","11"
"2020-07-25","","","56",""
"2020-07-26","70","","61",""
"2020-07-28","70","","61",""
"2020-07-29","121","","61",""
"2020-07-30","129","","65","15"
"2020-07-31","146","","","15"
"2020-08-01","184","","",""
"2020-08-02","204","","65",""
"2020-08-03","204","","65",""
"2020-08-04","206","","73",""
"2020-08-05","210","","",""
"2020-08-07","313","","",""
"2020-08-10","417","","",""
"2020-08-11","441","","",""
"2020-08-12","457","","",""
"2020-08-13","488","","",""
"2020-08-14","530","","",""
"2020-08-15","568","","",""
"2020-08-16","580","","",""
"2020-08-17","608","","",""
"2020-08-18","662","","",""
"2020-08-19","696","","",""
"2020-08-20","734","","",""
"2020-08-21","741","","",""
"2020-08-22","778","","",""
"2020-08-24","841","","",""
"2020-08-25","961","","",""
"2020-08-26","983","","",""
"2020-08-27","1058","","",""
"2020-08-28","1091","","",""
"2020-08-29","1102","","",""
"2020-08-30","1102","","73","15"
"2020-08-31","1102","","","15"
"2020-09-01","1102","","73",""
"2020-09-02","1102","","73","15"
"2020-09-05","1102","","73","15"
"2020-09-08","1102","","","15"
"2020-09-09","1102","","",""
"2020-09-10","1102","","",""
