"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-03-09","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-11","","","","","","","","","","","","","","","","","   .00 %","   .00 %","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-12","","","","","","","","","","","","","","","","","-50.00 %","","","","","","","","","-66.67 %","","","","","","","","","","",""
"2020-03-13","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-14","   .00 %","","","","","","","","","","","","","","","","   .00 %","-50.00 %","","","","","","","","","   .00 %","","","","","","   .00 %","","","","   .00 %"
"2020-03-15","","","","   .00 %","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","",""
"2020-03-16","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","-80.00 %","","","","","","","-33.33 %","","","","-50.00 %"
"2020-03-17","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","   .00 %","","","","","","","",""," ##.## %","","   .00 %","","","","","","","","",""
"2020-03-19","   .00 %","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","-50.00 %","","","",""
"2020-03-20","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","   .00 %","","","","","","","   .00 %","","","","   .00 %"
"2020-03-22","","","","","","","","","","","","","","","","","-28.57 %","","","","","","","",""," ##.## %","","","","","","","   .00 %","","","",""
"2020-03-23","","","","","","","","","","","","","","","",""," 10.00 %","","","","","","","   .00 %","","-87.50 %","","","","","","","   .00 %","","","",""
"2020-03-24","-50.00 %","","","","","","","","","","","","","","","","-45.45 %","","","","","","","",""," ##.## %","","","   .00 %","   .00 %","","","   .00 %","","","",""
"2020-03-25","","","","","","","","","","","","","","","",""," 16.67 %","","","","","","","","","","-50.00 %",""," 25.00 %","","","","   .00 %","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","-85.71 %","-50.00 %","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-03-27","","","","","","","","","","","   .00 %","","","","   .00 %",""," ##.## %"," ##.## %","","","","","","   .00 %","","-50.00 %","",""," ##.## %","","","","   .00 %","","","",""
"2020-03-28","","","","","","","","","","","","","","","",""," ##.## %","-50.00 %","","","","",""," ##.## %","","","","","","","","","-50.00 %","","","",""
"2020-03-29"," ##.## %","","","","","","   .00 %","","","","","","   .00 %","","","","-77.27 %"," 50.00 %","","","","","","",""," ##.## %","","","-93.33 %","","",""," ##.## %","","","",""
"2020-03-30","","","","","","","","","","","","","","","   .00 %",""," 40.00 %","-33.33 %","","","   .00 %","","","",""," 20.00 %","","","","","","","","","","",""
"2020-03-31"," 50.00 %","","","","",""," ##.## %","","","","","","","","",""," ##.## %","","","","","","","","","-16.67 %","","","","","",""," ##.## %","","","",""
"2020-04-01","","","","","","","-50.00 %","","","","","","","","","","-49.15 %","","","","","","","","","-60.00 %","","","","","","","","","","",""
"2020-04-02"," ##.## %","","","   .00 %","","","   .00 %","","","","","","","","",""," 80.00 %","","","","","   .00 %","","",""," ##.## %","","","","-50.00 %","","","-30.77 %","","","",""
