"date","Rhode Island/Bristol","Rhode Island/Kent","Rhode Island/Newport","Rhode Island/Providence","Rhode Island/Unassigned","Rhode Island/Washington"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23"," 71.43 %","   .00 %"," 12.50 %"," 40.54 %","-37.50 %","   .00 %"
"2020-03-24","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-03-25","   .00 %","   .00 %","   .00 %","   .00 %"," 34.78 %","   .00 %"
"2020-03-26","-75.00 %"," 28.57 %"," 33.33 %"," 75.00 %","  6.45 %"," 55.56 %"
"2020-03-27","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-03-28","   .00 %","   .00 %","   .00 %","   .00 %"," 50.70 %","   .00 %"
"2020-03-29"," ##.## %"," ##.## %"," 58.33 %"," 71.43 %","-46.73 %"," 64.29 %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-03-31"," 16.67 %"," 14.81 %"," 21.05 %"," 33.33 %","  7.60 %"," 21.74 %"
"2020-04-01"," 28.57 %"," 25.81 %","   .00 %"," 44.71 %","-13.04 %","-10.71 %"
"2020-04-02"," 16.67 %"," 51.28 %"," 43.48 %"," 38.87 %","-50.00 %"," 36.00 %"
"2020-04-03","   .00 %","   .00 %","   .00 %","   .00 %"," 82.50 %","   .00 %"
"2020-04-04","   .00 %","   .00 %","   .00 %","   .00 %"," 65.07 %","   .00 %"
"2020-04-05"," 14.29 %"," 38.98 %"," 18.18 %"," 17.46 %"," -1.24 %"," 41.18 %"
"2020-04-06","  4.17 %"," 12.20 %","  7.69 %","  9.57 %"," 39.50 %"," 10.42 %"
"2020-04-07","  8.00 %"," 14.13 %"," 23.81 %"," 15.61 %","  6.33 %"," 32.08 %"
"2020-04-08"," 14.81 %"," 30.48 %","  7.69 %"," 33.76 %","-22.38 %"," 71.43 %"
"2020-04-09","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-04-10"," 19.35 %"," 10.22 %","   .00 %"," 14.78 %","-25.95 %","   .00 %"
"2020-04-11","  5.41 %"," 11.92 %"," 32.14 %"," 33.82 %"," 59.07 %"," 16.67 %"
"2020-04-12","   .00 %","   .00 %","   .00 %","   .00 %"," 48.69 %","   .00 %"
"2020-04-13","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-14","   .00 %","   .00 %","   .00 %","   .00 %"," 60.73 %","   .00 %"
"2020-04-15"," 25.64 %"," 44.38 %"," 25.68 %"," 53.13 %","-51.26 %","  8.57 %"
"2020-04-16","  2.04 %","  2.05 %","  1.08 %","  5.88 %"," 19.31 %","  6.58 %"
"2020-04-17"," 14.00 %"," 20.08 %","  9.57 %"," 30.45 %","-12.42 %"," 38.89 %"
"2020-04-18","   .00 %","   .00 %","   .00 %","   .00 %"," 45.06 %","-18.67 %"
"2020-04-19","  3.51 %","  5.69 %","   .00 %"," 11.51 %","-10.12 %","   .55 %"
"2020-04-20"," 13.56 %"," 15.82 %","  3.88 %"," 15.83 %","-16.41 %","  7.61 %"
"2020-04-21","  1.49 %","  5.46 %","  2.80 %","  6.76 %"," 16.14 %","  5.56 %"
"2020-04-22"," 29.41 %","  6.74 %","  3.64 %","  9.04 %","-10.50 %"," 28.23 %"
"2020-04-23","  7.95 %","  4.85 %","  2.63 %","  7.04 %"," 12.40 %"," -4.48 %"
"2020-04-24","  7.37 %","  7.87 %","  5.98 %","  5.82 %"," 12.52 %","  6.25 %"
"2020-04-25","  4.90 %","  6.44 %","  4.84 %","  6.80 %","  5.83 %","  3.68 %"
"2020-04-26","  3.74 %","  6.05 %","  3.85 %","  7.12 %"," -7.43 %","  3.55 %"
