"date","Rhode Island/Bristol","Rhode Island/Kent","Rhode Island/Newport","Rhode Island/Providence","Rhode Island/Unassigned","Rhode Island/Washington"
"2020-04-27","  3.60 %","  7.41 %","  2.22 %","  3.06 %","  4.60 %","  3.77 %"
"2020-04-28","   .00 %","  1.59 %","   .00 %","  1.71 %","  9.22 %","  3.30 %"
"2020-04-29"," 26.09 %","  4.18 %","  7.25 %","  8.10 %","-15.94 %","  3.51 %"
"2020-04-30"," -1.38 %","  4.01 %","   .68 %","  5.41 %","  2.07 %","  1.85 %"
"2020-05-01","  -.70 %","  2.57 %","  4.03 %","  4.59 %","  1.56 %","  4.24 %"
"2020-05-02","  1.41 %","  5.80 %","   .65 %","  3.69 %","  3.44 %","  1.74 %"
"2020-05-03","  5.56 %","  3.26 %","  1.28 %","  3.02 %"," -4.90 %","  1.71 %"
"2020-05-04","  1.32 %","   .86 %","  1.90 %","  1.57 %","  4.33 %","  1.97 %"
"2020-05-05","   .00 %","   .00 %","   .00 %","   .00 %"," 24.80 %","   .00 %"
"2020-05-06","   .00 %","   .00 %","   .00 %","   .00 %"," 19.24 %","   .00 %"
"2020-05-07","   .00 %","   .00 %","   .00 %","   .00 %"," 19.28 %","   .00 %"
"2020-05-08","   .00 %","   .00 %","   .00 %","   .00 %"," 12.38 %","   .00 %"
"2020-05-09","   .00 %","   .00 %","   .00 %","   .00 %","  9.29 %","   .00 %"
"2020-05-10","   .00 %","   .00 %","   .00 %","   .00 %"," 11.54 %","   .00 %"
"2020-05-11"," 11.04 %"," 22.19 %"," 13.04 %"," 21.52 %","-57.97 %"," 11.85 %"
"2020-05-12","   .58 %"," -1.05 %","  1.65 %","  1.43 %","  3.45 %","  1.23 %"
"2020-05-13","   .00 %","  3.88 %","  6.49 %","  3.57 %","-12.69 %","  3.41 %"
"2020-05-14","   .00 %","   .00 %","   .00 %","   .00 %"," 17.30 %","   .00 %"
"2020-05-15","   .00 %","   .00 %","   .00 %","   .00 %"," 16.54 %","   .00 %"
"2020-05-16","   .00 %","   .00 %","   .00 %","   .00 %"," 15.03 %","   .00 %"
"2020-05-17","   .00 %","   .00 %","   .00 %","   .00 %"," 14.59 %","   .00 %"
"2020-05-18","   .00 %","   .00 %","   .00 %","   .00 %","  6.42 %","   .00 %"
"2020-05-19","   .00 %","   .00 %","   .00 %","   .00 %","  7.78 %","   .00 %"
"2020-05-20"," 15.12 %","  8.49 %","  4.57 %","  9.48 %","-28.03 %","  8.71 %"
"2020-05-21","  3.03 %","  1.67 %","  1.46 %","  1.84 %","  -.19 %","  1.95 %"
"2020-05-22","  2.45 %","  1.13 %","  1.44 %","  1.57 %"," -1.61 %","  2.34 %"
"2020-05-23","  1.91 %","  2.03 %","  6.60 %","  1.93 %"," -1.57 %","   .62 %"
"2020-05-24","   .00 %","   .80 %","   .88 %","   .84 %","   .93 %","   .21 %"
"2020-05-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-26","   .00 %","   .00 %","   .00 %","   .00 %","  9.55 %","   .00 %"
"2020-05-27","  4.69 %","  1.88 %","  3.07 %","  2.52 %","-10.04 %","  1.44 %"
"2020-05-28","  -.45 %","   .58 %","   .85 %","   .86 %","  2.47 %","   .61 %"
"2020-05-29","   .90 %","  1.35 %","  2.95 %","   .77 %","  2.02 %","   .60 %"
"2020-05-30","   .00 %","   .00 %","   .00 %","   .00 %"," 11.76 %","   .00 %"
"2020-05-31","   .00 %","   .00 %","   .00 %","   .00 %","  6.24 %","   .00 %"
"2020-06-01","   .00 %","   .00 %","   .00 %","   .00 %","  3.39 %","   .00 %"
"2020-06-02","   .00 %","   .00 %","   .00 %","   .00 %","  6.30 %","   .00 %"
"2020-06-03","   .00 %","   .00 %","   .00 %","   .00 %","  5.24 %","   .00 %"
"2020-06-04","   .00 %","   .00 %","   .00 %","   .00 %","  4.93 %","   .00 %"
"2020-06-05","   .00 %","   .00 %","   .00 %","   .00 %","  5.15 %","   .00 %"
"2020-06-06","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-07","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-08","  3.12 %","  5.04 %"," 10.25 %","  8.21 %","-33.97 %","  2.81 %"
"2020-06-09","   .00 %","   .00 %","   .00 %","   .00 %","  3.13 %","   .00 %"
"2020-06-10","   .00 %","   .00 %","   .00 %","   .00 %","  4.03 %","   .00 %"
"2020-06-11","   .00 %","   .00 %","   .00 %","   .00 %","  6.31 %","   .00 %"
"2020-06-12","   .00 %","   .00 %","   .00 %","   .00 %","  4.76 %","   .00 %"
"2020-06-13","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-14","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-15","  3.90 %","  2.08 %","  2.97 %","  3.38 %","-16.10 %","   .58 %"
"2020-06-16","   .00 %","   .00 %","   .00 %","   .00 %","  4.53 %","   .00 %"
"2020-06-17","   .00 %","   .00 %","   .00 %","   .00 %","  2.99 %","   .00 %"
"2020-06-18","   .00 %","   .00 %","   .00 %","   .00 %","  3.32 %","   .00 %"
"2020-06-19","   .00 %","   .00 %","   .00 %","   .00 %","  3.90 %","   .00 %"
"2020-06-20","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-21","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-22","  2.92 %","  3.63 %","  6.14 %","  2.82 %","-16.49 %","  1.36 %"
"2020-06-23","   .00 %","   .00 %","   .00 %","   .00 %","  4.89 %","   .00 %"
"2020-06-24","   .00 %","   .00 %","   .00 %","   .00 %","  4.60 %","   .00 %"
"2020-06-25","   .00 %","   .00 %","   .00 %","   .00 %","  2.05 %","   .00 %"
"2020-06-26","   .00 %","   .00 %","   .00 %","   .00 %","  1.24 %","   .00 %"
"2020-06-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-29","  2.43 %","  2.57 %","  4.76 %","  1.77 %","-10.55 %","  1.72 %"
"2020-06-30","   .00 %","   .00 %","   .00 %","   .00 %","  3.19 %","   .00 %"
"2020-07-01","   .00 %","   .00 %","   .00 %","   .00 %","  2.53 %","   .00 %"
"2020-07-02","   .00 %","   .00 %","   .00 %","   .00 %","  5.42 %","   .00 %"
"2020-07-03","  1.19 %","  2.92 %","  7.47 %","  1.60 %","-13.08 %","  1.13 %"
"2020-07-04","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-05","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-06","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-07","   .00 %","   .00 %","   .00 %","   .00 %"," 10.95 %","   .00 %"
"2020-07-08","   .00 %","   .00 %","   .00 %","   .00 %","  3.03 %","   .00 %"
"2020-07-09","   .00 %","   .00 %","   .00 %","   .00 %","  2.29 %","   .00 %"
"2020-07-10","   .00 %","   .00 %","   .00 %","   .00 %","  3.97 %","   .00 %"
"2020-07-11","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-12","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-13","   .00 %","   .00 %","   .00 %","   .00 %","  9.67 %","   .00 %"
"2020-07-14","   .00 %","   .00 %","   .00 %","   .00 %","  5.09 %","   .00 %"
"2020-07-15"," 10.55 %","  6.65 %"," 10.27 %","  4.03 %","-31.03 %","  4.83 %"
"2020-07-16","   .00 %","   .00 %","   .00 %","   .00 %","  4.94 %","   .00 %"
"2020-07-17","   .00 %","   .00 %","   .00 %","   .00 %","  5.43 %","   .00 %"
"2020-07-18","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-19","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-20","   .00 %","   .00 %","   .00 %","   .00 %","  6.98 %","   .00 %"
"2020-07-21","   .00 %","   .00 %","   .00 %","   .00 %","  4.82 %","   .00 %"
"2020-07-22","  2.47 %","  2.66 %","   .00 %","  2.63 %","-18.78 %","  1.77 %"
"2020-07-23","   .00 %","   .00 %","   .00 %","   .00 %","  5.94 %","   .00 %"
"2020-07-24","   .00 %","   .00 %","   .00 %","   .00 %","  4.95 %","   .00 %"
"2020-07-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-27","   .00 %","   .00 %","   .00 %","   .00 %"," 18.06 %","   .00 %"
"2020-07-28","   .00 %","   .00 %","   .00 %","   .00 %"," 11.04 %","   .00 %"
"2020-07-29","  4.83 %","  5.18 %","  4.11 %","  3.68 %","-26.33 %","  2.79 %"
"2020-07-30","   .00 %","   .00 %","   .00 %","   .00 %","  9.64 %","   .00 %"
"2020-07-31","   .00 %","   .00 %","   .00 %","   .00 %","  4.22 %","   .00 %"
"2020-08-01","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-02","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-03","   .00 %","   .00 %","   .00 %","   .00 %"," 12.60 %","   .00 %"
"2020-08-04","   .00 %","   .00 %","   .00 %","   .00 %","  7.19 %","   .00 %"
"2020-08-05","  3.95 %","  5.14 %","  4.21 %","  3.42 %","-24.46 %","  2.88 %"
"2020-08-06","   .00 %","   .00 %","   .00 %","   .00 %","  8.02 %","   .00 %"
"2020-08-07","   .00 %","   .00 %","   .00 %","   .00 %","  7.25 %","   .00 %"
"2020-08-08","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-09","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-10","   .00 %","   .00 %","   .00 %","   .00 %"," 10.44 %","   .00 %"
"2020-08-11","   .00 %","   .00 %","   .00 %","   .00 %","  5.74 %","   .00 %"
"2020-08-12","  1.90 %","  3.35 %","  2.27 %","  3.97 %","-27.36 %","  2.31 %"
"2020-08-13","   .00 %","   .00 %","   .00 %","   .00 %","  6.97 %","   .00 %"
"2020-08-14","   .00 %","   .00 %","   .00 %","   .00 %","  5.58 %","   .00 %"
"2020-08-15","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-17","   .00 %","   .00 %","   .00 %","   .00 %"," 13.17 %","   .00 %"
"2020-08-18","   .00 %","   .00 %","   .00 %","   .00 %","  5.89 %","   .00 %"
"2020-08-19","  2.17 %","  3.11 %","  1.48 %","  3.18 %","-22.91 %","  6.12 %"
"2020-08-20","   .00 %","   .00 %","   .00 %","   .00 %","  4.57 %","   .00 %"
"2020-08-21","   .00 %","   .00 %","   .00 %","   .00 %","  8.69 %","   .00 %"
"2020-08-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-24","   .00 %","   .00 %","   .00 %","   .00 %"," 14.82 %","   .00 %"
