"date","Arunachal Pradesh/Anjaw","Arunachal Pradesh/Changlang","Arunachal Pradesh/East Kameng","Arunachal Pradesh/East Siang","Arunachal Pradesh/Kamle","Arunachal Pradesh/Kra Daadi","Arunachal Pradesh/Kurung Kumey","Arunachal Pradesh/Lepa Rada","Arunachal Pradesh/Lohit","Arunachal Pradesh/Longding","Arunachal Pradesh/Lower Dibang Valley","Arunachal Pradesh/Lower Siang","Arunachal Pradesh/Lower Subansiri","Arunachal Pradesh/Namsai","Arunachal Pradesh/Pakke Kessang","Arunachal Pradesh/Papum Pare","Arunachal Pradesh/Shi Yomi","Arunachal Pradesh/Siang","Arunachal Pradesh/Tawang","Arunachal Pradesh/Tirap","Arunachal Pradesh/Upper Dibang Valley","Arunachal Pradesh/Upper Siang","Arunachal Pradesh/Upper Subansiri","Arunachal Pradesh/West Kameng","Arunachal Pradesh/West Siang"
"2020-04-02","","","","","","","","","   .00 %","","","","","","","","","","","","","","","",""
"2020-05-24","","","","","","","","","","","","","","","","   .00 %","","","","","","","","",""
"2020-05-28","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-30","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-01",""," ##.## %","","","","","","","-##.## %","","","","","   .00 %",""," ##.## %","","","   .00 %","","","   .00 %","","",""
"2020-06-02","","","","","","","","","   .00 %","","","","","-##.## %","   .00 %","   .00 %","","","","","","","","",""
"2020-06-03","","-35.71 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-04","","-66.67 %","","","","","","","","","","","","   .00 %","","","","","","","","","","","   .00 %"
"2020-06-05","","   .00 %","","","","","","","   .00 %","","","","","","","","","","","","","","","",""
"2020-06-06","","-66.67 %","","   .00 %","","","","","","","","","","","","","","","","","","","","",""
"2020-06-07",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-08","","   .00 %","","   .00 %","","","","","","","   .00 %","","","","","","","","","   .00 %","","","","",""
"2020-06-09","","","","","","","","","","","","","","","   .00 %","","","","","","","","","",""
"2020-06-10","","   .00 %","","   .00 %","","","","","","","","","","","","","","","","","","","","",""
"2020-06-11","","-33.33 %","","","","","","","","   .00 %","","","","","","","","","","","","","","   .00 %",""
"2020-06-12",""," ##.## %",""," ##.## %","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-06-13","","-66.67 %","","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-06-14","","","","","","","","","","","","","","","","   .00 %","","","","","","","","",""
"2020-06-15","","-##.## %","","","","","","","   .00 %","","","","","","   .00 %","-33.33 %","","","","   .00 %","","","","-66.67 %",""
"2020-06-16","","   .00 %","","","","","","","","","","","","","","-50.00 %","","","","","","","","",""
"2020-06-17","","","","","","","","","","","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","","","","",""
"2020-06-18","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-19","","   .00 %","","","","","","","   .00 %","","","","","","","   .00 %","","","","","","",""," ##.## %",""
"2020-06-20","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-21","","","","","","","","","","","","","","","","-69.23 %","","","","","","","","",""
"2020-06-22","","-40.00 %","","","","","","   .00 %","","   .00 %","","","","","","","","","","","","","","",""
"2020-06-23","","","","","","","","","","","","","","",""," ##.## %","","","   .00 %","","","","","",""
"2020-06-24","","","","","","","","","","-50.00 %","","","","","","-88.89 %","","","","","","","","",""
"2020-06-25","","   .00 %","","   .00 %","","","","","","","   .00 %","",""," ##.## %",""," ##.## %","","","","","","","","",""
"2020-06-26","","","","","","","","","   .00 %","","","","","","","-75.00 %","","","","","","","","   .00 %","   .00 %"
"2020-06-27","","   .00 %","","","","","","","","","","","","","","","","","","","","","","   .00 %",""
"2020-06-28","","   .00 %","","","","","","","","","","","","   .00 %",""," ##.## %","","","","","","","","",""
"2020-06-29",""," ##.## %","","","","","","","","","","","","","","-33.33 %","","","","","","","","",""
"2020-06-30","","","","","","","","","","","","","","","","","","","","","","",""," 33.33 %",""
"2020-07-01","","","","","","","","","","",""," ##.## %","","   .00 %","","-50.00 %","","","","","","","","",""
"2020-07-02","","   .00 %","","","","","","","","","","","","   .00 %",""," ##.## %","","","","   .00 %","","","","",""
"2020-07-03",""," ##.## %","","","","","","","","","","","","","","-82.35 %","","","","","","","","   .00 %",""
"2020-07-04","   .00 %","","","","","","","","","","","","","","","-83.33 %","","","","   .00 %","","","","",""
"2020-07-05","","-66.67 %","","","","","","","","","","","   .00 %"," ##.## %",""," ##.## %","","","","","","","   .00 %","",""
"2020-07-06","","","","","","","","","","","","","","","","-66.67 %","","","","","","","","",""
"2020-07-07","","   .00 %","","","","","","","","","","","","-50.00 %",""," ##.## %","","","","","","","","   .00 %",""
"2020-07-08","","   .00 %","","","","","","","   .00 %","","   .00 %",""," ##.## %","","","   .00 %","","","   .00 %","","","","","   .00 %",""
"2020-07-09",""," ##.## %","","","","","","   .00 %","","","","","   .00 %","","","-80.00 %","","","","","","","","",""
"2020-07-10","","-57.14 %","","","","","","","","","","","","   .00 %",""," ##.## %","","","","","","","","",""
"2020-07-11","","","","","","","","","","","","","","","","-82.14 %","","","","","","","","   .00 %",""
"2020-07-12","","   .00 %","","","","","","","","","","","","-50.00 %",""," ##.## %","","","","","","","","",""
"2020-07-13","","-85.71 %","   .00 %","","","","","","","","","",""," ##.## %",""," ##.## %","","","","   .00 %","","","","",""
"2020-07-14","","   .00 %","","   .00 %","","",""," ##.## %","","   .00 %","   .00 %","-50.00 %",""," 50.00 %",""," ##.## %","","   .00 %","","   .00 %","","","","   .00 %",""
"2020-07-15","","","","","","","","-60.00 %","","","","   .00 %",""," ##.## %","","-75.51 %","","","","","","","","",""
"2020-07-16","","","","-41.67 %","","","","","","","","","","",""," ##.## %","","","","","",""," ##.## %","",""
"2020-07-17",""," ##.## %","","-71.43 %","","","","","","","","   .00 %","","-92.86 %",""," 38.10 %","","","","","","","","   .00 %",""
"2020-07-18","","","","","","","","","",""," 50.00 %"," ##.## %","-60.00 %","","","-58.62 %","","","","","","","","   .00 %",""
"2020-07-19","","",""," 50.00 %","","","","-50.00 %","","","-66.67 %","","","   .00 %",""," ##.## %","","","","","","   .00 %","","","   .00 %"
"2020-07-20","","","","","","","","","","","",""," ##.## %","","","-51.43 %","","","   .00 %","","","","","","-66.67 %"
"2020-07-21","","","","","","","","","","","   .00 %",""," 20.00 %","-40.00 %",""," 70.59 %","","","","","","","","",""
"2020-07-22","","",""," ##.## %","   .00 %","","","",""," ##.## %"," ##.## %","-90.00 %",""," ##.## %","","-41.38 %","","",""," ##.## %","","-71.43 %","","   .00 %"," ##.## %"
"2020-07-23","","   .00 %","","","","","","","","","-66.67 %","","","-42.86 %","","   .00 %","","","","","","","   .00 %","","-70.00 %"
"2020-07-24","","   .00 %","","","","","","","   .00 %",""," ##.## %","","   .00 %","-75.00 %",""," 55.88 %","","","","   .00 %","","","","-50.00 %",""
"2020-07-25","","   .00 %","","-86.67 %","","","","","-33.33 %","","","   .00 %","   .00 %","","","-22.64 %","","   .00 %","-60.00 %"," 20.00 %","","","","","-66.67 %"
"2020-07-26","","-33.33 %"," ##.## %","-50.00 %","","","","","","","","","   .00 %","","","-87.80 %","","","","",""," ##.## %","","",""
"2020-07-27",""," 12.50 %","","","","","","","-50.00 %","","   .00 %","","","",""," ##.## %","",""," ##.## %","-33.33 %","","-83.33 %","",""," ##.## %"
"2020-07-28",""," ##.## %","   .00 %","   .00 %","","","","   .00 %"," ##.## %","   .00 %"," ##.## %","   .00 %","","   .00 %","","-45.10 %","","","-91.67 %"," ##.## %",""," ##.## %","","   .00 %","   .00 %"
"2020-07-29","","   .00 %","-90.00 %","-66.67 %","","","",""," 75.00 %","   .00 %","","   .00 %",""," ##.## %","","-25.00 %","   .00 %",""," ##.## %","-25.00 %","","-83.33 %","   .00 %","-40.00 %"," ##.## %"
"2020-07-30",""," -5.56 %","   .00 %","   .00 %","","","","","-85.71 %","","-50.00 %","","   .00 %"," 50.00 %",""," 19.05 %","","   .00 %"," 40.00 %","-83.33 %","","","","",""
"2020-07-31",""," ##.## %"," ##.## %"," ##.## %","","","","","   .00 %","   .00 %","   .00 %","   .00 %",""," 22.22 %",""," -8.00 %","","","","   .00 %","","   .00 %","","   .00 %",""
"2020-08-01","","-97.37 %","","-28.57 %","","","","","","-75.00 %",""," ##.## %","-70.00 %","-81.82 %",""," 65.22 %","   .00 %","","-57.14 %"," ##.## %","","   .00 %",""," ##.## %","   .00 %"
"2020-08-02","","   .00 %","-83.33 %","-70.00 %","","","","   .00 %"," ##.## %","","   .00 %","","","","","-78.95 %","","","","","","","","-57.14 %",""
"2020-08-03",""," ##.## %"," ##.## %"," ##.## %","","","","","","   .00 %","   .00 %"," 50.00 %","","   .00 %","","   .00 %","","","","","","","","-66.67 %","   .00 %"
"2020-08-04","","-77.78 %","-80.00 %","-71.43 %","","","","","   .00 %","",""," 16.67 %","","","","-37.50 %","","","","   .00 %","","",""," ##.## %",""
"2020-08-05",""," ##.## %"," ##.## %"," ##.## %","","","","","   .00 %","","   .00 %","","","   .00 %",""," ##.## %","","","   .00 %","   .00 %","","   .00 %","",""," 33.33 %"
"2020-08-06","","-89.47 %"," ##.## %","","","","",""," 25.00 %","","","   .00 %",""," ##.## %","","-36.36 %","",""," ##.## %","-50.00 %","","   .00 %","","-66.67 %","-75.00 %"
"2020-08-07",""," ##.## %"," ##.## %","   .00 %","","","","","-40.00 %","   .00 %","   .00 %"," ##.## %","","-98.18 %",""," 71.43 %","","","-50.00 %","","","",""," ##.## %",""
"2020-08-08","","-91.67 %","-41.18 %","-85.71 %","","","","","","","","   .00 %","   .00 %"," ##.## %",""," -8.33 %","","","   .00 %","   .00 %","","   .00 %","","-20.00 %"," ##.## %"
"2020-08-09","   .00 %","","-45.00 %"," 66.67 %","","","","","","","","-20.00 %","","-50.00 %","","-54.55 %","","","-33.33 %","-40.00 %","","   .00 %","","","-75.00 %"
"2020-08-10",""," ##.## %","-81.82 %"," 20.00 %","","",""," ##.## %","-66.67 %","","   .00 %","-50.00 %","   .00 %"," ##.## %",""," ##.## %","   .00 %","","   .00 %","","","","   .00 %"," ##.## %",""
"2020-08-11"," ##.## %","-33.33 %","   .00 %","   .00 %","","","",""," ##.## %","","-33.33 %","","","",""," 68.75 %","","","","   .00 %","","","",""," ##.## %"
"2020-08-12","","-25.00 %"," ##.## %"," 16.67 %","","","",""," ##.## %","   .00 %","-50.00 %","   .00 %","","   .00 %","","-55.56 %","",""," ##.## %","","","   .00 %","","   .00 %","-93.75 %"
"2020-08-13",""," 66.67 %","-95.45 %"," 71.43 %","","","","","-94.59 %","   .00 %",""," 50.00 %","","-50.00 %",""," ##.## %","","","","   .00 %","","","-60.00 %"," 75.00 %"," ##.## %"
"2020-08-14","-96.30 %"," 80.00 %","   .00 %","-25.00 %","","","","","   .00 %",""," ##.## %","-50.00 %",""," ##.## %","","-64.00 %","","","   .00 %","-80.00 %","","   .00 %","   .00 %"," ##.## %","-75.00 %"
"2020-08-15","","-66.67 %"," ##.## %","-77.78 %","","","","","   .00 %","","-66.67 %","","","-60.00 %","","-33.33 %","","","-66.67 %","   .00 %","","   .00 %"," ##.## %","-61.36 %"," ##.## %"
"2020-08-16",""," 33.33 %","-50.00 %"," 50.00 %","","","","-50.00 %","",""," ##.## %","","","",""," 83.33 %","","   .00 %"," ##.## %","","","","-62.50 %","-41.18 %",""
"2020-08-17","   .00 %"," 50.00 %"," ##.## %","-33.33 %","","","","","","","","   .00 %","","-50.00 %",""," 18.18 %","",""," 33.33 %","   .00 %","","   .00 %","","-20.00 %","   .00 %"
"2020-08-18",""," 33.33 %","   .00 %","-50.00 %","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %",""," 38.46 %","   .00 %","   .00 %","-25.00 %"," ##.## %","",""," ##.## %"," ##.## %","   .00 %"
"2020-08-19"," ##.## %","-50.00 %","   .00 %"," ##.## %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," ##.## %",""," 22.22 %","","","-33.33 %","-37.50 %","   .00 %","   .00 %","-93.85 %","-59.09 %"," ##.## %"
"2020-08-20","-33.33 %"," ##.## %"," ##.## %"," ##.## %","   .00 %","","",""," 50.00 %","","   .00 %","-20.00 %","","","","-54.55 %","-50.00 %","","   .00 %","","","","-75.00 %"," ##.## %"," ##.## %"
"2020-08-21","","-65.62 %","-60.00 %","-73.68 %","","","","","","","   .00 %","-50.00 %","","   .00 %"," ##.## %"," 60.00 %","",""," 50.00 %","","","   .00 %","","-50.00 %","-62.50 %"
"2020-08-22","","","   .00 %","-60.00 %","   .00 %","","","","-83.33 %","","   .00 %","-50.00 %","","-75.00 %",""," 37.50 %","",""," ##.## %","   .00 %","",""," ##.## %"," 60.00 %","-66.67 %"
"2020-08-23","-50.00 %","-36.36 %","","-50.00 %","","","","   .00 %","","","","   .00 %","   .00 %","","","-50.00 %","","","-95.83 %","   .00 %","","","-95.83 %","-62.50 %"," ##.## %"
"2020-08-24","","-71.43 %","   .00 %"," ##.## %","","","","   .00 %","   .00 %","","   .00 %"," ##.## %","","","-50.00 %","   .00 %","   .00 %",""," ##.## %"," ##.## %","","   .00 %",""," ##.## %",""
"2020-08-25",""," ##.## %",""," ##.## %","","","","","","   .00 %","   .00 %"," 33.33 %","","   .00 %"," ##.## %"," ##.## %","   .00 %","","-55.56 %","   .00 %","","","   .00 %","-25.00 %","-50.00 %"
"2020-08-26","   .00 %","-76.92 %","   .00 %"," 50.00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","-75.00 %"," ##.## %","-66.67 %","-30.00 %"," 52.00 %","","",""," ##.## %",""," ##.## %","   .00 %"," 11.11 %","-25.00 %"
"2020-08-27","   .00 %"," 33.33 %","-87.50 %","-87.50 %","","",""," ##.## %"," ##.## %","",""," ##.## %","","","-85.71 %","-42.11 %","   .00 %","","   .00 %","-44.44 %",""," 75.00 %",""," 50.00 %","-66.67 %"
"2020-08-28"," ##.## %","   .00 %"," ##.## %"," ##.## %","","","","   .00 %","","",""," ##.## %","",""," ##.## %"," 86.36 %",""," ##.## %"," 66.67 %","-60.00 %","","","   .00 %","-33.33 %"," ##.## %"
"2020-08-29","","-25.00 %"," 40.00 %"," 25.00 %","","","","","   .00 %","   .00 %","-50.00 %","-60.00 %","",""," 50.00 %","  4.88 %","","-94.12 %"," ##.## %"," ##.## %","","-71.43 %",""," ##.## %"," 66.67 %"
"2020-08-30","   .00 %"," ##.## %","","-10.00 %","","","","","","","   .00 %"," ##.## %","   .00 %","","","-41.86 %","   .00 %"," ##.## %","-16.67 %"," 12.50 %","","-25.00 %","   .00 %","-92.59 %"," ##.## %"
"2020-08-31","   .00 %","-82.61 %","   .00 %","-55.56 %","","","","","-50.00 %","","   .00 %","-66.67 %","-50.00 %","   .00 %",""," 12.00 %","   .00 %","","-30.00 %","-77.78 %","","","-80.00 %"," ##.## %","-81.82 %"
"2020-09-01"," ##.## %"," 25.00 %"," 40.00 %"," 50.00 %","   .00 %","-50.00 %","   .00 %","","   .00 %","","-50.00 %","-75.00 %","","",""," 75.00 %","","","-28.57 %"," 50.00 %",""," 33.33 %","","-44.44 %","-50.00 %"
"2020-09-02","","-60.00 %","","-50.00 %","",""," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %","   .00 %","   .00 %"," ##.## %","","-24.49 %","",""," ##.## %"," ##.## %","","-75.00 %","   .00 %"," 20.00 %"," ##.## %"
"2020-09-03",""," ##.## %","-85.71 %"," ##.## %","","","","-95.00 %","   .00 %"," ##.## %"," ##.## %",""," ##.## %","","   .00 %"," 75.68 %","   .00 %","","-78.57 %"," 32.14 %",""," ##.## %","-80.00 %"," 16.67 %"," ##.## %"
"2020-09-04","","-67.86 %","","-16.67 %","","   .00 %",""," ##.## %"," ##.## %","-37.50 %","-10.00 %","   .00 %"," 33.33 %","   .00 %",""," 12.31 %","-50.00 %",""," ##.## %","-94.59 %","","-66.67 %"," ##.## %"," ##.## %"," 16.67 %"
"2020-09-05","","-22.22 %"," ##.## %","-60.00 %","",""," ##.## %"," ##.## %","-33.33 %"," 60.00 %","-55.56 %","",""," ##.## %","","-10.96 %","   .00 %","","  7.69 %","-50.00 %","","","-90.00 %","-87.50 %","-69.05 %"
"2020-09-06","   .00 %","-85.71 %",""," ##.## %","","","-75.00 %","-33.33 %","-25.00 %"," 50.00 %","","   .00 %","   .00 %","","","-53.85 %","   .00 %","","-92.86 %"," ##.## %","","   .00 %",""," 50.00 %"," 30.77 %"
"2020-09-07","   .00 %"," ##.## %","   .00 %"," ##.## %","",""," ##.## %",""," ##.## %"," ##.## %"," ##.## %","   .00 %","   .00 %"," ##.## %","   .00 %"," ##.## %"," ##.## %",""," ##.## %"," ##.## %",""," ##.## %",""," ##.## %"," ##.## %"
