"date","Puducherry/Karaikal","Puducherry/Mahe","Puducherry/Puducherry","Puducherry/Yanam"
"2020-03-17","","","",""
"2020-04-01","","","",""
"2020-04-02","","","",""
"2020-04-10","","","",""
"2020-04-25","","","",""
"2020-04-27","","","",""
"2020-05-02","","","",""
"2020-05-03","","","",""
"2020-05-08","","","",""
"2020-05-10","","","",""
"2020-05-13","","","",""
"2020-05-14","","","",""
"2020-05-16","","","",""
"2020-05-19","","","",""
"2020-05-20","","","",""
"2020-05-22","","","",""
"2020-05-24","","","",""
"2020-05-25","","","",""
"2020-05-28","","","",""
"2020-05-29","","","",""
"2020-05-31","","","",""
"2020-06-01","","","",""
"2020-06-03","","","",""
"2020-06-05","","","",""
"2020-06-06","","","",""
"2020-06-07","","","",""
"2020-06-08","","","",""
"2020-06-09","","","",""
"2020-06-10","","","",""
"2020-06-11","","","2",""
"2020-06-12","","","3",""
"2020-06-13","","","3",""
"2020-06-14","","","4",""
"2020-06-15","","","4",""
"2020-06-16","","","4",""
"2020-06-17","","","5",""
"2020-06-18","","","6",""
"2020-06-19","","","7",""
"2020-06-20","","","7",""
"2020-06-21","","","8",""
"2020-06-22","","","8",""
"2020-06-23","","","9",""
"2020-06-24","","","9",""
"2020-06-25","","","9",""
"2020-06-26","","","9",""
"2020-06-27","","","10",""
"2020-06-28","","","11",""
"2020-06-29","","","11",""
"2020-06-30","","","12",""
"2020-07-01","","","12",""
"2020-07-02","","","12",""
"2020-07-03","","","13",""
"2020-07-04","","","14",""
"2020-07-05","","","14",""
"2020-07-06","","","14",""
"2020-07-07","","","14",""
"2020-07-08","","","14",""
"2020-07-09","","","16",""
"2020-07-10","2","","15",""
"2020-07-11","2","","16",""
"2020-07-12","2","","16",""
"2020-07-13","2","","16",""
"2020-07-14","2","","16",""
"2020-07-15","","","19",""
"2020-07-16","2","","20",""
"2020-07-17","2","","22","1"
"2020-07-18","","","25","1"
"2020-07-19","2","","25","1"
"2020-07-20","2","","26",""
"2020-07-21","2","","27","1"
"2020-07-22","2","","28","1"
"2020-07-23","2","","31","1"
"2020-07-24","2","","32",""
"2020-07-25","2","","34","2"
"2020-07-26","2","","36","2"
"2020-07-27","2","","39",""
"2020-07-28","","","42","3"
"2020-07-29","2","","42","3"
"2020-07-30","2","","43",""
"2020-07-31","2","","44","3"
"2020-08-01","2","","46","3"
"2020-08-02","2","","47","3"
"2020-08-03","2","","51","3"
"2020-08-04","2","","53","3"
"2020-08-05","2","","57","6"
"2020-08-06","2","","62","6"
"2020-08-07","2","","67","6"
"2020-08-08","4","","70","6"
"2020-08-09","6","","74","7"
"2020-08-10","6","","75","8"
"2020-08-11","6","","77","8"
"2020-08-12","","","81","9"
"2020-08-13","6","","86","10"
"2020-08-14","6","","90","10"
"2020-08-15","6","","90","10"
"2020-08-16","6","","92","12"
"2020-08-17","6","","95","13"
"2020-08-18","6","","104","13"
"2020-08-19","7","","109","13"
"2020-08-20","7","","116","14"
"2020-08-21","8","","121","14"
"2020-08-22","9","","127","15"
"2020-08-23","9","","135","15"
"2020-08-24","9","","140","15"
"2020-08-25","11","","145","16"
"2020-08-26","12","","150","18"
"2020-08-27","12","","158","20"
"2020-08-28","13","","166","20"
"2020-08-29","13","","178","20"
"2020-08-30","13","","187","21"
"2020-08-31","14","","193","21"
"2020-09-01","14","","203","23"
"2020-09-02","14","","213","26"
"2020-09-03","15","","219","26"
"2020-09-04","16","","236","28"
"2020-09-05","17","","251","30"
"2020-09-06","19","","264","31"
"2020-09-07","19","","275","31"
"2020-09-08","19","","285","33"
"2020-09-09","20","","294","33"
"2020-09-10","20","","299","34"
"2020-09-11","20","","311","34"
"2020-09-12","20","","316","34"
"2020-09-13","20","","331","34"
"2020-09-14","21","","339","34"
"2020-09-15","21","","349","35"
"2020-09-16","23","","359","36"
"2020-09-17","26","","369","36"
"2020-09-18","27","","374","36"
"2020-09-19","30","","382","36"
"2020-09-20","30","","392","36"
"2020-09-21","31","","398","38"
"2020-09-22","31","","403","39"
"2020-09-23","31","","410","40"
"2020-09-24","33","","414","40"
"2020-09-25","34","","419","41"
"2020-09-26","34","","425","41"
"2020-09-27","37","","435","41"
"2020-09-28","38","","436","41"
"2020-09-29","38","","438","41"
"2020-09-30","39","","441","41"
