"date","Arizona/Apache","Arizona/Cochise","Arizona/Coconino","Arizona/Gila","Arizona/Graham","Arizona/Greenlee","Arizona/La Paz","Arizona/Maricopa","Arizona/Mohave","Arizona/Navajo","Arizona/Pima","Arizona/Pinal","Arizona/Santa Cruz","Arizona/Unassigned","Arizona/Yavapai","Arizona/Yuma"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-23"," 33.33 %","   .00 %"," 21.43 %","   .00 %","   .00 %","   .00 %","   .00 %"," 71.60 %","   .00 %"," 92.31 %"," 41.18 %","  6.25 %","   .00 %","","   .00 %"," ##.## %"
"2020-03-24","   .00 %","   .00 %","  5.88 %","   .00 %","   .00 %","   .00 %","   .00 %"," 43.17 %","   .00 %"," 28.00 %"," 75.00 %"," 29.41 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-25"," 75.00 %","   .00 %"," 27.78 %","   .00 %","   .00 %","   .00 %","   .00 %"," 26.13 %","   .00 %"," 15.62 %"," 16.67 %","  4.55 %","   .00 %","   .00 %"," 33.33 %"," 50.00 %"
"2020-03-26"," 28.57 %"," ##.## %"," 21.74 %","   .00 %","   .00 %","   .00 %","   .00 %"," 19.12 %","   .00 %"," 16.22 %"," 53.06 %"," 52.17 %"," ##.## %","   .00 %"," 25.00 %"," 33.33 %"
"2020-03-27"," 22.22 %","   .00 %"," 46.43 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 33.44 %"," ##.## %"," 13.95 %"," 36.00 %","  2.86 %","   .00 %","   .00 %"," 80.00 %","   .00 %"
"2020-03-28"," 18.18 %"," 50.00 %"," 36.59 %","   .00 %","-50.00 %","   .00 %","   .00 %"," 13.78 %"," 25.00 %"," 16.33 %"," 17.65 %"," 13.89 %","   .00 %","   .00 %"," 44.44 %","   .00 %"
"2020-03-29","   .00 %","   .00 %"," 10.71 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.04 %"," 20.00 %","  8.77 %"," 27.50 %"," 24.39 %","   .00 %","   .00 %"," -7.69 %"," 25.00 %"
"2020-03-30"," 30.77 %"," 33.33 %"," 14.52 %","   .00 %","   .00 %","   .00 %","   .00 %"," 26.61 %"," 16.67 %"," 41.94 %"," 22.22 %"," 25.49 %","   .00 %","   .00 %"," 25.00 %"," 20.00 %"
"2020-03-31"," -5.88 %","   .00 %"," 14.08 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.20 %","   .00 %","  3.41 %","  8.02 %"," -3.12 %","   .00 %","   .00 %"," 40.00 %"," 50.00 %"
"2020-04-01"," ##.## %","   .00 %"," 44.44 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.53 %","   .00 %"," 87.91 %","  7.43 %","  4.84 %"," 50.00 %","   .00 %"," 14.29 %"," 33.33 %"
"2020-04-02","  6.06 %","   .00 %"," 24.79 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 10.33 %"," 14.29 %"," 15.79 %","  9.22 %","  6.15 %","   .00 %","   .00 %"," 41.67 %","  8.33 %"
"2020-04-03"," 11.43 %"," 25.00 %"," 19.86 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.16 %"," 12.50 %"," 23.74 %"," 18.14 %"," 11.59 %","   .00 %","   .00 %","  2.94 %","   .00 %"
"2020-04-04","  7.69 %"," 40.00 %"," 12.00 %"," 50.00 %"," 50.00 %","   .00 %","   .00 %"," 11.63 %"," 33.33 %"," 11.84 %"," 16.43 %"," 15.58 %"," 33.33 %","   .00 %"," 22.86 %","  7.69 %"
"2020-04-05","  7.14 %"," 14.29 %"," 21.43 %","   .00 %","-33.33 %","   .00 %"," 50.00 %"," 13.24 %"," 33.33 %"," 12.04 %"," 14.11 %"," 15.73 %","   .00 %","   .00 %","  4.65 %"," -7.14 %"
"2020-04-06"," 28.89 %"," 12.50 %","  7.98 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.07 %"," 25.00 %"," 16.94 %"," 11.56 %","  2.91 %","   .00 %","   .00 %","  8.89 %","   .00 %"
"2020-04-07"," 12.07 %","   .00 %","  9.34 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.33 %"," 15.00 %","  5.29 %","   .00 %"," 13.21 %"," 25.00 %","   .00 %"," 16.33 %","   .00 %"
