"date","Indiana/Adams","Indiana/Allen","Indiana/Bartholomew","Indiana/Benton","Indiana/Blackford","Indiana/Boone","Indiana/Brown","Indiana/Carroll","Indiana/Cass","Indiana/Clark","Indiana/Clay","Indiana/Clinton","Indiana/Crawford","Indiana/Daviess","Indiana/DeKalb","Indiana/Dearborn","Indiana/Decatur","Indiana/Delaware","Indiana/Dubois","Indiana/Elkhart","Indiana/Fayette","Indiana/Floyd","Indiana/Fountain","Indiana/Franklin","Indiana/Fulton","Indiana/Gibson","Indiana/Grant","Indiana/Greene","Indiana/Hamilton","Indiana/Hancock","Indiana/Harrison","Indiana/Hendricks","Indiana/Henry","Indiana/Howard","Indiana/Huntington","Indiana/Jackson","Indiana/Jasper","Indiana/Jay","Indiana/Jefferson","Indiana/Jennings","Indiana/Johnson","Indiana/Knox","Indiana/Kosciusko","Indiana/LaGrange","Indiana/LaPorte","Indiana/Lake","Indiana/Lawrence","Indiana/Madison","Indiana/Marion","Indiana/Marshall","Indiana/Martin","Indiana/Miami","Indiana/Monroe","Indiana/Montgomery","Indiana/Morgan","Indiana/Newton","Indiana/Noble","Indiana/Ohio","Indiana/Orange","Indiana/Owen","Indiana/Parke","Indiana/Perry","Indiana/Pike","Indiana/Porter","Indiana/Posey","Indiana/Pulaski","Indiana/Putnam","Indiana/Randolph","Indiana/Ripley","Indiana/Rush","Indiana/Scott","Indiana/Shelby","Indiana/Spencer","Indiana/St. Joseph","Indiana/Starke","Indiana/Steuben","Indiana/Sullivan","Indiana/Switzerland","Indiana/Tippecanoe","Indiana/Tipton","Indiana/Unassigned","Indiana/Union","Indiana/Vanderburgh","Indiana/Vermillion","Indiana/Vigo","Indiana/Wabash","Indiana/Warren","Indiana/Warrick","Indiana/Washington","Indiana/Wayne","Indiana/Wells","Indiana/White","Indiana/Whitley"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-24","0","3","0","0","0","0","1","0","0","1","0","0","0","0","0","2","6","2","0","0","1","3","0","3","0","2","1","0","7","2","0","5","0","0","0","1","0","0","0","1","6","0","0","0","0","7","1","1","79","0","0","0","2","1","2","0","0","1","0","1","0","0","0","1","0","0","0","0","5","0","0","0","0","1","1","0","0","0","1","1","","0","0","0","1","0","0","1","1","-1","0","0","0"
"2020-03-25","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","3","0","1","1","0","0","0","0","0","0","-1","5","4","2","2","0","0","0","0","1","0","0","1","6","0","0","0","0","2","0","1","65","0","0","0","1","0","2","0","0","0","0","2","0","0","0","2","0","0","1","0","1","1","0","1","0","1","-1","0","1","0","1","0","","0","0","0","0","0","0","-1","0","0","0","0","0"
"2020-03-26","0","1","1","0","0","3","0","0","0","4","0","0","0","0","0","1","6","0","0","2","0","1","1","6","0","1","0","0","10","1","0","6","0","0","0","1","2","0","0","1","12","0","0","0","0","12","1","0","67","1","0","0","2","1","2","0","0","0","1","0","0","0","0","2","1","0","0","0","4","0","0","0","0","2","0","0","0","0","3","0","","0","3","0","0","0","1","3","1","1","0","0","0"
"2020-03-27","0","13","0","0","0","0","1","0","0","2","0","1","0","0","0","1","13","1","0","2","0","4","0","8","1","0","2","0","12","4","2","7","1","1","1","2","1","0","0","1","6","0","1","2","0","16","3","3","191","3","0","0","2","1","3","0","0","0","0","1","0","0","0","1","0","0","0","0","3","2","0","4","0","6","0","0","0","0","1","0","","0","2","0","0","1","0","0","1","0","0","0","0"
"2020-03-28","0","2","1","0","0","1","0","1","0","6","0","0","1","0","0","4","4","0","0","2","1","2","0","2","0","1","0","0","12","6","3","8","0","2","0","3","1","0","0","5","10","0","1","0","2","21","0","5","100","-1","0","0","8","1","4","1","1","0","0","2","0","0","0","3","1","0","3","1","1","0","0","4","0","4","0","0","0","1","3","0","","0","4","0","1","0","0","3","0","0","0","1","1"
"2020-03-29","0","3","3","0","0","5","1","0","0","2","1","0","0","0","0","2","10","6","1","1","1","1","0","3","0","0","2","1","19","3","7","12","1","3","0","0","1","0","0","3","19","2","1","0","2","17","3","6","92","0","0","0","6","1","6","0","0","0","0","2","0","0","0","5","1","0","0","0","4","-1","0","2","0","1","0","1","0","2","0","2","","0","7","0","3","0","1","2","1","0","0","0","0"
"2020-03-30","0","2","0","0","0","7","0","1","1","7","0","0","0","0","0","0","2","1","0","0","3","6","0","2","0","0","0","0","23","6","1","10","0","2","1","1","0","0","0","1","10","0","1","0","0","12","1","11","128","0","0","2","4","1","3","0","0","0","1","1","0","0","0","1","0","0","2","0","6","2","0","1","0","4","0","0","0","0","3","0","","0","0","0","0","0","0","0","1","0","0","1","0"
"2020-03-31","0","2","3","","","2","0","0","0","6","0","0","0","","0","4","5","3","1","8","1","1","0","7","0","0","0","1","21","-2","0","12","-1","2","0","0","2","","1","1","20","0","1","0","2","49","0","9","160","0","","0","4","0","9","0","0","0","1","1","","","","6","1","","0","2","6","0","0","2","","13","0","0","1","0","0","0","","","1","","1","0","0","0","0","1","1","0","1"
"2020-04-01","0","9","0","1","","7","0","0","0","5","0","0","0","","1","3","1","4","0","3","1","0","0","4","0","0","2","1","52","7","0","21","3","4","0","2","1","1","0","2","17","1","0","0","3","34","2","8","153","0","","0","3","0","9","0","1","0","0","1","","","","6","0","","4","0","2","1","0","4","","8","0","1","1","0","4","1","","","2","","0","0","0","0","3","1","0","0","1"
"2020-04-02","0","7","2","-1","1","3","0","0","1","11","0","0","0","","0","5","11","3","0","4","1","13","1","6","0","0","2","5","28","4","3","25","2","4","1","9","2","0","2","6","8","1","0","0","3","35","1","16","187","1","","1","3","4","7","0","0","0","0","0","","","","8","0","","0","0","6","2","4","5","1","8","1","0","0","1","1","0","","","3","","2","0","0","0","3","0","0","1","0"
"2020-04-03","0","12","8","","0","6","0","0","0","6","1","2","2","","1","3","11","5","0","2","2","3","0","3","0","0","1","1","13","4","5","22","1","1","0","6","2","1","2","8","10","0","3","2","3","29","10","5","125","0","","1","4","2","4","0","2","0","2","1","1","","","10","1","","2","1","8","1","1","2","0","7","0","0","0","2","7","0","","","10","2","-1","0","0","2","2","3","0","0","1"
"2020-04-04","1","1","22","","1","12","1","1","2","6","1","0","2","","0","5","9","3","1","2","1","4","0","2","1","0","3","0","45","16","5","25","1","2","2","3","2","0","0","4","17","1","3","0","2","69","14","5","141","0","1","3","5","2","8","0","4","0","0","0","1","","","6","0","","1","1","4","2","1","6","0","17","0","2","0","1","2","1","","2","2","0","1","0","0","2","2","0","0","0","1"
"2020-04-05","0","4","9","0","1","7","1","0","0","5","1","1","0","2","1","3","1","4","2","4","2","9","0","3","0","0","3","1","35","4","5","14","3","0","-1","8","-3","1","0","0","14","2","1","0","2","22","3","14","190","2","0","-1","3","0","5","3","2","0","2","2","0","","","8","0","","3","0","9","0","1","5","0","13","1","2","0","2","1","0","","1","2","0","8","0","0","1","2","2","0","0","1"
"2020-04-06","0","24","0","0","1","7","0","0","0","5","0","0","0","0","0","5","10","3","1","1","0","0","0","2","1","0","2","0","35","11","0","19","2","5","0","1","3","0","1","2","28","1","2","2","0","34","0","15","196","2","1","0","0","1","11","0","0","0","2","0","3","","","20","0","","4","0","10","2","0","8","0","10","1","2","0","2","5","0","-36","0","3","0","7","2","0","6","0","2","0","0","2"
"2020-04-07","0","3","1","0","0","10","3","0","8","11","3","1","4","2","0","3","0","0","0","7","2","24","0","5","0","0","0","1","28","17","15","29","3","5","2","3","-1","0","0","4","17","1","0","0","4","49","5","36","185","2","-1","2","6","1","3","2","0","0","5","2","1","","","5","0","1","4","2","6","2","0","6","0","17","1","1","0","0","2","2","-20","0","1","0","0","2","0","4","2","3","0","0","0"
"2020-04-08","0","5","11","0","0","2","1","0","3","4","4","3","2","1","0","6","9","6","2","3","0","3","0","1","0","0","2","1","29","10","0","18","3","7","0","6","0","0","1","1","18","1","2","0","3","43","11","6","149","1","0","3","6","1","3","0","0","0","-3","0","-1","","","1","0","0","2","0","0","0","3","5","0","13","1","1","1","0","2","1","0","2","0","0","7","0","0","3","1","3","0","0","0"
"2020-04-09","0","10","17","0","0","8","0","0","1","10","1","2","0","3","1","5","8","3","1","10","1","11","0","3","0","0","4","0","3","1","3","13","0","-2","0","7","2","1","3","3","18","0","0","1","2","64","1","3","125","0","1","1","1","2","0","0","2","0","1","0","0","","","8","0","0","3","0","1","0","1","5","0","8","0","2","0","2","2","0","0","0","8","1","4","1","0","4","2","0","1","0","0"
"2020-04-10","2","14","0","0","0","6","0","1","2","8","-1","1","1","1","0","7","11","7","0","5","0","5","1","2","0","0","6","2","36","9","-1","31","1","4","0","4","-1","0","0","1","22","3","1","2","1","51","3","58","185","1","0","1","9","1","7","1","1","0","1","1","1","3","","2","0","0","1","1","2","-2","0","2","0","15","2","0","0","-1","2","0","0","0","4","0","4","1","0","3","0","0","0","0","2"
"2020-04-11","0","17","25","0","1","13","3","1","5","2","0","0","0","0","0","0","5","7","1","10","1","12","0","1","0","0","3","0","12","3","4","14","2","0","0","7","1","0","3","8","17","0","0","1","0","100","4","31","142","2","0","1","5","1","5","2","0","0","3","0","1","0","","12","0","0","1","0","2","1","2","5","1","21","0","0","1","1","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1"
