"date","Ohio/Adams","Ohio/Allen","Ohio/Ashland","Ohio/Ashtabula","Ohio/Athens","Ohio/Auglaize","Ohio/Belmont","Ohio/Brown","Ohio/Butler","Ohio/Carroll","Ohio/Champaign","Ohio/Clark","Ohio/Clermont","Ohio/Clinton","Ohio/Columbiana","Ohio/Coshocton","Ohio/Crawford","Ohio/Cuyahoga","Ohio/Darke","Ohio/Defiance","Ohio/Delaware","Ohio/Erie","Ohio/Fairfield","Ohio/Fayette","Ohio/Franklin","Ohio/Fulton","Ohio/Gallia","Ohio/Geauga","Ohio/Greene","Ohio/Guernsey","Ohio/Hamilton","Ohio/Hancock","Ohio/Hardin","Ohio/Harrison","Ohio/Henry","Ohio/Highland","Ohio/Hocking","Ohio/Holmes","Ohio/Huron","Ohio/Jackson","Ohio/Jefferson","Ohio/Knox","Ohio/Lake","Ohio/Lawrence","Ohio/Licking","Ohio/Logan","Ohio/Lorain","Ohio/Lucas","Ohio/Madison","Ohio/Mahoning","Ohio/Marion","Ohio/Medina","Ohio/Meigs","Ohio/Mercer","Ohio/Miami","Ohio/Monroe","Ohio/Montgomery","Ohio/Morgan","Ohio/Morrow","Ohio/Muskingum","Ohio/Noble","Ohio/Ottawa","Ohio/Paulding","Ohio/Perry","Ohio/Pickaway","Ohio/Pike","Ohio/Portage","Ohio/Preble","Ohio/Putnam","Ohio/Richland","Ohio/Ross","Ohio/Sandusky","Ohio/Scioto","Ohio/Seneca","Ohio/Shelby","Ohio/Stark","Ohio/Summit","Ohio/Trumbull","Ohio/Tuscarawas","Ohio/Unassigned","Ohio/Union","Ohio/Van Wert","Ohio/Vinton","Ohio/Warren","Ohio/Washington","Ohio/Wayne","Ohio/Williams","Ohio/Wood","Ohio/Wyandot"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","24","0","0","1","0","0","0","10","0","0","0","0","0","7","0","0","0","0","1","0","0","0","0","0","0","2","0","0","1","5","3","0","5","2","5","0","0","4","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","2","5","0","0","","0","0","0","2","0","0","0","1","0"
"2020-03-24","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","1","18","0","0","4","0","2","0","31","0","0","3","2","0","12","0","0","0","0","0","0","0","1","0","0","0","3","0","1","1","6","3","0","5","1","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0","1","0","1","8","1","1","","1","0","0","2","0","0","0","0","0"
"2020-03-25","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","39","0","0","1","1","3","1","13","0","0","-1","0","0","10","0","0","0","0","0","0","0","0","0","0","1","3","1","1","0","7","10","1","14","0","7","0","1","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","6","5","0","","1","0","0","1","0","1","0","1","0"
"2020-03-26","0","0","0","0","1","0","0","0","3","0","1","0","1","0","1","0","0","53","0","0","3","1","1","0","21","0","0","3","0","0","5","1","0","0","0","0","0","0","1","0","1","0","5","0","2","0","7","12","1","9","0","2","0","0","1","0","0","0","0","1","0","0","0","0","1","0","4","0","0","0","0","0","0","0","1","3","8","3","0","","0","0","0","2","0","1","0","3","1"
"2020-03-27","0","0","2","2","0","0","3","0","2","0","0","0","0","0","2","0","0","71","0","3","5","0","2","0","43","2","0","3","0","0","10","0","0","0","0","0","0","0","0","0","0","0","8","0","5","0","12","13","0","17","1","8","0","1","12","0","5","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","6","15","5","0","","0","0","0","1","1","1","0","2","0"
"2020-03-28","0","2","0","1","1","1","2","0","2","0","0","0","2","1","2","0","1","40","0","0","6","2","6","0","70","0","0","4","0","0","8","1","0","0","0","0","0","0","0","0","4","0","3","0","4","1","9","19","1","12","0","5","0","0","6","0","1","0","0","0","0","1","0","0","2","1","6","0","0","1","0","1","0","0","2","3","14","10","2","","0","1","0","5","0","1","0","2","0"
"2020-03-29","0","2","-1","0","1","1","0","0","2","1","0","5","0","0","2","0","0","70","2","0","5","0","0","0","25","0","0","3","0","0","14","0","0","0","0","0","0","0","0","0","0","1","5","0","1","0","9","27","0","4","1","8","0","0","5","0","5","0","0","0","0","0","0","0","0","0","8","0","0","0","0","1","0","0","0","4","20","9","0","","0","0","0","4","1","0","0","2","0"
"2020-03-30","0","0","0","0","0","0","0","1","3","1","1","-1","1","0","0","1","3","53","9","0","7","0","-1","0","34","0","0","5","0","0","16","0","0","0","0","0","0","1","0","0","2","0","8","0","6","0","4","20","1","33","1","3","0","0","3","0","6","0","0","0","0","1","0","0","1","0","5","1","0","0","1","0","0","2","1","15","19","6","2","","1","0","0","0","0","3","0","1","0"
"2020-03-31","","1","0","0","0","0","1","1","6","0","0","0","1","0","4","0","0","34","1","0","4","0","1","0","44","0","0","2","3","","23","2","","","","0","","0","1","","4","1","1","0","4","0","4","19","2","36","1","7","","0","6","","6","","","0","","0","","1","7","0","6","0","","1","1","1","","0","1","1","13","8","0","","0","0","","1","0","2","","2","1"
