"date","Nevada/Carson City","Nevada/Churchill","Nevada/Clark","Nevada/Douglas","Nevada/Elko","Nevada/Elko County","Nevada/Esmeralda","Nevada/Eureka","Nevada/Humboldt","Nevada/Lander","Nevada/Lincoln","Nevada/Lyon","Nevada/Mineral","Nevada/Nye","Nevada/Pershing","Nevada/Storey","Nevada/Unassigned","Nevada/Washoe","Nevada/White Pine"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"
"2020-03-24","-33.33 %","   .00 %"," 68.25 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-83.15 %"," 76.00 %","   .00 %"
"2020-03-25","   .00 %","   .00 %"," 17.45 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.64 %","   .00 %"
"2020-03-26","   .00 %","   .00 %"," 40.56 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-73.33 %"," 14.00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %"," 26.57 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 17.54 %","   .00 %"
"2020-03-28"," ##.## %","   .00 %","   .00 %"," 66.67 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 11.94 %","   .00 %"
"2020-03-29","   .00 %","   .00 %"," 19.19 %","   .00 %"," 50.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 42.67 %","   .00 %"
"2020-03-30","   .00 %","   .00 %"," 42.61 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.93 %","  3.74 %","   .00 %"
"2020-03-31","   .00 %",""," 15.41 %"," 20.00 %"," 66.67 %","","",""," ##.## %","","","   .00 %","","   .00 %","","","-22.73 %","  9.01 %","   .00 %"
"2020-04-01","   .00 %",""," 10.59 %","   .00 %","   .00 %","","",""," 66.67 %","","","   .00 %",""," ##.## %","",""," 45.10 %"," 18.18 %","   .00 %"
"2020-04-02","   .00 %",""," 17.07 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %"," 13.99 %","   .00 %"
"2020-04-03","   .00 %",""," 13.69 %"," 16.67 %"," 40.00 %","","",""," 40.00 %","",""," ##.## %",""," 50.00 %","","","-89.19 %"," 12.88 %","   .00 %"
"2020-04-04"," ##.## %",""," 10.87 %","   .00 %"," 14.29 %","","",""," 28.57 %","",""," 50.00 %",""," 16.67 %","",""," ##.## %"," 33.15 %","   .00 %"
"2020-04-05","   .00 %","","  7.12 %","   .00 %","   .00 %","","",""," 22.22 %","","","   .00 %","","   .00 %","","","-26.47 %","  7.76 %","   .00 %"
"2020-04-06"," 10.00 %","","  5.86 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","",""," 32.00 %","   .00 %","   .00 %"
"2020-04-07","   .00 %","","  7.84 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %"," 17.05 %","   .00 %"
"2020-04-08"," 18.18 %","","  8.30 %"," 14.29 %","   .00 %","","",""," 27.27 %","",""," 33.33 %","","   .00 %","","","-##.## %","  5.50 %","   .00 %"
"2020-04-09","  7.69 %","","  6.98 %"," 12.50 %"," 12.50 %","","",""," 14.29 %","","   .00 %","   .00 %",""," 42.86 %","","","   .00 %","   .00 %","   .00 %"
"2020-04-10","  7.14 %","","  6.72 %","   .00 %"," 22.22 %","","","","   .00 %","","   .00 %"," 50.00 %","","   .00 %","",""," ##.## %"," 11.35 %","   .00 %"
"2020-04-11","  6.67 %","","   .00 %"," 11.11 %","   .00 %","","",""," 12.50 %","","   .00 %","   .00 %","","   .00 %","","","-34.25 %","  7.16 %","   .00 %"
"2020-04-12","   .00 %","","  8.40 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %"," 16.67 %","","   .00 %","","","-76.04 %","  6.68 %","   .00 %"
"2020-04-13"," 37.50 %","","  5.16 %","   .00 %","   .00 %","","",""," 11.11 %","","   .00 %"," 42.86 %","","   .00 %","","","-##.## %"," 11.08 %","   .00 %"
"2020-04-14","  4.55 %","","  2.66 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %",""," 50.00 %","","","   .00 %"," 15.40 %"," ##.## %"
"2020-04-15","  8.70 %","","  1.99 %"," 30.00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","  3.20 %","   .00 %"
"2020-04-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %"," 10.00 %",""," 26.67 %","","","-60.00 %","   .00 %","   .00 %"
"2020-04-17","  8.00 %","   .00 %","  6.99 %","  7.69 %","  9.09 %","","",""," 30.00 %","","-##.## %","  9.09 %",""," 10.53 %","",""," ##.## %","  4.19 %","   .00 %"
"2020-04-18","  3.70 %"," ##.## %","  5.26 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %"," 25.00 %","","   .00 %","","","-65.31 %","  2.80 %","   .00 %"
"2020-04-19","   .00 %","   .00 %","  2.01 %","  7.14 %","   .00 %","","","","   .00 %","","   .00 %","  6.67 %",""," 33.33 %","","","-41.18 %","  8.33 %","   .00 %"
"2020-04-20","   .00 %","   .00 %","  1.97 %","   .00 %","   .00 %","","","","  3.85 %","","   .00 %"," 12.50 %","","   .00 %","",""," 80.00 %","  3.92 %","   .00 %"
"2020-04-21","   .00 %","   .00 %","  3.37 %","   .00 %","   .00 %","","",""," 25.93 %","","   .00 %","   .00 %","","  3.57 %","",""," -5.56 %","   .00 %","   .00 %"
"2020-04-22","   .00 %","   .00 %","  3.84 %","  6.67 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","  5.56 %","   .00 %","   .00 %","","","-82.35 %","  7.25 %","   .00 %"
"2020-04-23"," 10.71 %","   .00 %","  2.98 %","  6.25 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  5.26 %","   .00 %","  6.90 %","   .00 %","   .00 %","-33.33 %","  3.66 %","   .00 %"
"2020-04-24","   .00 %","   .00 %","  3.89 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"
"2020-04-25","  9.68 %","   .00 %","  3.69 %","  5.88 %","   .00 %","","","   .00 %","  2.94 %","   .00 %","   .00 %"," 15.00 %","   .00 %","   .00 %","   .00 %","   .00 %","-75.38 %","  7.47 %","   .00 %"
"2020-04-26","  8.82 %","   .00 %","  2.66 %","  5.56 %","   .00 %","","","   .00 %","  2.86 %","   .00 %","   .00 %"," 13.04 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","  1.64 %","   .00 %"
"2020-04-27","  5.41 %","   .00 %","  1.42 %","   .00 %"," 25.00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.90 %","   .00 %","   .00 %","-##.## %","   .00 %","   .00 %"
"2020-04-28"," 12.82 %","   .00 %","  2.04 %","   .00 %","   .00 %","","","   .00 %","  2.78 %"," ##.## %","   .00 %","  3.85 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","  3.73 %","   .00 %"
"2020-04-29","   .00 %","   .00 %","  2.58 %","   .00 %","   .00 %","","","   .00 %","  2.70 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.68 %","   .00 %"
"2020-04-30","  2.27 %","   .00 %","  2.26 %","   .00 %","   .00 %","","","   .00 %","  7.89 %","   .00 %","   .00 %","  3.70 %","   .00 %","  2.86 %","   .00 %","   .00 %","   .00 %","  2.95 %","   .00 %"
"2020-05-01","  4.44 %","   .00 %","  3.49 %","  5.26 %","   .00 %","","","   .00 %","  7.32 %","   .00 %","   .00 %","  3.57 %","   .00 %","  2.78 %","   .00 %","   .00 %","   .00 %","  5.50 %","   .00 %"
"2020-05-02","  2.13 %","   .00 %","  2.60 %","  5.00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"," 13.79 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.04 %","   .00 %"
"2020-05-03","   .00 %","   .00 %","  1.16 %","   .00 %","   .00 %","","","   .00 %"," 11.36 %","   .00 %","   .00 %","  3.03 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.95 %","   .00 %"
"2020-05-04","   .00 %","   .00 %","  3.21 %","   .00 %","   .00 %","","","   .00 %","  2.04 %"," 85.71 %","   .00 %","  2.94 %","   .00 %","  5.41 %","   .00 %","   .00 %","   .00 %","  1.13 %","   .00 %"
"2020-05-05","  6.25 %","   .00 %","  -.07 %","  4.76 %","   .00 %","","","   .00 %","  6.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.63 %","   .00 %"
"2020-05-06","   .00 %","   .00 %","  1.47 %","   .00 %","   .00 %","","","   .00 %","  9.43 %","  7.69 %","   .00 %","  2.86 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .79 %","   .00 %"
"2020-05-07","   .00 %","   .00 %","  2.24 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  2.78 %","   .00 %"," 12.82 %","   .00 %","   .00 %","   .00 %","   .78 %","   .00 %"
"2020-05-08","   .00 %","   .00 %","   .00 %","  4.55 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.40 %","   .00 %"
"2020-05-09","  1.96 %","   .00 %","  2.86 %","  4.35 %","   .00 %","","","   .00 %"," 12.07 %"," 21.43 %","   .00 %","  8.11 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","  1.13 %","   .00 %"
"2020-05-10","  5.77 %","   .00 %","   .98 %","   .00 %","   .00 %","","","   .00 %","  3.08 %","   .00 %","   .00 %","  5.00 %","   .00 %","   .00 %","   .00 %","   .00 %","-##.## %","  1.67 %","   .00 %"
"2020-05-11","  1.82 %","   .00 %","   .25 %","   .00 %"," 20.00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  4.76 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .46 %","   .00 %"
"2020-05-12","  3.57 %"," 66.67 %","  2.25 %","   .00 %","   .00 %","","","   .00 %","  5.97 %"," 11.76 %"," ##.## %","  2.27 %","   .00 %","  9.09 %","   .00 %","   .00 %"," ##.## %","  1.45 %","   .00 %"
"2020-05-13","   .00 %","   .00 %","  3.61 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  2.22 %","   .00 %","  2.08 %","   .00 %","   .00 %","-##.## %","  1.43 %","   .00 %"
"2020-05-14","  8.62 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.94 %","   .00 %"
"2020-05-15","  3.17 %","   .00 %","  3.77 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  2.17 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.12 %","   .00 %"
"2020-05-16","  7.69 %","   .00 %","  1.20 %","  4.17 %"," 11.11 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 18.37 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-17","  1.43 %","   .00 %","  1.28 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.55 %"," 33.33 %"
"2020-05-18","   .00 %","   .00 %","  1.81 %","   .00 %","  5.00 %","","","   .00 %","  4.23 %","   .00 %","   .00 %","  2.13 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .80 %","   .00 %"
"2020-05-19","  5.63 %"," 20.00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  2.08 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.29 %","   .00 %"
"2020-05-20","  2.67 %","   .00 %","  3.42 %","  4.00 %","   .00 %","","","   .00 %","  2.70 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.72 %","   .00 %"
"2020-05-21","  5.19 %","   .00 %","  1.49 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  4.08 %","   .00 %","  1.72 %","   .00 %","   .00 %","   .00 %"," -5.66 %","   .00 %"
"2020-05-22","  2.47 %","   .00 %","  1.41 %","   .00 %","   .00 %","","","   .00 %","  2.63 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.04 %","   .00 %"
"2020-05-23","   .00 %","   .00 %","   .00 %","   .00 %","  4.76 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-24","  3.61 %","   .00 %","  5.59 %","  3.85 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  7.84 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.62 %","   .00 %"
"2020-05-25","  4.65 %","   .00 %","   .68 %","  3.70 %","   .00 %","","","   .00 %","   .00 %","  5.26 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.96 %","   .00 %"
"2020-05-26","   .00 %"," 16.67 %","   .71 %","  3.57 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  1.82 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.84 %","   .00 %"
"2020-05-27","  1.11 %","   .00 %","   .98 %","  3.45 %","  9.09 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.39 %","   .00 %","   .00 %","   .00 %","  1.78 %","   .00 %"
"2020-05-28","  3.30 %","   .00 %","  1.03 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  1.79 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.95 %","   .00 %"
"2020-05-29","  1.06 %","   .00 %","  1.65 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  7.02 %","   .00 %","  1.64 %","   .00 %","   .00 %","   .00 %","  1.12 %","   .00 %"
"2020-05-30","   .00 %","   .00 %","  1.89 %","  3.33 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  1.64 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.11 %","   .00 %"
"2020-05-31","  3.16 %","   .00 %","  1.19 %","  3.23 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.87 %","   .00 %"
"2020-06-01","  1.02 %","   .00 %","   .93 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  4.84 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .51 %","   .00 %"
"2020-06-02","   .00 %"," 14.29 %","  1.88 %","   .00 %","  4.17 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  4.62 %","   .00 %","  3.23 %","   .00 %","   .00 %","   .00 %","  1.32 %","   .00 %"
"2020-06-03","   .00 %","   .00 %","  1.14 %","  9.38 %","  4.00 %","","","   .00 %","   .00 %","  5.00 %","   .00 %"," -1.47 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .75 %","-25.00 %"
