"date","Oregon/Baker","Oregon/Benton","Oregon/Clackamas","Oregon/Clatsop","Oregon/Columbia","Oregon/Coos","Oregon/Crook","Oregon/Curry","Oregon/Deschutes","Oregon/Douglas","Oregon/Gilliam","Oregon/Grant","Oregon/Harney","Oregon/Hood River","Oregon/Jackson","Oregon/Jefferson","Oregon/Josephine","Oregon/Klamath","Oregon/Lake","Oregon/Lane","Oregon/Lincoln","Oregon/Linn","Oregon/Malheur","Oregon/Marion","Oregon/Morrow","Oregon/Multnomah","Oregon/Polk","Oregon/Sherman","Oregon/Tillamook","Oregon/Umatilla","Oregon/Unassigned","Oregon/Union","Oregon/Wallowa","Oregon/Wasco","Oregon/Washington","Oregon/Wheeler","Oregon/Yamhill"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.26 %","   .00 %"," 36.36 %","   .00 %"," 10.53 %"," ##.## %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 25.45 %","   .00 %","   .00 %"
"2020-03-24","   .00 %","   .00 %"," 21.43 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.00 %","   .00 %","  6.67 %","   .00 %"," 19.05 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 10.14 %","   .00 %","   .00 %"
"2020-03-25","   .00 %"," 50.00 %"," 23.53 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 25.00 %","   .00 %"," 19.05 %","   .00 %"," 34.38 %","   .00 %"," 32.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 26.32 %","   .00 %"," 16.67 %"
"2020-03-26","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 40.00 %","   .00 %","  4.00 %","   .00 %"," 32.56 %","   .00 %"," 36.36 %"," ##.## %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  8.33 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %"," 47.62 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," 42.86 %","   .00 %","  7.69 %","   .00 %"," 45.61 %","   .00 %"," 48.89 %"," 66.67 %","   .00 %","   .00 %"," 50.00 %","","   .00 %","   .00 %"," ##.## %"," 17.31 %","   .00 %"," 57.14 %"
"2020-03-28","   .00 %"," 33.33 %"," 16.13 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %"," 25.00 %","   .00 %","   .00 %","-10.00 %","   .00 %"," 14.29 %","   .00 %"," 13.25 %","   .00 %"," 20.90 %"," 10.00 %","   .00 %","   .00 %"," 33.33 %","","   .00 %","   .00 %","   .00 %"," 14.75 %","   .00 %"," 18.18 %"
"2020-03-29","   .00 %","   .00 %","  8.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 15.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," ##.## %","   .00 %"," 20.00 %"," ##.## %","   .00 %"," 11.11 %","   .00 %"," 12.50 %","   .00 %"," 15.96 %","   .00 %"," 12.35 %"," 18.18 %","   .00 %"," ##.## %","   .00 %","","   .00 %","   .00 %"," 50.00 %"," 10.00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %"," 12.50 %","  2.56 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.70 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","  5.26 %","   .00 %"," 66.67 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 12.84 %","   .00 %","  9.89 %"," 15.38 %","   .00 %"," 50.00 %","   .00 %","","   .00 %","   .00 %"," 66.67 %","  9.09 %","   .00 %","  7.69 %"
"2020-03-31",""," 33.33 %"," 25.00 %","   .00 %","   .00 %","","",""," -4.00 %"," 12.50 %","","   .00 %",""," 50.00 %","  5.00 %","","   .00 %"," 25.00 %",""," 33.33 %"," ##.## %","  2.78 %","   .00 %"," 14.63 %","   .00 %"," 16.00 %"," 20.00 %","","   .00 %"," 25.00 %","","   .00 %","   .00 %"," 40.00 %"," 10.71 %",""," 14.29 %"
