"date","Wisconsin/Adams","Wisconsin/Ashland","Wisconsin/Barron","Wisconsin/Bayfield","Wisconsin/Brown","Wisconsin/Buffalo","Wisconsin/Burnett","Wisconsin/Calumet","Wisconsin/Chippewa","Wisconsin/Clark","Wisconsin/Columbia","Wisconsin/Crawford","Wisconsin/Dane","Wisconsin/Dodge","Wisconsin/Door","Wisconsin/Douglas","Wisconsin/Dunn","Wisconsin/Eau Claire","Wisconsin/Florence","Wisconsin/Fond du Lac","Wisconsin/Forest","Wisconsin/Grant","Wisconsin/Green","Wisconsin/Green Lake","Wisconsin/Iowa","Wisconsin/Iron","Wisconsin/Jackson","Wisconsin/Jefferson","Wisconsin/Juneau","Wisconsin/Kenosha","Wisconsin/Kewaunee","Wisconsin/La Crosse","Wisconsin/Lafayette","Wisconsin/Langlade","Wisconsin/Lincoln","Wisconsin/Manitowoc","Wisconsin/Marathon","Wisconsin/Marinette","Wisconsin/Marquette","Wisconsin/Menominee","Wisconsin/Milwaukee","Wisconsin/Monroe","Wisconsin/Oconto","Wisconsin/Oneida","Wisconsin/Outagamie","Wisconsin/Ozaukee","Wisconsin/Pepin","Wisconsin/Pierce","Wisconsin/Polk","Wisconsin/Portage","Wisconsin/Price","Wisconsin/Racine","Wisconsin/Richland","Wisconsin/Rock","Wisconsin/Rusk","Wisconsin/Sauk","Wisconsin/Sawyer","Wisconsin/Shawano","Wisconsin/Sheboygan","Wisconsin/St. Croix","Wisconsin/Taylor","Wisconsin/Trempealeau","Wisconsin/Unassigned","Wisconsin/Vernon","Wisconsin/Vilas","Wisconsin/Walworth","Wisconsin/Washburn","Wisconsin/Washington","Wisconsin/Waukesha","Wisconsin/Waupaca","Wisconsin/Waushara","Wisconsin/Winnebago","Wisconsin/Wood"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0"
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0"
"2020-03-27","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-28","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"2020-03-30","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"2020-03-31","","0","","0","0","0","","0","0","0","0","","2","0","0","0","0","0","","2","","0","0","","0","1","0","0","0","0","","0","","","","","0","0","0","","11","0","0","0","0","5","","0","","0","","0","0","0","","1","","","0","0","","","0","","0","0","","1","1","1","","0","0"
"2020-04-01","","0","","0","0","0","","0","0","0","0","0","2","0","0","0","0","0","","2","","0","0","","0","1","0","0","0","0","","0","","","","","0","0","0","","12","0","0","0","0","5","","0","","0","","0","0","0","","2","","","0","0","","","0","","0","0","","1","1","1","","0","0"
"2020-04-02","0","0","","0","0","0","","0","0","0","0","0","3","0","0","0","0","0","","2","","0","0","","0","1","0","0","0","0","","0","","","","","0","0","0","0","16","0","0","0","0","5","","0","","0","","0","0","1","","2","","","0","0","","0","5","","0","0","","1","1","1","","0","0"
"2020-04-03","0","0","0","0","0","0","","0","0","0","0","0","5","0","0","0","0","0","","2","","0","0","","0","1","0","0","0","0","","0","","","","","0","0","0","0","24","0","0","0","0","5","0","0","","0","","0","0","1","0","2","","","1","0","","0","4","","0","0","","1","4","1","","0","0"
"2020-04-04","0","0","0","0","0","0","","0","0","0","0","0","8","0","0","0","0","0","","2","","0","0","","0","1","0","0","0","0","","0","","","","0","0","0","0","0","24","0","0","0","0","5","0","0","","0","","0","0","1","0","2","","","1","0","","0","4","","0","0","","1","4","1","","0","0"
"2020-04-05","0","0","0","0","0","1","","0","0","0","0","0","9","0","0","0","0","0","0","2","","0","0","","0","1","0","0","0","1","","0","","","","0","0","0","0","0","39","0","0","0","1","6","0","0","","0","","1","0","2","0","2","","0","1","0","","0","0","","0","0","","3","4","1","","0","0"
"2020-04-06","0","0","0","0","0","1","","0","0","0","0","0","9","0","0","0","0","0","0","2","","0","0","","0","1","0","0","0","1","0","0","","","","0","0","0","0","0","40","0","0","0","1","6","0","0","","0","","2","0","2","0","2","","0","2","0","","0","0","","0","0","","3","4","1","0","1","0"
"2020-04-07","0","0","0","0","0","2","","0","0","0","0","0","11","0","0","0","0","0","0","2","","0","0","","0","1","0","0","0","1","0","0","0","","","0","0","0","0","0","49","0","0","0","1","7","0","0","","0","","2","0","2","0","2","","0","2","0","","0","0","","0","0","","3","5","1","0","1","0"
"2020-04-08","0","0","0","0","0","2","","0","0","0","1","0","11","0","0","0","0","0","0","2","","0","0","","0","1","0","0","0","1","0","0","0","","","0","0","0","0","0","56","0","0","0","1","7","0","0","","0","","2","0","2","0","2","","0","2","0","","0","0","","0","0","","3","5","1","0","1","0"
"2020-04-09","0","0","0","0","0","1","","0","0","0","1","0","11","0","0","0","0","0","0","2","","0","0","","0","1","0","0","0","1","0","0","0","","","0","0","0","0","0","65","0","0","0","2","8","0","0","","0","","2","0","2","0","2","0","0","2","0","","0","0","","0","0","","3","6","1","0","1","0"
"2020-04-10","0","0","0","0","1","1","","0","0","0","1","0","12","0","0","0","0","0","0","2","","1","0","","0","1","0","0","0","1","0","0","0","","","0","0","0","0","0","77","0","0","0","2","9","0","0","0","0","","3","0","2","0","2","0","0","2","0","","0","0","","0","0","","3","6","1","0","1","0"
"2020-04-11","0","0","0","0","1","1","","0","0","0","1","0","12","0","0","0","0","0","0","2","","1","0","","0","1","0","0","0","1","0","0","0","","","0","0","0","0","0","85","0","0","0","2","9","0","0","0","0","0","3","0","3","0","2","0","0","2","0","","0","0","","0","0","","3","6","1","0","1","0"
"2020-04-12","0","0","0","0","1","1","","0","0","0","1","0","12","0","0","0","0","0","0","2","","1","0","","0","1","0","0","0","2","0","0","0","","","0","1","0","0","0","88","0","0","0","2","9","0","0","0","0","0","3","0","4","0","2","0","0","2","0","","0","0","","0","0","","3","7","1","0","1","0"
"2020-04-13","0","0","0","0","1","1","","0","0","0","1","0","12","0","0","0","0","0","0","2","","1","0","0","0","1","1","0","1","4","0","0","0","","","0","1","0","0","0","94","0","0","0","2","9","0","0","0","0","0","4","0","3","0","2","0","0","2","0","","0","0","","0","0","","3","7","1","0","1","0"
"2020-04-14","0","0","0","0","1","1","","0","0","0","1","0","12","1","1","0","0","0","0","2","","1","0","0","0","1","1","0","1","3","0","0","0","","","0","1","0","0","0","101","1","0","0","2","9","0","0","0","0","0","5","0","4","0","4","0","0","2","0","","0","0","","0","1","","3","9","1","0","1","0"
"2020-04-15","1","0","0","0","1","1","","0","0","0","1","0","13","1","1","0","0","0","0","3","","1","0","0","0","1","1","0","1","4","1","0","0","","","0","1","1","0","0","105","1","0","0","2","9","0","0","0","0","0","6","0","4","0","4","0","0","2","0","","0","0","","0","2","","3","10","1","0","1","0"
"2020-04-16","1","0","0","0","1","1","","0","0","0","1","0","16","1","1","0","0","0","0","3","","1","0","0","0","1","1","0","1","5","1","0","0","","","0","1","1","0","0","114","0","0","0","2","9","0","0","0","0","0","6","1","4","0","3","0","0","2","0","","0","0","","0","3","0","3","11","1","0","1","0"
"2020-04-17","1","0","0","0","1","1","","0","0","0","1","0","17","1","1","0","0","0","0","3","","1","0","0","0","1","1","0","1","5","1","0","0","","","0","1","1","0","0","120","0","0","0","2","9","0","0","0","0","0","8","1","4","0","3","0","0","2","0","","0","0","","0","3","0","3","11","1","0","1","0"
