"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-06-18","6","17","0","3","1","","6","","1","4","1","","3","0","25","","-15","9","1","0","","","1","26","5","","8","-2","","2"
"2020-06-19","0","3","7","2","","","7","","","1","","","8","22","","","39","1","4","0","","","5","0","4","","","0","",""
"2020-06-20","","2","28","","","","0","","","5","0","","0","3","4","","3","0","1","","","","4","11","2","","","","",""
"2020-06-21","","3","6","1","","","13","","","0","0","","0","0","","","3","","3","","","","6","4","14","","","0","","0"
"2020-06-22","","9","1","10","","","11","","","8","1","","0","1","2","","8","","3","0","","","1","11","0","","0","","",""
"2020-06-23","","0","0","","1","","","","","8","5","","8","2","","1","0","0","2","","","","0","7","1","","","0","","1"
"2020-06-24","","4","","","","","5","","","2","1","","12","","","","28","7","4","1","","","1","5","3","","1","","","0"
"2020-06-25","","39","0","3","0","","","0","1","3","4","","14","0","6","","33","","1","","","","1","23","0","","0","","",""
"2020-06-26","1","28","22","","","","","","","15","","","27","5","0","","13","2","","","","","0","14","11","","","17","","1"
"2020-06-27","","0","3","","","","0","","","4","1","","11","","0","","2","3","3","7","","","3","14","1","","","","",""
"2020-06-28","","0","0","","","","0","0","","5","3","","13","2","0","1","11","","","9","4","","5","2","63","","","","","4"
"2020-06-29","0","0","6","3","1","","","0","","11","0","","10","1","8","","0","0","0","","3","","5","7","32","","","1","","0"
"2020-06-30","1","18","2","0","1","","5","2","","3","","","12","4","","","4","","1","1","","","","9","14","","1","3","","19"
"2020-07-01","0","3","","","","","0","0","","4","","","23","2","0","","5","0","2","0","0","","6","3","2","","","3","","0"
"2020-07-02","1","","10","2","1","","0","0","","0","3","","0","2","","","21","","1","0","","","6","5","5","","","0","","2"
"2020-07-03","1","4","0","2","0","","0","0","","12","","","","12","0","","","","","","1","","4","7","6","","2","","","0"
"2020-07-04","1","-3","8","0","0","","0","0","","8","","","12","14","0","","9","2","1","","0","","4","14","40","2","","0","",""
"2020-07-05","","","","","","1","1","4","","7","","","2","2","2","","5","0","1","","3","","15","2","","","3","0","","4"
"2020-07-06","","0","7","0","0","","0","10","","13","","","1","","4","","0","","4","","2","","1","6","17","","0","0","","1"
"2020-07-07","4","14","","1","","0","11","0","","16","13","","0","7","","","","1","1","1","0","","3","11","0","","1","","","0"
"2020-07-08","2","3","","4","7","","-1","0","","3","0","","9","35","2","","4","0","","","1","","3","10","19","0","","3","","3"
"2020-07-09","1","2","0","0","11","0","5","0","","1","2","","2","0","7","","4","2","","","7","","2","15","3","","0","0","","4"
"2020-07-10","1","6","3","7","","","10","0","","0","1","","3","20","1","2","0","","1","1","0","0","1","53","8","","","3","","4"
"2020-07-11","","","","3","0","","0","9","0","2","","","","1","","","0","4","","","0","","","18","5","","","0","","0"
"2020-07-12","1","0","0","6","17","1","24","0","0","1","0","2","1","","0","","","0","","","0","","3","19","7","","","0","","1"
"2020-07-13","0","0","","0","2","1","3","","0","2","2","0","2","0","0","","","0","0","0","2","","1","26","2","","","3","","3"
"2020-07-14","0","","13","2","0","1","11","0","","0","2","","1","0","1","0","1","","","","6","","0","25","7","0","1","0","","2"
"2020-07-15","0","8","1","1","8","","0","5","0","0","0","1","7","","-1","0","0","0","0","","1","","6","0","0","0","3","8","","1"
"2020-07-16","","4","0","5","9","1","11","13","","2","1","","2","0","0","","15","","","","7","0","0","52","0","2","","1","","2"
"2020-07-17","0","0","6","1","","","13","7","0","3","0","","6","1","2","2","","0","0","0","10","0","0","1","9","","","0","",""
"2020-07-18","","0","0","0","3","0","4","0","0","0","1","","17","0","0","5","0","5","","","24","0","5","70","9","0","","3","","0"
"2020-07-19","","5","4","3","4","4","6","6","","4","0","","0","","","0","6","0","","0","26","","0","12","10","18","","0","","9"
