"date","Montana/Beaverhead","Montana/Big Horn","Montana/Blaine","Montana/Broadwater","Montana/Carbon","Montana/Carter","Montana/Cascade","Montana/Chouteau","Montana/Custer","Montana/Daniels","Montana/Dawson","Montana/Deer Lodge","Montana/Fallon","Montana/Fergus","Montana/Flathead","Montana/Gallatin","Montana/Garfield","Montana/Glacier","Montana/Golden Valley","Montana/Granite","Montana/Hill","Montana/Jefferson","Montana/Judith Basin","Montana/Lake","Montana/Lewis and Clark","Montana/Liberty","Montana/Lincoln","Montana/Madison","Montana/McCone","Montana/Meagher","Montana/Mineral","Montana/Missoula","Montana/Musselshell","Montana/Park","Montana/Petroleum","Montana/Phillips","Montana/Pondera","Montana/Powder River","Montana/Powell","Montana/Prairie","Montana/Ravalli","Montana/Richland","Montana/Roosevelt","Montana/Rosebud","Montana/Sanders","Montana/Sheridan","Montana/Silver Bow","Montana/Stillwater","Montana/Sweet Grass","Montana/Teton","Montana/Toole","Montana/Treasure","Montana/Unassigned","Montana/Valley","Montana/Wheatland","Montana/Wibaux","Montana/Yellowstone"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 13.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %"," 33.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.33 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 23.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 20.95 %"
"2020-03-27","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 17.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 29.00 %"," 34.19 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.33 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 26.19 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 37.00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 29.52 %"
"2020-03-28","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 20.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 29.00 %"," 37.78 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 27.83 %","   .00 %"," 40.00 %"," 30.00 %","   .00 %","   .00 %","   .00 %"," 28.69 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 37.00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 32.52 %"
"2020-03-29","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"," 20.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.33 %"," 31.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 20.00 %"," 30.06 %","   .00 %"," 40.00 %"," 36.67 %","   .00 %","   .00 %","   .00 %"," 13.13 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 39.50 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 31.80 %"
"2020-03-30","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %"," 20.67 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 13.05 %"," 24.10 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 30.00 %"," 32.06 %","   .00 %"," 46.67 %"," 16.67 %","   .00 %","   .00 %","   .00 %"," 14.95 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 19.50 %","   .00 %","   .00 %","   .00 %"," 54.00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 17.51 %"
"2020-03-31","","",""," 10.00 %","",""," 13.05 %","","","",""," 30.00 %","",""," 17.49 %"," 14.53 %","","","","","   .00 %"," 20.00 %",""," 30.00 %"," 20.54 %",""," 51.67 %"," 26.67 %","","   .00 %",""," 14.95 %","   .00 %"," 30.00 %","","","","","","","   .00 %","","   .00 %","","",""," 16.72 %","","",""," 57.33 %","","","","",""," 18.03 %"
"2020-04-01","","",""," 10.00 %","","","  9.05 %","","","",""," 30.00 %","",""," 18.95 %"," 14.54 %","","","","","   .00 %"," 20.00 %",""," 36.67 %"," 11.87 %","   .00 %"," 51.67 %"," 26.67 %","","   .00 %",""," 12.10 %","   .00 %"," 30.00 %","","","","","","","   .00 %","","   .00 %","","","","  4.72 %","","",""," 37.33 %","","","","",""," 10.10 %"
"2020-04-02","","",""," 10.00 %","   .00 %",""," 10.16 %","","","",""," 30.00 %","",""," 24.66 %"," 15.42 %","","","","","   .00 %","   .00 %",""," 36.67 %","  7.95 %","   .00 %"," 15.67 %"," 16.67 %","","   .00 %",""," 13.88 %","   .00 %"," 50.00 %","","","","","","","   .00 %","","   .00 %","","","","  6.72 %","","","","  4.48 %",""," 80.00 %","","","","  8.98 %"
"2020-04-03","","","","   .00 %","   .00 %",""," 10.16 %","","","",""," 30.00 %","",""," 21.33 %"," 10.21 %","","   .00 %","","","   .00 %","   .00 %",""," 16.67 %","  5.72 %","   .00 %"," 15.67 %"," 10.00 %","","   .00 %","","  9.44 %","   .00 %"," 30.00 %","","","","","","","   .00 %","","   .00 %","","","","  4.22 %","","","","  4.48 %",""," 80.00 %","","","","  6.94 %"
