"date","Himachal Pradesh/Bilaspur","Himachal Pradesh/Chamba","Himachal Pradesh/Hamirpur","Himachal Pradesh/Kangra","Himachal Pradesh/Kinnaur","Himachal Pradesh/Kullu","Himachal Pradesh/Lahaul and Spiti","Himachal Pradesh/Mandi","Himachal Pradesh/Shimla","Himachal Pradesh/Sirmaur","Himachal Pradesh/Solan","Himachal Pradesh/Una"
"2020-06-22"," 15.62 %","","  9.76 %","  5.56 %","","","","  4.35 %"," 10.00 %","  6.45 %","  5.19 %"," 16.46 %"
"2020-06-23","","  4.55 %"," 12.78 %","  8.95 %","   .00 %","   .00 %","","","  9.09 %","","","  3.26 %"
"2020-06-24","  2.70 %","  8.70 %","  7.88 %","  1.45 %","","","","   .00 %","  2.78 %","","  3.70 %","  3.16 %"
"2020-06-25","   .00 %","   .00 %","  1.83 %","  8.10 %"," 33.33 %","","","","  5.41 %","  6.06 %","  8.33 %","   .00 %"
"2020-06-26","","  2.00 %","  1.35 %","  7.05 %","","","","  4.17 %","   .00 %","  2.86 %","  1.10 %","  2.04 %"
"2020-06-27"," 13.16 %","   .00 %","  4.42 %","  2.88 %"," 75.00 %","","","  8.00 %","","","  3.26 %",""
"2020-06-28","  2.33 %","   .00 %","","  4.40 %"," 14.29 %","","","  3.70 %","  2.56 %","  2.78 %","  3.16 %","  3.00 %"
"2020-06-29","","  1.96 %","  2.12 %","  2.30 %","","   .00 %","   .00 %","  7.14 %","","   .00 %"," 10.20 %","   .00 %"
"2020-06-30","","   .00 %","   .83 %","  1.50 %","","","","","   .00 %","","   .93 %","  3.88 %"
"2020-07-01","  4.55 %","   .00 %","  2.06 %","  2.21 %"," 62.50 %",""," 50.00 %","  6.67 %","  2.50 %","  2.70 %","   .92 %","  1.87 %"
"2020-07-02","  2.17 %","","  1.21 %","   .72 %"," ##.## %",""," 33.33 %","  3.12 %"," 14.63 %","  2.63 %","   .00 %","  2.75 %"
"2020-07-03","","  3.85 %","  1.20 %","   .72 %"," 13.33 %","","","  3.03 %","   .00 %","   .00 %","   .91 %","  5.36 %"
"2020-07-04","   .00 %","","  3.54 %","   .36 %","","","","   .00 %","   .00 %","   .00 %","  2.70 %","   .00 %"
"2020-07-05","   .00 %","","   .00 %","  1.77 %",""," 40.00 %","","  2.94 %","","","  1.75 %","  5.93 %"
"2020-07-06","  2.13 %","  7.41 %","   .76 %","   .70 %","","","","  2.86 %","","","  2.59 %","   .80 %"
"2020-07-07","","","   .00 %","   .35 %","","","","   .00 %","  4.26 %","","   .84 %","  1.59 %"
"2020-07-08","   .00 %","","   .38 %","  2.41 %","   .00 %","","","  2.78 %","","  2.56 %","  5.00 %","  1.56 %"
"2020-07-09","","","   .00 %","   .00 %","","","","  2.70 %","  6.12 %",""," 26.19 %","  1.54 %"
"2020-07-10","  6.25 %","  1.72 %","  1.13 %","   .67 %","  2.94 %"," 14.29 %","   .00 %","   .00 %","  5.77 %",""," 10.06 %","   .76 %"
"2020-07-11","   .00 %","   .00 %","   .37 %","  1.00 %","","","   .00 %","   .00 %","   .00 %","  2.50 %","  1.14 %","  3.01 %"
"2020-07-12","  1.96 %","  3.39 %","","  1.99 %","","","","  2.63 %","  7.27 %","  9.76 %","  5.65 %","  2.19 %"
"2020-07-13","","","  1.48 %","   .97 %","","","","  2.56 %","  1.69 %",""," 11.23 %","   .00 %"
