"date","Arkansas/Arkansas","Arkansas/Ashley","Arkansas/Baxter","Arkansas/Benton","Arkansas/Boone","Arkansas/Bradley","Arkansas/Calhoun","Arkansas/Carroll","Arkansas/Chicot","Arkansas/Clark","Arkansas/Clay","Arkansas/Cleburne","Arkansas/Cleveland","Arkansas/Columbia","Arkansas/Conway","Arkansas/Craighead","Arkansas/Crawford","Arkansas/Crittenden","Arkansas/Cross","Arkansas/Dallas","Arkansas/Desha","Arkansas/Drew","Arkansas/Faulkner","Arkansas/Franklin","Arkansas/Fulton","Arkansas/Garland","Arkansas/Grant","Arkansas/Greene","Arkansas/Hempstead","Arkansas/Hot Spring","Arkansas/Howard","Arkansas/Independence","Arkansas/Izard","Arkansas/Jackson","Arkansas/Jefferson","Arkansas/Johnson","Arkansas/Lafayette","Arkansas/Lawrence","Arkansas/Lee","Arkansas/Lincoln","Arkansas/Little River","Arkansas/Logan","Arkansas/Lonoke","Arkansas/Madison","Arkansas/Marion","Arkansas/Miller","Arkansas/Mississippi","Arkansas/Monroe","Arkansas/Montgomery","Arkansas/Nevada","Arkansas/Newton","Arkansas/Ouachita","Arkansas/Perry","Arkansas/Phillips","Arkansas/Pike","Arkansas/Poinsett","Arkansas/Polk","Arkansas/Pope","Arkansas/Prairie","Arkansas/Pulaski","Arkansas/Randolph","Arkansas/Saline","Arkansas/Scott","Arkansas/Searcy","Arkansas/Sebastian","Arkansas/Sevier","Arkansas/Sharp","Arkansas/St. Francis","Arkansas/Stone","Arkansas/Unassigned","Arkansas/Union","Arkansas/Van Buren","Arkansas/Washington","Arkansas/White","Arkansas/Woodruff","Arkansas/Yell"
"2020-04-01","   .00 %","   .00 %","   .00 %","  2.63 %","   .00 %","   .00 %","",""," ##.## %","   .00 %","","  1.64 %","   .00 %","   .00 %","   .00 %"," 37.50 %","   .00 %"," 70.59 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","  3.23 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","",""," 27.27 %","   .00 %","","   .00 %","","   .00 %","",""," ##.## %","","","   .00 %","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %"," 20.00 %","","  4.90 %","   .00 %"," 30.00 %","   .00 %","   .00 %"," 14.29 %","   .00 %","","   .00 %","   .00 %"," 29.41 %"," 12.50 %","  5.26 %"," 15.79 %"," 10.00 %","   .00 %",""
"2020-04-02","   .00 %","   .00 %","   .00 %","  2.56 %","   .00 %","   .00 %","","   .00 %","   .00 %","  8.33 %","","  1.61 %","   .00 %","   .00 %","   .00 %","  9.09 %","   .00 %"," 10.34 %","   .00 %","","   .00 %","   .00 %","  2.78 %","",""," 15.62 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","",""," 16.67 %"," ##.## %","","   .00 %","   .00 %","   .00 %","",""," 16.67 %","",""," ##.## %","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %"," ##.## %","   .00 %","","  7.48 %","   .00 %"," 23.08 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," -2.27 %"," 11.11 %","   .00 %","  4.55 %"," 36.36 %","   .00 %",""
"2020-04-03","   .00 %","   .00 %","   .00 %","  5.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  3.85 %","","  1.59 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %"," 15.62 %","   .00 %","","   .00 %","   .00 %","  8.11 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","  4.08 %"," 16.67 %","","   .00 %","   .00 %","   .00 %","",""," ##.## %","",""," 14.29 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %"," 33.33 %",""," 13.04 %","   .00 %"," 18.75 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  9.30 %","   .00 %","   .00 %","  4.35 %"," 53.33 %","   .00 %",""
"2020-04-04","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","  1.56 %","   .00 %","   .00 %","   .00 %"," 14.29 %","   .00 %"," 16.22 %"," ##.## %","","   .00 %","   .00 %","   .00 %","","","  8.11 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","  3.92 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","  6.67 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.38 %","   .00 %"," 10.53 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.77 %","   .00 %","   .00 %","  4.17 %","   .00 %","   .00 %",""
"2020-04-05","   .00 %","   .00 %","   .00 %","  2.38 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %",""," -1.54 %","   .00 %","   .00 %","   .00 %"," 12.50 %","   .00 %"," 16.28 %","   .00 %",""," ##.## %","   .00 %"," 15.00 %","","","  2.50 %","   .00 %","   .00 %","   .00 %"," 40.00 %"," ##.## %"," 66.67 %","",""," 11.32 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 37.50 %","   .00 %"," 14.60 %","   .00 %"," 28.57 %","   .00 %"," ##.## %","   .00 %"," ##.## %","   .00 %"," ##.## %","   .00 %","  7.55 %"," 20.00 %","  5.00 %"," 12.00 %","  8.70 %","   .00 %","   .00 %"
"2020-04-06","   .00 %","   .00 %","   .00 %"," -2.33 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","  1.56 %"," 40.00 %","   .00 %","   .00 %"," 11.11 %","   .00 %","  6.00 %","   .00 %","   .00 %","   .00 %"," ##.## %","  2.17 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","  5.08 %"," 14.29 %","   .00 %","   .00 %","   .00 %","   .00 %","","","  6.25 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 18.18 %","   .00 %","  2.55 %","   .00 %","  7.41 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," 17.54 %","   .00 %","   .00 %","  3.57 %","   .00 %","   .00 %","   .00 %"
"2020-04-07","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 25.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  1.54 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","  9.43 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.64 %","   .00 %",""," 12.20 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 11.29 %"," 37.50 %","   .00 %","   .00 %","   .00 %"," 42.86 %","","   .00 %"," 35.29 %","",""," 62.50 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 30.77 %","   .00 %","  8.70 %","   .00 %"," 13.79 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","-34.33 %","  8.33 %","   .00 %","   .00 %","  8.00 %","   .00 %","   .00 %"
"2020-04-08","   .00 %","   .00 %","   .00 %","  7.14 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  1.52 %","   .00 %","   .00 %","   .00 %","  4.55 %","   .00 %","  5.17 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.77 %","   .00 %",""," 10.87 %"," 66.67 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 13.04 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","","   .00 %","   .00 %","",""," 23.08 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 17.65 %","   .00 %","  2.29 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 12.50 %","   .00 %","   .00 %","  7.41 %","   .00 %","   .00 %","   .00 %","  4.76 %","  3.45 %","   .00 %","   .00 %","   .00 %"
"2020-04-09"," ##.## %"," 60.00 %"," ##.## %","  4.44 %"," ##.## %"," 20.00 %",""," ##.## %"," ##.## %","   .00 %","   .00 %","  2.99 %"," 14.29 %"," ##.## %"," ##.## %"," 21.74 %"," ##.## %"," 21.31 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 19.61 %"," 40.00 %","   .00 %"," ##.## %"," 14.29 %","   .00 %","   .00 %","   .00 %",""," 15.38 %","   .00 %"," ##.## %"," ##.## %"," ##.## %"," -9.09 %","","   .00 %"," 13.04 %","   .00 %",""," 18.75 %"," ##.## %","   .00 %","","   .00 %","   .00 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %","   .00 %","   .00 %"," 15.00 %"," ##.## %"," 17.32 %"," 16.67 %"," -6.06 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","  6.90 %"," 40.00 %","-70.45 %"," 15.38 %"," 18.18 %"," 20.00 %","   .00 %","   .00 %","   .00 %"
"2020-04-10","   .00 %"," 12.50 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.57 %","   .00 %"," 16.22 %","   .00 %","   .00 %"," 20.00 %","   .00 %","  1.82 %","   .00 %","","  8.20 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","","  1.11 %","  9.09 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","  5.26 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","  7.14 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 61.54 %","  6.67 %","   .00 %","  2.78 %","   .00 %","   .00 %","   .00 %"
