"date","Tripura/Dhalai","Tripura/Gomati","Tripura/Khowai","Tripura/North Tripura","Tripura/Sipahijala","Tripura/South Tripura","Tripura/Unokoti","Tripura/West Tripura"
"2020-04-06","","","","","","","",""
"2020-04-10","","","","","","","",""
"2020-04-30","","0","","","","","",""
"2020-05-02","","","","","","","",""
"2020-05-03","10","","","","","","",""
"2020-05-04","1","","","","","","",""
"2020-05-05","0","","","","","","",""
"2020-05-06","9","","","","","","",""
"2020-05-07","2","","","","","","",""
"2020-05-08","6","","","","","","",""
"2020-05-09","-14","","","0","","","",""
"2020-05-10","0","","","","","","",""
"2020-05-12","-14","","","","","","",""
"2020-05-13","-1","","","","","","",""
"2020-05-14","0","","","","","","",""
"2020-05-15","","","","","","","",""
"2020-05-16","","","","1","","","",""
"2020-05-17","-10","","","","","","",""
"2020-05-18","","","","","","","",""
"2020-05-19","","","","","","","",""
"2020-05-21","","","","","","","",""
"2020-05-22","","","","","","","",""
"2020-05-23","","3","0","-1","1","","",""
"2020-05-24","","","","","","","",""
"2020-05-26","","-3","","","","0","","-4"
"2020-05-27","","20","-9","-1","","","",""
"2020-05-28","","","","","","","",""
"2020-05-30","","-18","0","","15","-1","0","7"
"2020-05-31","-2","3","","0","9","2","1","-7"
"2020-06-01","","-2","1","","24","2","39","2"
"2020-06-02","15","6","","","-50","12","-39","-5"
"2020-06-03","","15","5","0","77","3","0","19"
"2020-06-04","-18","-16","-6","1","-77","-12","","-16"
"2020-06-05","0","-8","0","","27","2","-1","4"
"2020-06-06","2","1","0","0","6","","","7"
"2020-06-07","","2","","","15","","",""
"2020-06-08","","","","","-11","","",""
"2020-06-09","","","","","-20","","",""
"2020-06-10","","-1","","","-11","-5","1",""
"2020-06-11","0","-2","","","7","0","","-9"
"2020-06-12","","2","","","13","0","",""
"2020-06-13","","0","","","51","","5","-5"
"2020-06-14","","","","","-45","","",""
"2020-06-15","","","","","-24","","",""
"2020-06-16","","","","","-7","","",""
"2020-06-17","","","","","-1","","","31"
"2020-06-18","","-9","","","3","","","-27"
"2020-06-19","","2","","","","","-2","0"
"2020-06-20","","-2","","","","","","0"
"2020-06-21","0","3","-4","-1","4","-17","","13"
"2020-06-22","0","","4","0","-4","","-1","-12"
"2020-06-23","3","-3","-3","-1","6","","","-3"
"2020-06-24","","","","","","","",""
"2020-06-25","-3","","","0","","5","",""
"2020-06-26","0","","","","-2","4","","2"
"2020-06-27","1","","","1","-1","","","-2"
"2020-06-28","","","0","","8","","","-3"
"2020-06-29","","22","-1","","-8","","1","7"
"2020-06-30","","","-1","0","","2","","-3"
"2020-07-01","","-21","0","-1","-1","-2","","1"
"2020-07-02","3","-1","1","5","6","0","","15"
"2020-07-03","19","14","7","7","5","1","","-1"
"2020-07-04","-22","","-8","-9","-2","-1","","-9"
"2020-07-05","-1","","5","0","-7","","","-1"
"2020-07-06","2","38","34","-3","7","","","6"
"2020-07-07","-2","-36","","6","","","4","-7"
"2020-07-08","","17","","-3","","-2","-4","4"
"2020-07-09","","-19","-6","-3","-8","2","","-6"
"2020-07-10","","7","60","0","11","2","","31"
"2020-07-11","-14","-5","-61","3","-8","-4","1","-24"
"2020-07-12","4","24","","1","13","6","2","26"
"2020-07-13","-4","-27","","-4","-13","-5","","-25"
"2020-07-14","11","5","6","15","1","5","0","17"
"2020-07-15","1","18","-5","4","9","-1","-1","-17"
"2020-07-16","-10","-3","9","-12","2","7","-2","9"
"2020-07-17","","","","","","","",""
"2020-07-18","","","","","","-4","7",""
"2020-07-19","-22","-11","-1","-3","-34","-6","-7","18"
"2020-07-20","-69","6","-11","3","5","6","5","34"
"2020-07-21","14","-5","9","32","0","20","-3","-17"
"2020-07-22","-15","-8","-4","-31","-3","-26","","-36"
"2020-07-23","-8","19","0","10","37","17","","4"
"2020-07-24","-6","-23","2","-22","-44","-8","0","-5"
"2020-07-25","0","-7","-1","1","10","-7","2","7"
"2020-07-26","","-5","-8","2","-17","","","-28"
"2020-07-27","","11","11","10","31","","","33"
"2020-07-28","3","17","9","3","-15","18","3","36"
"2020-07-29","-4","2","-9","2","10","-8","-4","6"
"2020-07-30","-4","5","-3","1","-3","-2","","10"
"2020-07-31","0","-3","17","23","-7","6","","13"
"2020-08-01","7","-5","13","-15","-7","-8","-3","-4"
"2020-08-02","-9","-4","-30","-12","-11","7","-2","-50"
"2020-08-04","-1","-8","7","-6","20","-13","","-8"
"2020-08-05","3","-2","-2","2","-19","-2","","11"
"2020-08-06","2","-5","-4","-8","12","2","","-24"
"2020-08-07","-4","25","1","1","-12","0","","20"
"2020-08-08","2","-29","-4","11","9","15","","14"
"2020-08-09","4","-6","6","-9","3","5","4","-7"
"2020-08-10","-7","-5","-6","14","-19","-22","","-35"
"2020-08-11","4","1","40","-7","8","0","","55"
"2020-08-12","-1","27","-39","4","-6","","0","-38"
"2020-08-13","1","-1","3","-8","13","","3","-2"
"2020-08-14","4","0","6","7","-2","6","-1","23"
"2020-08-15","-8","-21","1","-1","-13","-2","19","28"
"2020-08-16","0","7","-10","-3","0","-2","2","-34"
"2020-08-17","15","-15","8","9","15","5","-19","-2"
"2020-08-18","33","11","4","-5","-5","2","9","13"
"2020-08-19","-38","5","7","27","10","-2","-4","26"
"2020-08-20","12","-3","-22","-42","-13","-3","22","3"
"2020-08-21","-18","40","20","4","15","13","-23","15"
"2020-08-22","22","-26","-12","4","-15","5","9","37"
"2020-08-23","16","-8","-1","6","1","-6","44","-1"
"2020-08-24","-29","-13","-3","-5","49","-12","-56","-62"
"2020-08-25","8","26","7","22","-40","19","32","19"
"2020-08-26","-7","-4","-4","-11","10","10","-2","44"
"2020-08-27","7","7","4","6","-10","-1","12","31"
"2020-08-28","41","4","28","-2","36","-10","-1","28"
"2020-08-29","-2","-23","-40","-8","6","22","10","-31"
"2020-08-30","-37","25","54","16","-33","-4","-13","-4"
"2020-08-31","10","-29","-30","-5","-12","-27","-27","-6"
"2020-09-01","20","70","58","13","44","53","87","352"
"2020-09-02","18","-53","-57","-10","-26","-24","-53","-247"
"2020-09-03","25","18","2","-2","17","6","-11","-31"
"2020-09-04","-31","-10","6","-5","-13","-4","-16","7"
"2020-09-05","-5","10","16","57","26","10","-6","59"
"2020-09-06","-6","-6","-16","-39","0","2","29","-52"
"2020-09-07","-8","-22","-17","-18","-40","-31","-22","-46"
"2020-09-08","1602","1902","1251","1385","2053","1144","975","5952"
