"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-03-22","   .00 %","   .00 %","   .00 %",""
"2020-03-23","   .00 %","   .00 %","   .00 %",""
"2020-03-24","   .00 %","   .00 %","   .00 %",""
"2020-03-25","   .00 %","   .00 %","   .00 %",""
"2020-03-26","   .00 %","   .00 %","   .00 %",""
"2020-03-27","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %","   .00 %",""
"2020-03-29"," 50.00 %","   .00 %","   .00 %",""
"2020-03-30","   .00 %","   .00 %","   .00 %",""
"2020-03-31","   .00 %","   .00 %"," ##.## %"," ##.## %"
"2020-04-01","   .00 %"," ##.## %"," 50.00 %",""
"2020-04-02","-33.33 %"," 40.00 %","   .00 %","-##.## %"
"2020-04-03","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-04","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-05","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-06"," 50.00 %"," 28.57 %","   .00 %","-##.## %"
"2020-04-07"," 33.33 %","   .00 %","   .00 %","   .00 %"
"2020-04-08","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-09","   .00 %","   .00 %","   .00 %"," ##.## %"
"2020-04-10","   .00 %","   .00 %","   .00 %"," ##.## %"
"2020-04-11","   .00 %"," ##.## %"," ##.## %","-##.## %"
"2020-04-12","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-13"," 50.00 %","  5.26 %"," 50.00 %","-##.## %"
"2020-04-14"," 16.67 %","   .00 %","  6.67 %","   .00 %"
"2020-04-15","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-16"," 28.57 %"," 25.00 %"," 12.50 %","   .00 %"
"2020-04-17","   .00 %"," 20.00 %"," 22.22 %","-##.## %"
"2020-04-18"," 11.11 %","  6.67 %"," 13.64 %","   .00 %"
"2020-04-19","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-20"," 30.00 %","  3.12 %","  4.00 %","   .00 %"
"2020-04-21","  7.69 %","  9.09 %"," 23.08 %","   .00 %"
"2020-04-22","  7.14 %","  5.56 %"," 12.50 %","   .00 %"
"2020-04-23","   .00 %","  5.26 %","  2.78 %","   .00 %"
"2020-04-24","   .00 %"," 12.50 %","  8.11 %","   .00 %"
"2020-04-25"," 20.00 %"," 15.56 %","  5.00 %","   .00 %"
"2020-04-26"," 22.22 %","  5.77 %","  2.38 %","   .00 %"
"2020-04-27","  4.55 %","  3.64 %","  4.65 %","   .00 %"
"2020-04-28","   .00 %"," 10.53 %"," 13.33 %","   .00 %"
"2020-04-29","  8.70 %","  3.17 %","  5.88 %","   .00 %"
"2020-04-30","  4.00 %","  4.62 %","  7.41 %","   .00 %"
"2020-05-01","  3.85 %","  2.94 %","  6.90 %","   .00 %"
"2020-05-02","  7.41 %","  8.57 %","  1.61 %","   .00 %"
"2020-05-03","  3.45 %","  3.95 %","  7.94 %","   .00 %"
"2020-05-04","   .00 %","  3.80 %","  2.94 %","   .00 %"
"2020-05-05","  6.67 %","  1.22 %","  2.86 %","   .00 %"
"2020-05-06","  3.12 %","  2.41 %","  4.17 %","   .00 %"
"2020-05-07","  3.03 %","  4.71 %","  5.33 %","   .00 %"
"2020-05-08","  5.88 %","  2.25 %","  8.86 %","   .00 %"
"2020-05-09","  5.56 %","  2.20 %","  4.65 %","   .00 %"
"2020-05-10","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-11","  2.63 %","  2.15 %","  1.11 %","   .00 %"
