"date","Tennessee/Anderson","Tennessee/Bedford","Tennessee/Benton","Tennessee/Bledsoe","Tennessee/Blount","Tennessee/Bradley","Tennessee/Campbell","Tennessee/Cannon","Tennessee/Carroll","Tennessee/Carter","Tennessee/Cheatham","Tennessee/Chester","Tennessee/Claiborne","Tennessee/Clay","Tennessee/Cocke","Tennessee/Coffee","Tennessee/Crockett","Tennessee/Cumberland","Tennessee/Davidson","Tennessee/DeKalb","Tennessee/Decatur","Tennessee/Dickson","Tennessee/Dyer","Tennessee/Fayette","Tennessee/Fentress","Tennessee/Franklin","Tennessee/Gibson","Tennessee/Giles","Tennessee/Grainger","Tennessee/Greene","Tennessee/Grundy","Tennessee/Hamblen","Tennessee/Hamilton","Tennessee/Hancock","Tennessee/Hardeman","Tennessee/Hardin","Tennessee/Hawkins","Tennessee/Haywood","Tennessee/Henderson","Tennessee/Henry","Tennessee/Hickman","Tennessee/Houston","Tennessee/Humphreys","Tennessee/Jackson","Tennessee/Jefferson","Tennessee/Johnson","Tennessee/Knox","Tennessee/Lake","Tennessee/Lauderdale","Tennessee/Lawrence","Tennessee/Lewis","Tennessee/Lincoln","Tennessee/Loudon","Tennessee/Macon","Tennessee/Madison","Tennessee/Marion","Tennessee/Marshall","Tennessee/Maury","Tennessee/McMinn","Tennessee/McNairy","Tennessee/Meigs","Tennessee/Monroe","Tennessee/Montgomery","Tennessee/Moore","Tennessee/Morgan","Tennessee/Obion","Tennessee/Out of TN","Tennessee/Out-of-state","Tennessee/Overton","Tennessee/Perry","Tennessee/Pickett","Tennessee/Polk","Tennessee/Putnam","Tennessee/Rhea","Tennessee/Roane","Tennessee/Robertson","Tennessee/Rutherford","Tennessee/Scott","Tennessee/Sequatchie","Tennessee/Sevier","Tennessee/Shelby","Tennessee/Smith","Tennessee/Stewart","Tennessee/Sullivan","Tennessee/Sumner","Tennessee/Tipton","Tennessee/Trousdale","Tennessee/Unassigned","Tennessee/Unicoi","Tennessee/Union","Tennessee/Unknown","Tennessee/Van Buren","Tennessee/Warren","Tennessee/Washington","Tennessee/Wayne","Tennessee/Weakley","Tennessee/White","Tennessee/Williamson","Tennessee/Wilson"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","0","1","-1","0","0","0","0","0","0","1","0","0","0","0","0","-3","0","0","1","0","-1","0","0","0","0","0","2","0","1","4","0","0","1","0","0","0","0","0","0","0","0","1","0","7","0","0","0","0","1","0","0","0","0","0","4","1","0","0","-1","0","0","0","0","","","0","1","0","0","0","0","0","3","1","-1","0","0","27","0","0","1","12","1","0","","0","0","","0","0","4","0","1","0","5","4"
"2020-03-24","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","1","89","0","0","0","0","0","0","0","1","0","0","1","1","-1","-4","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","3","0","0","0","6","","1","-1","0","0","2","0","0","6","4","0","0","1","42","0","0","0","0","0","0","-16","0","0","","0","0","1","0","-1","0","11","1"
"2020-03-25","2","1","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","2","0","0","18","0","0","0","1","0","0","0","0","2","0","0","0","0","5","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","5","","0","0","0","0","1","0","0","3","6","0","0","0","35","0","0","0","2","0","0","43","0","0","","0","0","0","0","0","1","2","3"
"2020-03-26","0","0","1","0","1","2","0","1","0","0","0","1","1","0","0","0","0","3","36","0","0","2","1","0","0","1","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0","3","1","0","1","0","0","1","0","1","0","0","0","0","0","17","","0","0","0","0","2","0","0","5","8","0","0","1","28","0","0","2","7","2","0","31","0","0","","0","0","2","0","0","0","4","3"
"2020-03-27","1","0","1","0","2","1","2","1","1","0","0","0","0","0","0","0","0","0","19","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","0","0","1","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","24","","0","1","0","0","2","0","0","2","12","1","0","3","25","1","0","2","15","2","0","60","1","0","","0","0","1","0","0","0","21","7"
"2020-03-28","1","0","1","2","3","-1","0","1","0","1","0","0","0","0","0","0","0","0","64","3","1","2","0","1","0","0","0","0","0","0","1","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","2","0","1","0","0","0","1","2","0","1","0","7","","1","0","0","0","4","0","0","1","7","0","0","0","52","0","0","0","24","1","1","-11","0","1","","0","0","4","0","1","0","4","0"
"2020-03-29","1","0","0","0","0","3","0","-1","1","0","1","0","0","0","0","1","0","3","18","0","0","0","0","6","0","3","1","0","0","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","2","5","0","0","0","0","0","2","1","0","1","0","0","0","1","0","0","2","0","0","1","2","","0","0","0","0","0","0","1","2","2","0","0","0","87","0","0","2","11","4","0","29","0","0","","0","0","0","0","0","0","6","7"
"2020-03-30","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","49","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","86","0","0","7","0","0","","0","0","0","0","0","0","0","0"
"2020-03-31","4","1","1","0","16","2","0","0","0","0","2","1","0","","0","0","","2","98","1","-1","6","0","2","1","-1","3","2","","3","2","0","15","","0","0","2","0","","0","","-1","2","","1","0","9","","","2","0","0","0","1","2","0","1","7","0","0","0","2","6","","0","0","40","","0","0","","","7","1","0","3","20","0","1","2","32","1","","5","5","6","3","110","0","0","","","1","0","1","0","0","30","12"
