"date","Rajasthan/Ajmer","Rajasthan/Alwar","Rajasthan/BSF Camp","Rajasthan/Banswara","Rajasthan/Baran","Rajasthan/Barmer","Rajasthan/Bharatpur","Rajasthan/Bhilwara","Rajasthan/Bikaner","Rajasthan/Bundi","Rajasthan/Chittorgarh","Rajasthan/Churu","Rajasthan/Dausa","Rajasthan/Dholpur","Rajasthan/Dungarpur","Rajasthan/Evacuees","Rajasthan/Ganganagar","Rajasthan/Hanumangarh","Rajasthan/Jaipur","Rajasthan/Jaisalmer","Rajasthan/Jalore","Rajasthan/Jhalawar","Rajasthan/Jhunjhunu","Rajasthan/Jodhpur","Rajasthan/Karauli","Rajasthan/Kota","Rajasthan/Nagaur","Rajasthan/Other State","Rajasthan/Other state","Rajasthan/Pali","Rajasthan/Pratapgarh","Rajasthan/Rajsamand","Rajasthan/Sawai Madhopur","Rajasthan/Sikar","Rajasthan/Sirohi","Rajasthan/Tonk","Rajasthan/Udaipur"
"2020-04-23"," ##.## %","","","","",""," 47.61 %","","","","","","","","","","",""," 27.40 %","","","","   .00 %"," 15.82 %",""," 70.38 %"," 98.65 %","","","","","","","","","",""
"2020-04-24","","","","","",""," 12.46 %","","","","","","","","","","",""," 62.60 %","",""," 40.00 %","","-15.88 %",""," ##.## %","","","","","","","","","","",""
"2020-04-25"," ##.## %","","","","",""," 15.94 %","","","","","","","","","","","","  8.43 %","",""," 55.00 %"," 10.00 %","  4.12 %",""," 51.93 %","","","","","","","","","","",""
"2020-04-26"," ##.## %","","","-24.73 %","",""," 17.84 %","","","","","","","","","",""," 48.00 %","  2.30 %","",""," 19.00 %",""," 70.12 %",""," 82.21 %"," 89.11 %","","","","","","","","","",""
"2020-04-27","  4.99 %","","","","","","","-52.00 %","","","","","","","","","",""," 12.82 %"," 10.00 %",""," ##.## %",""," 62.16 %",""," 37.77 %"," 89.89 %","","","-40.00 %","","","","",""," ##.## %",""
"2020-04-28"," ##.## %","","","","","","","","","","","","","","","","",""," 29.21 %","","","",""," 65.79 %",""," 79.67 %"," 29.89 %","","","","","","","",""," ##.## %"," 26.67 %"
"2020-04-29"," ##.## %","","","","","","","-52.00 %","","","","",""," 30.00 %","","","",""," -1.87 %","","","",""," 70.98 %",""," 27.17 %"," 41.89 %","",""," ##.## %","","","","","",""," 26.67 %"
"2020-04-30"," ##.## %","","","","","","","","","","","",""," 20.00 %","","","",""," 13.44 %","","","",""," ##.## %",""," 55.96 %","","","","","","","","",""," ##.## %",""
"2020-05-01"," ##.## %","","","","","","","","",""," ##.## %","","","","","","","","  6.93 %","","","",""," ##.## %",""," 47.96 %","","","","","","","","","","",""
"2020-05-02"," ##.## %","","","","","","","","",""," ##.## %","","","-20.00 %","","","","","  8.94 %","","","",""," ##.## %",""," 40.98 %","","",""," ##.## %","","","","","","","-13.33 %"
"2020-05-03","  4.55 %","","","","","","","","",""," ##.## %","","","","   .00 %","","","","  7.54 %","","","",""," ##.## %","","-14.26 %","","","","","","","","","",""," 80.00 %"
"2020-05-04"," 11.21 %","","","","","","","","",""," ##.## %","","","-20.00 %","","","","","  8.74 %","","","",""," ##.## %",""," 13.24 %","","",""," ##.## %","","","","","",""," 64.00 %"
"2020-05-05"," 28.94 %","","","","","","","-52.00 %","",""," ##.## %","","","","","","","","  2.34 %","","","",""," 25.64 %",""," 39.90 %","","","","","","","","","","",""
"2020-05-06"," -6.06 %","","","","","","","","",""," ##.## %","","","-46.67 %"," 20.00 %","","",""," 20.59 %","","","","   .00 %"," 42.82 %","","","","",""," ##.## %",""," 10.00 %","","","","",""
"2020-05-07","  6.67 %","","","","","","","","",""," ##.## %","","","-16.67 %","","","",""," -1.07 %","","","",""," 20.53 %","","","","",""," ##.## %",""," 10.00 %","","","","",""
"2020-05-08"," 27.67 %"," 33.33 %","","","","","","  8.00 %","",""," ##.## %","","","","","","",""," 11.91 %","",""," 33.33 %",""," 17.53 %","   .00 %","","","",""," ##.## %",""," ##.## %","","","","",""
"2020-05-09"," 34.33 %","","","","","","","","",""," ##.## %","","","","","","",""," 23.79 %","","","","","-23.95 %","","","","",""," ##.## %",""," 76.67 %","","","","",""
"2020-05-10"," 21.33 %","","","","","","","","","","","","",""," 20.00 %","","",""," 15.57 %","","","","","-13.17 %","","","   .00 %","","","-29.33 %",""," 76.67 %","","","","",""
"2020-05-11"," 28.00 %"," ##.## %","","",""," 40.00 %","","","","","","","","","   .00 %","","","","  5.52 %",""," ##.## %","","","-13.92 %"," 20.00 %"," ##.## %"," 40.00 %","","","  4.67 %",""," ##.## %","",""," ##.## %",""," ##.## %"
"2020-05-12"," 13.00 %","","","","","","","","","","",""," 30.00 %","","","","",""," 20.03 %","","","","   .00 %"," 12.54 %",""," ##.## %"," 33.33 %","",""," -8.00 %",""," ##.## %",""," 20.00 %","",""," ##.## %"
"2020-05-13",""," ##.## %","","   .00 %",""," 26.67 %","","","","",""," 76.67 %"," 16.67 %",""," 30.00 %","","",""," 23.54 %","","","","-15.00 %"," 12.94 %",""," ##.## %"," 20.00 %","",""," ##.## %",""," ##.## %",""," 10.00 %"," ##.## %",""," -1.34 %"
"2020-05-14",""," 65.15 %","","",""," ##.## %","","","","",""," 83.33 %","",""," 20.00 %","","","","   .09 %","","",""," 65.00 %"," 78.50 %"," 10.00 %"," ##.## %"," ##.## %","",""," ##.## %",""," ##.## %",""," ##.## %"," ##.## %",""," 26.28 %"
"2020-05-15","","","","",""," ##.## %","","","","",""," 73.33 %"," 76.67 %","","   .00 %","","",""," 14.07 %"," 96.67 %","",""," 49.00 %"," 75.72 %"," 10.00 %"," ##.## %"," ##.## %","",""," ##.## %",""," ##.## %",""," ##.## %","",""," 14.16 %"
"2020-05-16","","","","",""," ##.## %","","","   .00 %","","","","",""," ##.## %","","",""," ##.## %","","",""," 49.00 %"," 56.60 %",""," ##.## %"," ##.## %","",""," ##.## %","","",""," ##.## %"," ##.## %","","-13.77 %"
