"date","New Mexico/Bernalillo","New Mexico/Catron","New Mexico/Chaves","New Mexico/Cibola","New Mexico/Colfax","New Mexico/Curry","New Mexico/De Baca","New Mexico/Dona Ana","New Mexico/Doña Ana","New Mexico/Eddy","New Mexico/Grant","New Mexico/Guadalupe","New Mexico/Harding","New Mexico/Hidalgo","New Mexico/Lea","New Mexico/Lincoln","New Mexico/Los Alamos","New Mexico/Luna","New Mexico/McKinley","New Mexico/Mora","New Mexico/Otero","New Mexico/Quay","New Mexico/Rio Arriba","New Mexico/Roosevelt","New Mexico/San Juan","New Mexico/San Miguel","New Mexico/Sandoval","New Mexico/Santa Fe","New Mexico/Sierra","New Mexico/Socorro","New Mexico/Taos","New Mexico/Torrance","New Mexico/Unassigned","New Mexico/Union","New Mexico/Valencia"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","6","0","4","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","4","0","0","0","0","","0","0"
"2020-03-24","5","0","0","1","0","1","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","2","0","0","0","0","","0","0"
"2020-03-25","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","3","0","0","0","0","","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-27","7","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","2","5","0","0","0","0","","0","0"
"2020-03-28","38","0","3","1","0","0","0","1","0","2","0","0","0","0","1","0","0","0","2","0","0","0","1","1","4","0","5","7","0","0","5","0","","0","1"
"2020-03-29","8","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","4","0","0","0","-1","0","4","0","3","5","0","0","1","0","","0","1"
"2020-03-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-31","28","","2","0","","0","","1","","0","","","","","0","","","","7","","","","2","0","10","0","11","8","","1","2","3","","","3"
"2020-04-01","0","","0","0","","0","","0","","0","","","","","0","","","","9","","1","","0","0","15","0","0","0","","0","0","0","","","0"
"2020-04-02","19","","0","3","","2","","3","","0","1","","","","0","","","","4","","0","","0","0","5","0","3","6","","0","1","0","","","0"
"2020-04-03","54","","3","6","","1","","2","","0","0","","","","0","","","","17","","0","","1","0","20","0","34","0","","5","1","0","2","","0"
"2020-04-04","0","1","0","0","","0","","-1","","0","0","","","","0","","","","0","","1","","0","0","0","0","0","4","","-4","0","0","-1","","0"
"2020-04-05","44","0","0","7","","0","","7","","0","0","","","","0","1","2","","9","","1","","1","0","12","0","37","10","","2","0","3","-2","","2"
"2020-04-06","16","0","1","3","","0","","1","","0","2","","","","0","0","0","","6","","0","","0","0","44","0","11","2","","1","0","0","0","","0"
"2020-04-07","45","0","1","2","","2","","5","","0","1","","","","0","0","0","","17","","0","","0","0","28","0","14","2","","0","1","1","0","","0"
"2020-04-08","0","0","0","0","","0","","0","","0","0","","","","0","0","0","","9","","0","","0","0","17","0","0","0","","0","0","0","0","","0"
