"date","Jharkhand/Bokaro","Jharkhand/Chatra","Jharkhand/Deoghar","Jharkhand/Dhanbad","Jharkhand/Dumka","Jharkhand/East Singhbhum","Jharkhand/Garhwa","Jharkhand/Giridih","Jharkhand/Godda","Jharkhand/Gumla","Jharkhand/Hazaribagh","Jharkhand/Jamtara","Jharkhand/Khunti","Jharkhand/Koderma","Jharkhand/Latehar","Jharkhand/Lohardaga","Jharkhand/Pakur","Jharkhand/Palamu","Jharkhand/Ramgarh","Jharkhand/Ranchi","Jharkhand/Sahibganj","Jharkhand/Saraikela-Kharsawan","Jharkhand/Simdega","Jharkhand/West Singhbhum"
"2020-05-29"," 29.41 %","   .00 %",""," 54.55 %",""," 85.71 %","  3.64 %","  6.25 %",""," 53.85 %"," 22.64 %",""," ##.## %"," 32.26 %","   .00 %"," 50.00 %","",""," ##.## %","  -.78 %","","","",""
"2020-05-30","","",""," 76.47 %",""," 84.62 %","  3.51 %","","","  5.00 %","  6.15 %",""," 66.67 %","   .00 %","","   .00 %"," 25.00 %","  5.88 %","","   .00 %","   .00 %",""," 40.00 %","   .00 %"
"2020-05-31","","",""," 76.67 %",""," 10.42 %","","","","","  4.35 %","","","",""," 33.33 %","","","  4.17 %","   .78 %"," ##.## %","","",""
"2020-06-01","","","","   .00 %","","  9.43 %","  3.39 %","   .00 %","","  4.76 %","  4.17 %","","","  9.76 %","   .00 %"," 50.00 %","","   .00 %","","  1.55 %","",""," 14.29 %",""
"2020-06-02","  4.55 %","",""," 15.09 %","","  2.59 %","  1.64 %","  5.88 %","","","  6.67 %","","","","","","","  5.56 %"," 80.00 %","  4.58 %",""," 25.00 %","",""
"2020-06-03","  4.35 %","",""," 14.75 %"," ##.## %","  3.36 %",""," 16.67 %","","  4.55 %","  3.75 %","","","  2.22 %"," 30.00 %","",""," 31.58 %","  8.89 %","   .73 %",""," ##.## %"," 50.00 %","  6.67 %"
"2020-06-04","","","","","","   .81 %"," 16.13 %","",""," 13.04 %","  4.82 %",""," 60.00 %"," 28.26 %","  7.69 %","","   .00 %","  4.00 %","   .00 %","   .72 %","",""," 37.50 %","   .00 %"
"2020-06-05","  4.17 %","","","  1.43 %",""," 21.77 %","  8.33 %","","","  3.85 %"," 27.59 %","","   .00 %","  1.69 %"," 42.86 %","","   .00 %","  3.85 %"," 14.29 %","   .72 %",""," 35.71 %"," 93.94 %","   .00 %"
"2020-06-06","   .00 %","","","   .00 %","   .00 %"," 13.25 %","   .00 %","   .00 %",""," 37.04 %","  4.50 %",""," 12.50 %","   .00 %"," 15.00 %"," 16.67 %","   .00 %","  7.41 %"," 37.50 %","  2.14 %","","  5.26 %"," 53.12 %"," 31.25 %"
"2020-06-07","  4.00 %","","","  9.86 %","","  4.68 %","  3.85 %","",""," 10.81 %","  2.59 %"," ##.## %"," 11.11 %","  3.33 %"," 13.04 %"," ##.## %","","","  7.79 %","  1.40 %",""," 10.00 %"," 13.27 %","  4.76 %"
"2020-06-08",""," ##.## %"," ##.## %"," 46.15 %","","  1.12 %","  6.17 %"," 57.14 %",""," 36.59 %","  3.36 %"," ##.## %"," 30.00 %",""," 23.08 %"," 16.67 %"," ##.## %","   .00 %","  2.41 %","   .00 %","","   .00 %"," 41.44 %","  4.55 %"
"2020-06-09","   .00 %"," 33.33 %","","","","  6.08 %","  2.33 %","",""," 23.21 %","   .00 %","","  7.69 %"," 25.81 %"," 40.62 %"," 47.62 %","   .00 %","  6.90 %"," 11.76 %","  4.14 %","   .00 %"," 13.64 %"," 13.38 %"," 52.17 %"
"2020-06-10","  7.69 %"," 20.83 %","","",""," 11.46 %",""," 57.58 %","","   .00 %","  5.69 %",""," 14.29 %"," 15.38 %","   .00 %"," 16.13 %"," 70.59 %"," 22.58 %","  2.11 %","",""," 28.00 %"," 17.42 %","  5.71 %"
"2020-06-11","  3.57 %","","","","","  2.34 %","   .00 %","   .00 %","","","  1.54 %","","   .00 %","  3.33 %"," 11.11 %","  2.78 %","","   .00 %","","  5.96 %",""," 62.50 %","   .96 %",""
"2020-06-12","   .00 %"," 10.34 %","   .00 %","","","  4.57 %","","",""," 27.54 %","","","","","  4.00 %","",""," 18.42 %","  5.15 %","  1.88 %","   .00 %","-36.54 %","  9.95 %"," 16.22 %"
"2020-06-13","","  9.38 %","","   .00 %","","   .44 %","  2.27 %","  1.92 %","","","   .00 %","",""," 37.63 %","   .00 %","","","","  5.88 %","   .61 %","","  9.09 %","   .00 %","  6.98 %"
"2020-06-14","   .00 %","  2.86 %","","   .00 %","","  4.35 %","","   .00 %","","  1.14 %","   .76 %","","","","","   .00 %","","","","  5.49 %","","   .00 %","  6.03 %","  2.17 %"
"2020-06-15",""," 13.89 %","","","","  7.50 %","","   .00 %","","   .00 %","   .75 %",""," 37.50 %","","","  8.11 %","   .00 %","   .00 %","   .00 %","  3.47 %","","","   .00 %"," 12.77 %"
"2020-06-16","   .00 %","","","   .00 %","","  5.43 %","  1.11 %","","","  1.12 %","","","   .00 %","   .00 %","   .00 %","  2.50 %","","","  1.85 %","  1.68 %","","   .00 %","  9.76 %","   .00 %"
"2020-06-17","","   .00 %","","   .00 %","","  2.21 %","","","","  1.11 %"," 14.18 %","",""," 18.75 %","","  7.32 %","","","  1.82 %","  1.10 %","","   .00 %","   .00 %",""
"2020-06-18","","   .00 %","","   .00 %","","   .36 %","  4.40 %","   .00 %","","  2.20 %","   .65 %","   .00 %","","","  3.85 %","  2.27 %","","","   .89 %","  1.09 %","","   .00 %","  3.33 %",""
"2020-06-19","   .00 %","   .00 %","","   .00 %","","  1.08 %","   .00 %","   .00 %","","   .00 %","  5.19 %","   .00 %","","   .00 %","   .00 %","  6.67 %","  3.45 %","","   .00 %","  3.23 %","","   .00 %","  7.53 %","   .00 %"
"2020-06-20","","   .00 %","","","","  9.57 %","  2.11 %","  7.55 %","","  1.08 %","   .62 %","   .00 %","   .00 %","  3.29 %","   .00 %","","","","  1.77 %","  1.04 %","","","  5.67 %","  3.77 %"
"2020-06-21"," 24.14 %",""," ##.## %","  4.39 %","","  5.18 %","   .00 %"," 10.53 %"," ##.## %","  7.45 %","  2.45 %","","  4.55 %","  1.27 %","","  2.08 %","","","  1.74 %","  1.55 %","","","","  3.64 %"
"2020-06-22","","  4.88 %"," 52.38 %","   .84 %"," ##.## %","   .00 %",""," 11.11 %","","   .00 %","  1.80 %","","   .00 %","   .00 %","","  2.04 %","","  2.22 %","","  1.52 %","","   .00 %","  2.21 %",""
"2020-06-23","","   .00 %","","  1.67 %","","  1.54 %","","  2.86 %","","  3.96 %","","","","  4.40 %","","  4.00 %","","  6.52 %","  2.56 %","   .00 %"," 33.33 %","   .00 %","  7.41 %","   .00 %"
"2020-06-24","","","  3.12 %","  4.10 %","-60.00 %","  4.85 %","","","","   .00 %","  2.35 %","","  8.70 %","","   .00 %","  1.92 %","","  2.04 %","","   .50 %","","","   .29 %",""
"2020-06-25","  2.78 %",""," 12.12 %","","","  2.31 %","   .00 %"," 11.11 %","","  4.76 %","  2.87 %",""," 12.00 %","  3.01 %","","","","  2.00 %","","  1.00 %","","   .00 %","   .57 %",""
"2020-06-26","  2.70 %","  4.65 %","  8.11 %","  2.36 %"," 75.00 %","   .56 %","","  7.50 %"," 12.50 %","","  3.91 %","","","   .58 %","","   .00 %","  3.33 %","   .00 %","","   .00 %","","  2.78 %","",""
"2020-06-27"," 13.16 %","  4.44 %","  2.50 %","   .77 %","","  2.81 %","","  1.16 %","","  4.55 %","  1.61 %","","","   .58 %","","","","","   .00 %","  1.48 %"," 50.00 %"," 29.73 %","",""
"2020-06-28","  4.65 %","   .00 %","","","","   .82 %","  4.12 %","  4.60 %","   .00 %","  1.74 %","  1.06 %","","","  1.16 %","","  3.77 %","","","   .00 %","   .00 %"," 16.67 %","  6.25 %","  -.28 %","  1.75 %"
"2020-06-29","","   .00 %","  2.44 %"," 16.79 %","","  3.25 %","  1.98 %","   .00 %","","   .00 %","   .52 %","   .00 %","   .00 %","   .57 %","   .00 %","  3.64 %","","   .00 %","","  6.80 %"," 28.57 %","  3.92 %","   .86 %","   .00 %"
"2020-06-30","  2.22 %","","  4.76 %","  9.15 %"," 14.29 %","  2.89 %","","  1.10 %","","","","","   .00 %","  1.14 %","","","","  3.92 %","   .83 %","   .45 %"," 33.33 %"," 47.17 %","   .00 %",""
"2020-07-01","  2.17 %","","   .00 %","  3.59 %"," 12.50 %","  2.04 %","  3.88 %",""," 11.11 %","   .85 %","  2.60 %","   .00 %","  3.57 %","","   .00 %","  1.75 %","  6.45 %","   .00 %","   .00 %","   .90 %"," 16.67 %","","   .00 %",""
"2020-07-02",""," 14.89 %","  2.27 %","  1.73 %","","  2.25 %","   .93 %","  7.61 %"," 10.00 %","","  1.52 %","","  6.90 %","  4.49 %","  5.56 %","  1.72 %",""," 15.09 %","   .83 %","  1.35 %"," 14.29 %","","","   .00 %"
"2020-07-03","  2.13 %","   .00 %","  4.44 %","  1.70 %"," 44.44 %"," 13.94 %","  2.78 %","  3.03 %","","  6.78 %","  1.00 %","","","  1.08 %","","","","",""," 11.95 %","","   .00 %","   .00 %",""
"2020-07-04","  4.17 %","   .00 %","  4.26 %","  2.23 %","","  3.00 %","","   .98 %",""," -5.56 %","","","   .00 %","  3.19 %","  3.51 %","  1.69 %","  3.03 %","  8.20 %","","  2.37 %","   .00 %","  2.56 %","","  5.17 %"
"2020-07-05","  2.00 %","","  2.04 %","  3.28 %","","  5.21 %","","   .97 %","","","","","  3.23 %","  3.09 %",""," 16.67 %","  2.94 %","  3.03 %","","  2.70 %","  6.25 %","  5.00 %","   .57 %",""
"2020-07-06","","  5.56 %","   .00 %","   .53 %","","  2.38 %","","   .00 %","","   .00 %","  2.48 %","","","  2.00 %","  1.69 %","  2.86 %","   .00 %","  1.47 %","","  4.14 %","","  4.76 %","","  4.92 %"
"2020-07-07","  1.96 %","   .00 %","  8.00 %"," 15.26 %",""," 10.83 %","   .90 %","   .00 %","","   .00 %","  2.90 %","","","  3.43 %","  1.67 %","  4.17 %","   .00 %","  2.90 %"," 22.95 %","  7.22 %","","   .00 %","   .28 %","  7.81 %"
"2020-07-08","  5.77 %","  1.75 %","  1.85 %"," 13.24 %"," 23.08 %","  3.32 %","   .89 %","","","   .84 %","   .00 %","","  3.12 %","  8.06 %","",""," 20.00 %","","   .00 %","  2.69 %"," 58.82 %","  9.09 %","   .84 %","  5.80 %"
"2020-07-09","  1.82 %","  1.72 %","  9.09 %","  6.85 %","   .00 %","  4.73 %","","   .96 %"," 72.73 %","  1.67 %","  2.35 %","  3.57 %","","  5.70 %"," 18.03 %","  8.00 %"," 26.19 %","  1.41 %","   .00 %","  4.59 %"," 14.81 %","   .00 %","  1.39 %",""
"2020-07-10"," 44.64 %"," 45.76 %","","  3.02 %","  6.25 %","  4.19 %","  7.96 %","  7.62 %","  5.26 %",""," 11.47 %","","","  3.32 %","  2.78 %"," 17.28 %"," 32.08 %"," 12.50 %","  5.33 %"," 10.66 %"," 16.13 %","  4.17 %",""," 26.03 %"
"2020-07-11","  7.41 %"," 13.95 %","  3.33 %","  1.83 %","  5.88 %","  2.01 %"," 17.21 %","  5.31 %","  5.00 %","  6.56 %","   .82 %","  6.90 %","   .00 %","  5.22 %","  4.05 %","  5.26 %","  4.29 %","  8.64 %","  6.33 %","  4.25 %"," 11.11 %","  4.00 %","   .27 %","  1.09 %"
"2020-07-12","   .00 %"," 20.41 %","  4.84 %","  1.80 %","","  1.06 %","  1.40 %","  1.68 %","   .00 %","","  4.49 %","","  3.03 %","  5.34 %","  7.79 %","   .00 %","","  4.55 %","  1.79 %","  4.89 %","  2.50 %","","",""
"2020-07-13","  1.15 %","  1.69 %"," 30.77 %","  3.89 %","","  1.50 %","  3.45 %","  4.96 %","  9.52 %","   .00 %"," 15.23 %","  6.45 %","  2.94 %","  2.17 %","  2.41 %","  4.00 %"," 27.40 %","  2.17 %"," 11.70 %"," 10.88 %","  4.88 %","   .00 %","   .82 %","  3.23 %"
"2020-07-14","  5.68 %","  8.33 %","  3.53 %","  4.08 %"," 22.22 %","  3.55 %","  3.33 %"," 16.54 %"," 26.09 %","","  1.69 %","  6.06 %","  2.86 %","  9.22 %"," 38.82 %","  4.81 %"," 11.83 %","  4.26 %","  3.66 %"," 15.19 %"," 13.95 %","  2.88 %","   .54 %","  2.08 %"
"2020-07-15","","  3.85 %","  1.14 %","  4.58 %"," 27.27 %","  3.14 %"," 17.42 %"," 15.54 %","  6.90 %","  1.54 %"," 20.33 %","  2.86 %","  2.78 %","   .00 %"," 19.49 %"," 13.76 %","","  7.14 %"," 15.15 %"," 14.40 %"," 22.45 %","  3.74 %","   .27 %"," 10.20 %"
"2020-07-16","","  7.41 %","   .00 %","  5.00 %","  7.14 %","  2.08 %"," 17.58 %","  4.09 %","  9.68 %","  3.79 %","  7.20 %","  8.33 %","  2.70 %","  8.77 %","","  4.03 %","  4.81 %","  8.57 %","   .00 %","  7.27 %","","   .00 %","  2.70 %","  3.70 %"
"2020-07-17"," 16.13 %"," 39.31 %","  1.12 %","  1.79 %"," 13.33 %","  3.12 %"," 10.75 %","  5.62 %","   .00 %","  2.92 %","   .52 %","  2.56 %"," 10.53 %","   .30 %"," 29.79 %","  3.10 %","  2.75 %","   .00 %","  2.19 %","  9.92 %"," 36.67 %","  5.41 %","  1.05 %"," 14.29 %"
"2020-07-18","  8.33 %","  8.42 %"," 20.00 %","  4.09 %","  8.82 %","  7.37 %","  2.11 %"," 12.23 %","  5.88 %","  6.38 %","   .77 %","  5.00 %","  2.38 %","  3.57 %"," 13.11 %","  1.50 %","  2.68 %","  1.75 %","  3.86 %","  9.17 %","  9.76 %","   .85 %","   .52 %","  2.34 %"
"2020-07-19","  2.56 %","   .00 %","  3.70 %","  2.81 %","  5.41 %","  4.78 %","  1.24 %","  1.90 %","  2.78 %","  4.00 %","  6.63 %","","  2.33 %","  1.44 %",""," 18.52 %","   .00 %","   .00 %","   .41 %","  4.41 %","  5.56 %","","","   .00 %"
"2020-07-20","  3.33 %","","   .89 %","  9.56 %","","  4.56 %"," 14.29 %","  4.19 %","","  3.21 %","   .96 %","","","   .28 %","","   .62 %","  7.83 %","  2.59 %","  1.65 %","  9.37 %","  1.05 %","  2.54 %","","   .00 %"
"2020-07-21","  1.61 %","  4.57 %","  6.19 %","  3.99 %","  2.56 %","  6.15 %","  1.43 %","  4.46 %"," 94.59 %","  3.11 %","  2.37 %","","  4.55 %","  1.41 %","  9.18 %","  4.97 %"," 52.42 %","  5.88 %","  4.05 %"," 12.79 %"," 17.71 %","  9.92 %","   .26 %","  8.40 %"
"2020-07-22","  8.73 %","   .87 %"," 21.67 %","  2.16 %","  5.00 %","  8.32 %"," 15.14 %","  7.69 %"," 22.22 %"," 17.47 %","  3.24 %","  7.14 %","   .00 %","   .84 %","","  4.14 %",""," 51.59 %","  4.67 %"," 13.37 %"," 15.04 %","   .75 %","","  3.52 %"
"2020-07-23","  7.30 %","  2.60 %","   .68 %","  5.63 %","","  9.73 %","   .00 %","  2.38 %","  2.27 %","  2.05 %","  2.69 %","  8.89 %","   .00 %","  8.84 %","","  5.68 %","  2.12 %"," 11.52 %","  9.67 %"," 18.68 %","  1.54 %","  7.46 %","","  6.12 %"
"2020-07-24","  1.36 %","   .42 %","","  3.56 %","  9.52 %","  6.91 %"," 17.43 %","  2.33 %","  3.33 %","  1.01 %","  6.55 %","","","  4.31 %","","  5.38 %","  3.11 %","  1.41 %","  8.47 %","  6.68 %"," 12.12 %","  6.25 %","  3.09 %"," 12.18 %"
"2020-07-25","   .00 %","   .00 %","   .68 %","   .64 %","   .00 %","  5.64 %","  1.04 %","  1.52 %","","","  1.02 %","","","   .00 %","   .00 %","",""," 12.04 %","  1.88 %","  9.46 %",""," 17.65 %","   .25 %","  2.86 %"
"2020-07-26","  1.34 %"," 11.76 %","   .68 %","   .85 %"," 26.09 %","  4.71 %","  4.38 %","  5.22 %","  9.68 %"," 18.91 %","  6.69 %"," 10.20 %","  8.70 %"," 14.11 %","  1.33 %"," 14.80 %","  2.01 %","  3.72 %","  1.84 %","  6.54 %"," 10.81 %"," 11.11 %","  1.50 %"," 18.89 %"
"2020-07-27","  3.31 %","  1.13 %","  5.37 %","  4.44 %","   .00 %","  9.00 %","  3.21 %","  6.74 %","  6.86 %"," 19.25 %","  1.71 %"," 16.67 %"," 34.00 %","  1.49 %","  1.31 %","  1.33 %","","   .40 %","  4.82 %","  6.65 %","  1.22 %","  3.50 %","  3.93 %","  8.41 %"
"2020-07-28","  1.92 %","  4.46 %","","  1.01 %","  1.72 %","  4.81 %","  2.87 %"," 27.24 %","  1.83 %","  3.16 %"," 12.15 %","  6.35 %","  7.46 %","  8.82 %","","  2.63 %","  8.37 %"," 48.02 %","   .86 %"," 14.44 %","   .00 %","  2.42 %"," 11.11 %","  3.45 %"
"2020-07-29","   .00 %"," 11.39 %"," 19.11 %","  2.00 %"," 10.17 %","  7.28 %","  1.63 %","   .78 %","","  2.38 %","   .33 %","  2.99 %","  5.56 %","   .00 %","  1.29 %","  4.27 %","  4.55 %","  9.12 %","  3.99 %","  1.41 %","","   .47 %","","  7.50 %"
"2020-07-30"," 50.94 %","","  3.21 %","   .79 %","  7.69 %","  7.52 %","   .92 %"," 10.88 %","  2.70 %","  1.33 %","  1.00 %","  2.90 %","  3.95 %","  1.16 %","  1.28 %","  1.23 %","   .43 %","  2.46 %","  2.47 %","  5.21 %","  4.22 %","  2.35 %","  5.53 %"," 19.77 %"
"2020-07-31"," 12.08 %"," 14.70 %"," 67.88 %","  2.92 %"," 58.57 %","  9.04 %","   .68 %"," 35.98 %"," 17.54 %"," 11.80 %","  1.15 %"," 19.72 %","  3.80 %","  8.21 %"," 12.61 %","  1.21 %","  3.03 %","  1.92 %","  5.08 %","  4.07 %","  3.47 %","  6.88 %","  4.64 %","  6.47 %"
"2020-08-01","  1.86 %","   .84 %"," 49.69 %"," 14.39 %"," 16.22 %","  3.39 %","  6.31 %","  4.81 %"," 11.19 %","  5.28 %","  5.20 %"," 17.65 %"," 39.02 %","  6.00 %","","","   .42 %","   .24 %","  9.67 %","  6.55 %"," 14.53 %"," 14.16 %","   .00 %","  6.69 %"
"2020-08-02","  3.28 %","","   .21 %","  1.32 %","   .00 %","  6.16 %","   .42 %","  3.28 %","   .00 %","","  1.70 %","   .00 %","","  9.32 %","  5.97 %","   .80 %","  1.67 %","   .70 %","  1.86 %","  5.49 %","  2.93 %","  9.77 %","  5.97 %","  1.71 %"
"2020-08-03","  2.83 %","  4.70 %","  4.73 %"," 12.42 %","  3.10 %","  5.13 %","  4.43 %","   .00 %"," 10.07 %","  6.41 %"," 14.13 %"," 41.00 %"," 80.70 %","   .00 %"," 10.92 %","  6.75 %","  5.35 %"," 24.01 %"," 12.30 %","  5.45 %"," 16.11 %","  4.45 %","   .00 %","  7.00 %"
"2020-08-04","  2.75 %","   .26 %","","  7.70 %"," 16.54 %","  9.40 %","  2.83 %","   .48 %"," 26.83 %","   .26 %","  1.33 %",""," 13.59 %","  2.59 %","  6.35 %","  1.49 %","  9.77 %","   .00 %","   .00 %","  2.70 %","","  3.93 %","  1.27 %","  6.54 %"
"2020-08-05"," 23.75 %","  1.05 %","  6.88 %","   .81 %"," 16.77 %","  2.98 %","  3.14 %","  1.11 %"," ##.## %","  3.13 %","  3.55 %","  2.84 %"," 11.54 %","   .89 %","  4.18 %","   .73 %"," 11.74 %","  9.59 %","   .00 %","  5.46 %"," 10.20 %","  2.84 %","  3.05 %","  8.35 %"
"2020-08-06","  3.24 %","   .00 %","  6.43 %"," 10.44 %","   .00 %","  3.81 %","  1.71 %","","  2.56 %","  1.27 %","  2.54 %","  2.07 %"," 11.88 %","   .29 %"," 10.03 %","  2.55 %","","  5.15 %","  4.87 %","  9.81 %","  1.85 %","  8.59 %","  1.05 %","   .45 %"
"2020-08-07","  6.81 %","  5.99 %","  2.59 %"," 14.18 %","","  2.98 %","   .94 %"," 17.03 %","   .53 %","  1.00 %","  6.56 %","   .00 %","  3.42 %","   .73 %","   .52 %","  4.26 %","   .00 %","   .65 %","  5.03 %","  5.35 %","  6.91 %","  4.52 %","  1.38 %","  7.22 %"
"2020-08-08","  2.94 %","  9.09 %","  2.19 %","  5.63 %","  2.76 %","  3.15 %","   .56 %"," 38.18 %","   .89 %","  3.96 %","   .35 %","  2.70 %","  9.93 %","  1.16 %","  4.15 %","   .00 %","  1.27 %","   .49 %","  3.31 %","  9.78 %","  6.12 %","  8.11 %","  2.38 %","  3.37 %"
"2020-08-09","  6.90 %","   .23 %","  2.31 %","  2.71 %","   .54 %","  3.38 %"," 15.68 %","   .19 %","  1.41 %","  2.86 %","  3.12 %","  1.97 %","  3.61 %","  1.15 %","  4.48 %","","  1.89 %"," 10.16 %","  1.60 %","  5.06 %","  4.49 %","  2.75 %","  4.15 %","  9.16 %"
"2020-08-10","  6.46 %","   .90 %","  4.67 %","  3.62 %","  4.28 %","  5.03 %","  6.22 %","   .96 %","   .52 %","  4.17 %","  1.57 %","  1.29 %","  2.03 %","  3.56 %","  6.43 %","  2.04 %","   .31 %","  8.78 %","  5.79 %","  1.71 %","  4.60 %","  4.14 %","  4.63 %","  2.24 %"
"2020-08-11","  2.09 %","   .45 %","  1.54 %","  9.25 %","  2.05 %","  5.36 %","  1.20 %","   .67 %","  1.38 %","  2.67 %","  1.33 %","","  1.99 %","  2.75 %","  1.57 %","","   .62 %"," 17.23 %","  3.32 %","  2.79 %","  3.23 %","  3.04 %","  1.52 %","  5.66 %"
