"date","Maine/Androscoggin","Maine/Aroostook","Maine/Cumberland","Maine/Franklin","Maine/Hancock","Maine/Kennebec","Maine/Knox","Maine/Lincoln","Maine/Out of ME","Maine/Oxford","Maine/Penobscot","Maine/Piscataquis","Maine/Sagadahoc","Maine/Somerset","Maine/Unassigned","Maine/Waldo","Maine/Washington","Maine/York"
"2020-04-16","  3.23 %"," 50.00 %","  1.18 %","   .00 %","   .00 %","  1.08 %","   .00 %","   .00 %","","   .00 %","  2.78 %","","   .00 %","  7.69 %","   .00 %"," 30.00 %","   .00 %","  5.13 %"
"2020-04-17","   .00 %","-33.33 %","  4.96 %"," 11.11 %"," 20.00 %","  1.06 %","   .00 %","   .00 %","","   .00 %","  8.11 %","","   .00 %","  7.14 %","-50.00 %","  7.69 %","   .00 %","  3.66 %"
"2020-04-18","  9.38 %","   .00 %","  2.50 %"," 10.00 %","   .00 %","  1.05 %","   .00 %","   .00 %","","   .00 %","  2.50 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.94 %"
"2020-04-19","   .00 %","   .00 %","  2.44 %","  9.09 %","   .00 %","  1.04 %","   .00 %","   .00 %","","  7.69 %","  4.88 %","   .00 %","  6.67 %","  6.67 %"," ##.## %","   .00 %","   .00 %","  1.14 %"
"2020-04-20","   .00 %","   .00 %","   .53 %","  8.33 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","  2.33 %","   .00 %","   .00 %","   .00 %","-50.00 %","  2.38 %","   .00 %","  2.26 %"
"2020-04-21","  2.86 %","   .00 %","  1.58 %","   .00 %","   .00 %","   .00 %","  8.33 %","   .00 %","","   .00 %","  4.55 %","   .00 %","  6.25 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.10 %"
"2020-04-22","   .00 %","   .00 %","  2.33 %","  7.69 %"," 16.67 %","  2.06 %","   .00 %","   .00 %","","   .00 %","  2.17 %","   .00 %","   .00 %","   .00 %"," ##.## %","  4.65 %","   .00 %","  1.09 %"
"2020-04-23","  2.78 %"," 50.00 %","  4.81 %","   .00 %"," 14.29 %","  1.01 %","   .00 %","   .00 %","","   .00 %","  4.26 %","   .00 %","   .00 %","   .00 %","-##.## %","  4.44 %","   .00 %","  2.70 %"
"2020-04-24","  2.70 %"," 33.33 %","  2.90 %"," 85.71 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","  2.04 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .53 %"
"2020-04-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-26"," 10.53 %","   .00 %","  6.57 %","  3.85 %"," 12.50 %","  1.00 %","  7.69 %","   .00 %","","  7.14 %","  6.00 %","   .00 %","  5.88 %","  6.25 %","   .00 %","  2.13 %","   .00 %","  2.62 %"
"2020-04-27","   .00 %","   .00 %","  1.10 %","   .00 %","   .00 %","   .99 %","   .00 %","   .00 %","","   .00 %","  3.77 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-28","   .00 %"," 25.00 %","  1.53 %","   .00 %"," 11.11 %","   .98 %","  7.14 %","   .00 %","","   .00 %","  3.64 %","   .00 %","   .00 %","  5.88 %","-50.00 %","   .00 %","   .00 %","  2.04 %"
"2020-04-29","  2.38 %","   .00 %","  1.29 %","   .00 %","   .00 %","   .97 %","  6.67 %","   .00 %","","   .00 %","  3.51 %","   .00 %","  5.56 %","   .00 %"," ##.## %","   .00 %","   .00 %","  1.50 %"
"2020-04-30"," 11.63 %","   .00 %","  2.97 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.33 %","","   .00 %"," 32.20 %","   .00 %","   .00 %"," -5.56 %","-50.00 %","   .00 %","   .00 %","   .99 %"
"2020-05-01","  8.33 %","   .00 %","  3.70 %","  3.70 %","   .00 %","   .00 %","   .00 %","  7.69 %","","   .00 %","  1.28 %","   .00 %","   .00 %","   .00 %","-##.## %","  2.08 %","   .00 %","  1.46 %"
