"date","New Hampshire/Belknap","New Hampshire/Carroll","New Hampshire/Cheshire","New Hampshire/Coos","New Hampshire/Grafton","New Hampshire/Hillsborough","New Hampshire/Merrimack","New Hampshire/Nashua","New Hampshire/Rockingham","New Hampshire/Strafford","New Hampshire/Sullivan","New Hampshire/Unassigned"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-03-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-24"," 75.00 %"," 16.67 %","   .00 %","   .00 %"," 33.33 %"," 18.75 %","   .00 %",""," 35.71 %"," 33.33 %","   .00 %",""
"2020-03-25","   .00 %","   .00 %","   .00 %","   .00 %","  5.00 %","  5.26 %","   .00 %",""," 10.53 %"," 25.00 %","   .00 %",""
"2020-03-26"," 14.29 %","   .00 %","   .00 %","   .00 %","  4.76 %"," 50.00 %"," 25.00 %",""," 33.33 %"," 40.00 %","   .00 %",""
"2020-03-27","   .00 %","   .00 %"," ##.## %","   .00 %","  4.55 %","  3.33 %"," 40.00 %",""," 19.64 %","   .00 %"," ##.## %","-82.61 %"
"2020-03-28"," 12.50 %"," 14.29 %","   .00 %","   .00 %"," 13.04 %"," 38.71 %"," 57.14 %",""," 11.94 %"," 57.14 %","   .00 %",""
"2020-03-29","   .00 %","   .00 %","   .00 %","   .00 %","  7.69 %"," 23.26 %"," 27.27 %",""," 14.67 %","  9.09 %","   .00 %",""
"2020-03-30","   .00 %"," 25.00 %"," 50.00 %","   .00 %","  3.57 %"," 30.19 %"," 28.57 %",""," 16.28 %"," 41.67 %"," 50.00 %"," ##.## %"
"2020-03-31"," 33.33 %"," 20.00 %"," 33.33 %",""," 17.24 %"," 43.48 %"," 50.00 %",""," 37.00 %"," 64.71 %"," 33.33 %","-##.## %"
"2020-04-01","   .00 %","   .00 %","   .00 %","","   .00 %"," 10.10 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-02","  8.33 %"," 16.67 %"," ##.## %",""," 11.76 %",""," 22.22 %",""," 24.09 %"," 25.00 %"," 25.00 %","   .00 %"
"2020-04-03","   .00 %","   .00 %","   .00 %","","   .00 %"," 49.54 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-04","  7.69 %"," 21.43 %"," 12.50 %","   .00 %","   .00 %"," 19.02 %","  9.09 %",""," 11.76 %","  2.86 %","   .00 %","   .00 %"
"2020-04-05"," 21.43 %","   .00 %"," 11.11 %","   .00 %","  7.89 %"," 19.07 %","  8.33 %",""," 12.11 %"," 19.44 %","   .00 %","   .00 %"
"2020-04-06","  5.88 %"," 11.76 %"," 30.00 %","   .00 %","   .00 %"," 17.75 %"," 33.33 %",""," 15.49 %","  6.98 %"," 20.00 %","-75.00 %"
