"date","Oregon/Baker","Oregon/Benton","Oregon/Clackamas","Oregon/Clatsop","Oregon/Columbia","Oregon/Coos","Oregon/Crook","Oregon/Curry","Oregon/Deschutes","Oregon/Douglas","Oregon/Gilliam","Oregon/Grant","Oregon/Harney","Oregon/Hood River","Oregon/Jackson","Oregon/Jefferson","Oregon/Josephine","Oregon/Klamath","Oregon/Lake","Oregon/Lane","Oregon/Lincoln","Oregon/Linn","Oregon/Malheur","Oregon/Marion","Oregon/Morrow","Oregon/Multnomah","Oregon/Polk","Oregon/Sherman","Oregon/Tillamook","Oregon/Umatilla","Oregon/Unassigned","Oregon/Union","Oregon/Wallowa","Oregon/Wasco","Oregon/Washington","Oregon/Wheeler","Oregon/Yamhill"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," 20.00 %"
"2020-03-31","","   .00 %"," 10.00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %"," 20.00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %",""," 30.00 %"
"2020-04-01","","   .00 %"," 10.00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %",""," 30.00 %"
"2020-04-02","","   .00 %"," 10.00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %"," 20.00 %","   .00 %","  6.67 %","   .00 %"," 10.00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  6.67 %",""," 30.00 %"
"2020-04-03","","   .00 %"," 10.00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %"," 20.00 %","   .00 %","  6.67 %","   .00 %"," 10.00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  6.67 %",""," 30.00 %"
"2020-04-04","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %"," 10.00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  6.67 %",""," 10.00 %"
"2020-04-05","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 11.67 %","   .00 %"," 36.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  6.67 %","","   .00 %"
"2020-04-06","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 11.67 %","   .00 %"," 26.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  6.67 %","","   .00 %"
"2020-04-07","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  9.00 %","   .00 %"," 26.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  5.00 %","","   .00 %"
"2020-04-08","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 19.00 %","   .00 %"," 26.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  9.00 %","","   .00 %"
