"date","Gujarat/Ahmedabad","Gujarat/Amreli","Gujarat/Anand","Gujarat/Aravalli","Gujarat/Banaskantha","Gujarat/Bharuch","Gujarat/Bhavnagar","Gujarat/Botad","Gujarat/Chhota Udaipur","Gujarat/Dahod","Gujarat/Dang","Gujarat/Devbhumi Dwarka","Gujarat/Gandhinagar","Gujarat/Gir Somnath","Gujarat/Jamnagar","Gujarat/Junagadh","Gujarat/Kheda","Gujarat/Kutch","Gujarat/Mahisagar","Gujarat/Mehsana","Gujarat/Morbi","Gujarat/Narmada","Gujarat/Navsari","Gujarat/Other State","Gujarat/Other state","Gujarat/Panchmahal","Gujarat/Patan","Gujarat/Porbandar","Gujarat/Rajkot","Gujarat/Sabarkantha","Gujarat/Surat","Gujarat/Surendranagar","Gujarat/Tapi","Gujarat/Udalguri","Gujarat/Vadodara","Gujarat/Valsad","Gujarat/dahod","Gujarat/kutch","Gujarat/other state","Gujarat/porbandar","Gujarat/surat","Gujarat/surendranagar","Gujarat/tapi","Gujarat/vadodara"
"2020-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-21","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","",""
"2020-03-22","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","5","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","4","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","",""
"2020-03-28","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","",""
"2020-03-29","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","",""
"2020-03-30","1","","","","","","4","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","",""
"2020-04-01","8","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","2","","","","","","","","","","","","",""
"2020-04-02","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-04","7","","","","","","2","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"2020-04-05","8","","","","","","4","","","","","","","","","","","1","","","","","","","","","","","","","3","","","","1","","","","","","","","",""
"2020-04-06","11","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","3","","","","2","","","","","","","","",""
"2020-04-07","19","","","","","","1","","","","","","","","","","","","","","","","","","","","3","","1","","3","","","","","","","","","","","","",""
