"date","Vermont/Addison","Vermont/Bennington","Vermont/Caledonia","Vermont/Chittenden","Vermont/Essex","Vermont/Franklin","Vermont/Grand Isle","Vermont/Lamoille","Vermont/Orange","Vermont/Orleans","Vermont/Rutland","Vermont/Unassigned","Vermont/Washington","Vermont/Windham","Vermont/Windsor"
"2020-03-22","3","4","0","22","0","2","0","0","3","0","3","","2","5","8"
"2020-03-23","6","4","1","32","0","2","0","1","3","2","4","0","3","5","12"
"2020-03-24","8","9","1","40","0","2","0","2","3","2","5","0","3","5","15"
"2020-03-25","9","11","1","55","0","3","0","4","3","3","5","2","5","7","17"
"2020-03-26","12","11","1","75","0","4","0","5","3","3","5","8","7","7","17"
"2020-03-27","13","15","2","90","0","6","0","6","3","4","5","6","9","7","18"
"2020-03-28","15","15","2","105","0","7","0","9","3","5","6","7","10","9","18"
"2020-03-29","17","16","2","117","0","9","0","12","3","5","6","7","12","11","18"
"2020-03-30","17","16","2","117","0","9","0","12","3","5","6","28","12","11","18"
"2020-03-31","23","18","2","152","","13","","13","4","7","6","11","15","11","18"
"2020-04-01","24","18","3","164","","15","","13","4","7","10","14","15","16","18"
"2020-04-02","26","17","4","177","","16","","14","4","7","12","5","18","18","20"
"2020-04-03","32","19","4","199","","21","","17","4","8","17","6","21","21","20"
"2020-04-04","34","23","5","245","","23","","17","4","8","24","11","21","25","21"
"2020-04-05","40","24","6","271","","27","","17","4","8","27","13","22","31","22"
"2020-04-06","40","25","6","285","","29","","18","4","8","28","21","22","35","22"
"2020-04-07","47","27","8","308","","33","1","19","4","8","31","3","24","38","24"
"2020-04-08","47","27","8","308","","33","1","19","4","8","31","33","24","38","24"
"2020-04-09","50","31","8","336","1","35","3","19","5","8","34","8","24","42","24"
"2020-04-10","50","31","8","336","1","35","3","19","5","8","34","59","24","42","24"
"2020-04-11","54","31","8","351","1","80","3","21","5","8","35","11","28","50","25"
"2020-04-12","55","31","8","364","1","81","3","21","5","8","36","7","28","54","25"
"2020-04-13","56","32","9","372","1","83","3","22","5","8","39","8","28","55","27"
"2020-04-14","56","32","9","372","1","84","3","22","5","8","8","39","29","57","27"
"2020-04-15","56","32","9","372","1","84","3","22","5","8","39","15","29","57","27"
"2020-04-16","56","33","9","377","1","86","3","22","5","8","41","15","29","58","31"
"2020-04-17","57","33","10","378","1","88","3","22","5","8","41","10","30","60","33"
"2020-04-18","61","37","10","384","1","90","3","23","5","9","42","10","31","63","34"
"2020-04-19","61","37","12","385","2","91","3","23","5","9","43","10","32","63","37"
"2020-04-20","61","37","12","385","2","93","3","23","5","9","43","11","32","63","37"
"2020-04-21","61","37","12","391","2","92","3","23","6","9","44","3","32","65","38"
"2020-04-22","61","37","12","393","2","92","3","23","6","9","44","3","33","67","38"
"2020-04-23","61","37","12","395","2","90","3","25","6","9","44","3","33","67","38"
"2020-04-24","61","38","12","396","2","90","3","25","6","9","44","3","33","67","38"
"2020-04-25","61","39","13","405","2","90","3","26","6","9","44","5","33","68","39"
"2020-04-26","61","40","13","410","2","91","3","26","6","9","44","5","33","69","39"
"2020-04-27","61","40","13","414","2","91","3","26","7","9","44","3","32","70","40"
"2020-04-28","61","44","13","416","2","91","3","26","7","9","44","3","32","71","40"
"2020-04-29","61","44","13","416","2","91","3","26","7","9","44","3","32","71","40"
"2020-04-30","61","44","13","418","2","91","3","26","7","9","45","3","33","71","40"
"2020-05-01","61","47","14","419","2","98","3","26","7","9","46","3","33","71","40"
"2020-05-02","61","47","14","422","2","98","3","26","7","9","49","3","33","71","41"
"2020-05-03","61","51","14","423","2","99","4","25","7","9","49","4","35","72","42"
"2020-05-04","61","51","14","425","2","99","4","26","8","9","49","4","35","72","43"
"2020-05-05","61","54","14","425","2","99","4","26","8","9","50","4","35","73","43"
"2020-05-06","61","53","14","426","2","99","4","26","8","9","49","4","36","73","44"
"2020-05-07","61","53","14","431","2","99","4","26","8","9","49","4","37","73","46"
"2020-05-08","62","54","14","431","2","99","4","26","8","9","50","4","37","73","46"
"2020-05-09","62","56","14","431","2","99","4","26","8","9","49","4","37","74","46"
"2020-05-10","62","61","14","432","2","99","4","26","8","9","49","4","38","74","45"
"2020-05-11","62","60","14","432","2","99","4","26","8","9","49","4","38","74","45"
"2020-05-12","62","60","14","432","2","99","4","26","8","9","49","4","38","75","45"
"2020-05-13","62","60","14","432","2","99","4","27","8","9","49","4","38","75","46"
"2020-05-14","62","60","14","432","2","99","4","27","8","9","49","4","38","77","47"
"2020-05-15","62","60","14","433","2","99","4","27","8","9","49","4","38","77","47"
"2020-05-16","62","60","14","434","2","99","4","27","8","9","49","4","38","77","47"
"2020-05-17","62","60","14","439","2","99","4","27","8","9","50","5","38","76","47"
"2020-05-18","62","60","14","439","2","99","4","27","8","9","50","5","38","76","47"
"2020-05-19","62","60","14","439","2","99","4","28","8","9","50","6","38","77","48"
"2020-05-20","62","60","14","439","2","99","4","27","8","9","50","7","38","77","48"
"2020-05-21","62","60","14","440","2","99","5","29","8","9","50","5","38","80","49"
"2020-05-22","62","60","14","440","3","99","5","29","8","9","51","5","38","80","49"
"2020-05-23","62","60","14","440","3","99","6","29","8","9","51","5","39","80","49"
"2020-05-24","62","61","15","440","3","99","6","29","8","9","51","5","39","80","49"
"2020-05-25","62","62","15","441","3","99","7","29","8","9","53","5","39","80","50"
"2020-05-26","62","62","15","444","3","99","7","29","8","10","53","5","39","80","51"
"2020-05-27","62","62","15","446","3","99","7","29","8","10","54","6","39","80","51"
"2020-05-28","62","62","15","449","3","99","7","29","8","10","54","5","39","81","51"
"2020-05-29","62","63","15","448","3","99","7","29","8","10","55","5","39","81","51"
"2020-05-30","63","63","15","449","3","99","7","29","8","10","55","5","39","81","51"
"2020-05-31","64","63","15","451","3","99","7","29","9","10","55","5","39","81","51"
"2020-06-01","64","63","15","453","3","99","7","29","9","10","55","5","39","81","51"
"2020-06-02","64","64","15","457","3","99","7","29","9","10","55","5","39","81","51"
"2020-06-03","64","64","16","457","3","99","7","29","9","10","55","5","39","81","52"
"2020-06-04","64","65","16","491","3","99","7","29","9","10","56","5","39","81","52"
"2020-06-05","64","66","16","490","3","100","7","29","9","10","56","5","39","81","52"
"2020-06-06","65","66","16","503","3","100","7","29","9","10","57","5","39","82","55"
"2020-06-07","65","66","16","520","3","100","7","29","9","10","57","5","39","82","55"
"2020-06-08","65","66","16","528","3","100","7","29","9","13","57","5","39","83","55"
"2020-06-09","66","66","16","535","3","100","7","29","9","13","57","5","39","83","56"
"2020-06-10","66","67","16","544","3","101","7","29","9","13","57","5","39","83","56"
"2020-06-11","66","67","16","559","3","101","8","29","9","13","57","5","39","83","55"
"2020-06-12","66","67","16","564","3","102","8","29","9","13","58","5","40","84","55"
"2020-06-13","66","67","16","568","3","102","8","29","9","13","58","5","41","85","55"
"2020-06-14","66","67","16","568","3","102","8","29","9","13","59","6","41","85","55"
"2020-06-15","66","67","16","570","3","102","8","29","9","13","59","5","41","85","55"
"2020-06-16","66","67","16","573","3","102","8","29","9","13","59","5","41","85","55"
"2020-06-17","66","67","16","572","3","102","8","29","9","13","59","5","41","85","55"
"2020-06-18","67","68","16","574","3","102","8","29","9","13","60","5","41","85","55"
"2020-06-19","67","69","16","579","3","102","8","30","9","14","61","5","41","85","55"
"2020-06-20","67","69","17","579","3","102","8","30","9","14","61","5","41","87","55"
"2020-06-21","67","69","18","586","3","102","8","30","9","14","61","5","41","91","55"
"2020-06-22","67","69","18","590","3","102","8","30","9","14","61","5","41","91","55"
