"date","Montana/Beaverhead","Montana/Big Horn","Montana/Blaine","Montana/Broadwater","Montana/Carbon","Montana/Carter","Montana/Cascade","Montana/Chouteau","Montana/Custer","Montana/Daniels","Montana/Dawson","Montana/Deer Lodge","Montana/Fallon","Montana/Fergus","Montana/Flathead","Montana/Gallatin","Montana/Garfield","Montana/Glacier","Montana/Golden Valley","Montana/Granite","Montana/Hill","Montana/Jefferson","Montana/Judith Basin","Montana/Lake","Montana/Lewis and Clark","Montana/Liberty","Montana/Lincoln","Montana/Madison","Montana/McCone","Montana/Meagher","Montana/Mineral","Montana/Missoula","Montana/Musselshell","Montana/Park","Montana/Petroleum","Montana/Phillips","Montana/Pondera","Montana/Powder River","Montana/Powell","Montana/Prairie","Montana/Ravalli","Montana/Richland","Montana/Roosevelt","Montana/Rosebud","Montana/Sanders","Montana/Sheridan","Montana/Silver Bow","Montana/Stillwater","Montana/Sweet Grass","Montana/Teton","Montana/Toole","Montana/Treasure","Montana/Unassigned","Montana/Valley","Montana/Wheatland","Montana/Wibaux","Montana/Yellowstone"
"2020-04-01","","","","   .00 %","","","   .00 %","","","","","   .00 %","",""," 27.27 %","  2.70 %","","","","","   .00 %","   .00 %",""," 33.33 %"," 16.67 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","","   .00 %","","","","   .00 %","","","","   .00 %","","","","","","  3.23 %"
"2020-04-02","","","","   .00 %","   .00 %",""," 22.22 %","","","","","   .00 %","",""," 28.57 %"," 22.37 %","","","","","   .00 %","   .00 %","","   .00 %"," -7.14 %","   .00 %"," 20.00 %","   .00 %","","   .00 %",""," 21.43 %","   .00 %"," ##.## %","","","","","","","   .00 %","","   .00 %","","",""," 10.00 %","","","","-14.29 %","","   .00 %","","","","  9.38 %"
"2020-04-03","","","","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","","   .00 %","","","","   .00 %","","","","   .00 %","","   .00 %","","","","  2.86 %"
"2020-04-04","   .00 %","",""," 33.33 %","   .00 %","","   .00 %","","","","","   .00 %","",""," 11.11 %","  8.60 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","  5.88 %","   .00 %","   .00 %","","","","","",""," ##.## %","","   .00 %","","","","   .00 %","","",""," ##.## %","","   .00 %","","","","  5.56 %"
"2020-04-05","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","",""," 20.00 %","  8.91 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","  7.69 %","   .00 %","   .00 %"," 50.00 %","","   .00 %","","  5.56 %","   .00 %","   .00 %","","","","","","","   .00 %","","   .00 %","","","","   .00 %","","",""," 25.00 %","","   .00 %","","","","   .00 %"
"2020-04-06","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","","  4.17 %","  5.45 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","","   .00 %",""," 10.53 %","   .00 %","   .00 %","","","","","","","   .00 %","","   .00 %","","","","   .00 %","","","","  6.67 %","","   .00 %","","","","  5.26 %"
"2020-04-07","   .00 %","","","   .00 %"," ##.## %","","   .00 %","","","","","   .00 %","",""," 24.00 %","  1.72 %","","   .00 %","","","   .00 %","   .00 %",""," 25.00 %","  7.14 %","   .00 %","   .00 %","   .00 %","","   .00 %",""," 14.29 %","   .00 %","   .00 %","","","","","","","   .00 %","","   .00 %","","","","   .00 %","","",""," -6.25 %","","   .00 %","","",""," 17.50 %"
"2020-04-08","   .00 %","","","   .00 %"," 50.00 %","","   .00 %","","","","","   .00 %","","","   .00 %","  1.69 %",""," ##.## %","","","   .00 %","   .00 %","","   .00 %","  6.67 %","   .00 %","   .00 %","-11.11 %","","   .00 %","","  4.17 %","   .00 %"," 16.67 %","","","","","",""," 50.00 %","   .00 %"," ##.## %","","","","   .00 %","","",""," 13.33 %","","   .00 %","","","","  2.13 %"
"2020-04-09","   .00 %","","","   .00 %","   .00 %","","  9.09 %","","","",""," 33.33 %","","","  9.68 %","  6.67 %",""," 50.00 %","","","   .00 %","   .00 %",""," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","  4.00 %","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","","  5.88 %","","   .00 %","","","","  8.33 %"
"2020-04-10","   .00 %","   .00 %","","   .00 %"," ##.## %","","   .00 %","","","","","-25.00 %","","","   .00 %","  4.69 %","","   .00 %","","","   .00 %","   .00 %","","-16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","","  5.77 %"
"2020-04-11","   .00 %","   .00 %","","   .00 %","   .00 %","","  8.33 %","","","","","   .00 %","","","   .00 %","   .75 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""," 11.54 %","   .00 %","   .00 %","","","","","","","   .00 %"," 50.00 %"," 50.00 %","","","","   .00 %","   .00 %","",""," 11.11 %","","   .00 %","","","","  3.64 %"
"2020-04-12","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","","   .00 %","  2.22 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","  3.45 %","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","",""," 25.00 %","","   .00 %","","","","  1.75 %"
