"date","Connecticut/Fairfield","Connecticut/Hartford","Connecticut/Litchfield","Connecticut/Middlesex","Connecticut/New Haven","Connecticut/New London","Connecticut/Tolland","Connecticut/Unassigned","Connecticut/Windham"
"2020-03-22","","","","","","","","",""
"2020-03-23","","","","","","","","",""
"2020-03-24","","","","","","","","",""
"2020-03-25","","","","","","","","",""
"2020-03-26"," 23.29 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","","   .00 %"
"2020-03-27"," 26.36 %"," 20.00 %","   .00 %","   .00 %"," 40.00 %","   .00 %"," 10.00 %","","   .00 %"
"2020-03-28"," 29.03 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %"," 16.67 %","","   .00 %"
"2020-03-29"," 26.70 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","  6.67 %","","   .00 %"
"2020-03-30"," 12.41 %"," 10.00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","  6.67 %","","   .00 %"
"2020-03-31"," 26.93 %"," 36.67 %","   .00 %","   .00 %"," 60.00 %","   .00 %"," 21.67 %","","   .00 %"
"2020-04-01"," 28.07 %"," 48.10 %","   .00 %"," 20.00 %"," 25.00 %","   .00 %"," 21.67 %","","   .00 %"
"2020-04-02"," 29.66 %"," 51.73 %"," 20.00 %"," 30.00 %"," 27.67 %","   .00 %"," 23.57 %","","   .00 %"
"2020-04-03"," 31.74 %"," 59.42 %"," 40.00 %"," 23.33 %"," 28.84 %"," 40.00 %"," 23.57 %","-10.00 %","   .00 %"
"2020-04-04"," 34.67 %"," 58.31 %"," 45.00 %"," 43.33 %"," 41.07 %"," 40.00 %"," 23.57 %","-10.00 %","   .00 %"
"2020-04-05"," 20.81 %"," 33.95 %"," 49.00 %"," 48.33 %"," 25.89 %"," 46.67 %"," 10.57 %","-10.00 %","   .00 %"
"2020-04-06"," 17.64 %"," 23.90 %"," 55.67 %"," 36.33 %"," 23.67 %"," 46.67 %"," 14.21 %","-30.00 %","   .00 %"
"2020-04-07"," 15.52 %"," 31.24 %"," 38.17 %"," 26.33 %"," 30.27 %"," 46.67 %","  5.64 %","-20.00 %","   .00 %"
"2020-04-08"," 12.44 %"," 23.54 %"," 18.17 %"," 33.00 %"," 29.10 %","  6.67 %","  5.64 %"," ##.## %","   .00 %"
"2020-04-09"," 16.48 %"," 25.90 %"," 22.06 %"," 33.00 %"," 22.87 %"," 16.67 %","  5.64 %"," ##.## %","   .00 %"
"2020-04-10"," 16.96 %"," 27.06 %"," 22.67 %"," 32.29 %"," 23.17 %"," 13.33 %","  5.17 %"," ##.## %","   .00 %"
"2020-04-11"," 17.59 %"," 28.64 %"," 21.00 %"," 25.46 %"," 22.23 %"," 13.33 %","  2.97 %"," ##.## %","   .00 %"
"2020-04-12"," 14.00 %"," 20.64 %"," 22.50 %"," 25.46 %"," 15.21 %"," 13.33 %","  5.63 %"," ##.## %","   .00 %"
"2020-04-13"," 15.13 %"," 23.57 %"," 22.50 %"," 26.57 %"," 17.90 %"," 13.33 %","  5.63 %","  1.77 %","   .00 %"
"2020-04-14"," 10.07 %"," 15.33 %"," 17.78 %","  8.68 %"," 14.27 %","  3.33 %","  6.81 %"," 21.00 %","   .00 %"
"2020-04-15"," 12.69 %"," 19.71 %"," 17.30 %"," 11.06 %"," 14.97 %","   .00 %","  9.72 %"," -9.00 %","   .00 %"
"2020-04-16"," 13.26 %"," 19.57 %"," 17.45 %"," 11.31 %"," 15.08 %","  5.71 %","  8.29 %","-14.00 %","   .00 %"
"2020-04-17"," 11.66 %"," 18.49 %"," 14.36 %"," 12.64 %"," 14.24 %","  7.94 %","  7.44 %","-10.00 %"," 20.00 %"
"2020-04-18"," 10.86 %"," 17.29 %"," 15.23 %"," 14.66 %"," 12.60 %","  7.94 %","  7.44 %","   .00 %"," 20.00 %"
"2020-04-19","  9.64 %"," 14.70 %"," 11.06 %"," 14.18 %"," 11.55 %","  7.94 %","  6.26 %","  6.67 %"," 20.00 %"
"2020-04-20","  7.11 %"," 11.87 %"," 11.09 %"," 10.01 %","  9.15 %"," 13.94 %","  4.32 %"," 16.67 %"," 20.00 %"
"2020-04-21","  6.12 %"," 10.84 %","  6.29 %","  9.47 %","  8.60 %","  8.22 %","  6.54 %"," 16.67 %"," 20.00 %"
"2020-04-22","  6.65 %"," 10.94 %","  6.74 %"," 10.69 %","  8.62 %","  7.54 %","  6.06 %"," 16.67 %"," 50.00 %"
"2020-04-23","  7.38 %"," 10.43 %","  6.82 %","  9.07 %","  9.14 %"," 11.82 %","  6.68 %"," 16.67 %"," 41.43 %"
"2020-04-24","  8.22 %"," 11.81 %","  7.73 %","  9.56 %","  9.10 %"," 18.88 %","  7.29 %"," 10.00 %"," 36.43 %"
"2020-04-25","  6.13 %","  8.44 %","  4.72 %","  6.74 %","  6.69 %"," 17.23 %","  5.37 %"," 10.00 %"," 36.43 %"
"2020-04-26","  5.40 %","  7.59 %","  4.65 %","  7.14 %","  5.92 %"," 19.37 %","  3.15 %","-10.00 %"," 36.43 %"
"2020-04-27","  4.49 %","  6.74 %","  3.57 %","  5.50 %","  5.75 %"," 19.77 %","  1.82 %","-10.00 %","-13.57 %"
"2020-04-28","  3.98 %","  6.53 %","  2.88 %","  4.28 %","  5.15 %"," 15.48 %","  1.19 %","-20.00 %"," -5.00 %"
"2020-04-29","  3.18 %","  5.58 %","  2.76 %","  3.89 %","  4.49 %","  9.01 %","  1.16 %"," 20.00 %","   .00 %"
"2020-04-30","  3.29 %","  4.77 %","  1.85 %","  4.99 %","  4.25 %","  5.24 %","   .57 %"," 26.67 %"," -6.67 %"
"2020-05-01","  3.49 %","  4.32 %","  3.08 %","  4.46 %","  4.44 %","  6.43 %","  1.68 %"," 36.67 %"," -6.67 %"
"2020-05-02","  3.54 %","  3.90 %","  3.51 %","  5.75 %","  4.38 %","  4.97 %","  2.21 %"," 26.67 %"," -6.67 %"
"2020-05-03","  2.99 %","  2.89 %","  3.24 %","  5.46 %","  3.42 %","  4.97 %","  2.21 %"," 26.67 %"," -6.67 %"
"2020-05-04","  3.31 %","  2.91 %","  3.57 %","  4.18 %","  3.85 %","  5.31 %","  2.15 %"," 26.67 %","  3.33 %"
"2020-05-05","  2.93 %","  2.88 %","  3.53 %","  3.82 %","  3.59 %","  4.74 %","  3.65 %"," 13.33 %"," 16.67 %"
"2020-05-06","  2.57 %","  3.34 %","  3.09 %","  3.70 %","  3.39 %","  2.30 %","  3.00 %"," 23.33 %"," 16.67 %"
"2020-05-07","  2.48 %","  3.20 %","  3.19 %","  2.73 %","  2.63 %","  2.67 %","  3.39 %"," 33.33 %"," 21.67 %"
"2020-05-08","  3.07 %","  3.60 %","  3.00 %","  3.49 %","  3.44 %","  3.08 %","  3.39 %"," 43.33 %"," 21.67 %"
"2020-05-09","  2.25 %","  3.12 %","  2.26 %","  4.17 %","  2.89 %","  3.75 %","  2.87 %","  3.33 %"," 15.67 %"
"2020-05-10","  1.84 %","  2.49 %","  2.43 %","  3.91 %","  2.82 %","  3.75 %","  1.81 %"," 10.00 %"," 12.33 %"
