"date","District of Columbia/District of Columbia"
"2020-03-22","   .00 %"
"2020-03-23"," 17.65 %"
"2020-03-24"," 17.50 %"
"2020-03-25"," 32.62 %"
"2020-03-26"," 23.53 %"
"2020-03-27"," 17.32 %"
"2020-03-28"," 12.18 %"
"2020-03-29"," 12.50 %"
"2020-03-30"," 17.25 %"
"2020-03-31"," 23.44 %"
"2020-04-01"," 18.38 %"
"2020-04-02"," 11.43 %"
"2020-04-03"," 15.93 %"
"2020-04-04"," 19.15 %"
"2020-04-05"," 11.09 %"
"2020-04-06","  9.48 %"
"2020-04-07"," 10.39 %"
"2020-04-08"," 18.91 %"
"2020-04-09","  5.76 %"
"2020-04-10","  9.00 %"
"2020-04-11","  7.11 %"
"2020-04-12","  5.46 %"
"2020-04-13","  4.27 %"
"2020-04-14","  5.27 %"
"2020-04-15","  6.75 %"
"2020-04-16","  6.96 %"
"2020-04-17","  5.36 %"
"2020-04-18","  7.67 %"
"2020-04-19","  4.76 %"
"2020-04-20","  4.80 %"
"2020-04-21","  5.84 %"
"2020-04-22","  3.49 %"
"2020-04-23","  4.83 %"
"2020-04-24","  4.97 %"
"2020-04-25","  4.85 %"
"2020-04-26","  3.84 %"
"2020-04-27","  1.33 %"
"2020-04-28","  2.62 %"
"2020-04-29","  2.80 %"
"2020-04-30","  5.28 %"
"2020-05-01","  7.75 %"
"2020-05-02","  2.98 %"
"2020-05-03","  4.57 %"
"2020-05-04","  3.07 %"
"2020-05-05","  2.94 %"
"2020-05-06","  2.61 %"
"2020-05-07","  3.53 %"
"2020-05-08","  4.33 %"
"2020-05-09","  3.44 %"
"2020-05-10","  2.79 %"
"2020-05-11","  1.87 %"
"2020-05-12","  1.50 %"
"2020-05-13","  1.53 %"
"2020-05-14","  2.31 %"
"2020-05-15","  2.00 %"
"2020-05-16","  2.49 %"
"2020-05-17","  1.15 %"
"2020-05-18","  2.06 %"
"2020-05-19","  2.26 %"
"2020-05-20","  1.57 %"
"2020-05-21","  3.14 %"
"2020-05-22","  1.35 %"
"2020-05-23","   .92 %"
"2020-05-24","  1.81 %"
"2020-05-25","  1.42 %"
"2020-05-26","  1.33 %"
"2020-05-27","   .86 %"
"2020-05-28","  1.02 %"
"2020-05-29","   .54 %"
"2020-05-30","  2.10 %"
"2020-05-31","   .96 %"
"2020-06-01","   .64 %"
"2020-06-02","   .33 %"
"2020-06-03","  1.46 %"
"2020-06-04","  1.15 %"
"2020-06-05","   .87 %"
"2020-06-06","   .76 %"
"2020-06-07","   .68 %"
"2020-06-08","   .61 %"
"2020-06-09","   .91 %"
"2020-06-10","   .66 %"
"2020-06-11","   .55 %"
"2020-06-12","   .68 %"
"2020-06-13","   .57 %"
"2020-06-14","   .60 %"
"2020-06-15","   .33 %"
"2020-06-16","   .19 %"
"2020-06-17","   .30 %"
"2020-06-18","   .57 %"
"2020-06-19","   .49 %"
"2020-06-20","   .32 %"
"2020-06-21","   .36 %"
"2020-06-22","   .38 %"
"2020-06-23","   .36 %"
"2020-06-24","   .34 %"
"2020-06-25","   .31 %"
"2020-06-26","   .26 %"
"2020-06-27","   .30 %"
"2020-06-28","   .31 %"
"2020-06-29","   .43 %"
"2020-06-30","   .34 %"
"2020-07-01","   .37 %"
"2020-07-02","   .24 %"
"2020-07-03","   .43 %"
"2020-07-04","   .11 %"
"2020-07-05","   .34 %"
"2020-07-06","   .31 %"
"2020-07-07","   .51 %"
"2020-07-08","   .69 %"
"2020-07-09","   .35 %"
"2020-07-10","   .60 %"
"2020-07-11","   .54 %"
"2020-07-12","   .43 %"
"2020-07-13","   .54 %"
"2020-07-14","   .37 %"
"2020-07-15","   .73 %"
"2020-07-16","   .45 %"
"2020-07-17","   .35 %"
"2020-07-18","   .71 %"
"2020-07-19","   .60 %"
"2020-07-20","   .69 %"
"2020-07-21","   .78 %"
"2020-07-22","   .89 %"
"2020-07-23","   .36 %"
"2020-07-24","   .67 %"
"2020-07-25","   .58 %"
"2020-07-26","   .54 %"
"2020-07-27","   .66 %"
"2020-07-28","   .73 %"
"2020-07-29","   .45 %"
"2020-07-30","   .48 %"
"2020-07-31","   .00 %"
"2020-08-01","   .00 %"
"2020-08-02","   .00 %"
"2020-08-03","  2.12 %"
"2020-08-04","   .69 %"
"2020-08-05","   .36 %"
"2020-08-06","   .60 %"
"2020-08-07","   .57 %"
"2020-08-08","   .51 %"
"2020-08-09","   .79 %"
"2020-08-10","   .42 %"
"2020-08-11","   .69 %"
"2020-08-12","   .49 %"
"2020-08-13","   .50 %"
"2020-08-14","   .72 %"
"2020-08-15","   .31 %"
"2020-08-16","   .46 %"
"2020-08-17","   .40 %"
"2020-08-18","   .39 %"
"2020-08-19","   .22 %"
"2020-08-20","   .41 %"
"2020-08-21","   .45 %"
"2020-08-22","   .48 %"
"2020-08-23","   .00 %"
"2020-08-24","   .78 %"
