"date","Hawaii/Hawaii","Hawaii/Honolulu","Hawaii/Kalawao","Hawaii/Kauai","Hawaii/Maui","Hawaii/Out of HI","Hawaii/Unassigned"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-03-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-03-24","-33.33 %"," 41.46 %","   .00 %","-66.67 %","   .00 %","","   .00 %"
"2020-03-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  5.00 %"
"2020-03-26"," ##.## %"," 17.24 %","   .00 %"," ##.## %"," 44.44 %","","-61.90 %"
"2020-03-27"," 25.00 %"," 11.76 %","   .00 %"," ##.## %","  7.69 %","","-25.00 %"
"2020-03-28"," ##.## %"," 42.11 %","   .00 %"," ##.## %"," 14.29 %","","-33.33 %"
"2020-03-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-03-30"," 20.00 %"," 13.89 %","   .00 %","  9.09 %"," 25.00 %",""," ##.## %"
"2020-03-31"," 25.00 %"," 13.01 %","","   .00 %"," 25.00 %",""," 62.50 %"
"2020-04-01","   .00 %"," 12.95 %","","   .00 %","   .00 %",""," 15.38 %"
"2020-04-02"," 20.00 %"," 15.92 %","","   .00 %","  4.00 %",""," 20.00 %"
"2020-04-03"," 11.11 %"," 30.22 %","","  8.33 %"," 38.46 %","   .00 %","-38.89 %"
"2020-04-04"," 10.00 %"," 12.24 %",""," 15.38 %","  5.56 %","   .00 %","-27.27 %"
"2020-04-05","   .00 %","  5.64 %","","  6.67 %"," 13.16 %","   .00 %","-12.50 %"
"2020-04-06","  4.55 %","  3.91 %","","  6.25 %","  2.33 %","   .00 %"," 28.57 %"
"2020-04-07","   .00 %","  6.85 %","","  5.88 %","  9.09 %","   .00 %","-22.22 %"
"2020-04-08","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-09"," 21.74 %","  7.05 %","","   .00 %"," 18.75 %","   .00 %","-57.14 %"
"2020-04-10","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-11"," 10.71 %","  2.69 %","","  5.56 %"," 15.79 %","   .00 %"," 33.33 %"
"2020-04-12"," 25.81 %","  2.04 %",""," 10.53 %"," 27.27 %","   .00 %","-25.00 %"
"2020-04-13","  2.56 %","   .57 %","","   .00 %","  2.38 %","   .00 %","   .00 %"
"2020-04-14","  2.50 %","  1.70 %","","   .00 %","  2.33 %","","   .00 %"
"2020-04-15","   .00 %","  3.07 %","","   .00 %","  4.55 %","","-66.67 %"
"2020-04-16","   .00 %","   .00 %","","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-04-17","   .00 %","  1.08 %","","   .00 %","  3.26 %","   .00 %"," ##.## %"
"2020-04-18"," 48.78 %","  2.41 %","","   .00 %","  9.47 %","   .00 %","-##.## %"
"2020-04-19","  1.64 %","   .79 %","","   .00 %","  1.92 %","   .00 %","   .00 %"
"2020-04-20","  3.23 %","   .00 %","","   .00 %","  1.89 %","   .00 %","   .00 %"
"2020-04-21","   .00 %","   .00 %","","   .00 %","  1.85 %","   .00 %","   .00 %"
"2020-04-22","  4.69 %","   .78 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-23","  1.49 %","   .26 %","","   .00 %","  1.82 %","   .00 %","   .00 %"
"2020-04-24","  1.47 %","   .77 %","","   .00 %","   .89 %","   .00 %","   .00 %"
"2020-04-25","   .00 %","   .77 %","","   .00 %","   .00 %"," 16.67 %","   .00 %"
"2020-04-26","  1.45 %","   .25 %","","   .00 %","  -.88 %","   .00 %","   .00 %"
"2020-04-27","   .00 %","   .00 %","","   .00 %","   .89 %","   .00 %","   .00 %"
"2020-04-28","   .00 %","   .00 %","","   .00 %","  1.77 %","   .00 %","   .00 %"
"2020-04-29","   .00 %","   .76 %","","   .00 %","   .00 %"," 14.29 %","   .00 %"
"2020-04-30","  4.29 %","   .00 %","","   .00 %","   .87 %"," 12.50 %","   .00 %"
"2020-05-01","   .00 %","   .25 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-02","   .00 %","   .00 %","","   .00 %","   .86 %","   .00 %","   .00 %"
