"date","Hawaii/Hawaii","Hawaii/Honolulu","Hawaii/Kalawao","Hawaii/Kauai","Hawaii/Maui","Hawaii/Out of HI","Hawaii/Unassigned"
"2020-05-03","  1.37 %","   .00 %","","   .00 %","  -.85 %","   .00 %","   .00 %"
"2020-05-04","  1.35 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-05"," -1.33 %","  1.00 %","","   .00 %","   .00 %"," 11.11 %","   .00 %"
"2020-05-06","   .00 %","   .25 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-07","   .00 %","   .74 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-08","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-09","  1.35 %","  -.25 %","","   .00 %","   .86 %"," 10.00 %","   .00 %"
"2020-05-10","   .00 %","   .25 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-11","   .00 %","   .49 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-12","   .00 %","   .24 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-13","   .00 %","   .73 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-14","   .00 %","   .00 %","","   .00 %","   .00 %"," -9.09 %","   .00 %"
"2020-05-15","  1.33 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-16","   .00 %","   .24 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-17","  1.32 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-18","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-19","  1.30 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-20","  1.28 %","   .24 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-21","  3.80 %","   .00 %","","   .00 %","   .85 %","   .00 %","   .00 %"
"2020-05-22"," -1.22 %","  -.48 %",""," -4.76 %","  -.85 %","   .00 %","   .00 %"
"2020-05-23","   .00 %","   .00 %","","   .00 %","   .85 %","   .00 %","   .00 %"
"2020-05-24","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-25","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-26","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-27","  1.23 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-28","   .00 %","   .72 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-29","   .00 %","   .48 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-30"," -1.22 %","   .48 %","","   .00 %","   .85 %","   .00 %","   .00 %"
"2020-05-31","   .00 %","   .00 %","","   .00 %","   .84 %","   .00 %","   .00 %"
"2020-06-01","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-02","   .00 %","   .24 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-03","   .00 %","   .24 %","","   .00 %","  -.83 %","   .00 %","   .00 %"
"2020-06-04","   .00 %","   .24 %","","   .00 %","   .00 %"," 10.00 %","   .00 %"
"2020-06-05","   .00 %","  1.65 %","","  5.00 %","   .84 %","   .00 %","   .00 %"
"2020-06-06","   .00 %","  1.86 %","","   .00 %","   .00 %","  9.09 %","   .00 %"
"2020-06-07","   .00 %","   .46 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-08","   .00 %","   .23 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-09","   .00 %","  1.36 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-10","   .00 %","   .67 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-11","   .00 %","  1.55 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-12","   .00 %","  3.06 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-13","   .00 %","  3.60 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-14","  1.23 %","   .82 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-15","   .00 %","  1.62 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-16","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-17","  1.22 %","  1.40 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-18","   .00 %","  3.54 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-19","   .00 %","  4.75 %","","  4.76 %","   .83 %","   .00 %","   .00 %"
"2020-06-20","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-21","  2.41 %","  2.72 %",""," 31.82 %","   .83 %","   .00 %","   .00 %"
"2020-06-22","   .00 %","   .35 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-23","   .00 %","   .53 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-24","  1.18 %","  2.28 %","","   .00 %","   .00 %"," 16.67 %","   .00 %"
"2020-06-25","   .00 %","  1.88 %",""," 17.24 %","   .00 %","   .00 %","   .00 %"
"2020-06-26","   .00 %","  2.18 %","","   .00 %","   .00 %"," 14.29 %","   .00 %"
"2020-06-27","   .00 %","   .82 %","","  2.94 %","   .00 %","   .00 %","   .00 %"
"2020-06-28","  1.16 %","  3.75 %","","  5.71 %","   .82 %","   .00 %","   .00 %"
"2020-06-29","   .00 %","   .31 %","","   .00 %","  -.81 %","   .00 %","   .00 %"
"2020-06-30","   .00 %","  2.19 %","","  2.70 %","   .82 %","   .00 %","   .00 %"
"2020-07-01","   .00 %","  1.07 %","","   .00 %","  1.63 %","  6.25 %","-##.## %"
"2020-07-02","  3.45 %","  2.58 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-03","  1.11 %","  3.70 %","","   .00 %","  1.60 %","  5.88 %","   .00 %"
"2020-07-04","  2.20 %","  2.71 %","","  5.26 %","   .79 %","   .00 %","   .00 %"
"2020-07-05","   .00 %","  3.33 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-06","  1.08 %","   .81 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-07","  1.06 %","  5.07 %","","  5.00 %","   .00 %","   .00 %","   .00 %"
"2020-07-08","  1.05 %","  2.54 %","","   .00 %","  1.56 %","   .00 %","   .00 %"
"2020-07-09","  1.04 %","  4.21 %","","  2.38 %","   .00 %","   .00 %","   .00 %"
"2020-07-10","  1.03 %","  2.97 %","","   .00 %","   .77 %","  5.56 %","   .00 %"
"2020-07-11","  2.04 %","  4.38 %","","   .00 %","  1.53 %","   .00 %","   .00 %"
"2020-07-12","  1.00 %","  1.99 %","","   .00 %","   .75 %","   .00 %","   .00 %"
"2020-07-13","   .99 %","  2.06 %","","   .00 %","   .75 %"," 10.53 %","   .00 %"
"2020-07-14","  2.94 %","  1.91 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-15","  1.90 %","  2.71 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-16","   .00 %","  1.62 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-17","  1.87 %","  2.30 %","","   .00 %","   .00 %","  4.76 %","-##.## %"
"2020-07-18","  1.83 %","  1.46 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-19","  1.80 %","  2.40 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-20","   .88 %","  1.31 %","","   .00 %","   .00 %","   .00 %","-##.## %"
"2020-07-21","   .00 %","  1.95 %","","   .00 %","  2.96 %","   .00 %","   .00 %"
"2020-07-22","   .00 %","  1.55 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-23","  2.63 %","  4.48 %","","   .00 %","  1.44 %","   .00 %","   .00 %"
"2020-07-24","   .00 %","  4.97 %","","   .00 %","   .00 %","  4.55 %","   .00 %"
"2020-07-25","   .00 %","  5.39 %","","   .00 %","  3.55 %","   .00 %","   .00 %"
"2020-07-26","   .00 %","  4.18 %","","  4.65 %","  4.79 %","   .00 %","   .00 %"
"2020-07-27","   .00 %","  2.08 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-28","  -.85 %","  3.35 %","","   .00 %","   .65 %","   .00 %","   .00 %"
"2020-07-29","   .00 %","  6.84 %","","  4.44 %","  5.84 %","   .00 %","   .00 %"
"2020-07-30","  -.86 %","  7.98 %","","   .00 %","  2.45 %","   .00 %","   .00 %"
"2020-07-31","   .00 %","  7.21 %","","   .00 %","  2.40 %","   .00 %","   .00 %"
"2020-08-01","   .00 %","  4.96 %","","   .00 %","  -.58 %","   .00 %","   .00 %"
"2020-08-02","   .00 %","  2.39 %","","   .00 %","   .59 %","   .00 %","   .00 %"
"2020-08-03","  1.74 %"," 10.45 %","","   .00 %","  4.09 %","   .00 %","   .00 %"
"2020-08-04","  4.27 %","  6.63 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-05","   .00 %","  7.79 %","","   .00 %","  -.56 %","   .00 %","   .00 %"
"2020-08-06","   .82 %","  6.14 %","","   .00 %","  1.69 %","   .00 %","   .00 %"
"2020-08-07","   .00 %","  7.87 %","","   .00 %","   .56 %","   .00 %","   .00 %"
"2020-08-08","  4.07 %","  8.14 %","","   .00 %","  1.66 %","   .00 %","   .00 %"
"2020-08-09","  2.34 %","  4.96 %","","  2.13 %","   .54 %","   .00 %","   .00 %"
"2020-08-10","   .00 %","  4.44 %","","  2.08 %","   .54 %","   .00 %","   .00 %"
"2020-08-11","  1.53 %","  3.45 %","","   .00 %","  2.15 %","   .00 %","   .00 %"
"2020-08-12","  1.50 %","  5.86 %","","  4.08 %","   .53 %","   .00 %","   .00 %"
"2020-08-13","  2.96 %","  9.61 %","","  1.96 %","  3.66 %","   .00 %","   .00 %"
"2020-08-14","  3.60 %","  5.56 %","","  1.92 %","  4.04 %","   .00 %","   .00 %"
"2020-08-15","   .69 %","  6.63 %","","  1.89 %","  3.40 %","   .00 %","   .00 %"
"2020-08-16","  2.07 %","  4.58 %","","   .00 %","  6.10 %","   .00 %","   .00 %"
"2020-08-17","   .68 %","  3.55 %","","   .00 %","  3.98 %","   .00 %","   .00 %"
"2020-08-18","  2.01 %","  2.61 %","","   .00 %","  2.98 %","   .00 %","   .00 %"
"2020-08-19","  4.61 %","  4.78 %","","   .00 %","  8.26 %","   .00 %","   .00 %"
"2020-08-20","  3.14 %","  4.48 %","","   .00 %","   .38 %","   .00 %","   .00 %"
"2020-08-21","  7.93 %","  3.88 %","","  3.70 %","  2.28 %","   .00 %","   .00 %"
"2020-08-22","  8.47 %","  4.67 %","","   .00 %","  3.72 %","   .00 %","   .00 %"
"2020-08-23","  4.17 %","  3.88 %","","   .00 %","  3.94 %","   .00 %","   .00 %"
"2020-08-24","  4.50 %","  2.49 %","","   .00 %","  3.45 %","   .00 %","   .00 %"
