"date","Mizoram/Aizawl","Mizoram/Champhai","Mizoram/Hnahthial","Mizoram/Khawzawl","Mizoram/Kolasib","Mizoram/Lawngtlai","Mizoram/Lunglei","Mizoram/Mamit","Mizoram/Saiha","Mizoram/Saitual","Mizoram/Serchhip"
"2020-03-25","   .00 %","","","","","","","","","",""
"2020-05-05","   .00 %","","","","","","","","","",""
"2020-06-02"," ##.## %","","","","","","","","","",""
"2020-06-03","  7.69 %","","","","","","","","","",""
"2020-06-04","","","","","","","   .00 %","   .00 %","","   .00 %",""
"2020-06-05"," 42.86 %","","","","",""," ##.## %","","","",""
"2020-06-07","  5.00 %","","","","","   .00 %",""," ##.## %","","",""
"2020-06-08","","   .00 %","","   .00 %","","","","","   .00 %","",""
"2020-06-09","-42.86 %","","","","   .00 %"," 50.00 %"," ##.## %","","","",""
"2020-06-10","  8.33 %","","","",""," 33.33 %","","",""," ##.## %","   .00 %"
"2020-06-11"," 61.54 %","","","","","",""," 12.50 %","","",""
"2020-06-12","  4.76 %","","","","","","",""," ##.## %","",""
"2020-06-13"," 27.27 %","","","","","","","","","",""
"2020-06-14","","","","","","","",""," ##.## %","",""
"2020-06-15","","","","","","",""," 55.56 %","","",""
"2020-06-16"," 14.29 %","","","","","","","","","",""
"2020-06-18","","","","",""," ##.## %","  2.22 %",""," ##.## %","",""
"2020-06-19","   .00 %","","","","   .00 %","","","","","",""
"2020-06-20",""," 60.00 %",""," 50.00 %","","",""," 28.57 %","",""," ##.## %"
"2020-06-21","  3.12 %","","","","","","","","","",""
"2020-06-22","   .00 %","","","","","","","   .00 %"," 12.50 %","",""
"2020-06-23","   .00 %","","","","   .00 %","","","","","   .00 %",""
"2020-06-24","  6.06 %","   .00 %","","","","","  2.17 %","","","",""
"2020-06-25","   .00 %","","","   .00 %","   .00 %","","","","","",""
"2020-06-26","  5.71 %","","","","","   .00 %","","","","   .00 %","   .00 %"
"2020-06-27","  2.70 %"," 12.50 %","","","","","","  5.56 %","   .00 %","",""
"2020-06-28","","","","","","","","  5.26 %","","",""
"2020-06-29","   .00 %","   .00 %","","","","","","","","",""
"2020-06-30","   .00 %","","","","   .00 %","","   .00 %","   .00 %"," ##.## %","",""
"2020-07-01","","","","","","","","   .00 %","","",""
"2020-07-02","  2.63 %"," 11.11 %","","","","","   .00 %","","","","   .00 %"
"2020-07-03","   .00 %","","","","","","","","","",""
"2020-07-04","","   .00 %","","","","","  4.26 %","","","",""
"2020-07-05"," 35.90 %","","","   .00 %",""," 50.00 %","",""," 22.22 %","",""
"2020-07-06","  9.43 %","","","","",""," 10.20 %","","  4.55 %","",""
"2020-07-07","","","","","  9.09 %","","","   .00 %","","",""
"2020-07-08","   .00 %","","","","","","  5.56 %","","",""," 66.67 %"
"2020-07-10"," 37.93 %","","","","","","","","","",""
"2020-07-11","  1.25 %","","","","","","  1.75 %","   .00 %","","",""
"2020-07-12","  4.94 %","","","","","","","","","",""
"2020-07-13","  2.35 %","   .00 %","","","","","","","","",""
"2020-07-14","  5.75 %","","","","","","","","   .00 %","",""
"2020-07-16"," 18.48 %","","","",""," 75.00 %","  8.62 %","  5.00 %","",""," 40.00 %"
"2020-07-17","  4.59 %"," 20.00 %","","","","","",""," 13.04 %","",""
"2020-07-18","  1.75 %","","","","   .00 %","","","","   .00 %","",""
"2020-07-20"," 11.21 %","   .00 %","","","","","","","","",""
"2020-07-22"," 13.95 %","","","","","","  3.17 %","","","",""
"2020-07-23","  4.76 %","  8.33 %","","","  8.33 %","","   .00 %","","","",""
"2020-07-24","","","","","","","  9.23 %","","","",""
"2020-07-25"," 18.18 %","","","","  7.69 %","","","","","",""
"2020-07-26","   .00 %","","","","","","","","","",""
"2020-07-28"," 12.64 %","","","","","","","   .00 %","","",""
"2020-07-29","  4.88 %","","","","","  4.76 %","","","","",""
"2020-07-30","  6.05 %","","",""," -7.14 %","   .00 %","  1.41 %","","","","   .00 %"
"2020-07-31","   .00 %","","","","","","","","","",""
"2020-08-01","  1.32 %","","","","","","  1.39 %","","   .00 %",""," 14.29 %"
"2020-08-02"," 24.24 %","","","","","","  1.37 %","","","",""
"2020-08-03","  3.48 %","   .00 %","   .00 %","","  7.69 %","  4.55 %"," 16.22 %","","",""," 12.50 %"
"2020-08-04","   .00 %","","","","","   .00 %","  6.98 %","","","",""
"2020-08-05","   .67 %","","","","","","","","",""," 11.11 %"
"2020-08-06","  9.36 %"," 15.38 %","","","  7.14 %","   .00 %","  1.09 %","",""," 33.33 %",""
"2020-08-07","   .61 %","","",""," ##.## %","","","","","",""
"2020-08-08","  1.22 %","  6.67 %","","","  8.82 %","","","","","",""
"2020-08-09","  7.81 %","-12.50 %","",""," 43.24 %","  4.35 %","","","","",""
"2020-08-10","   .56 %","  7.14 %","","","  7.55 %","","  5.38 %","","","",""
"2020-08-11","   .28 %","","","","  3.51 %","","","","","",""
"2020-08-12","  2.76 %","","",""," 16.95 %","","  5.10 %","","","",""
"2020-08-13","   .00 %","  6.67 %","","","","","","","","",""
"2020-08-14","  1.34 %","","","","  1.45 %","","  1.94 %","","","",""
"2020-08-15","  7.16 %","","",""," 37.14 %","","  2.86 %","","","",""
"2020-08-16"," 12.38 %","","",""," 14.58 %","","","","","",""
"2020-08-17","  1.32 %","","","","  2.73 %","  4.17 %","   .00 %","","",""," 20.00 %"
"2020-08-18","  3.48 %",""," ##.## %","","  4.42 %","","  3.70 %","","","",""
"2020-08-19","  4.41 %","","",""," 11.86 %"," 24.00 %","   .89 %"," 14.29 %","","",""
"2020-08-20","  1.01 %","","","","  9.09 %","","","-12.50 %","","",""
"2020-08-21","  2.39 %","","","","  4.86 %","","   .88 %","","  3.85 %","",""
"2020-08-22","   .97 %","   .00 %","","","  1.32 %","","","","","","  8.33 %"
"2020-08-23","   .58 %","","","","  7.19 %","","   .88 %","","","   .00 %",""
"2020-08-24","","","","","","","   .00 %","","","",""
"2020-08-25","  5.94 %","","","","  1.22 %","","   .00 %","  9.52 %","","",""
"2020-08-26","  1.08 %","","","","  1.81 %","",""," 13.04 %","",""," 15.38 %"
"2020-08-27","   .72 %","","","","   .00 %","","  2.61 %","","","",""
"2020-08-28","  4.62 %","","","","","","   .85 %","  7.69 %","","",""
"2020-08-29","   .00 %","   .00 %","","","","","   .00 %","","","",""
"2020-08-30","   .17 %","","","","  1.18 %","","","  7.14 %","","","   .00 %"
"2020-08-31","","","","","  1.75 %","","","","","",""
"2020-09-01","   .00 %","","","","   .57 %","   .00 %","   .00 %","","","",""
"2020-09-02","  1.19 %","","","","   .57 %","","","","","",""
"2020-09-03","  2.85 %","","","","  1.70 %","","","","","",""
"2020-09-04","   .65 %","","","","  1.12 %","","   .00 %","","","","   .00 %"
"2020-09-05","  1.46 %","","","","","   .00 %","   .84 %"," 10.00 %"," 11.11 %","",""
"2020-09-06","  4.31 %","","","","  2.76 %","","  -.83 %","","","",""
"2020-09-07","  1.22 %","","","","  3.23 %","","  3.36 %","","",""," 20.00 %"
"2020-09-08","   .45 %","","","","  2.60 %","   .00 %","","","","","  5.56 %"
"2020-09-09"," 10.38 %","","","","","","","","","","   .00 %"
"2020-09-10"," 18.66 %","  6.25 %","","","  1.52 %","","","","","",""
"2020-09-11","  3.67 %","","","","  3.00 %","","  1.63 %","","   .00 %","","   .00 %"
"2020-09-12","  1.99 %","","","","","  6.45 %","   .00 %","","  3.33 %"," ##.## %",""
"2020-09-13","  3.04 %","","","","  1.46 %","","  3.20 %","","","",""
"2020-09-14","  1.16 %","","","","   .48 %","","","   .00 %",""," 22.22 %",""
"2020-09-15","  3.65 %",""," ##.## %"," 33.33 %","","  3.03 %","   .78 %","","","",""
"2020-09-16","  1.01 %","","","","  1.90 %","","","  6.06 %","",""," 52.63 %"
"2020-09-17","  2.19 %",""," 25.00 %","","   .00 %","","   .77 %","","","","  6.90 %"
"2020-09-18","  3.70 %","","   .00 %","","   .93 %","","  9.16 %","","",""," 12.90 %"
"2020-09-19","   .75 %","   .00 %","","","","","  3.50 %","   .00 %","   .00 %","","  2.86 %"
"2020-09-20","   .09 %","","","","  1.85 %"," 11.76 %"," 13.51 %","  2.86 %","","",""
"2020-09-21","   .37 %","","","","","  5.26 %","","  2.78 %","","",""
"2020-09-22","  9.83 %","","","","   .00 %","","","","   .00 %","",""
"2020-09-23","   .42 %","","","","","","  6.55 %","","",""," 16.67 %"
"2020-09-24","  2.78 %","","","","","","  6.15 %","  2.70 %","","","  2.38 %"
"2020-09-25","  2.05 %","","","","   .45 %","","   .00 %","  2.63 %","","",""
