"date","Nevada/Carson City","Nevada/Churchill","Nevada/Clark","Nevada/Douglas","Nevada/Elko","Nevada/Elko County","Nevada/Esmeralda","Nevada/Eureka","Nevada/Humboldt","Nevada/Lander","Nevada/Lincoln","Nevada/Lyon","Nevada/Mineral","Nevada/Nye","Nevada/Pershing","Nevada/Storey","Nevada/Unassigned","Nevada/Washoe","Nevada/White Pine"
"2020-03-22","","","","","","","","","","","","","","","","","","",""
"2020-03-23","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","53","0","0"
"2020-03-24","-1","0","86","2","0","0","0","0","0","0","0","0","0","1","0","0","-74","19","0"
"2020-03-25","0","0","37","1","0","0","0","0","0","0","0","1","0","0","0","0","0","6","0"
"2020-03-26","0","0","101","0","2","","0","0","0","0","0","0","0","0","0","0","-11","7","0"
"2020-03-27","0","0","93","0","0","","0","0","1","0","0","0","0","0","0","0","12","10","0"
"2020-03-28","3","0","0","2","0","","0","0","0","0","0","0","0","0","0","0","77","8","0"
"2020-03-29","0","0","85","0","1","","0","0","0","0","0","0","0","0","0","0","176","32","0"
"2020-03-30","0","0","225","0","0","","0","0","0","0","0","0","0","0","0","0","-137","4","0"
"2020-03-31","0","","116","1","2","","","","2","","","0","","0","","","-30","10","1"
"2020-04-01","0","","92","0","0","","","","2","","","0","","3","","","46","22","0"
"2020-04-02","0","","164","0","0","","","","0","","","0","","0","","","0","20","0"
"2020-04-03","0","","154","1","2","","","","2","","","1","","2","","","-132","21","0"
"2020-04-04","5","","139","0","1","","","","2","","","1","","1","","","18","61","0"
"2020-04-05","0","","101","0","0","","","","2","","","0","","0","","","-9","19","0"
"2020-04-06","1","","89","0","0","","","","0","","","0","","0","","","8","0","0"
"2020-04-07","0","","126","0","0","","","","0","","","0","","0","","","0","45","0"
"2020-04-08","2","","144","1","0","","","","3","","","1","","0","","","-33","17","0"
"2020-04-09","1","","131","1","1","","","","2","","1","0","","3","","","57","0","0"
"2020-04-10","1","","135","0","2","","","","0","","0","2","","0","","","89","37","0"
"2020-04-11","1","","0","1","0","","","","2","","0","0","","0","","","-50","26","0"
"2020-04-12","0","","180","0","0","","","","0","","0","1","","0","","","-73","26","0"
"2020-04-13","6","","120","0","0","","","","2","","0","3","","0","","","-23","46","0"
"2020-04-14","1","","65","0","0","","","","0","","0","0","","5","","","0","71","2"
"2020-04-15","2","","50","3","0","","","","0","","0","0","","0","","","5","17","0"
"2020-04-16","0","1","0","0","0","","","","0","","0","1","","4","","","-3","0","0"
"2020-04-17","2","0","179","1","1","","","","6","","-1","1","","2","","","96","23","0"
"2020-04-18","1","2","144","0","0","","","","0","","0","3","","0","","","-64","16","0"
"2020-04-19","0","0","58","1","0","","","","0","","0","1","","7","","","-14","49","0"
"2020-04-20","0","0","58","0","0","","","","1","","0","2","","0","","","16","25","0"
"2020-04-21","0","0","101","0","0","","","","7","","0","0","","1","","","-2","0","0"
"2020-04-22","0","0","119","1","0","","","","0","1","0","1","2","0","","","-28","48","0"
"2020-04-23","3","0","96","1","0","","","0","0","0","0","1","0","2","0","0","-2","26","0"
"2020-04-24","0","0","129","0","0","","","0","0","0","0","0","0","0","0","0","61","0","0"
"2020-04-25","3","0","127","1","0","","","0","1","0","0","3","0","0","0","0","-49","55","0"
"2020-04-26","3","0","95","1","0","","","0","1","0","0","3","0","0","0","0","79","13","0"
"2020-04-27","2","0","52","0","3","","","0","0","0","0","0","0","4","0","0","-95","0","0"
"2020-04-28","5","0","76","0","0","","","0","1","6","0","1","2","0","0","0","0","30","0"
"2020-04-29","0","0","98","0","0","","","0","1","0","0","0","0","0","0","0","0","14","0"
"2020-04-30","1","0","88","0","0","","","0","3","0","0","1","0","1","0","0","0","25","0"
"2020-05-01","2","0","139","1","0","","","0","3","0","0","1","0","1","0","0","0","48","0"
"2020-05-02","1","0","107","1","0","","","0","0","0","0","4","0","0","0","0","0","28","0"
"2020-05-03","0","0","49","0","0","","","0","5","0","0","1","0","0","0","0","0","28","0"
"2020-05-04","0","0","137","0","0","","","0","1","6","0","1","0","2","0","0","0","11","0"
"2020-05-05","3","0","-3","1","0","","","0","3","0","0","0","0","0","0","0","0","26","0"
"2020-05-06","0","0","65","0","0","","","0","5","1","1","1","0","0","0","0","0","8","0"
"2020-05-07","0","0","100","0","0","","","0","0","0","0","1","0","5","0","0","0","8","0"
"2020-05-08","0","0","0","1","0","","","0","0","0","0","0","0","0","0","0","29","35","0"
"2020-05-09","1","0","131","1","0","","","0","7","3","0","3","0","0","0","0","93","12","0"
"2020-05-10","3","0","46","0","0","","","0","2","0","0","2","0","0","0","0","-122","18","0"
"2020-05-11","1","0","12","0","3","","","0","0","0","0","2","0","0","0","0","9","5","0"
