"date","Massachusetts/Barnstable","Massachusetts/Berkshire","Massachusetts/Bristol","Massachusetts/Brockton","Massachusetts/Dukes","Massachusetts/Dukes and Nantucket","Massachusetts/Essex","Massachusetts/Franklin","Massachusetts/Hampden","Massachusetts/Hampshire","Massachusetts/Middlesex","Massachusetts/Nantucket","Massachusetts/Norfolk","Massachusetts/Plymouth","Massachusetts/Suffolk","Massachusetts/Unassigned","Massachusetts/Worcester"
"2020-03-22","24","23","24","6","0","1","60","6","12","4","199","0","75","25","126","24","37"
"2020-03-23","30","26","25","","0","1","73","6","15","6","232","0","82","32","154","53","42"
"2020-03-24","40","37","31","","0","2","118","10","24","8","304","0","129","64","234","85","73"
"2020-03-25","51","71","67","","0","3","177","14","45","11","446","0","222","101","342","159","129"
"2020-03-26","67","73","90","","0","3","247","16","55","17","538","0","292","138","448","267","166"
"2020-03-27","100","105","129","","0","4","350","24","90","20","685","0","393","187","631","303","219"
"2020-03-28","133","119","179","","0","8","472","39","183","30","842","0","490","272","843","356","291"
"2020-03-29","148","151","208","","0","8","570","41","201","37","981","0","548","325","940","460","337"
"2020-03-30","173","162","263","","0","8","653","49","255","46","1141","0","628","380","1115","489","390"
"2020-03-31","191","171","306","","","8","784","61","354","69","1340","","738","459","1373","333","433"
"2020-04-01","255","183","366","","","11","885","72","475","81","1582","","829","561","1624","251","563"
"2020-04-02","283","213","424","","","12","1039","85","546","102","1870","","938","621","1896","270","667"
"2020-04-03","314","240","517","","","16","1238","89","661","114","2202","","1045","745","2183","213","825"
"2020-04-04","330","253","601","","","16","1400","95","733","125","2468","","1199","898","2429","274","915"
"2020-04-05","347","258","659","","","17","1506","100","768","128","2632","","1271","963","2658","215","978"
"2020-04-06","383","268","722","","","17","1653","107","889","147","2950","","1382","1067","2929","246","1077"
"2020-04-07","405","278","768","","","18","1841","118","997","158","3187","","1592","1194","3245","229","1172"
"2020-04-08","423","281","835","","","17","2103","117","1081","164","3545","","1778","1327","3600","223","1296"
"2020-04-09","444","304","994","","","18","2336","128","1276","177","4045","","2007","1507","4041","203","1461"
"2020-04-10","464","329","1086","","","21","2670","135","1394","194","4447","","2216","1677","4534","129","1678"
"2020-04-11","480","336","1191","","","21","2896","138","1545","204","4872","","2395","1809","4926","225","1822"
"2020-04-12","501","350","1327","","","21","3170","143","1647","219","5660","","2649","2024","5359","373","2032"
"2020-04-13","502","355","1394","","","21","3413","148","1694","224","5983","","2838","2141","5579","447","2128"
"2020-04-14","514","360","1435","","","21","3594","155","1798","233","6254","","2969","2207","5872","506","2246"
"2020-04-15","530","370","1508","","","20","3894","160","1885","239","6681","","3122","2308","6279","572","2350"
"2020-04-16","550","382","1605","","","21","4245","170","1985","248","7206","","3342","2466","6820","638","2503"
"2020-04-17","573","383","1659","","","21","4584","173","2134","258","7744","","3499","2577","7272","760","2765"
"2020-04-18","590","385","1698","","","23","4914","177","2254","306","8297","","3659","2688","7696","733","2952"
"2020-04-19","632","387","1731","","","23","5153","181","2337","317","8737","","3789","2832","8074","815","3069"
"2020-04-20","632","387","1731","","","23","5153","181","2337","317","8737","","3789","2832","8074","815","3069"
"2020-04-21","672","404","1852","","","23","5521","192","2533","337","9621","","4062","3043","8669","929","3341"
"2020-04-22","678","404","1908","","","23","5783","196","2678","345","10094","","4212","3253","9060","854","3456"
"2020-04-23","708","418","2181","","","23","6219","203","2836","367","10724","","4541","3529","9739","737","3798"
"2020-04-24","747","425","2697","","","24","6841","217","3060","396","11681","","4979","4160","10724","791","4227"
"2020-04-25","756","425","2829","","","24","7212","225","3229","412","12253","","5172","4380","11218","753","4460"
"2020-04-26","772","428","2923","","","25","7489","226","3295","427","12648","","5288","4495","11543","807","4572"
"2020-04-27","798","428","3068","","","25","7708","231","3381","443","12953","","5398","4607","11883","795","4744"
"2020-04-28","820","430","3270","","","26","7972","237","3546","509","13417","","5567","4744","12140","625","4999"
"2020-04-29","842","440","3429","","","27","8380","252","3698","531","13799","","5700","4871","12539","457","5300"
"2020-04-30","860","442","3580","","","28","8673","257","3777","546","14208","","5896","5083","12890","415","5550"
"2020-05-01","902","444","3792","","","29","9028","260","3900","546","14607","","6065","5259","13295","397","5787"
"2020-05-02","937","448","3916","","","29","9362","263","4003","549","15048","","6187","5409","13606","377","6129"
"2020-05-03","946","451","4019","","","32","9542","269","4066","559","15370","","6280","5507","13777","981","6288"
"2020-05-04","961","453","4103","","","32","9773","273","4114","563","15757","","6382","5602","13941","662","6471"
"2020-05-05","969","457","4235","","","32","9979","275","4203","575","15980","","6466","5736","14173","594","6597"
"2020-05-06","997","461","4380","","","34","10344","278","4321","580","16327","","6610","5899","14476","326","6992"
"2020-05-07","1021","464","4529","","","33","10610","285","4441","595","16676","","6729","6081","14732","328","7197"
"2020-05-08","1038","472","4670","","","33","10995","289","4522","654","17014","","6801","6194","14944","297","7410"
"2020-05-09","1056","472","4847","","","34","11211","294","4647","659","17307","","6887","6311","15119","288","7611"
