"date","Himachal Pradesh/Bilaspur","Himachal Pradesh/Chamba","Himachal Pradesh/Hamirpur","Himachal Pradesh/Kangra","Himachal Pradesh/Kinnaur","Himachal Pradesh/Kullu","Himachal Pradesh/Lahaul and Spiti","Himachal Pradesh/Mandi","Himachal Pradesh/Shimla","Himachal Pradesh/Sirmaur","Himachal Pradesh/Solan","Himachal Pradesh/Una"
"2020-03-20","","","","1","","","","","","","",""
"2020-04-02","","","","","","","","","","","","3"
"2020-04-04","","","","2","","","","","","","6",""
"2020-04-05","","","","","","","","","","","7",""
"2020-04-06","","4","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","12"
"2020-04-09","","","","","","","","","","1","",""
"2020-04-11","","","","","","","","","","","9","14"
"2020-04-14","","","","","","","","","","","","15"
"2020-04-15","","6","","","","","","","","","",""
"2020-04-17","","","","3","","","","","","","",""
"2020-04-27","","","","3","","","","","","1","","15"
"2020-04-30","","6","","","","","","","","1","9","15"
"2020-05-01","","","","","","","","","","","",""
"2020-05-02","","6","","","","","","","","","","15"
"2020-05-03","","","","","","","","","","","","15"
"2020-05-04","","","","","","","","1","","","",""
"2020-05-05","","","","","","","","2","","","",""
"2020-05-06","","","","4","","","","","","","",""
"2020-05-07","","8","","","","","","","1","","",""
"2020-05-08","","9","1","5","","","","","","","","16"
"2020-05-09","","","2","6","","","","","","1","",""
"2020-05-10","2","12","","7","","","","","","","",""
"2020-05-11","","","","8","","","","","","","",""
"2020-05-12","","","4","14","","","","","","","",""
"2020-05-13","","","","15","","","","","","","",""
"2020-05-14","4","","5","16","","","","","","3","",""
"2020-05-15","","","","17","","","","","","","","17"
"2020-05-16","","12","6","18","","","","2","1","","",""
"2020-05-17","","","8","18","","","","","","","",""
"2020-05-18","7","13","13","19","","","","","","","","17"
"2020-05-19","7","","13","20","","","","","","","","18"
"2020-05-20","","13","13","33","","1","","6","","","",""
"2020-05-21","","13","44","39","","","","","","","14",""
"2020-05-22","","","58","41","","","","","","","",""
"2020-05-23","","","58","47","","","","10","2","","19","19"
