"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/CAPF Personnel ","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-03-24","","","","","","","1","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","1","","","","","","","","","","","","",""
"2020-05-19","","","","","","","1","","","","","","","","","","","","",""
"2020-05-20","","","","","","","1","","","","","","","","","","","","",""
"2020-05-22","","","","","","","1","","","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","","","","","","","","","","",""
"2020-05-26","","","","","","","1","","","","","","","","","","","","",""
"2020-05-29","","","","","","","1","","","2","","","","","","","","","",""
"2020-05-30","","","","","","","1","","","","","","","","","","","","",""
"2020-05-31","","","","","2","","1","","","","","","","","","","","2","",""
"2020-06-01","","","","","","","1","","","2","","","","","","","","2","",""
"2020-06-02","","","","","","","1","","","","","","","","","","","","",""
"2020-06-03","","","","","3","11","","","","2","","","","","","","","2","",""
"2020-06-04","","","","","3","","","","","","","","","","","","","","",""
"2020-06-05","","","","","","","1","","","","","","","","","","","","",""
"2020-06-06","1","","","","3","","5","","","","","","1","","","1","","4","2",""
"2020-06-07","","","","","","","5","","","","","","","","","","","4","2",""
"2020-06-08","1","","","","3","","5","","","2","","","1","","","","","","2",""
"2020-06-09","","","","","","","","","","2","","","1","","","","","","",""
"2020-06-10","","","","","","11","","","","","","","","","","","","","",""
"2020-06-11","1","","","","","11","5","","","","","","1","","","1","","","2",""
"2020-06-12","","","","","20","11","5","","","","","","1","","","1","","","2",""
"2020-06-13","","","","","18","","","","","","","","","","","","","","",""
"2020-06-16","","","","","","","5","","","","","","","","","","","","",""
"2020-06-17","1","","","","18","","5","","","2","","","","","","","","4","2",""
"2020-06-18","","","","","18","","","","","","","","","","","","","","",""
"2020-06-19","6","","","4","42","8","31","2","13","15","14","","12","3","5","16","13","19","14",""
"2020-06-20","6","","","","","8","","","13","15","14","","","","5","16","13","","14",""
"2020-06-21","9","","","4","44","15","34","","17","15","18","","","","9","18","","22","",""
"2020-06-22","9","","","4","44","15","","","17","15","18","","","","9","18","","22","",""
"2020-06-23","","","","4","44","","39","","18","","18","","14","","9","","","","",""
"2020-06-24","56","","","","47","15","49","2","25","17","18","","14","","9","18","","23","14",""
"2020-06-25","57","","","","55","15","52","","25","17","18","","17","","10","25","","23","17",""
"2020-06-26","","","","","55","","","","","17","","","","","10","","","23","17",""
"2020-06-27","","","","","","","52","","25","","","","","","","","","23","17",""
"2020-06-28","","","","","55","15","52","","25","17","","","17","","10","25","","","17",""
"2020-06-29","58","","","","58","","","","27","17","19","","18","15","21","32","","","18",""
"2020-06-30","58","","","","","15","","","","","19","","","","21","","","","",""
"2020-07-01","","","","","","","52","2","","17","","","","","21","32","","23","18",""
"2020-07-02","","","","","58","","52","","27","17","19","","","","","","","23","18",""
"2020-07-03","","","","","","","","2","","","","11","","","","","","23","18","5"
"2020-07-04","58","","","","","15","","","","","","","","","21","","","","",""
"2020-07-05","","","","","58","15","52","","27","17","19","","18","","","32","","","18",""
"2020-07-06","","","","","","15","","2","","","","","","","21","","","","",""
"2020-07-07","","","","","58","15","","2","27","","19","","","","21","","","","",""
"2020-07-08","","","","","","","","","","","","","","","21","","","","",""
"2020-07-09","58","","","","58","15","","2","","","","","","","","32","","","",""
"2020-07-10","","","","","","15","52","2","27","17","","","","","21","32","","23","18",""
"2020-07-11","","","","","","","52","2","","","","","","","","","","","18",""
"2020-07-12","","","","4","","15","","","27","","19","","","","21","","","","",""
"2020-07-13","","","","","58","15","","","","","","","","","21","","","","",""
"2020-07-14","","","","","58","15","52","2","","","19","","","","","32","","23","18",""
"2020-07-15","","","","","","","52","2","27","17","","","","","","32","","23","",""
"2020-07-16","","","","","58","","52","","27","17","","","","","21","32","","23","18",""
"2020-07-17","58","","","","58","","","2","","","","","","","","","","23","18",""
"2020-07-18","","","","","","","52","","","17","19","","","","","32","","23","18",""
"2020-07-19","58","","","","","15","52","","","","","","","","21","32","","23","18",""
"2020-07-20","","","","","","","52","","","17","","","","","","","","23","",""
"2020-07-21","","","","","","15","52","2","27","","19","","","","","","13","23","",""
"2020-07-22","","","","","58","15","","2","","","","","","","21","","","23","18",""
"2020-07-23","","","","","","","52","","27","17","19","","","","","","13","23","18",""
"2020-07-24","","","","","58","15","52","2","","","","","","","","","","23","18",""
"2020-07-25","","","","","","15","52","","","","","","","","","","","23","",""
"2020-07-26","","","","","","","52","","27","","","","","","","32","","23","",""
"2020-07-27","","","","","58","15","52","","","","19","","","","","","","23","",""
"2020-07-28","","","","","58","","52","","","","","","","","","32","","23","",""
"2020-07-29","58","","","","58","15","52","","27","17","","","","","21","32","","23","",""
"2020-07-30","","","","","58","15","52","","","","19","","","","21","","13","23","",""
"2020-07-31","","","","","58","15","52","","27","","19","","","","21","32","13","23","",""
"2020-08-01","58","","","4","","15","52","","27","","19","","","","","32","13","23","18",""
"2020-08-02","","","","4","58","","52","","","","19","","","","21","","","23","",""
"2020-08-03","58","","","","","","52","","","","","","","","","","","23","18",""
"2020-08-04","","","","4","","15","52","","27","","","","","","","32","","23","",""
"2020-08-05","58","","","4","58","15","52","","","","","","","","21","","","23","",""
"2020-08-06","58","","","","58","15","52","","27","17","19","","","","","","","23","",""
"2020-08-07","58","","","4","","15","52","","27","","19","","","","","32","","23","",""
"2020-08-08","58","","","4","58","15","52","","","","","","18","","","","","23","18",""
"2020-08-09","","","","4","58","15","52","2","","","19","","","","21","","","23","18",""
