"date","Connecticut/Fairfield","Connecticut/Hartford","Connecticut/Litchfield","Connecticut/Middlesex","Connecticut/New Haven","Connecticut/New London","Connecticut/Tolland","Connecticut/Unassigned","Connecticut/Windham"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-03-23"," 20.00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-03-24"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","","   .00 %"
"2020-03-25"," 71.43 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-03-26","  8.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-03-27"," 15.38 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","","   .00 %"
"2020-03-28"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","","   .00 %"
"2020-03-29","  5.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-03-30","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-31"," 80.95 %"," ##.## %","   .00 %","   .00 %"," ##.## %","   .00 %"," 75.00 %","   .00 %","   .00 %"
"2020-04-01"," 21.05 %"," 57.14 %","   .00 %"," ##.## %"," 25.00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-02"," 41.30 %"," 18.18 %"," ##.## %"," 50.00 %"," 13.33 %","   .00 %"," 42.86 %","-50.00 %","   .00 %"
"2020-04-03"," 15.38 %"," 38.46 %"," ##.## %","-33.33 %","  5.88 %"," ##.## %","   .00 %","   .00 %","   .00 %"
"2020-04-04"," 14.67 %"," 44.44 %"," 25.00 %"," ##.## %"," 61.11 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-05"," 11.63 %"," 11.54 %"," 20.00 %"," 25.00 %"," 24.14 %"," 33.33 %"," 10.00 %","   .00 %","   .00 %"
"2020-04-06","  5.21 %","  6.90 %"," 33.33 %"," 40.00 %"," 13.89 %","   .00 %"," 18.18 %","-##.## %","   .00 %"
"2020-04-07"," 30.69 %"," 54.84 %"," 12.50 %","   .00 %"," 46.34 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-08","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-04-09"," 34.85 %"," 56.25 %"," 44.44 %"," ##.## %"," 30.00 %"," 50.00 %","   .00 %","-96.15 %","   .00 %"
"2020-04-10"," 14.04 %"," 17.33 %"," 23.08 %"," 21.43 %"," 25.64 %"," 16.67 %","  7.69 %"," ##.## %","   .00 %"
