"date","Andaman and Nicobar Islands/North and Middle Andaman","Andaman and Nicobar Islands/South Andaman"
"2020-03-26","",""
"2020-03-27","",""
"2020-03-28","",""
"2020-03-30","",""
"2020-04-08","",""
"2020-04-17","","1"
"2020-04-18","","3"
"2020-04-19","","4"
"2020-04-20","","5"
"2020-04-21","","6"
"2020-04-22","","7"
"2020-04-23","","11"
"2020-04-24","","18"
"2020-04-25","","22"
"2020-04-28","","22"
"2020-04-30","","22"
"2020-05-02","","22"
"2020-05-03","","22"
"2020-05-07","","22"
"2020-06-09","","23"
"2020-06-10","","24"
"2020-06-16","","27"
"2020-06-26","","41"
