"date","Tripura/Dhalai","Tripura/Gomati","Tripura/Khowai","Tripura/North Tripura","Tripura/Sipahijala","Tripura/South Tripura","Tripura/Unokoti","Tripura/West Tripura"
"2020-04-06","","   .00 %","","","","","",""
"2020-04-10","","","","   .00 %","","","",""
"2020-04-30","","   .00 %","","","","","",""
"2020-05-02","   .00 %","","","","","","",""
"2020-05-03"," ##.## %","","","","","","",""
"2020-05-04","  8.33 %","","","","","","",""
"2020-05-05","   .00 %","","","","","","",""
"2020-05-06"," 69.23 %","","","","","","",""
"2020-05-07","  9.09 %","","","","","","",""
"2020-05-08"," 25.00 %","","","","","","",""
"2020-05-09","-46.67 %","","","   .00 %","","","",""
"2020-05-10","   .00 %","","","","","","",""
"2020-05-12","-87.50 %","","","","","","",""
"2020-05-13","-50.00 %","","","","","","",""
"2020-05-14","   .00 %","","","","","","",""
"2020-05-15","","","","","","","",""
"2020-05-16","   .00 %","","   .00 %"," ##.## %","","","",""
"2020-05-17","-##.## %","","","","","","",""
"2020-05-18","   .00 %","","","","","","",""
"2020-05-19","   .00 %","","","","","","",""
"2020-05-21","","","","","   .00 %","","",""
"2020-05-22","   .00 %","","","","","","",""
"2020-05-23","   .00 %"," ##.## %","   .00 %","-50.00 %"," 50.00 %","   .00 %","   .00 %","   .00 %"
"2020-05-24","","","","","","","",""
"2020-05-26","   .00 %","-75.00 %","   .00 %","   .00 %","","   .00 %","","-66.67 %"
"2020-05-27",""," ##.## %","-90.00 %","-50.00 %","","","",""
"2020-05-28","","","","","","","",""
"2020-05-30","   .00 %","-85.71 %","   .00 %",""," ##.## %","-50.00 %","   .00 %"," ##.## %"
"2020-05-31","-33.33 %"," ##.## %","","   .00 %"," 50.00 %"," ##.## %"," ##.## %","-77.78 %"
"2020-06-01","","-33.33 %"," ##.## %",""," 88.89 %"," 66.67 %"," ##.## %"," ##.## %"
"2020-06-02"," ##.## %"," ##.## %","","","-98.04 %"," ##.## %","-95.12 %","-##.## %"
"2020-06-03",""," ##.## %"," ##.## %","   .00 %"," ##.## %"," 17.65 %","   .00 %","   .00 %"
"2020-06-04","-94.74 %","-64.00 %","-85.71 %"," ##.## %","-98.72 %","-60.00 %","","-88.89 %"
"2020-06-05","   .00 %","-88.89 %","   .00 %",""," ##.## %"," 25.00 %","-50.00 %"," ##.## %"
"2020-06-06"," ##.## %"," ##.## %","   .00 %","   .00 %"," 21.43 %","",""," ##.## %"
"2020-06-07",""," ##.## %","",""," 44.12 %","","",""
"2020-06-08","","","","","-22.45 %","","",""
"2020-06-09","","","   .00 %","","-52.63 %","   .00 %","","   .00 %"
"2020-06-10","   .00 %","-25.00 %","","","-61.11 %","-83.33 %"," ##.## %","   .00 %"
"2020-06-11","   .00 %","-66.67 %","   .00 %",""," ##.## %","   .00 %","","-52.94 %"
"2020-06-12",""," ##.## %","",""," 92.86 %","   .00 %","   .00 %",""
"2020-06-13","","   .00 %","   .00 %",""," ##.## %",""," ##.## %","-62.50 %"
"2020-06-14","","","","","-57.69 %","","",""
"2020-06-15","","","","","-72.73 %","   .00 %","",""
"2020-06-16","   .00 %","   .00 %","   .00 %","   .00 %","-77.78 %","","   .00 %","   .00 %"
"2020-06-17","","   .00 %","","","-50.00 %","   .00 %","","   .00 %"
"2020-06-18","   .00 %","-90.00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","-90.00 %"
"2020-06-19",""," ##.## %","","","","   .00 %","-50.00 %","   .00 %"
"2020-06-20","   .00 %","-66.67 %","","","   .00 %","","","   .00 %"
"2020-06-21","   .00 %"," ##.## %","-80.00 %","-33.33 %"," ##.## %","-89.47 %","   .00 %"," ##.## %"
"2020-06-22","   .00 %",""," ##.## %","   .00 %","-57.14 %","","-50.00 %","-75.00 %"
"2020-06-23"," ##.## %","-75.00 %","-60.00 %","-50.00 %"," ##.## %","   .00 %","","-75.00 %"
"2020-06-24","","","","","","","",""
"2020-06-25","-75.00 %","","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %"
"2020-06-26","   .00 %","   .00 %","","","-50.00 %"," 40.00 %",""," ##.## %"
"2020-06-27"," ##.## %","","   .00 %"," ##.## %","-50.00 %","","","-66.67 %"
"2020-06-28","","   .00 %","   .00 %",""," ##.## %","","   .00 %","-##.## %"
"2020-06-29",""," ##.## %","-33.33 %","","-88.89 %","   .00 %"," ##.## %","   .00 %"
