"date","Connecticut/Fairfield","Connecticut/Hartford","Connecticut/Litchfield","Connecticut/Middlesex","Connecticut/New Haven","Connecticut/New London","Connecticut/Tolland","Connecticut/Unassigned","Connecticut/Windham"
"2020-03-22","208","54","12","6","29","3","14","","1"
"2020-03-23","270","61","13","8","41","4","16","","2"
"2020-03-24","384","88","22","8","89","6","19","","2"
"2020-03-25","546","116","33","15","127","9","27","","2"
"2020-03-26","607","138","44","18","156","13","33","","3"
"2020-03-27","752","189","52","25","222","15","33","","3"
"2020-03-28","908","228","65","28","236","19","37","","3"
"2020-03-29","1245","276","87","38","280","20","40","","7"
"2020-03-30","1445","330","113","50","373","24","50","176","10"
"2020-03-31","1870","393","121","56","517","27","56","77","11"
"2020-04-01","1986","469","131","66","611","29","61","185","19"
"2020-04-02","2132","539","141","74","647","29","67","174","21"
"2020-04-03","2716","679","173","91","891","40","79","218","27"
"2020-04-04","2824","726","182","100","1024","57","91","241","31"
"2020-04-05","3050","751","197","110","1162","57","94","222","32"
"2020-04-06","3719","882","230","135","1468","65","103","264","40"
"2020-04-07","4136","1045","255","150","1664","85","111","292","43"
"2020-04-08","4136","1045","255","150","1664","85","111","292","43"
"2020-04-09","4882","1471","315","205","2183","139","145","392","52"
"2020-04-10","5180","1615","346","240","2383","156","152","407","59"
"2020-04-11","5407","1832","388","290","2715","185","171","456","66"
"2020-04-12","5534","1914","403","299","2946","190","182","501","66"
"2020-04-13","6004","2243","446","339","3358","222","195","491","83"
"2020-04-14","6213","2370","460","355","3543","227","201","533","87"
"2020-04-15","6480","2570","490","379","3758","236","216","537","89"
"2020-04-16","6816","2859","535","394","4163","255","241","534","87"
"2020-04-17","7146","3015","569","422","4520","292","258","495","92"
"2020-04-18","7363","3196","593","448","4743","315","270","525","97"
"2020-04-19","7434","3351","600","462","4871","339","276","529","100"
"2020-04-20","8320","3823","639","484","5272","356","299","514","108"
"2020-04-21","8472","3951","643","512","5493","369","305","503","112"
"2020-04-22","9883","4128","722","525","5811","397","331","550","122"
"2020-04-23","10008","4303","751","545","6064","419","359","522","129"
"2020-04-24","10227","4570","808","561","6286","448","375","522","139"
"2020-04-25","10373","4761","834","576","6509","473","384","522","151"
"2020-04-26","10529","4989","864","588","6715","498","407","522","157"
"2020-04-27","10763","5157","892","609","6993","516","419","484","164"
"2020-04-28","10874","5224","900","618","7089","530","422","491","164"
"2020-04-29","10985","5388","919","631","7205","540","427","507","165"
"2020-04-30","11294","5601","963","657","7536","564","437","462","186"
"2020-05-01","11612","5931","1014","687","7900","603","446","371","200"
"2020-05-02","11801","6112","1036","707","8024","623","461","312","211"
"2020-05-03","11801","6112","1036","707","8024","623","461","312","211"
"2020-05-04","12245","6173","1047","713","8110","641","464","363","217"
"2020-05-05","12360","6351","1065","734","8337","681","502","368","223"
"2020-05-06","12455","6530","1085","742","8419","704","513","305","242"
"2020-05-07","12679","6750","1114","764","8678","742","522","285","250"
"2020-05-08","12879","6904","1130","775","8887","755","530","302","249"
"2020-05-09","13030","7105","1142","789","9091","775","540","246","266"
"2020-05-10","13236","7263","1153","798","9209","782","543","300","270"
"2020-05-11","13312","7358","1161","801","9260","784","545","273","271"
"2020-05-12","13488","7528","1171","823","9430","793","556","263","281"
"2020-05-13","13636","7732","1179","837","9570","804","560","250","287"
"2020-05-14","13836","7935","1203","863","9712","821","568","235","291"
"2020-05-15","14009","8126","1218","885","9881","844","583","238","301"
"2020-05-16","14140","8299","1234","898","10075","860","636","257","304"
"2020-05-17","14248","8723","1269","909","10159","873","715","210","313"
"2020-05-18","14439","8957","1280","936","10338","876","735","233","322"
"2020-05-19","14522","9050","1290","947","10427","880","770","218","326"
"2020-05-20","14719","9234","1299","965","10587","896","786","202","329"
"2020-05-21","14751","9299","1303","972","10663","903","787","194","336"
"2020-05-22","14889","9463","1298","992","10756","910","796","188","348"
"2020-05-23","14989","9545","1304","999","10847","970","799","215","354"
"2020-05-24","15114","9686","1331","1010","10905","1046","807","210","359"
