"date","Punjab/Amritsar","Punjab/Barnala","Punjab/Bathinda","Punjab/Faridkot","Punjab/Fatehgarh Sahib","Punjab/Fazilka","Punjab/Ferozepur","Punjab/Gurdaspur","Punjab/Hoshiarpur","Punjab/Jalandhar","Punjab/Kapurthala","Punjab/Ludhiana","Punjab/Mansa","Punjab/Moga","Punjab/Pathankot","Punjab/Patiala","Punjab/Rupnagar","Punjab/S.A.S. Nagar","Punjab/Sangrur","Punjab/Shahid Bhagat Singh Nagar","Punjab/Sri Muktsar Sahib","Punjab/Tarn Taran"
"2020-03-19","","","","","","","","","","","","","","","","","","","","   .00 %","",""
"2020-03-20","","","","","","","","","","","","","","","","","","   .00 %","","","",""
"2020-03-21","","","","","","","","","   .00 %","","","","","","","",""," ##.## %","","   .00 %","",""
"2020-03-22","   .00 %","","","","","","","","","","","","","","","","","",""," 16.67 %","",""
"2020-03-23","","","","","","","","","","","","","","","","","","-83.33 %","","-92.86 %","",""
"2020-03-24","","","","","","","","","   .00 %","   .00 %","","","","","","","","   .00 %","","","",""
"2020-03-25","","","","","","","","","-50.00 %","","","   .00 %","","","","","","","","","",""
"2020-03-26","","","","","","","","","","-66.67 %","","","","","","","","","","   .00 %","",""
"2020-03-27","","","","","","","","","","   .00 %","","","","","","","","   .00 %",""," ##.## %","",""
"2020-03-30","","","","","","","",""," ##.## %","","","   .00 %","","","","","","","","","",""
"2020-03-31","-50.00 %","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","   .00 %","","","","",""," ##.## %","","","",""
"2020-04-02","","","","","","","","","-50.00 %","","","","","","","","","","","","",""
"2020-04-03"," ##.## %","","","","","","","","","","","   .00 %","","","","   .00 %","","-33.33 %","","","",""
"2020-04-04"," 50.00 %","","","   .00 %","","","","","","   .00 %","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","",""
"2020-04-05","","   .00 %","","","","","","","","","","   .00 %","","","","","","-50.00 %","","","",""
"2020-04-06","-66.67 %","","","","   .00 %","","","","","","   .00 %","   .00 %","","","",""," ##.## %"," ##.## %","","","",""
"2020-04-07","   .00 %","","","","","","","","","","","","-33.33 %","   .00 %","   .00 %","",""," 75.00 %","","","",""
"2020-04-08","","","","   .00 %","","","","",""," ##.## %","","","","","","","","-42.86 %","","","",""
"2020-04-09","   .00 %","   .00 %","","","","","","",""," 50.00 %",""," ##.## %"," ##.## %","","","",""," 75.00 %","   .00 %","","   .00 %",""
"2020-04-10","","","","","","","","","","-66.67 %","","","",""," 33.33 %","",""," 57.14 %","   .00 %","","",""
"2020-04-11","","","","","","","","",""," ##.## %","","","","","-87.50 %","   .00 %","","-81.82 %","","","",""
"2020-04-12","","","","   .00 %","","","","",""," ##.## %","   .00 %","","","","","",""," 50.00 %","","","",""
"2020-04-13","","","","","","","","","","-71.43 %","","-75.00 %","",""," ##.## %","","","-66.67 %","","","",""
"2020-04-14","","","","","","","","   .00 %","","-50.00 %","","","",""," ##.## %","",""," ##.## %","","","",""
"2020-04-15","","","","","","","","","","","","","","","","   .00 %","","","   .00 %","","",""
"2020-04-16","","","","","","","","",""," ##.## %","","","","","-50.00 %"," ##.## %","","","","","",""
"2020-04-17","","","","","","","   .00 %","","","-33.33 %",""," ##.## %","","",""," 66.67 %","","","","","",""
"2020-04-18","","","","","","","","   .00 %",""," 50.00 %","","","","",""," ##.## %","","-50.00 %","","","",""
"2020-04-19","","","","","","","","-##.## %","","   .00 %","","","","","","",""," ##.## %","","","",""
"2020-04-20","","","","","","","","","","-83.33 %","","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","","","","","","","-66.67 %","","-75.00 %","","","",""
"2020-04-22"," ##.## %","","","","","","","",""," ##.## %","   .00 %","","","",""," ##.## %","","","","","",""
"2020-04-23","","","","","","","","","","-16.67 %","","","","","","","","","","","",""
"2020-04-24","-50.00 %","","","","","","","","","-20.00 %","","-75.00 %","-66.67 %","","","-66.67 %","","   .00 %","","","",""
"2020-04-25","","","","","","","","","","-25.00 %","","","","","-50.00 %","   .00 %","","","","","",""
"2020-04-26","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","-66.67 %","",""
"2020-04-27","","","","","","","","","","-##.## %"," ##.## %","-##.## %","","","","","","","","","","   .00 %"
"2020-04-28","","","","","","","","","   .00 %","   .00 %","","","","","","","","   .00 %","","","","-60.00 %"
"2020-04-29","","","   .00 %"," ##.## %","","","",""," ##.## %","-85.71 %","","   .00 %","","","","   .00 %",""," ##.## %","   .00 %"," ##.## %","",""
"2020-04-30","   .00 %","","","","","","   .00 %","   .00 %",""," ##.## %"," ##.## %"," ##.## %","","-75.00 %","","-50.00 %","   .00 %"," 62.50 %"," ##.## %","-50.00 %"," ##.## %"," ##.## %"
"2020-05-01"," 71.43 %","","","","-50.00 %","   .00 %"," ##.## %","",""," ##.## %","","-61.76 %","","   .00 %","","   .00 %","","-53.85 %","","","",""
"2020-05-02"," 10.42 %","","",""," ##.## %","","-40.00 %","-66.67 %"," ##.## %"," -6.25 %","-83.33 %"," 61.54 %",""," ##.## %",""," ##.## %","-50.00 %","-66.67 %","-50.00 %","","   .00 %",""
"2020-05-03"," 41.51 %"," ##.## %"," ##.## %","   .00 %"," 16.67 %","","-66.67 %"," ##.## %"," 48.39 %","-73.33 %","","-33.33 %","   .00 %","","","-##.## %"," ##.## %","-50.00 %"," ##.## %"," ##.## %"," ##.## %",""
"2020-05-04",""," ##.## %","-96.97 %","   .00 %","",""," ##.## %","-76.00 %","","   .00 %","","-##.## %","-66.67 %",""," ##.## %","   .00 %","",""," ##.## %","","-##.## %"," ##.## %"
"2020-05-05","","",""," ##.## %",""," ##.## %",""," ##.## %",""," 50.00 %","   .00 %","   .00 %","","","","   .00 %","","","-57.69 %","","   .00 %"," 80.77 %"
"2020-05-06","   .00 %","-93.33 %","   .00 %","","-57.14 %","-97.06 %","-92.31 %","-97.92 %","   .00 %","-83.33 %","",""," ##.## %"," 27.27 %",""," ##.## %","","","-90.91 %","-98.39 %","-93.33 %","-65.96 %"
"2020-05-07"," ##.## %",""," ##.## %","","-66.67 %","",""," ##.## %",""," ##.## %","","   .00 %","","",""," ##.## %","","   .00 %","-50.00 %","",""," ##.## %"
"2020-05-08","-76.09 %","   .00 %","-50.00 %",""," ##.## %","",""," ##.## %",""," -8.33 %","   .00 %","","   .00 %","","","","","   .00 %",""," ##.## %","","-74.42 %"
"2020-05-09","","","",""," 25.00 %","","","","   .00 %"," 54.55 %","-80.00 %","","","","   .00 %","-83.33 %","-50.00 %","","","","",""
"2020-05-10","-27.27 %","","",""," 60.00 %","","","","","","   .00 %","","","-96.43 %","","   .00 %"," ##.## %","   .00 %","","","",""
"2020-05-11","-87.50 %","","","   .00 %"," 37.50 %","   .00 %","   .00 %","-75.00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," ##.## %","","   .00 %","-97.14 %","","","","","-90.91 %"
"2020-05-12","   .00 %","","","","-27.27 %","   .00 %","","","","-30.77 %","   .00 %"," ##.## %","","","","   .00 %","","","","","",""
"2020-05-13","","","","","","","","","   .00 %","-88.89 %","   .00 %","-68.75 %","","","",""," ##.## %","   .00 %","","","",""
"2020-05-14","","","","","","","","",""," ##.## %","","-40.00 %","","","   .00 %","   .00 %","","","","","",""
"2020-05-15","   .00 %","","   .00 %","   .00 %","-##.## %"," ##.## %","","-83.33 %","","","","-##.## %","   .00 %","","",""," 50.00 %","   .00 %","","-##.## %","",""
"2020-05-16","   .00 %","","","-50.00 %","   .00 %","","","","","   .00 %"," ##.## %","   .00 %","","   .00 %","   .00 %","   .00 %","-66.67 %","   .00 %","","   .00 %","","-##.## %"
"2020-05-17","   .00 %","","   .00 %"," 33.33 %","","","","   .00 %","","",""," 66.67 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %",""
"2020-05-18","","","","-50.00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","-80.00 %"," 20.00 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-05-19","-50.00 %","","","","","","","   .00 %","","",""," ##.## %","   .00 %","-##.## %","   .00 %","   .00 %","   .00 %","","   .00 %","-##.## %","   .00 %",""
"2020-05-20","-50.00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","","","   .00 %","",""
"2020-05-21"," ##.## %","   .00 %","","","","   .00 %",""," ##.## %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","   .00 %",""
"2020-05-22","-80.00 %","","   .00 %","","   .00 %","","","","","   .00 %","","-50.00 %","   .00 %","","","","   .00 %","","   .00 %","","","   .00 %"
"2020-05-23"," ##.## %","","   .00 %","   .00 %","","","","-75.00 %","","   .00 %","   .00 %","   .00 %","","","-50.00 %"," ##.## %","   .00 %","","","","   .00 %",""
"2020-05-24","-75.00 %","","","   .00 %","","   .00 %",""," ##.## %","-42.86 %","-66.67 %","","","   .00 %",""," ##.## %","","","","","   .00 %","","   .00 %"
"2020-05-25"," ##.## %","","","   .00 %","","","","",""," ##.## %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-05-26","-80.00 %","","","   .00 %","","","","","   .00 %"," 66.67 %","","   .00 %","","","-28.57 %","","","","","   .00 %","",""
"2020-05-27"," ##.## %","   .00 %","","","","","","   .00 %","","","","-50.00 %","","","-40.00 %","   .00 %","",""," ##.## %","",""," ##.## %"
"2020-05-28","-56.25 %","","","","","","","","   .00 %","-70.00 %","","","","","","","   .00 %","   .00 %"," 50.00 %","","",""
"2020-05-29"," 71.43 %","","","","","","","   .00 %",""," ##.## %",""," ##.## %","","   .00 %"," 66.67 %","-85.71 %","   .00 %"," ##.## %","","","",""
"2020-05-30","-33.33 %",""," ##.## %","","   .00 %","   .00 %","","-66.67 %","-50.00 %","","","","",""," 60.00 %"," ##.## %",""," 33.33 %","-33.33 %","","","-50.00 %"
"2020-05-31","-62.50 %","   .00 %","","","","","",""," ##.## %","   .00 %","","   .00 %","","-50.00 %","",""," ##.## %","","","","",""
"2020-06-01"," ##.## %","","-60.00 %",""," ##.## %","-##.## %","   .00 %","   .00 %"," ##.## %","-75.00 %","","-11.11 %","","","   .00 %","   .00 %","","-50.00 %","","   .00 %","",""
"2020-06-02","-88.89 %","","","   .00 %","-80.00 %","",""," ##.## %",""," ##.## %","   .00 %","-50.00 %",""," ##.## %"," ##.## %","-75.00 %","",""," ##.## %","   .00 %","",""
"2020-06-03"," ##.## %","","-50.00 %"," ##.## %","","",""," 50.00 %","   .00 %","-72.73 %","","","","","-12.50 %"," ##.## %",""," ##.## %","","-50.00 %","   .00 %",""
"2020-06-04"," ##.## %",""," ##.## %","","","   .00 %","","-33.33 %","   .00 %","-33.33 %",""," 25.00 %","","","-42.86 %","","-87.50 %","","-83.33 %","-##.## %","-50.00 %",""
"2020-06-05","-81.25 %","","-66.67 %","-66.67 %","   .00 %","",""," 50.00 %",""," ##.## %","   .00 %"," ##.## %","","-50.00 %","-75.00 %","-50.00 %","","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-06-06"," ##.## %","   .00 %","   .00 %"," ##.## %"," ##.## %","   .00 %","","","","","","-37.50 %","   .00 %","   .00 %"," ##.## %","","","","","   .00 %","",""
"2020-06-07"," 34.62 %","   .00 %",""," 50.00 %","-75.00 %","   .00 %","","   .00 %","-66.67 %"," ##.## %","","   .00 %","","","-60.00 %"," ##.## %","","-75.00 %","   .00 %","","",""
"2020-06-08","-65.71 %","","","-33.33 %","","   .00 %","","-66.67 %","","-39.13 %","","-10.00 %","","   .00 %"," 50.00 %","-28.57 %",""," ##.## %","-60.00 %"," ##.## %","",""
"2020-06-09"," 75.00 %","   .00 %","","-##.## %","   .00 %","","","","","-71.43 %",""," 66.67 %","","","   .00 %","-80.00 %",""," 66.67 %"," ##.## %","","   .00 %","-50.00 %"
"2020-06-10","-38.10 %","   .00 %","","   .00 %","   .00 %","",""," ##.## %","   .00 %","-75.00 %","-50.00 %","-26.67 %","",""," ##.## %"," ##.## %","","-40.00 %","-20.00 %","   .00 %","",""
"2020-06-11","  7.69 %","","   .00 %","","","","","-92.31 %","   .00 %"," ##.## %",""," 63.64 %","","   .00 %","   .00 %"," ##.## %",""," 33.33 %"," ##.## %"," ##.## %","   .00 %",""
"2020-06-12"," ##.## %","   .00 %","","",""," ##.## %","   .00 %","","   .00 %","-25.00 %","","-33.33 %","","","","","   .00 %","-25.00 %","-50.00 %","   .00 %","",""
"2020-06-13","-85.71 %"," ##.## %","   .00 %","","   .00 %","","   .00 %","",""," 33.33 %","   .00 %"," ##.## %","","","   .00 %","   .00 %","-60.00 %"," ##.## %","-40.00 %"," ##.## %","","   .00 %"
"2020-06-14"," 33.33 %","","",""," ##.## %","","   .00 %","   .00 %","   .00 %","-75.00 %","","-19.23 %","","-50.00 %","-16.67 %"," ##.## %","-50.00 %"," -9.09 %"," 66.67 %","","   .00 %","-25.00 %"
"2020-06-15"," 66.67 %","","","   .00 %","-50.00 %","   .00 %"," ##.## %","-50.00 %","   .00 %"," ##.## %","   .00 %"," 57.14 %","","   .00 %","-60.00 %","   .00 %","   .00 %"," 10.00 %"," ##.## %","-80.00 %","","-66.67 %"
"2020-06-16","-55.00 %","","","   .00 %","   .00 %","   .00 %","-50.00 %"," ##.## %"," 50.00 %"," 34.78 %"," ##.## %","-33.33 %","",""," ##.## %","-10.00 %"," ##.## %","-63.64 %","-73.33 %","   .00 %","","   .00 %"
"2020-06-17"," 88.89 %","","   .00 %","   .00 %"," ##.## %","-66.67 %"," ##.## %","","-66.67 %","   .00 %","-75.00 %"," 81.82 %"," 50.00 %"," ##.## %","   .00 %","-88.89 %",""," 25.00 %","-50.00 %","","","   .00 %"
"2020-06-18"," ##.## %","   .00 %","","","-33.33 %","","-83.33 %","   .00 %"," ##.## %","-96.77 %"," ##.## %","-47.50 %","-66.67 %","",""," ##.## %","-50.00 %"," 40.00 %"," ##.## %","",""," ##.## %"
"2020-06-19","-10.26 %","-62.50 %","-25.00 %"," ##.## %","   .00 %","   .00 %"," ##.## %","-75.00 %","   .00 %"," ##.## %"," ##.## %"," -9.52 %","","","   .00 %","-33.33 %","   .00 %"," 57.14 %"," ##.## %",""," ##.## %","-66.67 %"
