"date","California/Alameda","California/Alpine","California/Amador","California/Butte","California/Calaveras","California/Colusa","California/Contra Costa","California/Del Norte","California/El Dorado","California/Fresno","California/Glenn","California/Humboldt","California/Imperial","California/Inyo","California/Kern","California/Kings","California/Lake","California/Lassen","California/Los Angeles","California/Madera","California/Marin","California/Mariposa","California/Mendocino","California/Merced","California/Modoc","California/Mono","California/Monterey","California/Napa","California/Nevada","California/Orange","California/Placer","California/Plumas","California/Riverside","California/Sacramento","California/San Benito","California/San Bernardino","California/San Diego","California/San Francisco","California/San Joaquin","California/San Luis Obispo","California/San Mateo","California/Santa Barbara","California/Santa Clara","California/Santa Cruz","California/Shasta","California/Sierra","California/Siskiyou","California/Solano","California/Sonoma","California/Stanislaus","California/Sutter","California/Tehama","California/Trinity","California/Tulare","California/Tuolumne","California/Unassigned","California/Ventura","California/Yolo","California/Yuba"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-03-23"," 66.20 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 16.39 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 31.70 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 27.27 %"," ##.## %"," ##.## %"," 31.58 %","   .00 %","   .00 %"," 58.62 %"," 66.04 %"," 20.00 %","   .00 %"," 29.68 %"," 21.30 %"," 32.26 %","   .00 %"," 21.37 %"," 38.46 %"," 14.83 %"," 46.67 %"," ##.## %","   .00 %","   .00 %","  7.69 %"," 31.82 %"," 60.00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %",""," 20.00 %","   .00 %"," 50.00 %"
"2020-03-24"," 14.41 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 21.13 %","   .00 %","   .00 %"," ##.## %","   .00 %"," ##.## %","   .00 %","   .00 %","  8.33 %","   .00 %","   .00 %","   .00 %"," 23.51 %"," ##.## %"," 23.68 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 42.86 %","   .00 %"," 50.00 %"," 21.60 %"," 66.67 %","   .00 %"," 23.91 %","   .00 %","   .00 %"," 82.35 %"," 12.44 %"," 16.03 %"," 24.39 %"," 55.56 %"," 13.38 %","   .00 %"," 24.17 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %"," 37.50 %","   .00 %","   .00 %","   .00 %","  6.25 %","   .00 %",""," 16.67 %"," 33.33 %","   .00 %"
"2020-03-25","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 25.58 %","   .00 %"," 50.00 %"," 38.46 %","   .00 %"," 25.00 %"," 50.00 %","   .00 %"," 15.38 %","   .00 %","   .00 %","   .00 %"," 22.66 %","   .00 %"," 12.77 %","   .00 %","   .00 %"," ##.## %","   .00 %"," ##.## %"," 20.00 %","   .00 %"," 33.33 %"," 23.03 %"," 50.00 %","   .00 %"," 19.30 %"," 28.41 %"," 16.67 %"," 22.58 %","  5.31 %"," 17.11 %"," 33.33 %","  9.52 %","  2.48 %"," 33.33 %"," 22.40 %","  9.09 %"," 50.00 %","   .00 %"," 50.00 %"," 14.29 %"," 17.24 %","  9.09 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 11.43 %"," 25.00 %","-##.## %"
"2020-03-26"," 31.85 %","   .00 %","   .00 %"," 25.00 %"," 50.00 %","   .00 %"," 21.30 %","   .00 %","   .00 %","  5.56 %","   .00 %"," ##.## %","   .00 %"," ##.## %"," 93.33 %","   .00 %","   .00 %","   .00 %"," 51.35 %"," 16.67 %"," 13.21 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 75.00 %"," 36.90 %","   .00 %","   .00 %"," 54.41 %","   .00 %"," 28.57 %"," 42.11 %"," 23.11 %"," 25.28 %","  4.41 %"," 17.39 %"," 18.18 %","  8.33 %"," 18.08 %","  4.17 %","   .00 %","   .00 %","   .00 %"," 29.17 %","  8.82 %","  8.33 %","   .00 %","   .00 %","   .00 %","  5.88 %","   .00 %",""," 28.21 %"," 10.00 %","   .00 %"
"2020-03-27"," 23.60 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.21 %","   .00 %"," ##.## %"," 42.11 %","   .00 %"," 20.00 %"," 88.89 %"," 50.00 %"," 13.79 %","   .00 %","   .00 %","   .00 %"," 19.20 %"," 42.86 %","  8.33 %","   .00 %","   .00 %"," ##.## %","   .00 %"," 50.00 %","   .00 %","   .00 %"," 14.29 %"," 25.39 %","   .00 %","   .00 %"," 41.90 %"," 45.13 %"," 44.44 %","   .00 %"," 16.38 %"," 25.11 %"," 26.76 %","  9.26 %"," 22.56 %"," 23.08 %","  5.90 %"," 28.00 %","   .00 %","   .00 %","   .00 %","  9.68 %"," 18.92 %"," 30.77 %","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %","   .00 %"," 22.00 %"," 18.18 %","   .00 %"
"2020-03-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.29 %","   .00 %"," 33.33 %"," 14.81 %","   .00 %"," 16.67 %"," 23.53 %"," 66.67 %"," 42.42 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","  4.62 %","   .00 %","   .00 %"," 75.00 %","   .00 %"," 33.33 %"," 33.33 %"," 50.00 %"," 50.00 %"," 25.55 %"," 36.67 %","   .00 %"," 22.82 %","   .00 %","  7.69 %"," 40.74 %"," 21.11 %"," 10.39 %","  3.33 %"," 13.56 %"," 14.64 %"," 46.88 %","  2.96 %","  6.25 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.64 %"," 35.29 %"," 50.00 %","   .00 %","   .00 %"," 20.00 %","   .00 %",""," 36.07 %"," 23.08 %","   .00 %"
"2020-03-29"," 22.73 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 38.71 %","   .00 %"," 28.57 %"," 19.05 %"," 60.00 %","  8.51 %","   .00 %","   .00 %","   .00 %"," 24.85 %"," 36.36 %","  8.82 %","   .00 %"," 50.00 %"," 14.29 %","   .00 %"," 37.50 %"," 12.50 %"," 11.11 %","   .00 %","  6.95 %"," 29.27 %","   .00 %","  6.56 %","   .00 %","   .00 %","   .00 %"," 17.19 %"," 10.39 %"," 21.51 %","   .00 %","  1.09 %"," 36.17 %","  9.31 %"," 20.59 %"," 33.33 %","   .00 %","   .00 %","   .00 %"," 16.00 %"," 26.09 %"," ##.## %","   .00 %","   .00 %"," 20.83 %","   .00 %","-##.## %"," 18.07 %","   .00 %","   .00 %"
"2020-03-30","  4.81 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 11.31 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 17.65 %","   .00 %","   .00 %","   .00 %"," 35.27 %"," 20.00 %"," 25.68 %","   .00 %"," 33.33 %"," 12.50 %","   .00 %"," 18.18 %","   .00 %"," 40.00 %"," 41.67 %","  7.66 %","   .00 %","   .00 %"," 49.23 %"," 36.59 %","   .00 %"," 46.05 %","  6.40 %"," 10.00 %","  8.85 %","  5.97 %"," 11.55 %","  6.25 %"," 31.27 %","  7.32 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","  6.90 %","   .00 %","   .00 %","   .00 %"," 20.69 %","   .00 %","   .00 %"," 11.22 %","   .00 %"," 33.33 %"
"2020-03-31"," 10.60 %","","   .00 %"," 60.00 %","   .00 %","   .00 %"," 13.37 %",""," 25.00 %"," 23.26 %"," ##.## %"," 16.67 %"," 32.00 %","   .00 %"," 38.33 %"," 50.00 %","",""," 22.03 %"," 16.67 %","  6.45 %","","   .00 %"," 11.11 %","","   .00 %"," 11.11 %","   .00 %"," 23.53 %","  8.19 %","  7.55 %",""," 27.49 %","   .00 %"," 21.43 %"," 12.61 %"," 17.09 %","  6.15 %"," 10.57 %"," 12.68 %","   .00 %"," 29.41 %","  4.95 %","  2.27 %"," 50.00 %","","-25.00 %"," 26.47 %"," 25.86 %","  6.45 %"," 50.00 %","",""," 22.86 %","   .00 %","   .00 %"," 15.60 %"," 50.00 %"," 50.00 %"
