"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/CAPF Personnel ","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-07-08","","","","","","","","","","","","","","","  3.16 %","","","","",""
"2020-07-09","  1.23 %","","","","  5.67 %","  2.17 %","","  8.70 %","","","","","","","","   .56 %","","","",""
"2020-07-10","","","","","","  2.13 %"," 25.00 %"," 18.00 %"," 11.58 %"," 29.47 %","","","","","  2.45 %","  5.52 %",""," 13.56 %"," 22.70 %",""
"2020-07-11","","","","","","","   .83 %"," 11.86 %","","","","","","","","","","","  1.50 %",""
"2020-07-12","","","","  2.63 %","","  6.25 %","","","   .94 %","","  3.75 %","","","","  2.99 %","","","","",""
"2020-07-13","","","","","  2.01 %","  9.80 %","","","","","","","","","  5.23 %","","","","",""
"2020-07-14","","","","","  1.97 %","  7.14 %","  4.96 %","  6.06 %","","","  3.01 %","","","","","  5.76 %","","  4.48 %","  4.93 %",""
"2020-07-15","","","","","","","  7.87 %","  1.43 %","   .93 %","  3.25 %","","","","","","   .50 %",""," 15.71 %","",""
"2020-07-16","","","","","  3.23 %",""," 24.09 %","","   .93 %","   .79 %","","","","","  6.08 %","  1.48 %","","  1.23 %","  4.23 %",""
"2020-07-17","  3.66 %","","","","  1.25 %","","","  1.41 %","","","","","","","","","","  6.10 %"," 11.26 %",""
"2020-07-18","","","","","","","  1.76 %","","","  4.69 %"," 36.84 %","","","","","  1.46 %",""," 13.79 %","  1.62 %",""
"2020-07-19","  1.18 %","","","","","  3.33 %","  5.20 %","","","","","","","","  1.04 %","  1.44 %","","  2.02 %","   .40 %",""
"2020-07-20","","","","","","","   .55 %","","","   .75 %","","","","","","",""," 11.88 %","",""
"2020-07-21","","","","",""," 12.90 %","  6.56 %"," 23.61 %","  1.83 %",""," 10.68 %","","","","","","  7.14 %"," 22.12 %","",""
"2020-07-22","","","","","  7.41 %","  5.71 %",""," 14.61 %","","","","","","","  2.58 %","","","  2.90 %","  2.78 %",""
"2020-07-23","","","","","","","  3.08 %","","  2.70 %","   .74 %","  4.63 %","","","","","","  6.67 %"," 21.83 %","   .39 %",""
"2020-07-24","","","","","   .57 %","  1.35 %","  5.47 %"," 10.78 %","","","","","","","","","","  2.89 %","   .77 %",""
"2020-07-25","","","","","","  1.33 %","   .47 %","","","","","","","","","","","   .56 %","",""
"2020-07-26","","","","","",""," 17.37 %","","  4.39 %","","","","","","","  1.42 %","","  7.82 %","",""
"2020-07-27","","","","","  1.14 %"," 11.84 %","  2.80 %","","","","  5.17 %","","","","","","","  9.84 %","",""
"2020-07-28","","","","","  4.52 %","","  1.95 %","","","","","","","","","  3.72 %","","  4.72 %","",""
"2020-07-29","  2.33 %","","",""," 27.57 %","  8.24 %"," 11.45 %","","  5.88 %","  2.21 %","","","",""," 14.57 %","  1.79 %","","  3.60 %","",""
"2020-07-30","","","","","  2.12 %"," 15.22 %","  4.45 %","","","","   .70 %","","","","  4.39 %","","  6.25 %","   .87 %","",""
"2020-07-31","","","",""," 24.48 %","   .94 %","  3.93 %",""," 19.05 %","","   .35 %","","","","   .42 %","   .88 %","  5.88 %","  6.47 %","",""
"2020-08-01","  4.55 %","   .00 %","","   .00 %",""," 28.97 %","  2.84 %","","  1.33 %","","   .35 %","","","","","   .44 %"," 11.11 %","  1.21 %","   .38 %",""
"2020-08-02",""," 17.50 %","","  2.56 %","   .33 %",""," 12.88 %","","","","  1.73 %","","","","  1.26 %","","","  3.60 %","",""
"2020-08-03","  1.09 %","  5.32 %","","","",""," 13.86 %","","","","","","","","","",""," 11.58 %","   .76 %",""
"2020-08-04",""," 34.34 %",""," 12.50 %","","  5.80 %","  5.97 %","","  1.32 %","","","","","","","   .43 %","","  7.96 %","",""
"2020-08-05","  1.08 %"," 24.81 %","","  4.44 %","   .33 %","  8.90 %","  2.93 %","","","","","","","","   .41 %","","","  3.53 %","",""
"2020-08-06","  3.19 %","  5.42 %","","","  2.32 %","  6.29 %","  8.32 %","","  3.90 %","  2.88 %","  4.08 %","","","","","",""," 10.84 %","",""
"2020-08-07","  6.19 %"," 94.29 %","","  6.38 %","","   .59 %","  2.83 %","","  6.25 %","","   .33 %","","","","","  5.19 %",""," 10.34 %","",""
"2020-08-08"," 20.39 %"," 27.65 %",""," 12.00 %","  1.29 %","  4.12 %","  4.91 %","","","","",""," 28.00 %","","","","","   .51 %","  1.13 %",""
"2020-08-09","","  6.45 %",""," 16.07 %","  3.83 %"," 15.82 %","  1.87 %","   .88 %","","","  3.58 %","","","","  2.06 %","","","  3.27 %","   .37 %",""
"2020-08-10","","  9.31 %","","  1.54 %","   .62 %","  2.93 %","  6.25 %","","  1.18 %","  6.29 %","   .31 %","","","","   .40 %","","","   .24 %","",""
"2020-08-11","  3.23 %","  2.57 %","","","","  3.79 %","  9.52 %","","","   .66 %","","","  9.38 %","","   .40 %","   .41 %","","   .49 %","",""
"2020-08-12","","  1.35 %","","","   .31 %","   .46 %","  2.05 %","","  1.74 %","  2.61 %","",""," 14.29 %","","","","","  1.45 %","",""
"2020-08-13","  2.34 %","  7.43 %","","","  1.22 %","  5.45 %","  3.72 %","","","","","","","","   .40 %","",""," 11.22 %","",""
"2020-08-14","  4.58 %","  2.66 %","","","  2.71 %","  5.60 %","  4.18 %","","   .57 %","","","","  7.50 %","","","","","  1.72 %","  1.12 %",""
"2020-08-15","  2.92 %"," 22.63 %",""," 12.12 %",""," 10.20 %","   .72 %","","   .57 %","  1.27 %","",""," 18.60 %","","  1.20 %","","","  1.05 %","",""
"2020-08-16",""," 15.63 %","","","","  3.33 %","  6.69 %","","","","   .31 %","","  3.92 %","","   .79 %","","","   .84 %","  1.10 %",""
"2020-08-17","","  2.92 %","","","   .29 %","  4.30 %","  9.60 %","","","","","","  3.77 %","","","   .41 %","","  1.24 %","",""
"2020-08-18","  6.38 %","   .59 %","","","","  5.50 %","  5.35 %","","","","","","  3.64 %","","","","","   .41 %","",""
"2020-08-19","   .67 %","  6.59 %","","  1.35 %","  1.46 %","  5.86 %","  3.00 %","","  1.13 %","","","","","  3.12 %","","","","   .20 %","",""
