"date","District of Columbia/District of Columbia"
"2020-03-22",""
"2020-03-23",""
"2020-03-24",""
"2020-03-25",""
"2020-03-26"," 10.00 %"
"2020-03-27"," 10.00 %"
"2020-03-28"," 16.67 %"
"2020-03-29"," 21.67 %"
"2020-03-30"," 37.67 %"
"2020-03-31"," 27.67 %"
"2020-04-01"," 27.67 %"
"2020-04-02"," 27.67 %"
"2020-04-03"," 27.67 %"
"2020-04-04"," 19.67 %"
"2020-04-05"," 20.62 %"
"2020-04-06"," 22.44 %"
"2020-04-07"," 14.10 %"
"2020-04-08"," 13.65 %"
"2020-04-09","  9.35 %"
"2020-04-10"," 12.15 %"
"2020-04-11"," 15.07 %"
"2020-04-12"," 18.01 %"
"2020-04-13"," 14.27 %"
"2020-04-14"," 16.33 %"
"2020-04-15"," 14.08 %"
"2020-04-16"," 11.84 %"
"2020-04-17"," 11.80 %"
"2020-04-18"," 12.16 %"
"2020-04-19","  7.49 %"
"2020-04-20","  7.87 %"
"2020-04-21","  6.70 %"
"2020-04-22","  8.15 %"
"2020-04-23","  8.88 %"
"2020-04-24","  9.79 %"
"2020-04-25","  9.48 %"
"2020-04-26","  9.73 %"
"2020-04-27","  7.84 %"
"2020-04-28","  6.49 %"
"2020-04-29","  6.05 %"
"2020-04-30","  6.34 %"
"2020-05-01","  5.38 %"
"2020-05-02","  5.38 %"
"2020-05-03","  5.75 %"
"2020-05-04","  4.73 %"
"2020-05-05","  3.34 %"
"2020-05-06","  3.70 %"
"2020-05-07","  3.50 %"
"2020-05-08","  3.92 %"
"2020-05-09","  3.82 %"
"2020-05-10","  4.13 %"
"2020-05-11","  3.45 %"
"2020-05-12","  3.36 %"
"2020-05-13","  2.86 %"
"2020-05-14","  2.86 %"
"2020-05-15","  2.65 %"
"2020-05-16","  2.72 %"
"2020-05-17","  2.66 %"
"2020-05-18","  2.29 %"
"2020-05-19","  2.24 %"
"2020-05-20","  2.04 %"
"2020-05-21","  1.90 %"
"2020-05-22","  1.77 %"
"2020-05-23","  1.73 %"
"2020-05-24","  1.55 %"
"2020-05-25","  1.57 %"
"2020-05-26","  1.33 %"
"2020-05-27","  1.26 %"
"2020-05-28","  1.19 %"
"2020-05-29","  1.27 %"
"2020-05-30","   .98 %"
"2020-05-31","  1.16 %"
"2020-06-01","  1.01 %"
"2020-06-02","   .74 %"
"2020-06-03","   .56 %"
"2020-06-04","   .56 %"
"2020-06-05","   .55 %"
"2020-06-06","   .63 %"
"2020-06-07","   .80 %"
"2020-06-08","   .75 %"
"2020-06-09","   .83 %"
"2020-06-10","   .82 %"
"2020-06-11","   .78 %"
"2020-06-12","   .69 %"
"2020-06-13","   .80 %"
"2020-06-14","   .80 %"
"2020-06-15","   .63 %"
"2020-06-16","   .71 %"
"2020-06-17","   .66 %"
"2020-06-18","   .62 %"
"2020-06-19","   .58 %"
"2020-06-20","   .61 %"
"2020-06-21","   .50 %"
"2020-06-22","   .45 %"
"2020-06-23","   .38 %"
"2020-06-24","   .41 %"
"2020-06-25","   .45 %"
"2020-06-26","   .48 %"
"2020-06-27","   .48 %"
"2020-06-28","   .48 %"
"2020-06-29","   .37 %"
"2020-06-30","   .29 %"
"2020-07-01","   .26 %"
"2020-07-02","   .22 %"
"2020-07-03","   .18 %"
"2020-07-04","   .22 %"
"2020-07-05","   .29 %"
"2020-07-06","   .29 %"
"2020-07-07","   .25 %"
"2020-07-08","   .32 %"
"2020-07-09","   .39 %"
"2020-07-10","   .32 %"
"2020-07-11","   .25 %"
"2020-07-12","   .25 %"
"2020-07-13","   .14 %"
"2020-07-14","   .00 %"
"2020-07-15","   .11 %"
"2020-07-16","   .21 %"
"2020-07-17","   .32 %"
"2020-07-18","   .35 %"
"2020-07-19","   .35 %"
"2020-07-20","   .28 %"
"2020-07-21","   .21 %"
"2020-07-22","   .10 %"
"2020-07-23","   .10 %"
"2020-07-24","   .10 %"
"2020-07-25","   .07 %"
"2020-07-26","   .03 %"
"2020-07-27","   .07 %"
"2020-07-28","   .07 %"
"2020-07-29","   .10 %"
"2020-07-30","   .10 %"
"2020-07-31","   .10 %"
"2020-08-01","   .07 %"
"2020-08-02","   .03 %"
"2020-08-03","   .07 %"
"2020-08-04","   .10 %"
"2020-08-05","   .10 %"
"2020-08-06","   .10 %"
"2020-08-07","   .17 %"
"2020-08-08","   .14 %"
"2020-08-09","   .14 %"
"2020-08-10","   .14 %"
"2020-08-11","   .20 %"
"2020-08-12","   .14 %"
"2020-08-13","   .14 %"
"2020-08-14","   .10 %"
"2020-08-15","   .20 %"
"2020-08-16","   .13 %"
"2020-08-17","   .13 %"
"2020-08-18","   .17 %"
"2020-08-19","   .20 %"
"2020-08-20","   .13 %"
"2020-08-21","   .17 %"
"2020-08-22","   .23 %"
"2020-08-23","   .17 %"
"2020-08-24","   .13 %"
