"date","Gujarat/Ahmedabad","Gujarat/Amreli","Gujarat/Anand","Gujarat/Aravalli","Gujarat/Banaskantha","Gujarat/Bharuch","Gujarat/Bhavnagar","Gujarat/Botad","Gujarat/Chhota Udaipur","Gujarat/Dahod","Gujarat/Dang","Gujarat/Devbhumi Dwarka","Gujarat/Gandhinagar","Gujarat/Gir Somnath","Gujarat/Jamnagar","Gujarat/Junagadh","Gujarat/Kheda","Gujarat/Kutch","Gujarat/Mahisagar","Gujarat/Mehsana","Gujarat/Morbi","Gujarat/Narmada","Gujarat/Navsari","Gujarat/Other State","Gujarat/Other state","Gujarat/Panchmahal","Gujarat/Patan","Gujarat/Porbandar","Gujarat/Rajkot","Gujarat/Sabarkantha","Gujarat/Surat","Gujarat/Surendranagar","Gujarat/Tapi","Gujarat/Vadodara","Gujarat/Valsad","Gujarat/dahod","Gujarat/kutch","Gujarat/other state","Gujarat/porbandar","Gujarat/surat","Gujarat/surendranagar","Gujarat/tapi","Gujarat/vadodara"
"2020-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","","","","",""
"2020-03-20","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","",""
"2020-03-21","   .00 %","","","","","","","","","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","   .00 %","","","-50.00 %","","","","","","","","",""
"2020-03-22"," 50.00 %","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","-16.67 %","","","","","","","","","","","","-50.00 %","","","","","","","","","","","","","","","","","","-50.00 %","",""," ##.## %","","","","","","","","",""
"2020-03-24","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","   .00 %","","-50.00 %","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," 50.00 %","","","","","","","","","","","","","",""
"2020-03-28","-40.00 %","","","","","","   .00 %","","","","","","-66.67 %","","","","","","","   .00 %","","","","","","","","","","","","","","-50.00 %","","","","","","","","",""
