"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-03-22","0","0","0",""
"2020-03-23","0","0","0",""
"2020-03-24","0","0","0",""
"2020-03-25","0","0","0",""
"2020-03-26","0","0","1",""
"2020-03-27","0","0","1","1"
"2020-03-28","2","2","1",""
"2020-03-29","3","2","1",""
"2020-03-30","3","2","1",""
"2020-03-31","3","2","2","3"
"2020-04-01","3","5","3",""
"2020-04-02","2","7","3","0"
"2020-04-03","2","7","3","2"
"2020-04-04","2","7","3","2"
"2020-04-05","2","7","3","2"
"2020-04-06","3","9","3","0"
"2020-04-07","4","9","3","0"
"2020-04-08","4","9","3","3"
"2020-04-09","4","9","3","7"
"2020-04-10","4","9","3","16"
"2020-04-11","4","19","10","0"
"2020-04-12","4","19","10","2"
"2020-04-13","6","20","15","0"
"2020-04-14","7","20","16","0"
"2020-04-15","7","20","16","3"
"2020-04-16","9","25","18","3"
"2020-04-17","9","30","22","0"
"2020-04-18","10","32","25","0"
"2020-04-19","10","32","25","0"
"2020-04-20","13","33","26","0"
"2020-04-21","14","36","32","0"
"2020-04-22","15","38","36","0"
"2020-04-23","15","40","37","0"
"2020-04-24","15","45","40","0"
"2020-04-25","18","52","42","0"
"2020-04-26","22","55","43","0"
"2020-04-27","23","57","45","0"
"2020-04-28","23","63","51","0"
"2020-04-29","25","65","54","0"
"2020-04-30","26","68","58","0"
"2020-05-01","27","70","62","0"
"2020-05-02","29","76","63","0"
"2020-05-03","30","79","68","0"
"2020-05-04","30","82","70","0"
"2020-05-05","32","83","72","0"
"2020-05-06","33","85","75","0"
"2020-05-07","34","89","79","0"
"2020-05-08","36","91","86","0"
"2020-05-09","38","93","90","0"
"2020-05-10","38","93","90","0"
"2020-05-11","39","95","91","0"
"2020-05-12","43","100","93","1"
"2020-05-13","45","102","99","1"
"2020-05-14","46","108","105","1"
"2020-05-15","48","114","108","1"
"2020-05-16","52","121","112","1"
"2020-05-17","52","124","113","1"
"2020-05-18","52","130","114","1"
"2020-05-19","53","135","115","1"
"2020-05-20","55","138","116","1"
"2020-05-21","55","144","117","1"
"2020-05-22","56","146","119","1"
"2020-05-23","56","146","119","1"
"2020-05-24","56","148","121","1"
"2020-05-25","56","149","126","1"
"2020-05-26","57","150","128","0"
"2020-05-27","61","155","128","0"
"2020-05-28","61","155","129","0"
"2020-05-29","62","163","131","0"
"2020-05-30","63","166","132","0"
"2020-05-31","63","170","133","0"
"2020-06-01","63","172","133","0"
"2020-06-02","66","172","135","0"
"2020-06-03","66","173","136","0"
"2020-06-04","69","173","143","1"
"2020-06-05","71","173","144","0"
"2020-06-06","72","174","144","0"
"2020-06-07","76","176","146","0"
"2020-06-08","76","176","146","0"
"2020-06-09","76","185","149","0"
"2020-06-10","78","186","149","0"
"2020-06-11","79","186","149","0"
"2020-06-12","79","186","149","0"
"2020-06-13","82","187","150","0"
"2020-06-14","83","189","150","0"
"2020-06-15","83","190","150","0"
"2020-06-16","84","190","150","0"
"2020-06-17","84","191","151","0"
"2020-06-18","84","195","152","0"
"2020-06-19","84","196","153","0"
"2020-06-20","84","197","153","0"
"2020-06-21","84","197","154","0"
"2020-06-22","84","197","154","0"
"2020-06-23","89","239","176","0"
"2020-06-24","89","240","176","0"
"2020-06-25","89","242","176","0"
"2020-06-26","89","242","176","0"
"2020-06-27","89","242","176","0"
"2020-06-28","89","242","176","0"
"2020-06-29","89","242","176","0"
"2020-06-30","89","244","176","0"
"2020-07-01","90","243","176","0"
"2020-07-02","90","245","175","0"
"2020-07-03","92","245","175","0"
"2020-07-04","92","245","175","0"
"2020-07-05","92","245","175","0"
"2020-07-06","92","245","175","0"
"2020-07-07","92","247","175","0"
"2020-07-08","92","248","175","0"
"2020-07-09","83","249","176","9"
"2020-07-10","83","249","176","9"
"2020-07-11","83","249","176","9"
"2020-07-12","83","249","176","9"
"2020-07-13","83","249","176","9"
"2020-07-14","83","249","177","9"
"2020-07-15","85","249","178","9"
"2020-07-16","85","249","178","9"
"2020-07-17","85","249","178","9"
"2020-07-18","86","250","178","9"
"2020-07-19","86","250","178","9"
"2020-07-20","86","250","178","9"
"2020-07-21","87","251","178","9"
"2020-07-22","87","252","179","9"
"2020-07-23","87","253","180","9"
"2020-07-24","95","283","190","10"
"2020-07-25","95","284","190","10"
"2020-07-26","95","284","190","10"
"2020-07-27","95","284","190","10"
"2020-07-28","95","285","190","10"
"2020-07-29","95","285","191","10"
"2020-07-30","95","285","191","10"
"2020-07-31","97","287","191","10"
"2020-08-01","107","287","191","0"
"2020-08-02","107","287","191","0"
"2020-08-03","107","287","191","0"
"2020-08-04","107","289","191","0"
"2020-08-05","107","289","191","0"
"2020-08-06","107","289","191","0"
"2020-08-07","107","289","192","0"
"2020-08-08","107","291","192","0"
"2020-08-09","108","291","192","0"
"2020-08-10","108","291","192","0"
"2020-08-11","108","291","192","0"
"2020-08-12","109","291","192","0"
"2020-08-13","108","293","192","0"
"2020-08-14","108","293","192","0"
"2020-08-15","108","293","192","0"
"2020-08-16","108","293","192","0"
"2020-08-17","108","293","192","0"
"2020-08-18","108","293","192","0"
"2020-08-19","109","292","194","0"
"2020-08-20","109","292","194","0"
"2020-08-21","109","297","194","0"
"2020-08-22","109","297","194","0"
"2020-08-23","109","297","194","0"
"2020-08-24","109","299","196","0"
