"date","New Mexico/Bernalillo","New Mexico/Catron","New Mexico/Chaves","New Mexico/Cibola","New Mexico/Colfax","New Mexico/Curry","New Mexico/De Baca","New Mexico/Dona Ana","New Mexico/Doña Ana","New Mexico/Eddy","New Mexico/Grant","New Mexico/Guadalupe","New Mexico/Harding","New Mexico/Hidalgo","New Mexico/Lea","New Mexico/Lincoln","New Mexico/Los Alamos","New Mexico/Luna","New Mexico/McKinley","New Mexico/Mora","New Mexico/Otero","New Mexico/Quay","New Mexico/Rio Arriba","New Mexico/Roosevelt","New Mexico/San Juan","New Mexico/San Miguel","New Mexico/Sandoval","New Mexico/Santa Fe","New Mexico/Sierra","New Mexico/Socorro","New Mexico/Taos","New Mexico/Torrance","New Mexico/Unassigned","New Mexico/Union","New Mexico/Valencia"
"2020-03-22","32","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","7","8","0","2","3","0","","0","0"
"2020-03-23","38","0","4","0","0","0","0","10","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","3","1","7","12","0","2","3","0","","0","0"
"2020-03-24","43","0","4","1","0","1","0","13","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","7","1","7","14","0","2","3","0","","0","0"
"2020-03-25","48","0","4","1","0","1","0","13","0","1","0","0","0","0","1","0","0","0","3","0","0","0","2","0","8","1","8","17","0","2","3","0","","0","0"
"2020-03-26","48","0","4","1","0","1","0","13","0","1","0","0","0","0","1","0","0","0","3","0","0","0","2","0","8","1","8","17","0","2","3","0","","0","0"
"2020-03-27","55","0","4","1","0","1","0","16","0","1","0","0","0","0","1","0","0","0","3","0","0","0","2","0","14","1","10","22","0","2","3","0","","0","0"
"2020-03-28","93","0","7","2","0","1","0","17","0","3","0","0","0","0","2","0","0","0","5","0","0","0","3","1","18","1","15","29","0","2","8","0","","0","1"
"2020-03-29","101","0","8","2","0","3","0","17","0","4","0","0","0","0","2","0","0","0","9","0","0","0","2","1","22","1","18","34","0","2","9","0","","0","2"
"2020-03-30","101","0","8","2","0","3","0","17","0","4","0","0","0","0","2","0","0","0","9","0","0","0","2","1","22","1","18","34","0","2","9","0","","0","2"
"2020-03-31","129","","10","2","","3","","18","","4","","","","","2","","","","16","","","","4","1","32","1","29","42","","3","11","3","","","5"
"2020-04-01","129","","10","2","","3","","18","","4","","","","","2","","","","25","","1","","4","1","47","1","29","42","","3","11","3","","","5"
"2020-04-02","148","","10","5","","5","","21","","4","1","","","","2","","","","29","","1","","4","1","52","1","32","48","","3","12","3","1","","5"
"2020-04-03","202","","13","11","","6","","23","","4","1","","","","2","","","","46","","1","","5","1","72","1","66","48","","8","13","3","3","","5"
"2020-04-04","202","1","13","11","","6","","22","","4","1","","","","2","","","","46","","2","","5","1","72","1","66","52","","4","13","3","2","","5"
"2020-04-05","246","1","13","18","","6","","29","","4","1","","","","2","1","2","","55","","3","","6","1","84","1","103","62","","6","13","6","0","","7"
"2020-04-06","262","1","14","21","","6","","30","","4","3","","","","2","1","2","","61","","3","","6","1","128","1","114","64","","7","13","6","0","","7"
"2020-04-07","307","1","15","23","","8","","35","","4","4","","","","2","1","2","","78","","3","","6","1","156","1","128","66","","7","14","7","0","","7"
"2020-04-08","307","1","15","23","","8","","35","","4","4","","","","2","1","2","","87","","3","","6","1","173","1","128","66","","7","14","7","0","","7"
"2020-04-09","325","1","16","16","","8","","39","","6","4","","","","2","1","2","","70","","3","","7","1","116","1","143","68","","7","14","7","0","","8"
"2020-04-10","407","1","18","24","1","9","","44","","6","7","","","","2","1","4","","113","","3","","7","1","142","1","177","70","","9","15","8","0","","11"
"2020-04-11","407","1","18","24","1","9","","44","","6","7","","","1","2","1","4","2","113","","3","","7","1","142","1","177","72","","10","15","9","0","","14"
"2020-04-12","440","1","19","25","1","10","","49","","7","9","","","0","2","1","5","2","144","","4","1","7","1","151","1","235","75","","12","15","10","0","","18"
"2020-04-13","455","1","19","25","2","10","","50","","7","9","","","0","2","1","5","2","144","","4","1","7","1","151","1","235","75","","12","15","10","0","","18"
"2020-04-14","455","1","19","25","2","10","","50","","7","10","","","0","2","1","5","2","191","","3","1","7","1","173","1","244","76","","14","15","10","0","","20"
"2020-04-15","477","1","19","29","2","10","","54","","7","11","","","0","2","1","6","2","242","","3","1","10","1","200","2","262","78","","16","15","12","0","","21"
"2020-04-16","477","1","19","29","2","10","","54","","7","11","","","0","2","1","6","2","242","","3","1","10","1","200","2","262","78","","16","15","12","0","","21"
"2020-04-17","491","1","19","30","3","10","","58","","7","12","","","0","2","1","6","3","265","","3","1","10","1","229","2","293","79","","20","15","12","0","","24"
"2020-04-18","527","1","21","33","4","10","","67","","9","13","1","","0","2","1","6","3","356","","3","2","10","1","260","2","311","82","","20","15","12","0","","26"
"2020-04-19","542","1","21","33","4","10","","69","","9","13","1","","0","2","1","6","3","363","","3","2","10","1","275","2","315","83","","20","15","12","0","","29"
"2020-04-20","566","1","21","33","5","10","","73","","10","14","1","","0","2","1","6","3","416","","3","3","11","1","293","2","317","86","","31","16","13","0","","33"
"2020-04-21","566","1","21","33","5","10","","73","","10","14","1","","0","2","1","6","3","416","","3","3","11","1","293","2","317","86","","31","16","13","0","","33"
"2020-04-22","600","1","21","35","5","10","","82","","11","14","2","","0","5","2","6","3","519","","3","3","11","4","339","2","341","93","","34","16","13","0","","35"
"2020-04-23","631","1","22","38","5","10","","88","","11","14","3","1","0","8","2","6","3","573","","5","4","11","4","390","2","345","96","","38","17","13","0","","38"
"2020-04-24","651","1","22","38","5","10","","94","","11","14","7","1","0","10","2","6","3","639","","4","4","12","4","420","2","357","94","","39","17","13","0","","41"
"2020-04-25","670","1","22","39","5","11","","110","","11","14","12","1","0","10","2","6","3","708","","4","4","12","6","435","2","365","95","","40","17","13","0","1","41"
"2020-04-26","688","1","22","41","5","13","","116","","13","14","13","1","0","10","2","6","3","720","","4","4","14","7","442","2","374","95","","40","17","14","0","3","42"
"2020-04-27","694","1","22","41","5","13","","126","","13","14","13","1","0","10","2","6","3","778","","4","4","14","7","463","2","378","95","","40","17","14","0","3","42"
"2020-04-28","738","1","22","46","5","13","","129","","12","14","13","1","0","10","2","6","3","820","","4","4","14","8","508","2","383","98","","41","17","15","0","3","42"
"2020-04-29","765","1","22","47","5","13","","130","","12","14","14","1","0","10","2","6","4","953","","5","4","14","8","576","2","385","98","1","42","17","15","0","3","44"
"2020-04-30","811","1","22","52","5","17","","144","","12","14","14","1","0","10","2","6","5","1027","","5","4","14","9","621","2","389","100","1","42","18","15","0","3","45"
"2020-05-01","830","1","23","63","5","17","","147","","12","14","14","1","0","10","2","6","5","1064","","5","4","18","9","637","2","396","100","1","43","19","15","0","3","47"
"2020-05-02","883","1","23","63","5","18","","153","","13","15","14","1","0","12","2","6","6","1116","","6","4","22","9","710","2","410","107","1","43","19","16","0","3","49"
"2020-05-03","920","1","23","68","5","18","","159","","13","16","15","1","0","12","2","6","7","1144","","6","4","24","10","736","2","416","107","1","45","20","16","0","3","50"
"2020-05-04","944","1","24","69","5","19","1","170","","13","15","15","1","0","12","2","6","7","1233","","8","4","24","10","781","2","421","108","1","46","20","16","0","3","50"
"2020-05-05","963","1","25","74","5","20","1","173","","13","15","15","1","0","12","2","6","7","1274","","8","4","24","10","806","3","426","108","1","48","20","17","0","3","53"
"2020-05-06","981","2","25","82","5","23","1","180","","13","15","15","1","0","14","2","6","7","1337","","9","4","24","11","844","4","432","110","1","48","20","17","0","3","55"
"2020-05-07","1012","2","26","82","5","26","1","197","","13","15","15","1","0","14","2","6","7","1402","","9","4","26","11","921","4","439","110","1","48","20","17","0","3","54"
"2020-05-08","1030","2","27","85","5","28","0","206","","14","15","15","1","0","14","2","6","7","1460","","15","4","27","11","989","5","451","110","1","48","20","17","0","3","55"
"2020-05-09","1050","2","27","86","5","29","0","201","","14","15","15","1","0","14","2","6","7","1508","","7","4","27","11","1015","6","452","110","1","48","20","18","19","3","55"
"2020-05-10","1073","2","27","86","5","29","0","221","","14","15","15","1","0","15","2","6","7","1522","","8","4","27","11","1034","6","458","111","1","48","20","18","19","3","55"
"2020-05-11","1086","2","27","86","5","31","0","245","","14","15","15","1","0","15","2","6","8","1585","","12","4","28","11","1107","7","467","112","1","49","20","18","30","3","57"
"2020-05-12","1111","2","28","89","5","32","0","245","","14","15","17","1","0","15","2","6","8","1628","","9","5","28","12","1149","7","474","112","1","49","21","18","49","3","57"
"2020-05-13","1124","2","30","93","5","34","0","249","","14","15","17","1","0","15","2","6","8","1681","","8","5","28","13","1203","7","477","113","1","49","22","18","62","3","59"
"2020-05-14","1149","2","30","100","5","34","0","259","","17","16","17","1","0","15","2","6","8","1730","","8","5","30","14","1237","7","479","113","1","49","22","18","66","3","60"
"2020-05-15","1180","2","30","100","5","36","0","270","","17","16","19","1","0","15","2","6","8","1787","","8","5","30","14","1274","9","483","114","1","49","23","18","74","3","63"
"2020-05-16","1194","2","30","101","5","40","0","282","","17","16","19","1","0","15","3","6","8","1864","","9","5","31","26","1316","10","488","122","1","49","22","18","80","3","64"
"2020-05-17","1210","2","30","102","5","41","0","294","","17","16","19","1","0","16","3","6","8","1888","","8","5","31","26","1344","10","493","123","1","49","22","18","81","3","66"
"2020-05-18","1218","2","31","103","5","41","0","309","","17","16","19","1","1","18","3","6","8","1953","","8","5","33","27","1376","10","495","124","1","49","23","18","105","3","68"
"2020-05-19","1225","2","31","108","5","43","0","319","","17","16","19","1","1","18","3","6","8","1987","","8","5","33","27","1408","10","498","126","1","49","22","19","106","3","68"
"2020-05-20","1284","2","33","114","5","45","0","326","","17","16","19","1","1","18","3","6","8","2034","","8","5","33","27","1457","10","542","128","1","49","22","20","10","3","70"
"2020-05-21","1273","2","34","113","5","44","0","362","","17","16","19","1","1","21","3","6","8","2044","","8","5","36","26","1451","10","528","127","1","49","22","19","149","3","69"
"2020-05-22","1313","2","35","122","5","45","0","370","","17","16","19","1","1","21","3","6","8","2086","","12","5","36","31","1490","10","529","129","1","49","22","19","149","3","70"
"2020-05-23","1313","2","35","122","5","45","0","370","","17","16","19","1","1","21","3","6","8","2086","","12","5","36","31","1490","10","529","129","1","49","22","19","149","3","70"
"2020-05-24","1337","2","39","129","5","46","0","407","","18","16","19","1","1","23","3","6","8","2192","","14","5","37","34","1558","11","543","132","1","49","24","20","188","3","72"
"2020-05-25","1347","2","40","129","5","46","0","423","","19","16","19","1","1","24","3","6","7","2215","","14","5","37","36","1581","15","544","133","1","49","24","20","189","3","72"
"2020-05-26","1362","2","42","130","5","49","0","428","","19","15","20","1","1","24","2","6","7","2236","","17","5","37","36","1605","15","546","133","1","49","24","32","205","3","73"
"2020-05-27","1383","2","42","134","5","50","0","439","","19","15","20","1","1","24","2","6","7","2270","","17","5","38","37","1642","14","551","137","1","49","24","33","208","3","73"
"2020-05-28","1434","2","42","136","5","51","0","442","","21","15","20","1","1","24","2","6","7","2291","","18","5","41","37","1662","14","556","138","1","50","24","33","209","3","73"
"2020-05-29","1445","2","44","137","5","52","0","449","","20","15","20","1","1","26","2","6","8","2348","","22","5","43","37","1692","15","559","137","1","50","25","33","215","4","74"
"2020-05-30","1464","2","45","139","5","51","0","460","","20","15","20","1","1","26","2","6","8","2406","","22","5","44","38","1715","15","566","140","1","50","25","32","223","4","73"
"2020-05-31","1476","2","47","141","5","52","0","466","","22","15","20","1","1","26","2","6","8","2415","","22","5","47","40","1733","15","568","142","1","50","24","32","227","4","74"
"2020-06-01","1486","2","50","143","5","53","0","476","","24","15","20","1","1","26","2","6","8","2451","","22","5","48","42","1771","15","568","144","1","51","29","32","225","4","74"
