"date","Chandigarh/Chandigarh"
"2020-03-19","1"
"2020-03-20","5"
"2020-03-22","6"
"2020-03-23","7"
"2020-03-27","8"
"2020-03-30","13"
"2020-03-31","15"
"2020-04-01","17"
"2020-04-02","18"
"2020-04-10","19"
"2020-04-12","21"
"2020-04-18","23"
"2020-04-19","26"
"2020-04-21","27"
"2020-04-25","28"
"2020-04-26","36"
"2020-04-27","45"
"2020-04-28","56"
"2020-04-29","68"
"2020-04-30","74"
"2020-05-01","88"
"2020-05-02","94"
"2020-05-03","97"
"2020-05-04","102"
"2020-05-05","119"
"2020-05-06","124"
"2020-05-07","135"
"2020-05-08","146"
"2020-05-09","169"
"2020-05-10","173"
"2020-05-11","181"
"2020-05-12","187"
"2020-05-13","191"
"2020-05-14","191"
"2020-05-15","191"
"2020-05-16","191"
"2020-05-18","196"
"2020-05-19","199"
"2020-05-20","202"
"2020-05-21","218"
"2020-05-22","219"
"2020-05-23","225"
"2020-05-24","262"
"2020-05-25","266"
"2020-05-26","278"
"2020-05-27","279"
"2020-05-28","289"
"2020-05-30","289"
"2020-05-31","293"
"2020-06-01","297"
"2020-06-02","301"
"2020-06-04","302"
"2020-06-05","309"
"2020-06-06","312"
"2020-06-07","314"
"2020-06-08","320"
"2020-06-09","326"
"2020-06-10","328"
"2020-06-11","332"
"2020-06-12","345"
"2020-06-13","350"
"2020-06-14","352"
"2020-06-15","357"
"2020-06-16","365"
"2020-06-17","370"
"2020-06-18","374"
"2020-06-19","381"
"2020-06-20","404"
"2020-06-21","406"
"2020-06-22","411"
"2020-06-23","418"
"2020-06-24","420"
"2020-06-25","423"
"2020-06-26","425"
"2020-06-27","428"
"2020-06-28","431"
"2020-06-29","434"
"2020-06-30","440"
"2020-07-01","446"
"2020-07-02","450"
"2020-07-03","454"
"2020-07-04","459"
"2020-07-05","466"
"2020-07-06","487"
"2020-07-07","492"
"2020-07-08","507"
"2020-07-09","523"
"2020-07-10","536"
"2020-07-11","549"
"2020-07-12","559"
"2020-07-13","588"
"2020-07-14","600"
"2020-07-15","619"
"2020-07-16","635"
"2020-07-17","660"
"2020-07-18","691"
"2020-07-19","717"
"2020-07-20","737"
"2020-07-21","751"
"2020-07-22","780"
"2020-07-23","800"
"2020-07-24","823"
"2020-07-25","852"
"2020-07-26","887"
"2020-07-27","910"
"2020-07-28","934"
"2020-07-29","978"
"2020-07-30","1016"
"2020-07-31","1051"
"2020-08-01","1079"
"2020-08-02","1117"
"2020-08-03","1160"
"2020-08-04","1206"
"2020-08-05","1270"
"2020-08-06","1327"
"2020-08-07","1374"
"2020-08-08","1426"
"2020-08-09","1515"
"2020-08-10","1595"
"2020-08-11","1670"
"2020-08-12","1751"
"2020-08-13","1842"
"2020-08-14","1928"
"2020-08-15","2009"
"2020-08-16","2102"
"2020-08-17","2216"
"2020-08-18","2305"
"2020-08-19","2396"
"2020-08-20","2515"
"2020-08-21","2631"
"2020-08-22","2776"
"2020-08-23","2918"
"2020-08-24","3035"
"2020-08-25","3209"
"2020-08-26","3376"
"2020-08-27","3564"
"2020-08-28","3724"
"2020-08-29","3985"
"2020-08-30","4155"
"2020-08-31","4346"
"2020-09-01","4550"
"2020-09-02","4789"
"2020-09-03","5065"
"2020-09-04","5268"
"2020-09-05","5502"
"2020-09-06","5763"
"2020-09-07","5995"
"2020-09-08","6372"
"2020-09-09","6704"
"2020-09-10","6987"
"2020-09-11","7292"
"2020-09-12","7542"
"2020-09-13","7991"
"2020-09-14","8245"
"2020-09-15","8592"
"2020-09-16","8958"
"2020-09-17","9256"
"2020-09-18","9516"
"2020-09-19","9806"
"2020-09-20","10092"
"2020-09-21","10308"
"2020-09-22","10556"
"2020-09-23","10736"
"2020-09-24","10978"
"2020-09-25","11222"
"2020-09-26","11390"
"2020-09-27","11563"
"2020-09-28","11688"
"2020-09-29","11826"
"2020-09-30","11948"
"2020-10-01","12067"
"2020-10-02","12222"
"2020-10-03","12370"
"2020-10-04","12455"
"2020-10-05","12588"
"2020-10-06","12717"
"2020-10-07","12830"
"2020-10-08","12932"
"2020-10-09","12995"
"2020-10-10","13091"
"2020-10-11","13176"
"2020-10-12","13274"
"2020-10-13","13345"
"2020-10-15","13419"
"2020-10-16","13474"
"2020-10-17","13524"
"2020-10-18","13588"
"2020-10-20","13645"
"2020-10-21","13699"
"2020-10-22","13750"
"2020-10-23","13822"
"2020-10-24","13879"
"2020-10-25","13940"
"2020-10-26","13987"
"2020-10-27","14054"
"2020-10-28","14114"
"2020-10-29","14194"
"2020-10-30","14253"
"2020-10-31","14320"
"2020-11-01","14378"
"2020-11-02","14430"
"2020-11-03","14516"
"2020-11-04","14610"
"2020-11-05","14702"
"2020-11-06","14835"
"2020-11-07","14933"
"2020-11-08","15042"
"2020-11-09","15157"
"2020-11-10","15247"
"2020-11-11","15342"
"2020-11-12","15451"
"2020-11-13","15544"
"2020-11-15","15712"
"2020-11-16","15794"
"2020-11-17","15930"
"2020-11-18","16075"
"2020-11-19","16230"
"2020-11-20","16380"
"2020-11-21","16499"
"2020-11-22","16579"
"2020-11-23","16677"
"2020-11-24","16756"
"2020-11-25","16843"
"2020-11-26","16959"
"2020-11-27","17065"
"2020-11-28","17154"
"2020-11-29","17250"
"2020-11-30","17317"
"2020-12-01","17445"
"2020-12-26","17523"
"2020-12-27","17586"
"2020-12-28","17651"
"2020-12-29","17715"
"2020-12-30","17846"
"2020-12-31","17912"
"2021-01-01","17963"
"2021-01-02","18029"
"2021-01-03","18045"
"2021-01-04","18100"
"2021-01-05","18190"
"2021-01-07","18233"
"2021-01-08","18287"
"2021-01-09","18337"
"2021-01-10","18381"
"2021-01-11","18428"
"2021-01-12","18464"
"2021-01-13","18501"
"2021-01-14","18524"
"2021-01-15","18550"
"2021-01-16","18589"
"2021-01-17","18623"
"2021-01-18","18650"
"2021-01-19","18681"
"2021-01-20","18709"
"2021-01-21","18725"
"2021-01-22","18750"
"2021-01-23","18772"
"2021-01-24","18804"
"2021-01-25","18865"
"2021-01-27","18905"
"2021-01-28","18941"
"2021-01-29","18968"
"2021-01-30","18985"
"2021-01-31","19011"
"2021-02-01","19043"
"2021-02-02","19065"
"2021-02-03","19101"
"2021-02-04","19122"
"2021-02-05","19146"
"2021-02-07","19193"
"2021-02-09","19214"
"2021-02-10","19231"
"2021-02-11","19244"
"2021-02-12","19263"
"2021-02-13","19280"
"2021-02-17","19309"
"2021-02-18","19339"
"2021-02-19","19358"
"2021-02-20","19384"
"2021-02-21","19412"
"2021-02-22","19450"
"2021-02-23","19487"
"2021-02-24","19528"
"2021-02-25","19577"
"2021-02-26","19646"
"2021-02-27","19706"
"2021-02-28","19757"
"2021-03-01","19826"
"2021-03-02","19893"
"2021-03-03","19949"
"2021-03-04","20027"
"2021-03-05","20103"
"2021-03-06","20225"
"2021-03-07","20305"
"2021-03-08","20384"
"2021-03-09","20489"
"2021-03-10","20576"
"2021-03-11","20684"
"2021-03-12","20819"
"2021-03-13","20963"
"2021-03-14","21083"
"2021-03-15","21231"
"2021-03-16","21378"
"2021-03-17","21579"
"2021-03-18","21790"
"2021-03-19","22004"
"2021-03-20","22207"
"2021-03-21","22446"
"2021-03-22","22654"
"2021-03-23","22868"
"2021-03-24","23117"
"2021-03-25","23343"
"2021-03-26","23591"
"2021-03-27","23885"
"2021-03-28","24181"
"2021-03-29","24455"
"2021-03-30","24720"
"2021-03-31","24986"
"2021-04-01","25243"
"2021-04-02","25530"
"2021-04-03","25840"
"2021-04-04","26181"
"2021-04-05","26466"
"2021-04-06","26785"
"2021-04-07","27184"
"2021-04-08","27508"
"2021-04-09","27930"
"2021-04-10","28401"
"2021-04-11","28803"
"2021-04-12","29227"
"2021-04-13","29624"
"2021-04-14","30045"
"2021-04-15","30457"
"2021-04-16","30938"
"2021-04-17","31369"
"2021-04-18","31994"
"2021-04-19","32606"
"2021-04-20","33208"
"2021-04-21","33830"
"2021-04-22","34464"
"2021-04-23","35292"
"2021-04-24","36003"
"2021-04-25","36752"
"2021-04-26","37573"
"2021-04-27","38410"
"2021-04-28","39182"
"2021-04-29","39983"
"2021-04-30","40707"
"2021-05-01","41506"
"2021-05-02","42366"
"2021-05-03","43256"
"2021-05-04","44036"
