"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-06-09",""," 24.86 %",""," 26.67 %","","","","","","","",""," ##.## %","","","","","","","","","",""," ##.## %"," 58.00 %","","","","",""
"2020-06-10","","",""," 26.67 %","","","","","","","",""," ##.## %"," 44.87 %","",""," ##.## %","","","","","",""," ##.## %","","","","  4.00 %","",""
"2020-06-11","","",""," 26.67 %","","","","","","","",""," ##.## %","-15.13 %","",""," ##.## %","","","","","",""," ##.## %"," ##.## %",""," 20.00 %"," -6.00 %","",""
"2020-06-12","","","-36.00 %","","","","","","","","",""," ##.## %"," -8.33 %","",""," ##.## %","","","","","",""," 12.55 %"," 76.33 %","","","","",""
"2020-06-13","","","-26.00 %","","",""," ##.## %","",""," 50.00 %","",""," ##.## %","","",""," ##.## %","","","","","",""," 42.55 %"," ##.## %","","","","",""
"2020-06-14","",""," ##.## %","","",""," ##.## %","",""," 43.33 %","",""," ##.## %","","",""," ##.## %","","","","","",""," 33.05 %","","","","","",""
"2020-06-15","",""," ##.## %","","",""," ##.## %","",""," 30.00 %","",""," 12.74 %","","",""," ##.## %","","","","","",""," 50.67 %"," ##.## %","","","","",""
"2020-06-16",""," ##.## %"," ##.## %","","",""," ##.## %","",""," 60.00 %","","","  8.64 %","","",""," -2.01 %","","","","","",""," 32.10 %"," ##.## %","","","","",""
"2020-06-17",""," ##.## %","","","","","","",""," 46.67 %","",""," ##.## %","","","","  9.88 %","","","","","",""," 41.55 %"," ##.## %","","","","",""
"2020-06-18",""," ##.## %","","","","","","",""," ##.## %","",""," ##.## %","","",""," 12.55 %","","","","","",""," 13.02 %"," ##.## %","","","","",""
