"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-03-22","","","",""
"2020-03-23","","","",""
"2020-03-24","","","",""
"2020-03-25","","","",""
"2020-03-26","   .00 %","   .00 %","   .00 %",""
"2020-03-27","   .00 %","   .00 %","   .00 %",""
"2020-03-28","   .00 %","   .00 %","   .00 %",""
"2020-03-29"," 10.00 %","   .00 %","   .00 %",""
"2020-03-30"," 10.00 %","   .00 %","   .00 %",""
"2020-03-31"," 10.00 %","   .00 %"," 20.00 %",""
"2020-04-01"," 10.00 %"," 30.00 %"," 30.00 %",""
"2020-04-02","  3.33 %"," 38.00 %"," 30.00 %",""
"2020-04-03"," -6.67 %"," 38.00 %"," 30.00 %",""
"2020-04-04"," -6.67 %"," 38.00 %"," 30.00 %"," 20.00 %"
"2020-04-05"," -6.67 %"," 38.00 %"," 10.00 %"," 20.00 %"
"2020-04-06","  3.33 %"," 13.71 %","   .00 %","-40.00 %"
"2020-04-07"," 16.67 %","  5.71 %","   .00 %","-20.00 %"
"2020-04-08"," 16.67 %","  5.71 %","   .00 %","-20.00 %"
"2020-04-09"," 16.67 %","  5.71 %","   .00 %","  6.67 %"
"2020-04-10"," 16.67 %","  5.71 %","   .00 %"," 32.38 %"
"2020-04-11","  6.67 %"," 22.22 %"," 46.67 %"," 32.38 %"
"2020-04-12","   .00 %"," 22.22 %"," 46.67 %"," 32.38 %"
"2020-04-13"," 10.00 %"," 23.27 %"," 56.67 %"," 12.38 %"
"2020-04-14"," 13.33 %"," 23.27 %"," 58.00 %","-14.29 %"
"2020-04-15"," 13.33 %"," 23.27 %"," 58.00 %","-40.00 %"
"2020-04-16"," 19.05 %","  6.05 %"," 13.83 %","-20.00 %"
"2020-04-17"," 19.05 %"," 10.05 %"," 18.28 %","-40.00 %"
"2020-04-18"," 11.27 %"," 10.33 %"," 11.01 %","-20.00 %"
"2020-04-19","  7.94 %"," 10.33 %","  9.67 %","-20.00 %"
"2020-04-20"," 13.94 %"," 10.96 %"," 10.47 %","-20.00 %"
"2020-04-21","  9.76 %","  7.78 %"," 12.59 %","-20.00 %"
"2020-04-22"," 11.19 %","  4.89 %"," 10.64 %","   .00 %"
"2020-04-23","  8.97 %","  4.61 %","  8.47 %","   .00 %"
"2020-04-24","  8.97 %","  7.11 %"," 10.09 %","   .00 %"
"2020-04-25","  6.97 %","  9.59 %"," 10.29 %","   .00 %"
"2020-04-26","  9.87 %","  8.93 %","  6.15 %","   .00 %"
"2020-04-27","  9.35 %","  8.54 %","  4.58 %","   .00 %"
"2020-04-28","  9.35 %","  9.60 %","  6.69 %","   .00 %"
"2020-04-29"," 11.09 %","  7.73 %","  6.25 %","   .00 %"
"2020-04-30","  7.89 %","  5.54 %","  6.73 %","   .00 %"
"2020-05-01","  4.22 %","  4.98 %","  7.63 %","   .00 %"
"2020-05-02","  4.79 %","  5.97 %","  7.03 %","   .00 %"
"2020-05-03","  5.48 %","  4.65 %","  5.95 %","   .00 %"
"2020-05-04","  3.74 %","  4.77 %","  5.36 %","   .00 %"
"2020-05-05","  4.27 %","  4.10 %","  4.45 %","   .00 %"
"2020-05-06","  4.13 %","  3.99 %","  3.90 %","   .00 %"
"2020-05-07","  3.25 %","  3.22 %","  4.65 %","   .00 %"
"2020-05-08","  3.74 %","  2.88 %","  4.83 %","   .00 %"
"2020-05-09","  4.85 %","  2.56 %","  5.17 %","   .00 %"
"2020-05-10","  3.52 %","  2.31 %","  4.60 %","   .00 %"
"2020-05-11","  3.42 %","  2.26 %","  3.99 %","   .00 %"
"2020-05-12","  4.87 %","  2.37 %","  3.36 %","   .00 %"
"2020-05-13","  4.62 %","  2.32 %","  2.88 %","   .00 %"
"2020-05-14","  3.95 %","  3.06 %","  3.16 %","   .00 %"
"2020-05-15","  4.82 %","  4.17 %","  3.74 %","   .00 %"
"2020-05-16","  5.96 %","  4.97 %","  4.25 %","   .00 %"
"2020-05-17","  3.91 %","  4.41 %","  3.99 %","   .00 %"
"2020-05-18","  2.98 %","  4.98 %","  2.88 %","   .00 %"
"2020-05-19","  2.92 %","  4.57 %","  1.84 %","   .00 %"
"2020-05-20","  2.81 %","  3.91 %","  1.45 %","   .00 %"
"2020-05-21","  1.14 %","  3.55 %","   .88 %","   .00 %"
"2020-05-22","  1.50 %","  3.33 %","  1.04 %","   .00 %"
"2020-05-23","  1.50 %","  2.36 %","   .86 %","   .00 %"
"2020-05-24","  1.12 %","  1.87 %","  1.02 %","   .00 %"
"2020-05-25","   .36 %","  1.56 %","  1.68 %","   .00 %"
"2020-05-26","   .72 %","   .82 %","  1.82 %","-20.00 %"
"2020-05-27","  1.76 %","  1.21 %","  1.48 %","-20.00 %"
"2020-05-28","  1.76 %","  1.21 %","  1.64 %","-20.00 %"
"2020-05-29","  2.09 %","  1.97 %","  1.61 %","-20.00 %"
"2020-05-30","  2.41 %","  2.20 %","   .94 %","-20.00 %"
"2020-05-31","  2.05 %","  2.55 %","   .77 %","   .00 %"
"2020-06-01","   .65 %","  2.12 %","   .77 %","   .00 %"
"2020-06-02","  1.60 %","  2.12 %","   .92 %","   .00 %"
"2020-06-03","  1.27 %","  1.20 %","   .75 %","   .00 %"
"2020-06-04","  1.86 %","   .83 %","  1.63 %","   .00 %"
"2020-06-05","  2.44 %","   .35 %","  1.62 %","-20.00 %"
"2020-06-06","  2.72 %","   .23 %","  1.62 %","-20.00 %"
"2020-06-07","  2.88 %","   .46 %","  1.60 %","-20.00 %"
"2020-06-08","  2.88 %","   .35 %","  1.45 %","-20.00 %"
"2020-06-09","  1.97 %","  1.37 %","   .83 %","-20.00 %"
"2020-06-10","  1.92 %","  1.48 %","   .69 %","   .00 %"
"2020-06-11","  1.89 %","  1.36 %","   .69 %","   .00 %"
"2020-06-12","   .78 %","  1.13 %","   .41 %","   .00 %"
"2020-06-13","  1.54 %","  1.24 %","   .55 %","   .00 %"
"2020-06-14","  1.79 %","   .43 %","   .13 %","   .00 %"
"2020-06-15","  1.26 %","   .43 %","   .13 %","   .00 %"
"2020-06-16","  1.24 %","   .43 %","   .13 %","   .00 %"
"2020-06-17","  1.24 %","   .53 %","   .27 %","   .00 %"
"2020-06-18","   .48 %","   .84 %","   .27 %","   .00 %"
"2020-06-19","   .24 %","   .73 %","   .40 %","   .00 %"
"2020-06-20","   .24 %","   .73 %","   .40 %","   .00 %"
"2020-06-21","   .00 %","   .73 %","   .53 %","   .00 %"
"2020-06-22","   .00 %","   .62 %","   .39 %","   .00 %"
"2020-06-23","  1.19 %","  4.47 %","  3.12 %","   .00 %"
"2020-06-24","  1.19 %","  4.45 %","  2.99 %","   .00 %"
"2020-06-25","  1.19 %","  4.51 %","  2.99 %","   .00 %"
"2020-06-26","  1.19 %","  4.51 %","  2.86 %","   .00 %"
"2020-06-27","  1.19 %","  4.51 %","  2.86 %","   .00 %"
"2020-06-28","   .00 %","   .25 %","   .00 %","   .00 %"
"2020-06-29","   .00 %","   .17 %","   .00 %","   .00 %"
"2020-06-30","   .00 %","   .17 %","   .00 %","   .00 %"
"2020-07-01","   .22 %","   .08 %","   .00 %","   .00 %"
