"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-04-02"," 90.00 %","",""," ##.## %","",""," 25.00 %","","","","","","","","",""," 27.69 %","","","","","   .00 %","","",""," 13.89 %","","",""," 50.00 %","",""," 21.43 %","","","",""
"2020-04-03","","","","","","","","","","","","","","","",""," 17.27 %","","","","","","","","","  7.32 %",""," 50.00 %","","","",""," 19.61 %","","","   .00 %",""
"2020-04-04","","","   .00 %","","","","","","","","","   .00 %"," ##.## %","","","   .00 %"," 33.90 %","  5.00 %","","",""," ##.## %","","",""," 11.36 %"," 33.33 %","","","","",""," 34.43 %","","","",""
"2020-04-05"," 21.05 %","",""," ##.## %","","","","","","","","","","","",""," 20.72 %","","","","","",""," 20.00 %",""," 17.35 %"," 75.00 %","","","","","","  1.22 %","","","",""
"2020-04-06","  8.70 %","",""," 37.50 %","","","","","","","","","","   .00 %","",""," 14.19 %","","",""," ##.## %","",""," 66.67 %",""," 35.65 %","","",""," 66.67 %","","","","","","",""
"2020-04-07","  8.00 %","",""," 27.27 %","",""," 40.00 %","","","","","","","","",""," 23.01 %","  9.52 %","","","","",""," 30.00 %","   .00 %","  6.41 %",""," 33.33 %","  4.00 %"," 20.00 %","","","","","","",""
"2020-04-08","","   .00 %","","","",""," 14.29 %","","","","","","","","",""," 10.86 %","","","","","","","",""," 22.89 %","","","","","","","  6.02 %","","","",""
"2020-04-09",""," ##.## %"," ##.## %"," 28.57 %","   .00 %",""," 37.50 %","","","","","","",""," ##.## %",""," 22.04 %","","",""," ##.## %","","","  7.69 %","","  8.33 %",""," 25.00 %",""," 16.67 %","",""," 17.05 %","","","",""
"2020-04-10",""," 33.33 %","","","",""," 18.18 %","","","","","","","","",""," 14.72 %"," 26.09 %","","","","","","  7.14 %",""," 19.00 %",""," 20.00 %","","","",""," 21.36 %","","","",""
"2020-04-11","  3.70 %","",""," 11.11 %","","","","","","","","","",""," 25.00 %",""," 13.41 %","","",""," ##.## %","",""," 20.00 %","","  3.42 %"," 14.29 %","","","","",""," 19.20 %","","","",""
"2020-04-12","","  8.33 %","","","","","","","","","","","","","",""," 13.02 %"," 58.62 %","",""," 28.57 %","",""," 38.89 %","","  2.21 %"," 62.50 %","","","","","   .00 %"," 28.19 %","","","",""
"2020-04-13","  3.57 %","",""," 20.00 %","",""," 30.77 %","","   .00 %","","","","","","",""," 18.35 %","  6.52 %","",""," 83.33 %","",""," 20.00 %",""," 16.19 %"," 15.38 %","","","","",""," 10.99 %","","",""," 12.50 %"
"2020-04-14","",""," 25.00 %","","","","","","","","","","","","",""," 13.84 %"," 18.37 %","",""," 33.33 %","",""," 13.33 %",""," 13.31 %","  6.67 %"," 16.67 %","","",""," ##.## %"," 28.30 %","","","",""
"2020-04-15","","  7.69 %","","","",""," 23.53 %","","","","","","","","","","  7.88 %","  1.72 %","","","","","","  8.82 %",""," 15.03 %","","","","",""," ##.## %","  5.15 %","","","",""
"2020-04-16","  3.45 %","",""," 20.83 %","","","","   .00 %","","","","",""," ##.## %","","","  9.23 %","  5.08 %","","","  4.55 %","",""," 10.81 %",""," 15.68 %"," 18.75 %","","","",""," 20.00 %","  4.55 %","","",""," 88.89 %"
"2020-04-17","","","","","","","","","","","","","","","","","   .57 %","  1.61 %","",""," 13.04 %","",""," 82.93 %","","  6.37 %"," 94.74 %","","","","","","  6.02 %","","","",""
"2020-04-18","   .00 %","  7.14 %"," 20.00 %","  3.45 %","","","","","","","","","","","","","  8.69 %","  6.35 %","","   .00 %","","",""," 10.67 %",""," 16.80 %"," 16.22 %","",""," 57.14 %",""," 16.67 %","  9.46 %","","","",""
"2020-04-19","  3.33 %","  6.67 %","","  3.33 %","","","","","","","","","","-50.00 %"," 20.00 %",""," 19.92 %"," 14.93 %","",""," 65.38 %","",""," 22.89 %","","  3.31 %"," -4.65 %","","","","","  7.14 %","  2.02 %","","","","  5.88 %"
"2020-04-20","","","","","","","","","","","","","",""," 33.33 %",""," 11.22 %","  9.09 %","","","  9.30 %","",""," 21.57 %","","  8.32 %"," 19.51 %"," 14.29 %",""," 18.18 %",""," 40.00 %"," 15.54 %","","","","  5.56 %"
"2020-04-21","","",""," 16.13 %","","","",""," ##.## %","","",""," 50.00 %",""," 12.50 %",""," 13.72 %"," 11.90 %",""," ##.## %","","","","","","  7.83 %","  4.08 %"," 12.50 %","","",""," 19.05 %"," 10.76 %","","","","  5.26 %"
"2020-04-22",""," 31.25 %"," 16.67 %","  8.33 %","",""," 14.29 %",""," ##.## %","",""," ##.## %"," ##.## %"," ##.## %","","","  6.68 %"," 10.64 %","   .00 %"," 75.00 %"," 10.64 %","","","  8.06 %",""," 12.19 %","  1.96 %","","  3.85 %"," 23.08 %",""," 20.00 %","  6.62 %","","",""," 10.00 %"
"2020-04-23","  9.68 %"," -4.76 %","","  5.13 %","","","",""," 88.89 %","","",""," 33.33 %","","",""," 14.09 %","","",""," 14.42 %","",""," -2.99 %",""," 12.82 %"," -1.92 %",""," -3.70 %"," 25.00 %",""," 10.00 %"," 24.22 %","","",""," -4.55 %"
"2020-04-24","  2.94 %"," 15.00 %"," 85.71 %","  4.88 %","","","-12.50 %",""," 29.41 %","","","","",""," 11.11 %"," 12.50 %","  5.73 %","   .96 %","","","  5.88 %","","","  3.85 %","","  5.52 %","  7.84 %","","","",""," 18.18 %","  8.00 %","","",""," 28.57 %"
