"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-05-24","  1.35 %","  7.77 %","  7.69 %","  3.03 %",""," 11.11 %","  2.56 %"," 18.75 %"," 21.65 %","","","","  1.99 %","  3.70 %"," 13.10 %","  5.97 %","  5.98 %","  1.28 %","","","   .54 %","  6.90 %","  4.35 %"," 10.82 %","","  6.25 %"," 20.42 %","  9.09 %","  8.11 %"," 36.76 %","   .00 %","  6.00 %","  8.07 %",""," 33.33 %","","  1.71 %"
"2020-05-25","  5.33 %","  4.48 %","  8.33 %","  2.63 %"," 23.08 %"," 40.00 %","  2.50 %"," 26.32 %",""," 15.38 %"," 10.26 %"," 17.86 %","  1.70 %"," 12.50 %","  3.09 %"," 15.49 %","  4.68 %","   .84 %","","","  3.96 %"," 19.35 %","  8.33 %","  6.07 %","  9.09 %","  5.51 %","  6.59 %","  7.69 %","  3.75 %"," 12.54 %","","  3.66 %","  5.02 %",""," 50.00 %","",""
"2020-05-26","  8.86 %","  4.05 %","  6.04 %","  1.63 %","",""," 19.51 %","  4.17 %","  9.32 %"," 73.33 %","  9.30 %","   .76 %","  6.94 %"," 15.87 %"," 27.34 %","   .00 %","  3.13 %","  1.25 %","  7.14 %","","  1.95 %","   .00 %","  3.85 %","  4.88 %","  4.17 %","  5.64 %","  6.82 %","  2.38 %","  4.82 %","  7.96 %"," 90.00 %","  3.69 %","  5.13 %",""," 16.67 %","",""
"2020-05-27","  3.49 %"," 11.44 %","   .52 %","  1.91 %"," 25.00 %"," 35.71 %","  8.16 %","   .00 %","   .00 %","","  2.13 %",""," 12.98 %","  8.22 %","  1.76 %"," 14.63 %","  3.16 %","   .62 %","   .00 %","   .00 %","  2.02 %"," 21.62 %","  3.70 %","  2.53 %","","  4.39 %","  6.03 %"," 12.21 %","  8.05 %"," 16.52 %","","  5.11 %","  6.37 %",""," 42.86 %","   .00 %","   .00 %"
"2020-05-28","  5.62 %","  8.62 %","  1.55 %","  2.62 %","  2.50 %","  5.26 %","  3.77 %","","   .00 %","  7.69 %","  6.25 %","  7.52 %","  4.16 %"," 10.13 %","  1.45 %"," 13.83 %","  4.31 %","  2.25 %","  2.86 %","","  3.07 %"," 20.00 %","  3.57 %","  7.00 %"," 60.00 %","  4.25 %","  5.35 %","  6.22 %","  7.45 %","  8.61 %","","  4.71 %","  5.64 %",""," 10.00 %","","   .84 %"
"2020-05-29","  4.26 %","  1.51 %","  2.54 %","  2.92 %"," 12.20 %"," 25.00 %","  1.82 %","   .00 %","  4.65 %"," 10.71 %"," 13.73 %","   .00 %","  5.51 %"," 34.48 %","  7.98 %","   .93 %","  4.08 %","  3.21 %","   .00 %","  3.12 %","  2.59 %"," 18.52 %","  6.90 %"," 10.67 %","  5.00 %","  4.73 %","  5.82 %","  5.85 %","  2.97 %","  6.99 %"," 10.53 %","  8.16 %","  5.08 %","","","   .00 %"," 10.00 %"
"2020-05-30"," 12.24 %","  6.33 %","  5.45 %","  3.69 %",""," 16.00 %","  3.57 %","   .00 %","  3.70 %","  3.23 %","  5.17 %","  4.20 %","  9.37 %","  1.71 %"," 13.19 %","  9.26 %","  4.09 %","  8.74 %","   .00 %","  3.03 %","  3.84 %","  3.12 %","  9.68 %","  6.02 %"," 35.71 %","  4.34 %","  4.30 %"," 11.98 %","  7.69 %","  6.75 %"," 57.14 %"," 13.39 %","  5.61 %","","","","  1.52 %"
"2020-05-31"," 10.91 %","  2.28 %","  6.10 %","  2.67 %","  2.17 %"," 10.34 %","  6.90 %","","   .00 %","  9.38 %","  8.20 %","   .00 %","  1.48 %","  5.04 %","  6.53 %","  5.93 %","  3.23 %","  3.21 %","  2.78 %","  2.94 %","  2.16 %"," 10.61 %","","  5.17 %"," 10.53 %","  5.06 %","  6.33 %","  9.05 %","   .00 %","  6.73 %","   .00 %","  2.87 %","  5.06 %","","  9.09 %","","   .00 %"
"2020-06-01","","  3.25 %","  2.65 %","  2.80 %","   .00 %","","  1.61 %","  4.00 %","  3.57 %","  2.86 %","   .00 %"," 27.52 %"," 12.99 %","  3.20 %"," 11.38 %","","  3.56 %","  3.11 %"," 10.81 %","   .00 %","  4.14 %","  4.11 %","  2.94 %","  5.21 %","","  1.59 %","  3.61 %","   .00 %","   .00 %","   .76 %","","  4.01 %","  3.71 %","","-25.00 %","",""
"2020-06-02"," 17.21 %","  6.47 %","  5.60 %","  3.17 %","",""," 15.87 %","   .00 %"," 19.31 %","  5.56 %","   .00 %","   .53 %","  9.20 %","   .78 %","  6.68 %","   .00 %","  2.72 %","  3.69 %","  4.88 %","  5.71 %","  2.54 %","  5.26 %","  5.71 %","  4.76 %"," 12.70 %","  1.87 %","  5.31 %"," 15.09 %"," 10.71 %","  6.64 %"," 57.58 %","   .11 %","  4.66 %","","","","   .75 %"
"2020-06-03"," 16.78 %","   .78 %","  6.53 %","  3.83 %","  4.26 %"," 15.62 %","  1.37 %","  3.85 %","  2.31 %","  2.63 %","   .00 %","  1.05 %","  2.76 %"," 18.46 %"," 11.79 %","","  3.02 %","  3.40 %","  4.65 %","   .00 %","  1.90 %"," 13.75 %","  2.70 %","  6.86 %","  2.82 %","  3.25 %","  2.40 %","  3.28 %","  1.61 %","   .36 %"," 50.00 %"," 10.49 %","  4.43 %","","   .00 %",""," 12.59 %"
"2020-06-04","  2.99 %","  4.95 %","  4.21 %","  3.69 %","  4.08 %","  2.70 %","  8.11 %","  3.70 %","  5.65 %","  2.56 %","  3.03 %","   .52 %","  9.09 %","  3.25 %","   .82 %","  4.80 %","  3.31 %","  4.23 %"," 16.30 %","  5.41 %","  5.02 %","  5.49 %","  2.63 %","  2.92 %","  2.74 %","  4.27 %","  4.44 %","  4.76 %","   .79 %","  3.55 %"," 11.54 %","  9.01 %","  5.11 %","","   .00 %"," 12.50 %","  4.61 %"
"2020-06-05"," 10.47 %","  7.07 %","  1.10 %","  3.91 %","   .00 %","","  2.50 %","  7.14 %","  4.28 %","  2.50 %","","  5.67 %","  5.16 %","  6.92 %","  2.94 %","   .76 %","  2.56 %","  2.85 %","  3.18 %","  2.56 %","  5.40 %"," 10.42 %","  2.56 %","  4.13 %","  2.67 %","  2.56 %","  5.33 %","  4.55 %","  7.09 %","   .51 %"," 20.69 %","  8.18 %","  4.00 %","","   .00 %","","  3.14 %"
"2020-06-06","  1.05 %","  4.81 %","  5.09 %","  4.49 %","  3.92 %","  2.63 %","  4.88 %","  3.33 %"," 18.46 %","","   .00 %","   .49 %","  7.48 %","  4.12 %","  1.27 %","  2.27 %","  2.76 %","  8.32 %","  3.70 %","","  3.29 %"," 11.32 %","","  7.86 %","  1.30 %","  2.63 %","  3.60 %","  2.32 %","  6.62 %","  6.64 %","  7.62 %","  3.62 %","  4.94 %","","   .00 %","",""
"2020-06-07","  6.77 %","  2.10 %","  1.38 %","  5.59 %","  3.77 %","   .00 %","  1.16 %","  3.23 %","  3.03 %","  2.44 %","   .00 %","  3.40 %","  8.93 %","  6.21 %","  1.41 %","  1.48 %","  3.00 %","  1.21 %","   .60 %","","  7.73 %","  5.08 %"," 17.50 %","  7.14 %","","  4.47 %","  2.12 %","   .57 %","  3.45 %","   .64 %","   .00 %","  6.50 %","  4.41 %",""," 22.22 %"," 11.11 %","   .00 %"
"2020-06-08","  2.44 %","  7.20 %","  2.05 %","  3.61 %","  1.82 %","  5.13 %","  9.20 %"," 31.25 %","  9.66 %","  4.76 %","   .00 %","   .47 %","  3.05 %"," 10.64 %","   .15 %","   .73 %","  2.69 %","  1.86 %","   .59 %","","  4.67 %","   .81 %","  6.38 %","  5.52 %","","  1.77 %","  1.39 %","  4.79 %"," 13.33 %","  1.59 %","   .00 %","  5.66 %","  3.95 %","","","","  1.83 %"
"2020-06-09","   .95 %","  1.68 %","  1.34 %","  2.41 %"," 12.50 %","  2.44 %","  2.11 %","   .00 %"," 11.11 %","  2.27 %","   .00 %","   .00 %","  6.29 %","   .48 %","  3.40 %","   .72 %","  2.03 %","  3.53 %","   .59 %","","  4.27 %","   .00 %","  6.00 %","  4.40 %","   .00 %","  1.98 %","  2.67 %","  1.88 %","  5.88 %","  2.81 %"," 15.04 %","  3.45 %","  3.95 %","",""," 20.00 %","   .60 %"
"2020-06-10","  4.72 %","  4.01 %","   .66 %","  4.22 %","   .00 %","   .00 %","  1.03 %","  7.14 %"," 15.17 %","   .00 %","","   .00 %"," 12.10 %","  7.66 %","   .15 %","  5.76 %","  3.07 %","  5.43 %","  1.75 %"," 10.00 %","  2.65 %"," 12.00 %","  3.77 %","  6.23 %","  2.56 %","  3.30 %","  5.00 %","   .79 %","  4.44 %","  3.50 %","  2.31 %","  1.02 %","  4.67 %",""," 27.27 %"," 16.67 %","  2.38 %"
"2020-06-11","  1.80 %","  5.10 %","  1.64 %","  6.12 %","  4.76 %","  9.52 %","  5.10 %","  2.22 %","  2.10 %","   .00 %","   .00 %","  4.67 %","  6.06 %","   .00 %","   .60 %","  3.40 %","  2.69 %"," 10.54 %","  6.90 %","  2.27 %","  2.47 %","   .00 %","","  5.98 %","   .00 %","  4.57 %","  3.87 %","   .00 %","  3.72 %","  2.94 %","  9.02 %","  6.41 %","  6.51 %","",""," 42.86 %","  1.16 %"
"2020-06-12","   .88 %","  5.61 %","  4.52 %","  6.55 %","  4.55 %","  2.17 %"," 13.59 %","","  3.52 %","  6.67 %","","  5.36 %"," 12.74 %"," 11.11 %","   .89 %","  5.26 %","  2.52 %","  5.42 %","  9.68 %","  6.67 %","  2.23 %","   .00 %",""," 11.45 %","  1.25 %","  3.66 %","  4.58 %","  2.62 %","  6.15 %","  2.28 %","  2.07 %","  2.66 %","  4.87 %","",""," 30.00 %","   .57 %"
"2020-06-13","  3.95 %","  1.12 %","  3.40 %","  4.19 %","  7.25 %","  4.26 %","","","   .00 %","  2.08 %","  1.47 %","","  6.04 %","  3.20 %","  1.62 %","  1.88 %","  2.49 %","  1.34 %","   .00 %","","  3.76 %","  2.14 %","","  7.94 %","","  3.90 %","  4.09 %","   .26 %","  6.76 %","  1.95 %","  1.35 %","  7.28 %","  5.25 %","",""," 57.69 %","  2.86 %"
"2020-06-14","  1.69 %","  3.13 %","  2.69 %","  4.22 %","  1.35 %","   .00 %","  6.84 %","  2.17 %"," 11.33 %","","  1.45 %","  1.27 %","  4.23 %","  5.43 %","   .29 %","  7.98 %","  2.45 %","  3.14 %"," 15.20 %","","  4.43 %","  2.10 %","  1.82 %","  4.96 %","  1.23 %","  3.94 %","  4.88 %","   .00 %","  1.81 %","  1.37 %","   .00 %","  4.72 %","  4.47 %","","   .00 %"," 19.51 %","  2.78 %"
"2020-06-15","  2.90 %","   .49 %","  2.03 %","  4.42 %","","  2.04 %","   .00 %","  6.38 %"," 10.18 %","   .00 %","  1.43 %","  1.26 %","  4.76 %","  2.94 %","  5.04 %","  2.84 %","  1.83 %","  3.24 %","  2.55 %"," 37.50 %","  3.72 %","  2.74 %"," 14.29 %","  6.45 %","   .00 %","  1.93 %","  3.42 %"," 10.94 %","  9.33 %","  1.48 %","  4.00 %","  3.79 %","  3.61 %","","","  8.16 %","  4.86 %"
"2020-06-16","   .81 %","  2.34 %","  3.99 %","  2.55 %","  2.67 %","  2.00 %"," 10.40 %","  2.00 %","  3.46 %",""," 19.72 %","   .00 %","  5.50 %","  5.36 %","   .55 %","  3.87 %","  1.58 %","  6.10 %","   .00 %","  9.09 %","  4.74 %","   .67 %","  6.25 %","  4.73 %","   .00 %","  3.77 %","  2.07 %","  2.29 %","  3.66 %","  1.06 %","   .00 %","  3.49 %","  3.18 %","","","   .00 %","   .00 %"
"2020-06-17","   .40 %","  4.67 %","  5.48 %","  3.60 %","   .00 %","  3.92 %","  1.45 %","  9.80 %","  3.57 %","  2.04 %"," 17.65 %","   .41 %","  2.92 %","  6.44 %","   .14 %","  5.32 %","  2.26 %","  1.71 %","  9.54 %","   .00 %","  4.14 %","  3.31 %","  7.35 %","  3.78 %","  1.22 %","  2.81 %","  4.82 %","  3.14 %","  4.71 %","  3.03 %","  1.28 %","  1.79 %","  4.34 %","",""," 24.53 %","  7.73 %"
"2020-06-18","  2.39 %","  2.46 %","   .26 %","  3.51 %","  6.49 %","  9.43 %","  6.43 %","  1.79 %","   .43 %","  2.00 %","  1.00 %","","  4.91 %","  1.59 %","   .27 %","  1.52 %","  2.09 %","  2.21 %","   .76 %","","  5.40 %","  3.21 %","  5.48 %","  6.02 %","","  5.65 %","  4.79 %","  2.83 %","  2.25 %","  1.02 %","  1.90 %","  3.57 %","  4.59 %","","","   .00 %","  2.39 %"
"2020-06-19","  2.33 %","  1.69 %","  4.92 %","  3.26 %",""," 22.41 %","  3.36 %","  1.75 %","  2.79 %","  1.96 %","","   .00 %","  4.28 %","  2.51 %","   .14 %","  3.98 %","  2.01 %","  3.20 %","  1.88 %"," 15.28 %","  9.07 %","  3.11 %","  9.09 %","  6.17 %","","  5.02 %","  4.66 %","   .42 %","   .37 %","  2.40 %","   .00 %","  2.52 %","  4.46 %","","   .00 %","  1.52 %","  5.61 %"
"2020-06-20","  4.56 %","  1.66 %","  2.72 %","  3.44 %","  2.44 %","   .00 %","  1.30 %","","   .84 %","  3.85 %","","  3.70 %","  3.07 %"," 10.09 %","   .27 %","  1.44 %","  1.85 %","  6.69 %","  2.95 %","   .00 %","  4.77 %","  1.81 %","  3.57 %","  6.47 %","  1.20 %","  3.95 %","  5.82 %","  1.68 %","  2.92 %","  1.60 %","  1.24 %","  3.08 %","  5.35 %","","","  4.48 %","  3.54 %"
"2020-06-21","  2.55 %","  2.06 %","  6.01 %","  3.88 %"," 10.71 %","  5.63 %","  2.56 %","   .00 %","  3.52 %","  9.26 %","","   .00 %","  3.44 %","  1.39 %","   .27 %","  2.36 %","  1.77 %","  4.24 %","  1.08 %","","  4.82 %","  4.14 %","  2.30 %","  7.07 %","  1.19 %","  3.89 %","  5.46 %","  3.93 %","  3.90 %","  2.07 %","   .00 %","  1.24 %","  5.07 %","","","  1.43 %","  1.28 %"
"2020-06-22","   .00 %","  5.05 %","  3.63 %","  4.82 %","  5.38 %","  2.67 %","  6.25 %","  1.72 %"," 12.20 %","","   .00 %","   .79 %","  7.44 %","  1.92 %","   .81 %","  4.15 %","  1.65 %","   .90 %","  1.42 %","   .00 %","  3.95 %","  1.70 %","  2.25 %","  4.87 %","","  3.73 %","  4.03 %","   .00 %","  1.37 %","  2.50 %","   .61 %","  3.90 %","  4.11 %","","","   .00 %","  2.11 %"
"2020-06-23","  7.09 %","  1.92 %","  1.31 %","  3.42 %","  4.08 %","","  3.53 %","  1.69 %","  4.63 %","  1.69 %","","  3.15 %","  2.06 %","  6.18 %","   .40 %","   .44 %","  1.22 %","  1.12 %","  3.15 %","  7.23 %","  3.28 %","  2.23 %","  1.10 %","  6.77 %","","  2.63 %","  3.11 %","   .60 %","  1.68 %","   .81 %","   .00 %","  2.36 %","  4.39 %","",""," 11.27 %","  5.37 %"
"2020-06-24","   .00 %","  3.69 %","  1.73 %","  4.91 %","   .00 %","","  1.70 %","  6.67 %","   .17 %","","  1.98 %","   .00 %","   .97 %","   .00 %","  1.07 %","  4.41 %","  1.63 %","  1.03 %","  2.03 %","  1.12 %","  4.69 %","  1.64 %","  1.09 %","  4.19 %","  2.35 %","  3.18 %","  6.45 %","  2.57 %","   .33 %","   .92 %"," 10.98 %","   .98 %","  5.18 %","   .00 %","","  1.27 %","  1.57 %"
"2020-06-25","   .66 %","  2.50 %","  3.18 %","  5.61 %","","  2.60 %","  1.12 %","  1.56 %","  4.59 %","","   .00 %","  1.15 %","  6.08 %","  4.05 %","  2.11 %","  1.69 %","  1.94 %","  3.80 %","  1.00 %","","  5.54 %","  2.15 %","  3.23 %","  5.83 %","  4.60 %","  3.26 %","  6.78 %","  2.32 %","  5.61 %","  1.71 %","  4.40 %","  3.04 %","  5.77 %","","  7.14 %","  7.50 %","  9.27 %"
"2020-06-26","   .66 %","  1.33 %","  2.67 %","  6.61 %","   .00 %","   .00 %","  2.76 %"," 10.77 %","  7.80 %","  1.67 %","   .97 %","   .38 %","  5.81 %","  1.70 %","  1.68 %","  6.22 %","  1.83 %","   .42 %","  1.64 %"," 70.00 %","  4.79 %","  2.11 %","  2.08 %","  6.40 %","  1.10 %","  5.64 %","  5.28 %","  1.51 %","   .94 %","  2.69 %","  1.05 %","  2.46 %","  4.69 %","","","  1.16 %","   .35 %"
"2020-06-27"," 11.11 %","  1.09 %","  1.40 %","  5.33 %","  6.86 %","   .00 %","  9.68 %","  1.39 %"," 41.03 %","  3.28 %","   .96 %"," -1.50 %","  3.31 %"," 12.44 %","  2.80 %","  7.42 %","  2.88 %"," -1.68 %","  2.91 %","  7.84 %","  7.87 %","   .52 %","-52.04 %","  7.58 %"," -1.09 %","  3.83 %","  8.31 %","  1.49 %","  2.79 %","  3.39 %","   .52 %","  1.44 %","  6.04 %","","  6.67 %"," 12.64 %","  -.35 %"
"2020-06-28"," 17.94 %","  5.63 %","  4.35 %","  5.38 %","  2.75 %","","  4.41 %","  9.59 %","  2.89 %","  1.59 %","","   .00 %","  3.55 %","  3.83 %","  1.85 %"," 10.18 %","  1.73 %","  1.50 %","  5.97 %","   .61 %","  5.38 %","  4.10 %","  4.26 %","  7.93 %","  1.10 %","  5.61 %","  4.29 %","  4.40 %","  4.52 %","  6.13 %","  5.70 %","  2.05 %","  4.65 %","   .00 %","","  3.06 %","  1.41 %"
"2020-06-29","  5.99 %","  3.14 %","   .76 %","  5.67 %","   .00 %","","  7.04 %","  7.50 %","  7.28 %","   .00 %"," 17.14 %","  1.53 %","  9.96 %","  9.63 %","  2.06 %","  5.61 %","  1.62 %","  1.89 %","  1.48 %","  4.22 %","  5.36 %","  1.97 %"," 22.45 %","  5.90 %","  4.35 %","  2.07 %","  8.47 %","   .18 %","  6.05 %","  3.88 %","  6.86 %","  1.78 %","  5.09 %","   .00 %","  6.25 %","   .99 %","   .00 %"
"2020-06-30","  1.88 %","  1.79 %","  6.39 %","  4.33 %","  5.36 %","  1.27 %","  7.46 %","  9.30 %","  6.01 %","  3.12 %","","  1.50 %","  3.45 %","  3.18 %","   .59 %","  3.44 %","  1.16 %","  1.38 %","   .58 %","  1.16 %","  2.80 %","  3.86 %","  6.67 %","  5.02 %","  3.12 %","  4.80 %","  6.88 %","  4.38 %","  2.17 %","  3.16 %","   .46 %","   .65 %","  4.52 %",""," 11.76 %","   .00 %","   .70 %"
"2020-07-01","   .23 %","   .52 %","  3.71 %","  6.06 %","   .00 %","  8.75 %","  2.45 %","  1.06 %","   .18 %","","  6.50 %","","  2.69 %","  5.62 %","  1.42 %","  5.74 %","  1.91 %","  2.58 %","  5.81 %","  1.71 %","  3.55 %","  3.72 %","  7.81 %","  3.52 %","  6.06 %","  4.43 %","  7.26 %","  3.19 %","  5.32 %","  3.81 %","   .91 %","   .04 %","  4.48 %","   .00 %","","  3.92 %","  3.81 %"
"2020-07-02","  4.15 %","   .97 %","  4.09 %","  3.45 %","  2.54 %","","  4.78 %","  2.11 %","  6.93 %","  3.03 %"," 10.69 %","   .00 %","  3.99 %","  5.15 %","  1.86 %","  9.43 %","  1.96 %","  5.03 %","","   .00 %","  3.52 %","  2.69 %","  4.35 %","  5.99 %","   .00 %","  4.78 %","  6.97 %","  2.60 %","  3.79 %","  5.19 %","","   .83 %","  5.17 %","","-15.79 %","  4.72 %","  4.33 %"
"2020-07-03"," 12.39 %","  2.57 %","  2.29 %","  3.68 %","  4.13 %","   .00 %","  5.32 %","   .00 %","   .85 %","  4.41 %","  6.90 %","   .00 %","  5.73 %","   .98 %","  1.37 %","  3.39 %","  1.70 %","  2.65 %","  1.92 %","   .56 %","  2.78 %","  5.24 %"," 12.50 %","  6.38 %","  4.76 %","  4.18 %","  7.31 %","  7.45 %"," -8.52 %","  4.00 %","  5.88 %","   .79 %","  5.53 %","   .00 %","","  3.60 %","  2.88 %"
"2020-07-04","   .39 %","   .63 %","  2.08 %","  3.46 %","  2.38 %","  2.30 %","  7.58 %"," 12.37 %","  4.31 %","  1.41 %","  2.58 %","  6.67 %","  4.41 %"," 10.34 %","  1.02 %","  2.02 %","  1.42 %","  2.95 %","  4.58 %"," 10.06 %","  5.95 %","  4.98 %","  6.17 %","  4.91 %","  7.27 %","  5.90 %","  6.62 %","  3.24 %"," 10.90 %","  4.26 %","  2.14 %"," 15.25 %","  5.04 %","","  6.25 %","   .87 %","  3.42 %"
"2020-07-05"," 14.12 %","  3.29 %","  8.15 %","  4.74 %"," 10.08 %","  2.25 %","  6.71 %","   .92 %","  1.22 %","  1.39 %","  5.03 %","  2.08 %","  5.22 %","  5.27 %","  2.79 %","  5.20 %","  1.55 %","  2.80 %","  1.55 %","","  5.74 %","  4.35 %"," 25.58 %","  4.14 %","  8.47 %","  4.40 %","  4.56 %","  1.86 %","  3.12 %","  4.95 %","  2.93 %","  3.48 %","  4.59 %","","","  3.45 %","  2.70 %"
"2020-07-06","  1.03 %","  2.47 %","  2.61 %","  3.71 %","  4.93 %","  3.30 %","   .00 %","  9.09 %","  2.08 %"," 24.66 %","  1.20 %","  1.02 %","  5.59 %","  5.42 %","  3.15 %","  4.94 %","  1.42 %","  1.97 %","  3.81 %","  5.58 %","  5.02 %","  7.95 %","  5.56 %","  4.73 %","  6.25 %","  2.93 %","  4.55 %","  1.96 %","  7.44 %","  2.77 %","   .41 %","   .84 %","  3.23 %","","","   .00 %","   .88 %"
"2020-07-07","  3.06 %","  1.64 %","  1.41 %","  2.79 %","  3.36 %","  1.06 %","  7.86 %","  1.67 %","   .71 %","  1.10 %","  8.88 %","   .00 %","  5.34 %","  9.76 %","  2.11 %"," 10.54 %","   .92 %","  2.22 %","  4.40 %","   .00 %","  6.17 %","  2.46 %","  5.26 %","  2.91 %","","  4.02 %","  4.50 %","  5.64 %","  3.68 %","  1.97 %","   .81 %","  3.95 %","  2.72 %",""," 52.94 %","  5.00 %","  4.35 %"
"2020-07-08","  7.92 %","  1.27 %","  2.51 %","  2.78 %","  9.09 %","  3.16 %","  7.00 %","  1.64 %","  6.55 %","  1.09 %","  4.89 %","  1.35 %","  2.84 %","  1.56 %","  5.68 %","  7.91 %","  1.56 %","  1.78 %","  6.56 %","   .48 %","  3.46 %","  5.82 %","  6.67 %","  3.14 %","  4.41 %","  5.22 %","  4.76 %","  4.17 %","  4.59 %","  4.21 %","   .00 %","  3.65 %","  3.75 %","   .00 %",""," 13.49 %","  3.06 %"
"2020-07-09","  1.38 %","  1.77 %","  2.45 %","  3.00 %"," 10.12 %","  1.02 %","   .27 %","  4.03 %","  1.54 %","  1.08 %","   .00 %","  7.31 %","  3.10 %","   .83 %","  1.86 %","  3.76 %","  1.44 %","  1.70 %"," 10.33 %"," 12.92 %","  3.59 %","  6.47 %"," 10.16 %","  3.26 %"," 17.61 %","  5.33 %","  6.98 %","  3.00 %","  4.39 %","  5.00 %","  2.01 %","  1.35 %","  3.94 %","","   .00 %","  2.10 %","  2.70 %"
"2020-07-10","  6.33 %","   .67 %","  5.57 %","  3.75 %","  3.24 %"," 49.49 %","  2.99 %"," 12.40 %","  2.52 %","  2.13 %","  3.11 %","   .62 %","  5.28 %","  3.29 %","  1.82 %","  9.78 %","  1.50 %","  2.96 %","  5.38 %","  1.69 %","  5.65 %","   .91 %","  6.38 %","  4.52 %","  7.78 %","  5.50 %","  6.44 %","  1.09 %","  5.16 %","  3.39 %","   .00 %","  1.58 %","  4.25 %","","  7.69 %","  7.53 %","  6.56 %"
"2020-07-11"," 11.49 %","  1.56 %","  1.26 %","  3.95 %","   .00 %","  4.05 %","  1.58 %","  8.28 %","  3.51 %"," 19.79 %","  5.03 %","  3.69 %","  6.48 %","  2.95 %","  3.20 %","  3.96 %","  1.42 %","  2.46 %","  4.54 %","  3.33 %","  4.54 %","  3.92 %","  5.33 %","  4.24 %","  3.33 %","  6.03 %","  5.21 %","  3.00 %","  5.09 %","  3.03 %","  1.18 %","  2.95 %","  4.11 %","","","  9.55 %","  2.96 %"
"2020-07-12","  8.14 %","  2.80 %","  2.11 %","  2.78 %"," 15.18 %","  5.19 %","  3.64 %","  4.46 %","  2.99 %","","   .48 %","  1.19 %","  3.73 %","  8.50 %","  2.46 %","  5.40 %","  1.35 %","  3.31 %","  3.44 %"," 12.50 %","  2.85 %"," 10.43 %","  7.59 %","  4.29 %","  7.53 %","  4.73 %","  5.60 %","  1.52 %","  3.29 %","  4.65 %","","  7.48 %","  4.00 %",""," 21.43 %","   .58 %","  2.39 %"
"2020-07-13","  5.41 %","   .05 %","  4.25 %","  2.62 %","  6.82 %","   .00 %","  3.01 %","  7.93 %","   .40 %","   .00 %","  2.86 %","   .29 %","  3.79 %"," 10.17 %","  8.64 %","  8.28 %","  1.25 %","   .59 %","  5.94 %","","  3.33 %","  3.67 %","  4.12 %","  3.43 %","  7.00 %","  2.70 %","  4.80 %","  1.61 %","  4.19 %","  4.15 %","  1.95 %","  8.42 %","  3.09 %","",""," 12.72 %","  5.61 %"
"2020-07-14","  9.60 %","  1.28 %","  6.76 %","  2.69 %","  2.55 %","  8.02 %","  2.19 %","  3.95 %","  5.71 %"," 18.26 %","   .46 %","   .58 %","  5.39 %","   .09 %","  8.36 %","  5.42 %","  1.01 %","  5.99 %","  5.45 %","  1.08 %","  4.74 %","  3.80 %","  4.52 %","  1.47 %","  6.07 %","  4.76 %","  2.76 %","  3.62 %","  4.18 %","  4.21 %","   .00 %","  3.83 %","  2.42 %",""," 29.41 %"," 29.74 %","  4.65 %"
"2020-07-15","  4.99 %","   .32 %","  7.97 %","  1.87 %","  2.90 %","   .00 %","  3.33 %","  4.35 %","  4.84 %"," 12.50 %","  1.38 %","  6.98 %","  3.48 %","   .46 %","  4.77 %","  5.28 %","  1.44 %","  4.44 %","  8.14 %","  9.57 %","  3.51 %","  4.63 %","  2.70 %","  2.31 %","  6.61 %","  5.01 %","  5.42 %","  6.00 %","  3.40 %","  6.95 %","   .00 %","  5.11 %","  3.12 %","",""," 11.86 %","  1.48 %"
"2020-07-16","  8.24 %","  1.57 %","  2.93 %","  1.35 %","  7.66 %","   .00 %","  1.84 %","  2.08 %","   .89 %"," 11.11 %","   .45 %","   .27 %","  4.44 %","  5.23 %"," 10.76 %"," 12.03 %","  1.53 %","  2.22 %","  2.75 %","  2.91 %","  3.05 %","  1.17 %","  2.11 %","  4.15 %","  7.02 %","  5.58 %","  4.71 %","  3.29 %"," 11.19 %","  5.39 %","  2.29 %","  4.16 %","  3.13 %",""," 13.64 %","  1.41 %","  1.67 %"
