"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/CAPF Personnel ","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-03-24","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","1","","","","","","","","","","","","","",""
"2020-05-14","","","","","","2","","","","","","","","","","","","","",""
"2020-05-16","","","","","1","3","2","","","","","","","","","","","","",""
"2020-05-19","","","","","","","4","","","","","","","","","","","","",""
"2020-05-20","","","","","16","","5","","","","","","","","","","","","",""
"2020-05-22","","","","","","","6","","","","","","","","","","","","",""
"2020-05-25","","","","","17","","","","","","","","1","","","","","","",""
"2020-05-26","","","","","","","9","","","","","","","","","","","","",""
"2020-05-29","","","","","","","12","","","","","","","","","","","","",""
"2020-05-30","","","","","","","13","","","","","","","","","","","","",""
"2020-05-31","","","","1","18","6","14","","","","","","3","","","","","","3",""
"2020-06-01","2","","","","","","15","","","1","","","","","2","","","3","",""
"2020-06-02","","","","","","10","17","","","","","","","","","","","","",""
"2020-06-03","3","","","","19","10","","","2","2","","","","","5","4","4","4","5",""
"2020-06-04","4","","","2","21","","","","","","5","","","","","5","7","","",""
"2020-06-05","","","","","","","25","","","","","","","","","","","","",""
"2020-06-06","4","","","","29","","25","","","","19","","3","3","","5","","4","5",""
"2020-06-07","","","","","","","26","","","","22","","","","","","","10","10",""
"2020-06-08","40","","","","41","","41","","22","10","23","","4","","7","","9","","13",""
"2020-06-09","","","","4","","","","","","11","43","","13","","","","","","",""
"2020-06-10","","","","","","15","","","","","","","","5","","","","","",""
"2020-06-11","41","","","","","16","55","","26","","","","19","","19","18","","","17",""
"2020-06-12","","","","","41","17","57","","35","","44","","20","","","19","","","21",""
"2020-06-13","","","","","105","","","","","","","","","","","","","","",""
"2020-06-16","","","","","","","61","","","","","","","","25","","","","",""
"2020-06-17","51","","","8","106","","63","","39","12","48","","","","","","","16","41",""
"2020-06-18","","","","","113","","","","","","","","","31","46","","","","",""
"2020-06-19","61","","","14","94","28","61","2","42","21","56","","22","32","55","62","13","33","84",""
"2020-06-20","74","","","","","30","","","47","27","78","","","","67","93","14","","88",""
"2020-06-21","74","","","15","94","32","64","","53","47","95","","","","68","101","","39","",""
"2020-06-22","77","","","36","102","33","","","63","50","97","","","","72","105","","40","",""
"2020-06-23","","","","38","103","","70","","64","","99","","22","","83","","","","",""
"2020-06-24","77","","","","114","35","73","3","69","55","101","","23","","88","107","","41","99",""
"2020-06-25","79","","","","116","36","76","","73","57","102","","23","","90","162","","43","111",""
"2020-06-26","","","","","119","","","","","58","","","","","91","","","52","116",""
"2020-06-27","","","","","","","87","","74","","","","","","","","","53","120",""
"2020-06-28","","","","","129","38","88","","87","79","","","24","","97","176","","","145",""
"2020-06-29","79","","","","129","","","","87","81","135","","24","32","99","176","","","150",""
"2020-06-30","80","","","","","39","","","","","136","","","","103","","","","",""
"2020-07-01","","","","","","","89","4","","87","","","","","114","178","","55","153",""
"2020-07-02","","","","","139","","90","","89","89","137","","","","","","","56","155",""
"2020-07-03","","","","","","","","32","","","","","","","","","","59","161",""
"2020-07-04","81","","","","","41","","","","","","","","","120","","","","",""
"2020-07-05","","","","","140","42","96","","93","95","155","","25","","","180","","","163",""
"2020-07-06","","","","","","45","","41","","","","","","","132","","","","",""
"2020-07-07","","","","","141","46","","46","95","","160","","","","158","","","","",""
"2020-07-08","","","","","","","","","","","","","","","163","","","","",""
"2020-07-09","82","","","","149","47","","50","","","","","","","","181","","","",""
"2020-07-10","","","","","","48","120","59","106","123","","","","","167","191","","67","200",""
"2020-07-11","","","","","","","121","66","","","","","","","","","","","203",""
"2020-07-12","","","","39","","51","","","107","","166","","","","172","","","","",""
"2020-07-13","","","","","152","56","","","","","","","","","181","","","","",""
"2020-07-14","","","","","155","60","127","70","","","171","","","","","202","","70","213",""
"2020-07-15","","","","","","","137","71","108","127","","","","","","203","","81","",""
"2020-07-16","","","","","160","","170","","109","128","","","","","192","206","","82","222",""
"2020-07-17","85","","","","162","","","72","","","","","","","","","","87","247",""
"2020-07-18","","","","","","","173","","","134","234","","","","","209","","99","251",""
"2020-07-19","86","","","","","62","182","","","","","","","","194","212","","101","252",""
"2020-07-20","","","","","","","183","","","135","","","","","","","","113","",""
"2020-07-21","","","","","","70","195","89","111","","259","","","","","","15","138","",""
"2020-07-22","","","","","174","74","","102","","","","","","","199","","","142","259",""
"2020-07-23","","","","","","","201","","114","136","271","","","","","","16","173","260",""
"2020-07-24","","","","","175","75","212","113","","","","","","","","","","178","262",""
"2020-07-25","","","","","","76","213","","","","","","","","","","","179","",""
"2020-07-26","","","","","","","250","","119","","","","","","","215","","193","",""
"2020-07-27","","","","","177","85","257","","","","285","","","","","","","212","",""
"2020-07-28","","","","","185","","262","","","","","","","","","223","","222","",""
"2020-07-29","88","","","","236","92","292","","126","139","","","","","228","227","","230","",""
"2020-07-30","","","","","241","106","305","","","","287","","","","238","","17","232","",""
"2020-07-31","","","","","300","107","317","","150","","288","","","","239","229","18","247","",""
"2020-08-01","92","80","","39","","138","326","","152","","289","","","","","230","20","250","263",""
"2020-08-02","","94","","40","301","","368","","","","294","","","","242","","","259","",""
"2020-08-03","93","99","","","","","419","","","","","","","","","","","289","265",""
"2020-08-04","","133","","45","","146","444","","154","","","","","","","231","","312","",""
"2020-08-05","94","166","","47","302","159","457","","","","","","","","243","","","323","",""
"2020-08-06","97","175","","","309","169","495","","160","143","306","","","","","","","358","",""
"2020-08-07","103","340","","50","","170","509","","170","","307","","","","","243","","395","",""
"2020-08-08","124","434","","56","313","177","534","","","","","","32","","","","","397","268",""
"2020-08-09","","462","","65","325","205","544","114","","","318","","","","248","","","410","269",""
"2020-08-10","","505","","66","327","211","578","","172","152","319","","","","249","","","411","",""
"2020-08-11","128","518","","","","219","633","","","153","","","35","","250","244","","413","",""
