"date","Maine/Androscoggin","Maine/Aroostook","Maine/Cumberland","Maine/Franklin","Maine/Hancock","Maine/Kennebec","Maine/Knox","Maine/Lincoln","Maine/Out of ME","Maine/Oxford","Maine/Penobscot","Maine/Piscataquis","Maine/Sagadahoc","Maine/Somerset","Maine/Unassigned","Maine/Waldo","Maine/Washington","Maine/York"
"2020-03-22","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","",""
"2020-03-26"," 11.67 %","   .00 %"," 11.53 %","   .00 %","   .00 %","  9.00 %","   .00 %","  5.00 %",""," 15.67 %"," 21.67 %","   .00 %","  6.67 %","   .00 %",""," 20.00 %","   .00 %"," 28.89 %"
"2020-03-27"," 15.67 %","   .00 %"," 11.98 %","   .00 %","   .00 %","  9.00 %"," 20.00 %","  5.00 %",""," 15.67 %"," 25.67 %","   .00 %","  6.67 %","   .00 %"," 10.50 %"," 20.00 %","   .00 %"," 33.34 %"
"2020-03-28"," 19.00 %","   .00 %"," 13.16 %"," 20.00 %","   .00 %"," 19.00 %"," 20.00 %","   .00 %",""," 10.67 %"," 29.00 %","   .00 %"," 11.67 %","   .00 %"," 10.50 %"," 20.00 %","   .00 %"," 26.37 %"
"2020-03-29"," 21.86 %","   .00 %"," 14.40 %"," 20.00 %","   .00 %"," 16.22 %"," 40.00 %","   .00 %","","  9.17 %"," 24.33 %","   .00 %"," 19.67 %","   .00 %"," 31.33 %"," 20.00 %","   .00 %"," 24.44 %"
"2020-03-30"," 15.19 %","   .00 %"," 12.58 %"," 20.00 %","   .00 %"," 16.22 %"," 40.00 %"," 12.00 %","","  9.17 %"," 26.15 %","   .00 %"," 13.00 %","   .00 %"," 43.33 %"," 20.00 %","   .00 %"," 18.24 %"
"2020-03-31"," 17.69 %",""," 13.84 %"," 20.00 %",""," 16.22 %"," 45.00 %"," 12.00 %","","  2.50 %"," 21.15 %",""," 13.00 %","   .00 %"," 57.33 %","   .00 %",""," 17.03 %"
"2020-04-01"," 13.69 %",""," 13.39 %"," 20.00 %",""," 16.22 %"," 25.00 %"," 12.00 %","","  2.50 %"," 17.15 %",""," 13.00 %","   .00 %"," 17.33 %","   .00 %",""," 12.58 %"
"2020-04-02"," 12.18 %",""," 11.45 %"," 10.00 %","   .00 %"," 17.89 %"," 33.00 %"," 12.00 %","","  2.50 %"," 10.48 %",""," 16.57 %"," 20.00 %"," 24.00 %","   .00 %",""," 14.64 %"
"2020-04-03"," 20.98 %","   .00 %","  9.54 %"," 16.67 %","   .00 %"," 15.67 %"," 18.71 %"," 12.00 %","","  2.22 %"," 13.48 %",""," 12.57 %"," 20.00 %"," 18.17 %"," 10.00 %","   .00 %"," 13.96 %"
"2020-04-04"," 22.04 %","   .00 %","  8.67 %"," 16.67 %","   .00 %"," 17.77 %"," 18.71 %","   .00 %","","  4.22 %"," 13.67 %",""," 14.24 %"," 30.00 %"," 19.98 %"," 10.00 %","   .00 %"," 12.75 %"
"2020-04-05"," 14.54 %","   .00 %","  7.32 %"," 16.67 %","   .00 %"," 14.72 %"," 13.71 %","   .00 %","","  4.22 %"," 13.67 %",""," 14.24 %"," 36.67 %"," 14.32 %"," 10.00 %","   .00 %"," 11.75 %"
"2020-04-06"," 17.54 %","   .00 %","  8.25 %"," 21.67 %","   .00 %"," 15.63 %"," 13.71 %","  2.50 %","","  4.22 %"," 16.39 %",""," 14.24 %"," 36.67 %"," 14.32 %"," 23.33 %","   .00 %"," 13.14 %"
"2020-04-07"," 15.72 %"," 20.00 %","  4.43 %"," 11.67 %","   .00 %","  6.58 %","  5.71 %","  2.50 %","","  6.04 %"," 14.53 %","","  5.67 %"," 16.67 %","  4.02 %"," 23.33 %","   .00 %","  9.35 %"
"2020-04-08","  4.05 %"," 20.00 %","  3.37 %","  5.00 %"," 10.00 %","  6.58 %","   .00 %","  2.50 %","","  3.82 %","  9.53 %","","  1.67 %"," 21.67 %"," -5.71 %"," 21.33 %","   .00 %","  6.34 %"
"2020-04-09","  3.87 %"," 20.00 %","  3.10 %"," 13.00 %"," 10.00 %","  4.47 %","  2.22 %","  2.50 %","","  1.82 %","  7.53 %","","  1.54 %"," 11.67 %","-17.53 %"," 32.76 %","   .00 %","  6.81 %"
"2020-04-10","  3.87 %"," 20.00 %","  3.01 %"," 13.00 %"," 16.67 %","  5.83 %","  2.22 %","  2.50 %","","  1.82 %","  8.82 %","","  2.97 %","  5.00 %","-20.86 %"," 47.31 %","   .00 %","  6.30 %"
"2020-04-11","  3.37 %"," 20.00 %","  2.67 %","  8.00 %"," 16.67 %","  6.30 %","  2.22 %","   .00 %","","  3.48 %","  6.70 %","","  2.97 %","  9.00 %","-20.86 %"," 42.40 %","   .00 %","  5.79 %"
"2020-04-12","  4.11 %","   .00 %","  2.91 %"," 10.86 %"," 21.67 %","  4.33 %","  2.22 %","   .00 %","","  1.67 %","  1.90 %","","  2.97 %"," 15.67 %","-17.22 %"," 43.88 %","   .00 %","  4.64 %"
"2020-04-13","  4.11 %","   .00 %","  2.68 %"," 10.86 %"," 11.67 %"," 33.08 %","  6.22 %","  2.22 %","","  1.67 %","  1.90 %","","  2.97 %"," 10.67 %"," -1.67 %"," 35.88 %","   .00 %","  4.56 %"
"2020-04-14","  3.96 %","   .00 %","  4.28 %","  2.86 %"," 11.67 %"," 33.85 %","  2.33 %","  4.22 %","","  1.67 %","  1.90 %","","  1.43 %"," 18.17 %"," -3.67 %"," 24.45 %","   .00 %","  2.88 %"
"2020-04-15","  5.33 %","   .00 %","  4.25 %","  5.36 %","  5.00 %"," 34.51 %","  4.15 %","  6.04 %","","  1.67 %","  1.78 %","","   .00 %"," 21.80 %","  1.33 %"," 10.59 %"," 20.00 %","  2.65 %"
"2020-04-16","  3.48 %"," 10.00 %","  3.90 %","  5.36 %","  5.00 %"," 33.34 %","  4.15 %","  6.04 %","","   .00 %","  1.73 %","","   .00 %"," 19.34 %","  1.33 %","  8.17 %"," 20.00 %","  2.80 %"
"2020-04-17","  2.74 %","  3.33 %","  4.33 %","  4.72 %","  4.00 %"," 32.91 %","  4.15 %","  6.04 %","","   .00 %","  3.35 %","","   .00 %"," 14.10 %"," -8.67 %","  8.23 %"," 20.00 %","  3.39 %"
"2020-04-18","  4.61 %","  3.33 %","  4.35 %","  6.72 %","  4.00 %","  4.37 %","   .15 %","  3.82 %","","   .00 %","  3.85 %","","   .00 %"," 14.10 %","-22.00 %","  8.23 %"," 20.00 %","  3.00 %"
"2020-04-19","  3.90 %","  3.33 %","  2.70 %","  8.54 %","  4.00 %","  3.81 %","  1.82 %","  1.82 %","","  1.54 %","  4.83 %","   .00 %","  1.33 %","  7.94 %"," 10.00 %","  8.23 %"," 20.00 %","  3.10 %"
"2020-04-20","  2.52 %","  3.33 %","  2.32 %","  7.71 %","  4.00 %","   .85 %","   .00 %","   .00 %","","  1.54 %","  4.12 %","   .00 %","  1.33 %","  4.30 %","   .00 %","  8.01 %","   .00 %","  3.03 %"
