"date","Colorado/Adams","Colorado/Alamosa","Colorado/Arapahoe","Colorado/Archuleta","Colorado/Baca","Colorado/Bent","Colorado/Boulder","Colorado/Broomfield","Colorado/Chaffee","Colorado/Cheyenne","Colorado/Clear Creek","Colorado/Conejos","Colorado/Costilla","Colorado/Crowley","Colorado/Custer","Colorado/Delta","Colorado/Denver","Colorado/Dolores","Colorado/Douglas","Colorado/Eagle","Colorado/El Paso","Colorado/Elbert","Colorado/Fremont","Colorado/Garfield","Colorado/Gilpin","Colorado/Grand","Colorado/Gunnison","Colorado/Hinsdale","Colorado/Huerfano","Colorado/Jackson","Colorado/Jefferson","Colorado/Kiowa","Colorado/Kit Carson","Colorado/La Plata","Colorado/Lake","Colorado/Larimer","Colorado/Las Animas","Colorado/Lincoln","Colorado/Logan","Colorado/Mesa","Colorado/Mineral","Colorado/Moffat","Colorado/Montezuma","Colorado/Montrose","Colorado/Morgan","Colorado/Otero","Colorado/Ouray","Colorado/Out of CO","Colorado/Park","Colorado/Phillips","Colorado/Pitkin","Colorado/Prowers","Colorado/Pueblo","Colorado/Rio Blanco","Colorado/Rio Grande","Colorado/Routt","Colorado/Saguache","Colorado/San Juan","Colorado/San Miguel","Colorado/Sedgwick","Colorado/Summit","Colorado/Teller","Colorado/Unassigned","Colorado/Washington","Colorado/Weld","Colorado/Yuma"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","1","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","1","5","0","0","0","0","0","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0"
"2020-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","1","5","0","0","0","0","0","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","0","4","0"
"2020-03-28","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","3","0","0","1","7","0","0","0","0","0","1","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","6","0"
"2020-03-29","0","0","3","0","0","0","1","0","1","0","0","0","0","1","0","0","5","0","0","2","11","0","0","0","0","0","1","0","0","0","5","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","2","0","1","0","0","0","0","0","0","0","0","1","1","0","9","0"
"2020-03-30","0","0","3","0","0","0","1","0","1","0","0","0","0","1","0","0","5","0","0","2","11","0","0","0","0","0","1","0","0","0","5","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","2","0","1","0","0","0","0","0","0","0","0","1","1","0","9","0"
"2020-03-31","2","0","6","0","0","","2","1","1","","0","","0","1","","0","7","","0","4","13","0","0","1","","0","1","0","0","","6","","0","0","0","6","","0","0","0","0","0","0","0","0","0","","","0","0","2","","2","","0","0","0","","0","","0","1","1","0","12","0"
"2020-04-01","2","0","6","0","0","","2","1","1","","0","","0","1","","0","7","","0","4","13","0","0","1","","0","1","0","0","","6","","0","0","0","6","","0","0","0","0","0","0","0","0","0","","","0","0","2","","2","","0","0","0","","0","","0","1","1","0","12","0"
"2020-04-02","2","0","7","0","0","","2","2","1","","0","","0","1","","0","8","","0","4","14","0","0","1","","0","1","0","0","","7","","0","0","0","7","","0","0","0","0","0","0","0","0","0","","1","0","0","2","","2","","0","0","0","","0","","0","1","4","0","13","0"
"2020-04-03","7","0","10","0","0","","2","2","2","","0","","0","1","0","0","11","","1","4","16","0","0","1","","0","1","0","0","","9","","0","0","0","7","","0","0","0","0","0","1","0","0","0","","1","0","0","2","","2","","0","0","0","","0","","0","1","0","0","16","0"
"2020-04-04","9","0","10","0","0","","2","2","2","","0","","0","1","0","0","14","","2","5","18","0","0","1","","0","1","0","0","","13","","0","0","0","7","0","0","0","0","0","0","1","1","0","0","","1","0","0","2","","2","0","0","0","0","","0","","0","1","0","0","16","0"
"2020-04-05","10","0","13","0","0","","3","2","2","","0","","0","1","0","0","16","","3","5","25","1","0","1","","0","1","0","0","","17","","0","0","0","8","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2","","2","0","0","0","0","","0","","0","1","0","0","24","0"
"2020-04-06","12","0","15","0","0","","3","2","2","","0","","0","1","0","0","15","","3","5","28","1","0","1","","0","1","0","0","","18","","0","0","0","8","0","0","0","0","0","0","1","2","0","0","0","1","0","0","2","","2","0","0","0","0","","0","","0","1","0","0","26","0"
"2020-04-07","12","0","15","0","0","","3","2","2","","0","","0","1","0","0","15","","3","5","28","1","0","1","","0","1","0","0","","18","","0","0","0","8","0","0","0","0","0","0","1","2","0","0","0","1","0","0","2","","2","0","0","0","0","","0","","0","1","29","0","26","0"
"2020-04-08","14","0","19","0","0","","3","2","2","","0","","0","1","0","1","33","","8","5","30","1","0","1","","0","1","0","0","","23","","0","0","0","8","0","0","0","0","0","0","1","3","0","0","0","1","0","0","2","","2","0","0","0","0","","0","","0","1","1","0","30","0"
"2020-04-09","14","0","19","0","0","","3","2","2","","0","","0","1","0","1","33","","8","5","30","1","0","1","","0","1","0","0","","23","","0","0","0","8","0","0","0","0","0","0","1","3","0","0","0","1","0","0","2","","2","0","0","0","0","","0","","0","1","1","0","30","0"
"2020-04-10","14","0","19","0","0","","3","2","2","","0","","0","1","0","1","33","","8","5","30","1","0","1","0","0","1","0","0","","23","","0","0","0","8","0","0","0","0","0","0","1","3","0","0","0","1","0","0","2","0","2","0","0","0","0","","0","","0","1","34","0","30","0"
"2020-04-11","23","2","30","0","0","","7","2","3","","0","","0","1","0","1","42","","10","5","33","1","0","2","0","0","1","0","0","","25","","0","0","0","9","0","0","0","0","0","0","1","3","0","0","1","1","0","0","2","0","2","0","0","0","0","","0","","0","2","1","0","40","0"
"2020-04-12","26","2","38","0","0","","11","2","3","","0","","0","1","0","1","46","","10","5","37","1","0","2","0","0","3","0","0","","29","","0","0","0","9","0","0","0","0","0","0","2","4","0","0","1","","0","0","2","0","3","0","0","0","0","","0","","1","2","0","0","48","0"
"2020-04-13","26","2","39","0","0","","12","2","3","","0","","0","1","0","1","51","","11","6","39","1","0","2","0","0","3","0","0","","30","","0","0","0","9","0","0","0","0","0","0","2","4","0","0","1","","0","0","2","0","3","0","0","0","0","","0","","1","2","0","0","53","0"
"2020-04-14","27","2","43","0","0","","14","2","3","","0","","0","1","0","1","56","","12","6","41","1","0","2","0","0","3","0","0","","31","","1","0","0","9","0","0","0","0","0","0","2","5","0","0","1","","0","0","2","0","4","0","0","0","0","","0","","1","2","0","0","55","0"
"2020-04-15","27","2","43","0","0","","15","2","3","","0","","0","1","0","1","56","","12","6","41","1","0","2","0","0","3","0","0","","31","","1","0","0","9","0","0","0","0","0","0","2","5","0","0","1","","0","0","2","0","4","0","0","0","0","","0","","1","2","0","0","55","0"
"2020-04-16","28","2","52","0","0","","15","2","4","","0","","0","1","0","1","61","","15","6","43","1","0","2","0","0","3","0","0","","32","","1","0","0","9","0","0","0","0","0","0","2","6","0","0","1","","0","0","2","0","4","0","0","1","0","","0","","1","2","1","0","57","0"
"2020-04-17","29","2","55","0","0","","15","2","4","","0","","0","1","0","1","63","","15","6","48","1","0","2","0","0","3","0","0","","33","","1","0","0","9","0","0","0","0","0","0","2","7","0","0","1","","0","0","2","0","5","0","0","1","0","","0","","1","2","1","0","60","0"
"2020-04-18","31","2","58","0","0","","15","2","4","","0","","0","1","0","1","66","","15","6","49","1","0","2","0","0","3","0","0","","35","","1","0","0","10","0","0","1","0","0","0","2","7","2","0","1","","0","0","2","0","6","0","0","1","0","","0","","1","2","1","0","61","0"
"2020-04-19","35","2","65","0","0","","17","2","4","","0","","0","1","0","1","75","","16","7","49","1","0","2","0","0","3","0","0","","36","","1","0","0","12","0","0","1","0","0","0","2","7","2","0","1","","0","0","2","0","6","0","0","2","0","","0","","1","2","1","0","64","0"
"2020-04-20","35","2","65","0","0","","17","2","4","","0","","0","1","0","1","75","","16","7","49","1","0","2","0","0","3","0","0","","36","","1","0","0","12","0","0","1","0","0","0","2","7","2","0","1","","0","0","2","0","6","0","0","2","0","","0","","1","2","1","0","64","0"
"2020-04-21","46","2","80","0","0","","18","2","4","","0","","0","1","0","1","91","","17","7","53","1","0","2","0","0","3","0","0","","40","","1","0","0","13","0","0","1","0","0","0","2","9","4","0","1","","0","0","2","0","7","0","0","2","0","","0","","1","2","1","0","69","0"
"2020-04-22","46","2","87","0","0","","20","2","5","","1","","0","1","0","1","96","","18","7","54","1","0","2","0","0","4","0","0","","43","","1","0","0","14","0","0","1","0","0","0","2","9","4","0","1","","0","0","2","0","7","0","0","2","0","","0","","1","2","1","0","69","0"
