"date","Florida/Alachua","Florida/Baker","Florida/Bay","Florida/Bradford","Florida/Brevard","Florida/Broward","Florida/Calhoun","Florida/Charlotte","Florida/Citrus","Florida/Clay","Florida/Collier","Florida/Columbia","Florida/DeSoto","Florida/Desoto","Florida/Dixie","Florida/Duval","Florida/Escambia","Florida/Flagler","Florida/Franklin","Florida/Gadsden","Florida/Gilchrist","Florida/Glades","Florida/Gulf","Florida/Hamilton","Florida/Hardee","Florida/Hendry","Florida/Hernando","Florida/Highlands","Florida/Hillsborough","Florida/Holmes","Florida/Indian River","Florida/Jackson","Florida/Jefferson","Florida/Lafayette","Florida/Lake","Florida/Lee","Florida/Leon","Florida/Levy","Florida/Liberty","Florida/Madison","Florida/Manatee","Florida/Marion","Florida/Martin","Florida/Miami-Dade","Florida/Monroe","Florida/Nassau","Florida/Okaloosa","Florida/Okeechobee","Florida/Orange","Florida/Osceola","Florida/Palm Beach","Florida/Pasco","Florida/Pinellas","Florida/Polk","Florida/Putnam","Florida/Santa Rosa","Florida/Sarasota","Florida/Seminole","Florida/St. Johns","Florida/St. Lucie","Florida/Sumter","Florida/Suwannee","Florida/Taylor","Florida/Unassigned","Florida/Union","Florida/Volusia","Florida/Wakulla","Florida/Walton","Florida/Washington"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","1","1","0","0","0","46","0","1","1","1","6","0","1","","0","11","5","2","0","0","0","0","0","0","0","0","0","1","17","0","2","0","0","0","3","4","1","0","0","0","2","1","2","51","1","0","0","0","15","1","17","3","3","2","0","0","6","3","2","2","3","0","0","-1","0","2","0","5","0"
"2020-03-24","1","1","0","0","2","48","0","0","0","2","2","1","0","","0","0","1","1","0","0","0","0","0","0","0","0","0","2","16","0","1","0","0","0","5","2","2","0","0","0","1","0","0","60","1","0","0","0","2","1","12","1","4","0","0","0","5","1","4","1","2","0","0","0","0","2","0","1","0"
"2020-03-25","8","1","0","0","2","44","0","0","0","3","6","0","0","","0","6","4","1","0","0","0","0","0","0","0","0","3","0","15","0","1","0","0","0","4","10","0","0","0","0","6","1","0","62","5","0","2","0","27","9","17","2","5","1","2","3","1","6","4","2","3","0","0","","0","2","0","2","0"
"2020-03-26","4","0","2","0","2","149","0","0","2","6","18","0","4","","0","18","5","2","0","0","0","0","0","0","0","0","1","1","36","0","1","0","0","0","7","14","1","0","0","0","4","0","4","216","4","4","5","0","33","7","51","2","14","3","8","2","7","8","7","2","11","0","0","","0","9","0","1","0"
"2020-03-27","8","2","0","0","3","110","0","2","0","3","16","0","1","","0","16","3","4","0","0","0","0","0","0","0","0","1","0","25","0","1","0","0","0","4","20","5","0","0","0","2","3","8","147","4","1","2","0","46","11","25","4","13","9","0","2","6","12","3","4","5","1","0","","0","10","0","0","1"
"2020-03-28","10","0","2","0","10","200","0","7","3","2","11","0","1","","0","25","6","2","0","0","0","0","0","0","0","0","3","5","28","0","2","0","0","0","6","25","2","1","0","0","2","9","9","240","4","0","4","0","50","13","98","5","17","8","0","3","8","12","12","7","4","0","0","0","0","5","0","2","0"
"2020-03-29","4","0","1","0","2","24","0","4","1","6","3","0","0","","0","10","2","0","0","0","0","0","0","0","0","1","1","0","23","0","1","0","0","0","3","23","2","1","0","0","3","3","1","189","2","1","4","0","40","17","41","6","19","5","0","6","2","15","2","2","10","0","0","0","0","3","0","0","0"
"2020-03-30","8","1","0","1","3","314","0","2","2","5","24","0","0","","0","33","12","0","0","0","0","3","0","0","0","2","7","3","35","0","7","1","0","0","9","40","3","0","0","0","6","3","1","440","2","1","4","0","47","11","90","4","13","16","1","10","11","11","10","6","3","2","0","1","0","18","1","0","0"
"2020-03-31","8","1","2","0","6","67","1","6","2","6","27","0","0","","","49","52","5","","0","","0","","","","1","3","4","52","1","9","0","","","19","42","5","0","","","14","2","1","491","3","2","4","","80","16","128","2","41","18","0","14","15","16","19","9","5","0","","1","1","15","0","3","0"
"2020-04-01","3","0","2","1","1","13","0","0","0","5","4","0","0","","","11","0","2","","0","","0","1","","","0","0","0","4","0","0","0","","","1","6","2","0","","","5","3","1","79","0","1","0","","19","5","16","3","3","3","0","0","6","6","4","2","1","1","","1","0","0","0","0","0"
"2020-04-02","5","2","5","2","11","249","0","14","8","12","28","1","1","","","68","7","5","","1","","0","0","","1","0","10","7","95","0","8","2","","","15","63","7","0","","2","31","5","5","684","11","5","12","1","149","55","170","23","103","27","1","3","28","36","19","8","14","3","","6","0","22","1","1","0"
"2020-04-03","15","0","3","0","13","117","1","5","1","11","25","0","1","","","37","12","3","1","1","","0","0","","0","1","4","2","59","0","6","0","","","6","29","4","0","","2","15","5","8","478","2","3","3","1","61","31","121","11","45","23","1","1","14","18","17","12","2","4","","1","0","23","1","0","0"
"2020-04-04","6","0","5","1","10","167","1","3","6","5","18","6","2","","1","64","5","1","0","1","","1","0","","0","1","2","4","34","0","3","0","1","","7","44","3","0","","2","25","4","11","526","2","2","5","1","55","15","96","13","24","16","3","2","5","15","13","16","5","6","","-9","1","9","2","2","0"
"2020-04-05","7","1","1","1","7","121","0","1","9","5","10","3","1","","0","26","7","2","1","0","","0","0","","1","1","3","5","39","0","5","0","0","","6","31","0","2","","4","7","8","7","256","2","0","3","0","56","13","46","12","17","15","1","5","11","13","9","6","2","1","","3","0","17","1","2","0"
"2020-04-06","8","1","0","1","9","181","0","8","2","2","15","0","2","","0","62","11","1","0","1","","0","0","1","0","2","5","0","35","0","6","0","2","","3","18","17","0","","1","8","3","23","335","1","4","3","0","31","10","69","8","3","19","0","3","11","3","5","18","5","14","","3","0","0","0","1","0"
"2020-04-07","8","2","1","3","10","163","0","12","6","7","25","3","2","","0","46","32","3","0","1","1","0","0","0","0","0","3","2","37","1","1","0","1","","12","37","9","1","","0","18","10","15","516","4","1","4","1","19","15","67","10","18","21","0","7","21","8","5","18","4","0","1","-5","0","11","0","2","1"
"2020-04-08","5","0","3","4","4","128","1","9","3","9","6","1","2","","1","28","12","0","0","2","0","0","0","0","0","1","5","4","18","1","1","0","4","","20","28","3","0","","1","9","2","3","357","2","3","9","0","40","18","70","5","14","9","2","4","8","14","3","12","6","14","0","1","0","1","1","0","0"
"2020-04-09","6","1","2","5","4","96","0","3","3","6","15","0","1","","-1","40","4","2","0","2","2","0","0","0","1","1","2","4","18","-1","5","1","0","1","3","34","3","1","","0","4","7","8","391","1","1","2","1","54","23","54","3","19","6","4","2","10","12","8","2","8","8","0","-1","0","16","0","0","1"
"2020-04-10","17","0","6","2","9","191","1","6","3","11","26","6","1","","0","20","13","7","0","4","1","0","0","1","0","3","4","2","27","0","0","0","1","0","8","51","8","0","","2","23","10","2","374","3","3","3","0","38","5","128","13","15","25","3","32","18","7","1","12","8","4","0","0","0","8","0","1","0"
"2020-04-11","7","1","0","2","5","161","0","22","6","44","26","1","0","","1","26","9","0","0","0","0","0","0","0","0","2","3","4","19","0","2","0","0","0","2","37","30","0","1","0","5","1","4","368","3","0","8","0","19","17","53","7","16","5","1","2","11","7","4","4","1","8","0","0","0","8","0","0","0"
"2020-04-12","41","0","1","5","13","139","0","6","5","5","17","2","0","","0","33","18","1","0","3","0","0","0","0","0","4","6","5","69","0","4","1","3","0","1","33","8","2","0","0","33","10","7","571","1","1","10","0","35","6","205","12","11","12","14","4","7","13","6","4","3","1","0","0","0","6","1","2","1"
"2020-04-13","-28","0","1","1","15","232","0","6","1","2","15","1","2","","0","23","17","0","0","19","0","1","0","0","0","2","0","5","54","0","3","0","0","0","12","25","30","-1","1","0","16","8","7","401","5","0","2","0","75","10","58","9","24","16","-1","4","4","13","3","9","2","1","0","0","0","15","4","0","0"
"2020-04-14","8","0","0","1","15","84","0","4","3","3","4","1","0","","0","27","6","0","0","2","2","0","0","0","0","1","0","1","6","2","0","0","1","0","7","15","0","0","0","0","9","3","6","253","0","1","1","0","14","16","36","8","15","9","1","1","11","7","1","4","1","7","0","1","0","10","0","0","1"
"2020-04-15","-1","0","1","4","10","102","0","1","-1","2","15","6","0","","1","27","13","1","0","2","0","0","0","0","0","3","5","2","50","0","1","0","9","0","10","20","4","0","0","1","15","3","3","354","2","2","3","0","35","12","74","9","19","7","3","1","11","8","2","7","1","5","0","2","0","16","1","0","0"
"2020-04-16","6","0","3","4","19","103","0","3","6","14","21","1","0","","0","31","17","4","0","4","-2","0","0","0","1","1","0","2","9","0","5","2","1","0","7","10","11","2","0","1","33","5","4","260","0","3","10","0","41","23","53","4","17","18","3","3","8","23","3","14","3","3","0","1","0","13","1","0","0"
"2020-04-17","2","0","2","1","13","222","1","4","2","32","29","0","1","","0","41","13","5","0","3","0","0","0","1","0","4","7","0","46","1","2","0","0","0","11","34","9","0","0","3","17","4","5","498","2","2","7","0","44","8","221","3","35","12","3","12","14","7","4","6","3","4","0","-2","0","15","0","2","1"
"2020-04-18","3","0","4","2","5","150","0","7","0","7","12","1","0","","0","18","14","11","0","1","0","0","0","0","0","8","1","0","19","0","-2","0","1","0","6","18","-5","2","0","1","36","2","1","221","5","0","3","1","22","11","50","5","22","4","3","3","5","2","2","4","24","3","0","-1","0","21","0","1","-1"
"2020-04-19","5","0","7","0","5","133","0","0","2","24","6","3","1","","0","19","5","9","0","3","0","0","0","0","0","2","0","4","17","1","1","0","2","0","4","30","7","1","0","1","55","3","3","309","0","2","4","1","18","6","32","7","5","6","1","5","5","5","2","6","3","8","0","0","1","42","0","0","1"
"2020-04-20","8","0","2","0","3","107","0","1","2","2","7","1","0","","1","42","6","1","0","6","0","0","0","0","0","3","0","1","13","0","1","1","0","0","4","16","8","1","0","2","16","8","4","303","0","2","0","0","18","1","90","4","15","9","2","2","7","5","2","2","6","0","1","0","-1","9","1","0","0"
"2020-04-21","6","0","1","0","6","90","0","4","6","7","7","3","0","","0","13","25","2","0","0","0","0","0","1","0","2","0","0","6","2","0","2","0","0","2","10","2","-1","0","3","10","1","5","399","0","0","3","1","19","7","60","4","25","21","1","-1","6","3","2","2","10","4","0","1","1","24","0","0","3"
"2020-04-22","3","0","1","0","1","60","0","5","0","1","6","-1","0","","0","16","78","0","0","1","0","0","0","1","0","6","0","0","3","0","0","0","0","0","0","-1","0","1","0","9","2","0","1","97","0","0","1","0","16","6","83","5","6","5","6","5","2","4","1","1","1","2","0","-4","0","9","0","0","1"
"2020-04-23","4","2","1","0","10","203","0","30","2","7","24","4","0","","0","31","2","28","0","11","0","0","0","1","1","7","-1","3","26","1","3","2","0","0","4","93","5","0","0","5","28","15","5","435","1","2","6","1","23","26","151","3","18","18","10","-3","11","8","5","13","2","2","1","0","0","45","2","2","0"
"2020-04-24","13","1","3","0","12","160","0","21","1","2","19","0","0","","1","-1","14","0","0","10","0","0","0","0","4","5","3","2","14","0","1","0","1","0","2","53","16","0","0","1","18","3","3","338","3","1","4","0","16","12","46","9","17","14","6","2","4","8","3","3","1","1","0","0","1","8","3","1","2"
"2020-04-25","1","0","0","0","3","68","0","3","0","1","9","1","0","","1","10","8","10","0","1","0","0","0","0","1","0","3","0","19","0","0","0","0","0","2","4","1","0","0","0","6","2","0","79","0","1","4","0","14","2","14","3","4","7","2","4","4","3","0","2","2","2","0","1","0","4","0","0","0"
"2020-04-26","6","0","2","1","2","70","0","1","2","0","17","2","0","","0","19","15","5","0","1","0","1","0","0","0","1","0","0","7","0","0","0","0","0","1","17","2","0","0","2","11","1","5","346","1","3","0","0","18","0","83","0","10","10","4","2","3","6","1","3","2","7","0","0","0","2","1","0","0"
"2020-04-27","3","0","3","1","14","65","0","8","0","4","10","4","1","","-1","6","13","6","0","6","0","0","0","0","3","3","0","4","14","0","1","0","1","0","1","10","2","0","0","1","25","0","9","219","1","0","0","1","17","7","66","4","11","31","0","1","2","10","0","8","2","2","0","0","0","6","1","0","0"
"2020-04-28","1","0","2","0","2","53","0","8","0","1","6","2","1","","1","11","15","4","0","7","0","0","0","0","1","4","0","1","18","0","0","0","0","0","3","19","1","5","0","5","30","9","2","261","0","0","3","0","24","4","114","2","11","16","16","1","11","7","3","3","4","10","0","3","0","5","0","0","0"
"2020-04-29","7","0","0","2","2","51","2","4","0","0","13","2","2","","0","6","11","2","0","0","0","0","0","0","2","8","0","0","25","0","0","1","0","0","1","13","1","0","1","0","4","5","1","96","-1","3","1","0","8","5","34","2","9","11","0","2","4","-1","0","0","-1","1","0","3","0","3","0","0","0"
"2020-04-30","5","0","2","0","15","55","0","13","2","1","15","1","1","","1","5","10","0","0","1","1","0","0","0","2","3","1","0","19","1","0","0","0","0","0","18","5","1","0","6","13","10","5","136","1","0","1","1","14","-1","52","8","11","15","3","1","14","6","1","8","5","1","0","0","0","4","1","3","0"
"2020-05-01","6","2","0","1","4","191","0","9","0","3","14","6","1","","0","13","26","1","0","8","0","0","0","1","4","9","2","3","39","0","1","0","0","1","6","46","7","0","3","3","11","3","6","326","0","1","2","1","28","8","78","3","19","17","2","4","13","6","2","2","36","9","0","1","1","48","1","0","0"
"2020-05-02","2","0","3","1","8","113","6","-1","0","2","18","4","1","","0","13","6","4","0","2","0","0","0","0","7","4","0","2","77","0","1","0","0","0","1","18","7","0","2","0","16","4","2","243","1","1","2","1","9","18","39","23","9","14","9","-1","7","10","2","5","4","2","0","1","0","9","-1","5","0"
"2020-05-03","11","0","1","0","11","55","1","5","0","1","12","24","1","","2","7","55","2","0","2","1","0","0","0","3","5","2","-1","41","0","5","1","0","0","0","33","1","0","52","2","12","2","3","143","0","1","2","1","12","5","50","3","9","9","3","0","5","-1","-1","3","5","0","0","3","0","4","1","6","0"
