"date","Maryland/Allegany","Maryland/Anne Arundel","Maryland/Baltimore","Maryland/Baltimore City","Maryland/Calvert","Maryland/Caroline","Maryland/Carroll","Maryland/Cecil","Maryland/Charles","Maryland/Dorchester","Maryland/Frederick","Maryland/Garrett","Maryland/Harford","Maryland/Howard","Maryland/Kent","Maryland/Montgomery","Maryland/Prince George's","Maryland/Queen Anne's","Maryland/Somerset","Maryland/St. Mary's","Maryland/Talbot","Maryland/Unassigned","Maryland/Washington","Maryland/Wicomico","Maryland/Worcester"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","2","7","7","-1","0","1","1","0","0","3","3","0","2","0","11","7","0","0","0","0","","1","2","0"
"2020-03-24","0","4","7","10","2","0","0","2","0","0","0","0","0","4","0","13","16","0","0","1","0","","0","0","0"
"2020-03-25","0","7","9","12","0","0","0","1","3","0","3","0","0","5","1","20","13","0","0","0","0","","2","0","0"
"2020-03-26","0","10","30","19","4","0","2","0","2","0","7","0","4","14","0","37","25","1","0","2","0","","0","1","0"
"2020-03-27","0","22","22","16","2","0","2","5","7","0","1","0","9","13","1","44","47","0","0","0","0","","1","0","0"
"2020-03-28","0","25","38","24","-1","0","1","4","4","0","7","0","3","11","0","47","48","2","0","4","1","0","1","1","0"
"2020-03-29","0","11","21","17","2","2","72","0","7","0","2","0","2","8","1","46","51","0","0","1","1","0","0","0","0"
"2020-03-30","0","11","24","23","2","1","0","0","5","0","2","0","1","15","0","40","47","0","0","0","1","0","1","0","1"
"2020-03-31","","17","41","35","3","0","10","1","7","","7","0","1","21","0","47","47","0","0","6","-1","","4","1","0"
"2020-04-01","","31","62","34","3","0","4","2","16","1","2","0","9","25","0","59","62","3","3","4","1","0","4","0","1"
"2020-04-02","1","48","64","44","4","0","9","4","13","0","10","0","3","10","2","51","70","1","0","8","0","0","2","0","1"
"2020-04-03","1","43","74","48","8","0","24","5","21","0","9","0","4","14","0","68","90","4","0","3","1","0","10","0","0"
"2020-04-04","1","40","64","30","3","0","5","8","5","0","19","0","3","14","0","74","90","1","0","4","1","0","2","1","2"
"2020-04-05","3","30","99","51","6","0","8","3","16","0","47","0","8","19","0","53","132","0","0","6","1","0","5","3","2"
"2020-04-06","0","24","58","41","1","2","8","1","18","0","18","0","3","15","0","100","131","2","0","1","1","0","3","0","1"
"2020-04-07","1","27","4","24","1","5","9","4","7","2","13","0","4","22","3","78","104","0","0","5","0","0","7","6","0"
"2020-04-08","-1","96","214","112","15","0","27","8","28","1","48","2","27","38","1","217","290","1","0","16","2","0","13","3","0"
"2020-04-09","2","39","113","67","10","1","17","5","16","3","34","0","15","25","0","126","166","1","0","3","3","0","3","1","6"
"2020-04-10","2","49","93","51","10","0","11","10","40","0","56","-1","9","20","0","174","240","0","0","6","0","0","6","7","0"
"2020-04-11","1","61","101","67","6","3","0","2","15","1","52","0","10","32","1","149","207","2","0","2","0","","6","5","3"
"2020-04-12","2","44","84","56","8","2","22","8","18","1","27","0","9","20","1","94","112","0","0","9","1","","3","9","1"
"2020-04-13","2","65","104","61","4","4","14","9","21","3","49","0","13","15","0","125","170","0","2","13","2","","18","16","1"
"2020-04-14","2","59","16","89","5","0","9","2","18","2","24","0","5","17","0","127","151","0","-1","3","0","","3","5","0"
"2020-04-15","0","62","108","98","3","1","3","5","18","2","1","0","5","21","0","50","160","0","0","1","-2","","10","13","1"
"2020-04-16","3","51","31","100","1","1","21","11","17","2","55","0","9","27","0","200","206","0","1","-1","0","","3","11","3"
"2020-04-17","6","70","53","113","6","5","5","26","10","2","28","0","15","24","3","147","244","0","3","2","0","","7","16","3"
"2020-04-18","7","39","95","105","0","5","20","4","10","0","32","0","19","33","2","124","194","5","1","19","2","","0","35","3"
"2020-04-19","0","42","69","14","4","0","5","0","23","1","34","0","15","7","2","103","185","1","0","3","3","","1","7","2"
"2020-04-20","-1","51","142","119","1","6","22","3","22","2","25","0","16","23","10","140","238","1","1","-15","3","0","6","21","1"
"2020-04-21","24","59","50","31","2","2","-5","0","9","2","16","0","6","27","1","121","151","1","0","0","0","0","3","10","-1"
"2020-04-22","2","33","87","60","2","0","14","0","26","3","26","0","35","27","7","100","141","4","0","5","1","0","1","7","1"
"2020-04-23","19","104","120","70","3","9","11","6","15","3","32","0","13","26","28","192","266","2","1","3","2","0","12","20","5"
"2020-04-24","13","79","102","56","4","5","17","4","17","1","75","0","9","24","3","167","262","10","1","4","-2","0","4","19","5"
"2020-04-25","15","57","153","63","5","6","12","2","24","6","49","0","13","44","0","256","392","9","1","5","5","0","11","20","2"
"2020-04-26","8","80","122","75","4","2","7","8","21","8","20","0","17","21","1","162","192","1","2","9","6","0","19","28","2"
"2020-04-27","1","34","39","67","4","5","12","9","25","5","31","0","33","71","2","198","276","1","3","11","0","0","8","66","5"
"2020-04-28","1","27","83","44","1","1","13","0","10","1","5","0","6","24","3","160","233","1","1","1","0","0","6","4","1"
"2020-04-29","1","91","109","37","3","0","5","1","12","-1","23","0","13","29","0","149","242","0","1","0","0","0","10","10","1"
"2020-04-30","2","63","91","54","8","2","15","3","13","0","25","0","43","36","6","148","305","-3","5","5","1","0","9","56","6"
"2020-05-01","0","82","182","94","11","3","24","9","47","3","24","0","23","29","7","454","692","0","4","9","0","","10","19","4"
"2020-05-02","3","78","170","75","-1","5","20","11","11","5","34","0","31","35","-6","165","306","5","2","5","4","0","9","27","7"
"2020-05-03","3","74","118","82","2","16","14","1","15","12","28","0","11","38","11","231","292","3","1","1","5","0","7","21","3"
"2020-05-04","2","59","147","92","9","3","12","6","14","4","34","0","12","23","4","234","265","3","2","3","1","0","5","7","5"
"2020-05-05","3","27","-18","198","3","1","7","1","9","1","33","0","8","18","0","157","233","2","2","2","0","0","1","20","1"
"2020-05-06","0","40","97","143","10","2","8","5","10","3","37","0","33","51","-1","249","304","2","2","16","0","0","13","17","5"
"2020-05-07","14","109","135","104","4","4","13","8","28","6","43","0","20","37","4","242","381","1","1","7","7","0","9","24","10"
