"date","Utah/Bear River","Utah/Beaver","Utah/Box Elder","Utah/Cache","Utah/Carbon","Utah/Central Utah","Utah/Daggett","Utah/Davis","Utah/Duchesne","Utah/Emery","Utah/Garfield","Utah/Grand","Utah/Iron","Utah/Juab","Utah/Kane","Utah/Millard","Utah/Morgan","Utah/Out of UT","Utah/Piute","Utah/Rich","Utah/Salt Lake","Utah/San Juan","Utah/Sanpete","Utah/Sevier","Utah/Southeast Utah","Utah/Southwest","Utah/Southwest Utah","Utah/Summit","Utah/Tooele","Utah/TriCounty","Utah/Uintah","Utah/Unassigned","Utah/Utah","Utah/Wasatch","Utah/Washington","Utah/Washington County","Utah/Wayne","Utah/Weber","Utah/Weber-Morgan","Utah/unassigned"
"2020-03-22","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","",""
"2020-03-23","","   .00 %","   .00 %"," 50.00 %","   .00 %","","   .00 %"," 52.63 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 36.25 %","   .00 %","   .00 %","   .00 %","","",""," 51.16 %","-33.33 %","","   .00 %",""," 83.33 %"," 37.50 %","   .00 %","","   .00 %","   .00 %","",""
"2020-03-24","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","  6.90 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.76 %","   .00 %","   .00 %","   .00 %","","",""," 26.15 %","   .00 %","","   .00 %",""," 18.18 %"," 36.36 %","   .00 %","","   .00 %"," 12.50 %","",""
"2020-03-25","","   .00 %","-##.## %","-##.## %","   .00 %","","   .00 %"," 12.90 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.69 %","   .00 %","   .00 %"," 21.77 %","   .00 %","   .00 %","   .00 %","","","","  8.54 %"," 50.00 %","","   .00 %",""," 38.46 %","   .00 %","   .00 %","","   .00 %"," 11.11 %","",""
"2020-03-26","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 11.43 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 17.88 %","   .00 %","   .00 %","   .00 %","","","","  6.74 %"," 33.33 %","","   .00 %",""," 33.33 %"," 33.33 %"," 60.00 %","","   .00 %"," 40.00 %","",""
"2020-03-27","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 28.21 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 22.47 %","   .00 %","   .00 %","   .00 %","","","","  7.37 %"," 25.00 %","","   .00 %","","  8.33 %"," 40.00 %"," 12.50 %","","   .00 %"," 42.86 %","",""
"2020-03-28","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 18.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 26.61 %","   .00 %","   .00 %","   .00 %","","",""," 24.51 %"," 60.00 %","","   .00 %",""," 15.38 %"," 28.57 %"," 44.44 %","","   .00 %"," 45.00 %","",""
"2020-03-29","","   .00 %"," 25.00 %","   .00 %","   .00 %","","   .00 %"," 16.95 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.30 %"," ##.## %","   .00 %","   .00 %","","",""," 18.90 %"," 12.50 %","","   .00 %",""," 66.67 %","  8.33 %","-38.46 %","","   .00 %"," 27.59 %","",""
"2020-03-30","","-##.## %"," 40.00 %","-##.## %","   .00 %","","   .00 %"," 11.59 %","   .00 %","   .00 %","-##.## %","-##.## %","-##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," 35.71 %","   .00 %","   .00 %"," 12.15 %","   .00 %","   .00 %","   .00 %","","",""," 10.60 %","   .00 %","","   .00 %",""," 14.00 %"," 12.82 %"," 87.50 %","","   .00 %","  5.41 %","",""
"2020-03-31","","","   .00 %","   .00 %","","","","  9.09 %","","","   .00 %","   .00 %","   .00 %","","","",""," 15.79 %","",""," 10.00 %","   .00 %","","","","","","  2.99 %"," 33.33 %","","   .00 %",""," 22.81 %"," 13.64 %"," -6.67 %","","","  5.13 %","",""
