"date","Pennsylvania/Adams","Pennsylvania/Allegheny","Pennsylvania/Armstrong","Pennsylvania/Beaver","Pennsylvania/Bedford","Pennsylvania/Berks","Pennsylvania/Blair","Pennsylvania/Bradford","Pennsylvania/Bucks","Pennsylvania/Butler","Pennsylvania/Cambria","Pennsylvania/Cameron","Pennsylvania/Carbon","Pennsylvania/Centre","Pennsylvania/Chester","Pennsylvania/Clarion","Pennsylvania/Clearfield","Pennsylvania/Clinton","Pennsylvania/Columbia","Pennsylvania/Crawford","Pennsylvania/Cumberland","Pennsylvania/Dauphin","Pennsylvania/Delaware","Pennsylvania/Elk","Pennsylvania/Erie","Pennsylvania/Fayette","Pennsylvania/Forest","Pennsylvania/Franklin","Pennsylvania/Fulton","Pennsylvania/Greene","Pennsylvania/Huntingdon","Pennsylvania/Indiana","Pennsylvania/Jefferson","Pennsylvania/Juniata","Pennsylvania/Lackawanna","Pennsylvania/Lancaster","Pennsylvania/Lawrence","Pennsylvania/Lebanon","Pennsylvania/Lehigh","Pennsylvania/Luzerne","Pennsylvania/Lycoming","Pennsylvania/McKean","Pennsylvania/Mercer","Pennsylvania/Mifflin","Pennsylvania/Monroe","Pennsylvania/Montgomery","Pennsylvania/Montour","Pennsylvania/Northampton","Pennsylvania/Northumberland","Pennsylvania/Perry","Pennsylvania/Philadelphia","Pennsylvania/Pike","Pennsylvania/Potter","Pennsylvania/Schuylkill","Pennsylvania/Snyder","Pennsylvania/Somerset","Pennsylvania/Sullivan","Pennsylvania/Susquehanna","Pennsylvania/Tioga","Pennsylvania/Unassigned","Pennsylvania/Union","Pennsylvania/Venango","Pennsylvania/Warren","Pennsylvania/Washington","Pennsylvania/Wayne","Pennsylvania/Westmoreland","Pennsylvania/Wyoming","Pennsylvania/York"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","1","8","0","0","0","1","0","0","9","4","1","0","0","2","17","0","0","0","0","0","1","0","11","0","1","0","0","0","0","0","0","0","0","0","1","-1","0","0","6","3","0","0","0","0","12","26","0","2","0","0","79","0","0","2","0","0","0","0","0","","0","0","0","0","1","2","0","0"
"2020-03-24","0","10","1","0","0","2","0","1","26","1","0","0","1","4","0","0","1","0","0","0","1","3","30","0","2","1","0","2","0","0","0","0","0","1","8","5","0","0","2","11","0","0","1","0","2","23","2","10","0","0","77","1","0","2","0","1","0","0","0","","0","0","0","2","1","5","0","8"
"2020-03-25","0","30","0","4","0","4","0","0","17","6","0","0","0","1","14","0","1","0","0","0","0","6","17","0","0","2","0","2","0","2","0","0","0","0","3","2","1","0","11","6","1","0","0","0","6","60","1","11","0","0","90","4","0","2","0","1","0","0","0","","0","0","1","1","0","5","0","2"
"2020-03-26","1","45","0","6","0","16","1","1","24","7","0","0","1","1","30","0","0","0","2","1","2","3","55","0","0","4","0","0","0","1","0","1","0","0","10","9","0","1","25","9","0","0","1","0","16","94","0","12","0","0","133","7","0","2","0","0","0","1","0","","0","0","0","2","2","8","0","1"
"2020-03-27","1","25","0","1","0","29","0","0","34","7","0","0","0","2","23","0","0","0","0","0","1","5","29","0","2","1","0","0","0","1","0","1","0","0","7","12","3","8","30","19","1","0","1","0","31","61","0","23","0","0","162","8","0","4","0","0","0","0","0","","1","0","0","2","0","6","0","9"
"2020-03-28","0","61","1","8","0","0","1","1","8","15","0","1","1","4","9","1","0","0","1","1","6","5","41","0","0","1","0","2","0","2","1","0","0","0","16","12","4","3","16","10","0","1","2","0","8","37","1","15","1","1","166","4","1","3","1","0","0","0","1","","-1","0","0","9","0","11","0","7"
"2020-03-29","0","46","1","6","0","3","1","0","64","6","0","0","6","7","21","0","0","0","2","1","0","12","50","0","0","0","0","4","0","0","0","0","0","0","5","22","0","4","42","29","1","0","1","2","29","77","-1","32","0","0","87","6","0","5","1","0","0","0","0","","0","1","0","1","1","6","0","6"
"2020-03-30","0","25","0","16","0","14","3","0","33","2","1","0","4","2","9","0","2","0","0","1","2","1","27","0","6","1","0","1","0","1","0","0","0","2","6","30","2","8","80","56","1","0","0","-1","47","52","6","58","0","0","182","6","0","9","0","0","0","0","0","","4","0","0","2","3","8","0","11"
"2020-03-31","1","35","2","8","2","28","-2","4","39","11","0","0","4","2","13","2","0","","1","0","12","9","35","","1","3","","7","","2","0","4","","0","16","26","3","1","41","62","2","0","1","1","54","30","-1","61","0","0","243","9","0","8","0","0","","0","1","","0","2","0","7","0","6","","12"
