"date","Haryana/Ambala","Haryana/Bhiwani","Haryana/Charkhi Dadri","Haryana/Faridabad","Haryana/Fatehabad","Haryana/Foreign Evacuees","Haryana/Gurugram","Haryana/Hisar","Haryana/Italians","Haryana/Jhajjar","Haryana/Jind","Haryana/Kaithal","Haryana/Karnal","Haryana/Kurukshetra","Haryana/Mahendragarh","Haryana/Nuh","Haryana/Palwal","Haryana/Panchkula","Haryana/Panipat","Haryana/Rewari","Haryana/Rohtak","Haryana/Sirsa","Haryana/Sonipat","Haryana/Yamunanagar"
"2020-03-17","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-30","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","",""," 10.00 %","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","",""," 93.33 %","","","","","","","","","","","","","","","","",""
"2020-04-04","","",""," 70.00 %","",""," 81.33 %","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","",""," 51.33 %","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","",""," 77.50 %","",""," 61.33 %","","","","","","","","","","","","","","","","",""
"2020-04-08","","",""," 77.50 %","",""," ##.## %","","","","","","","",""," 54.87 %"," 84.96 %","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","",""," 60.36 %","","","","","","","","","","","",""," 74.96 %","","","","","","",""
"2020-04-12","","",""," 60.36 %","","","","","","","","","","",""," ##.## %","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","   .36 %","","","","","","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","",""," ##.## %","","   .00 %","-10.00 %","","","","",""
"2020-04-16","","","","","","","","","","","","","","",""," ##.## %"," 34.96 %"," ##.## %","","","","","",""
"2020-04-17","","","","","","","","","","","","","","",""," ##.## %",""," ##.## %","","","","","",""
"2020-04-18","","","","","","","","","","","","","","",""," ##.## %"," 28.29 %"," ##.## %","","","",""," 30.00 %",""
"2020-04-19","","",""," 72.86 %","",""," 84.67 %","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","",""," ##.## %","","","","","",""
"2020-04-21","","",""," 55.08 %","",""," 81.67 %","","","","","","","","","","","","","","",""," 23.33 %",""
"2020-04-22"," 25.00 %","","","","",""," ##.## %","","","","","","","","","","","","","","",""," 53.33 %",""
"2020-04-23","","","","","",""," ##.## %","","","","","","","","","","","","","","","","",""
"2020-04-24","","","","","",""," 21.67 %","","","","","","","","","","",""," 10.00 %","","","","",""
"2020-04-25"," 25.00 %","","","","",""," 55.00 %","","","","","","","","","","",""," 10.00 %","","",""," 63.33 %",""
"2020-04-26","","",""," 92.22 %","","","","","","","","","","","","","",""," 70.00 %","","",""," 46.67 %",""
"2020-04-27","  5.00 %","",""," 62.22 %","","","","","","","","","","","","","","","","","",""," 26.67 %",""
"2020-04-28","","","","","","","","","","","","","","","","","",""," 55.00 %","","",""," 33.33 %",""
"2020-04-29","","","","","","","","","","","","","","","","","","","","","","","  3.33 %",""
"2020-04-30","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","",""," ##.## %","","","","","","","","","","","",""," -6.67 %",""
"2020-05-02","","","","","","","","",""," ##.## %","","","","","","","","","","","","","",""
"2020-05-03","","","","","","","","",""," ##.## %","","","","","","","",""," ##.## %","","",""," ##.## %",""
"2020-05-04","","",""," -3.81 %","",""," 12.22 %","",""," ##.## %","","","","","","","",""," ##.## %","","",""," ##.## %",""
"2020-05-05","","","","-13.81 %","",""," ##.## %","",""," ##.## %","","","","","","","",""," ##.## %","","",""," ##.## %",""
"2020-05-06","","","","  6.19 %","",""," ##.## %","",""," ##.## %"," 76.67 %",""," 98.33 %","","","","",""," ##.## %","","",""," ##.## %",""
"2020-05-07","","",""," 43.33 %","",""," ##.## %","",""," 79.76 %"," ##.## %","","","","","","",""," ##.## %","","",""," ##.## %",""
"2020-05-08","","",""," 26.67 %","",""," ##.## %","",""," 83.10 %"," ##.## %","","","","","","",""," 36.12 %","","","","-19.00 %",""
"2020-05-09","","","","","",""," ##.## %","","","","","","","","","","",""," 50.67 %","","","","-21.22 %",""
"2020-05-10","","","","","","","","","","","","","","","","","","","","","",""," 48.67 %",""
"2020-05-11","","","","","","","  2.52 %","","","","","","","","","","","","","","",""," 45.76 %",""
"2020-05-12","","","","","",""," 72.82 %","","","","  3.33 %",""," 82.33 %","","","","","","","","",""," 85.76 %",""
"2020-05-13","","","","","",""," 66.07 %","","","","","","","","","","","","","","","","",""
"2020-05-14","","",""," 43.30 %","",""," 68.22 %","","","","",""," 42.33 %","","","","","","","","","","",""
"2020-05-15","","",""," 38.30 %","",""," 77.67 %","","","","","","","","","",""," 10.00 %","","","","","",""
"2020-05-16","","",""," 27.19 %","",""," ##.## %","","","","","","","","","","","",""," 26.67 %","","","",""
"2020-05-17","","","","  5.04 %","",""," 14.08 %","","","","","","","","-10.00 %","","","","","","","","",""
"2020-05-18","","",""," 18.89 %","",""," 20.55 %","","","","","","","","-10.00 %","","","","","","","","",""
"2020-05-19","","",""," 45.56 %","",""," 30.27 %","","","","","","",""," 10.00 %","","","","   .00 %","","","","-13.33 %",""
"2020-05-20","","",""," 41.32 %","",""," -1.40 %","","","","","","","","","","","","","","",""," 56.67 %",""
"2020-05-21","","",""," 63.86 %","",""," 10.82 %","","","","","","","-40.00 %"," 10.00 %","","",""," 40.00 %","","",""," 41.11 %",""
"2020-05-22","","",""," 56.14 %","",""," 12.03 %","","","","",""," 20.00 %","-10.00 %"," ##.## %","","","",""," 20.00 %","",""," 47.78 %",""
"2020-05-23","","",""," 86.14 %","",""," 21.12 %","","","","",""," 10.00 %","-16.00 %","","","","","","","",""," 77.78 %",""
"2020-05-24","","",""," 27.47 %","",""," 10.41 %","","","","",""," ##.## %","","","","","",""," 63.33 %","",""," 97.78 %",""
"2020-05-25","",""," 10.00 %"," 19.56 %","",""," 25.96 %"," 12.86 %","","","",""," ##.## %"," 44.00 %","","","","","","","",""," 23.78 %",""
"2020-05-26","","",""," ##.## %","",""," 33.40 %"," 32.86 %","",""," -3.33 %",""," ##.## %"," 44.00 %","","","","",""," 51.33 %","","","",""
"2020-05-27","","",""," ##.## %","",""," 28.60 %","","",""," -3.33 %",""," ##.## %","","","","","","","","",""," 74.33 %",""
