"date","Puducherry/Karaikal","Puducherry/Mahe","Puducherry/Puducherry","Puducherry/Yanam"
"2020-03-17","","","",""
"2020-04-01","","","",""
"2020-04-02","","","",""
"2020-04-10","","","",""
"2020-04-25","","","",""
"2020-04-27","","","",""
"2020-05-02","","","",""
"2020-05-03","","","",""
"2020-05-08","","","0",""
"2020-05-10","","","0",""
"2020-05-13","","","",""
"2020-05-14","","","",""
"2020-05-16","","","",""
"2020-05-19","","","",""
"2020-05-20","","","",""
"2020-05-22","","","",""
"2020-05-24","0","","",""
"2020-05-25","","","4",""
"2020-05-28","","","",""
"2020-05-29","","","",""
"2020-05-31","","","-2",""
"2020-06-01","","","",""
"2020-06-03","","","",""
"2020-06-05","","","-2",""
"2020-06-06","","","3",""
"2020-06-07","","","-8",""
"2020-06-08","","","3",""
"2020-06-09","","","-2",""
"2020-06-10","","","3",""
"2020-06-11","","","2",""
"2020-06-12","","","2",""
"2020-06-13","","","-4",""
"2020-06-14","","","4",""
"2020-06-15","","","-5",""
"2020-06-16","","","0",""
"2020-06-17","","","6",""
"2020-06-18","","","-6",""
"2020-06-19","","","-2",""
"2020-06-20","","-2","10",""
"2020-06-21","","","-3",""
"2020-06-22","","","-1",""
"2020-06-23","","","8",""
"2020-06-24","","","-5",""
"2020-06-25","","","0",""
"2020-06-26","","","5",""
"2020-06-27","","","2",""
"2020-06-28","","","12",""
"2020-06-29","-1","","-20",""
"2020-06-30","","","0",""
"2020-07-01","10","1","8",""
"2020-07-02","","","12",""
"2020-07-03","","","23",""
"2020-07-04","","","-35",""
"2020-07-05","6","","16",""
"2020-07-06","1","","-12",""
"2020-07-07","-9","","13",""
"2020-07-08","0","1","29",""
"2020-07-09","","3","-34",""
"2020-07-10","0","","-13",""
"2020-07-11","1","","34",""
"2020-07-12","-1","","-3",""
"2020-07-13","","","-4",""
"2020-07-14","","","-11",""
"2020-07-15","","","20","-4"
"2020-07-16","","","4","-6"
"2020-07-17","","-1","7",""
"2020-07-18","","","-20",""
"2020-07-19","25","","21",""
"2020-07-20","-17","","36",""
"2020-07-21","-3","","-67",""
"2020-07-22","","","17",""
"2020-07-23","","","-34",""
"2020-07-24","-3","","65",""
"2020-07-25","12","","-17",""
"2020-07-26","-4","","2",""
"2020-07-27","-5","","4",""
"2020-07-28","","","-9",""
"2020-07-29","3","","17",""
"2020-07-30","","","5",""
"2020-07-31","","","52",""
"2020-08-01","1","0","-72",""
"2020-08-02","-4","","41","-23"
"2020-08-03","0","","-10","1"
"2020-08-04","0","","17","7"
"2020-08-05","-1","","-5","11"
"2020-08-06","","","-13","24"
"2020-08-07","","","-8","-45"
"2020-08-08","-6","","34","6"
"2020-08-09","6","","-9","9"
"2020-08-10","-15","","38","-15"
"2020-08-11","","","3","24"
"2020-08-12","","1","-29","-6"
"2020-08-13","","-3","27","-17"
"2020-08-14","38","","-37","27"
"2020-08-15","-30","","34","30"
"2020-08-16","29","","23","-48"
"2020-08-17","-5","","-30","0"
"2020-08-18","1","","65","32"
"2020-08-19","-31","2","176","-25"
"2020-08-20","31","","-122","11"
"2020-08-21","-18","","23","-27"
"2020-08-22","8","","53","10"
"2020-08-23","12","","-47","14"
"2020-08-24","7","","-70","-2"
"2020-08-25","-42","","96","-8"
"2020-08-26","4","","-128","6"
"2020-08-27","3","","78","-19"
"2020-08-28","33","","14",""
"2020-08-29","-4","","106",""
"2020-08-30","-16","0","25","17"
"2020-08-31","7","","-79","-18"
"2020-09-01","8","","-66","28"
"2020-09-02","-32","","9","-20"
"2020-09-03","","","9","13"
"2020-09-04","","","66","5"
"2020-09-05","35","","13","-10"
"2020-09-06","-44","","132","4"
"2020-09-07","786","","10044","738"
