"date","Puducherry/Karaikal","Puducherry/Mahe","Puducherry/Puducherry","Puducherry/Yanam"
"2020-03-17","","   .00 %","",""
"2020-04-01","","","   .00 %",""
"2020-04-02","","","   .00 %",""
"2020-04-10","","","   .00 %",""
"2020-04-25","","","-50.00 %",""
"2020-04-27","","","",""
"2020-05-02","","-50.00 %","   .00 %",""
"2020-05-03","","","   .00 %",""
"2020-05-08","","","   .00 %",""
"2020-05-10","   .00 %","","   .00 %",""
"2020-05-13","","","   .00 %",""
"2020-05-14","",""," ##.## %",""
"2020-05-16","   .00 %","","",""
"2020-05-19","",""," 66.67 %",""
"2020-05-20","","   .00 %","",""
"2020-05-22","","   .00 %","-60.00 %",""
"2020-05-24","   .00 %",""," ##.## %",""
"2020-05-25","","","-60.00 %",""
"2020-05-28","","","   .00 %",""
"2020-05-29","","","-33.33 %",""
"2020-05-31","",""," ##.## %",""
"2020-06-01","","","-30.77 %",""
"2020-06-03","",""," 22.22 %",""
"2020-06-05","","","-54.55 %",""
"2020-06-06","",""," ##.## %",""
"2020-06-07","","","   .00 %",""
"2020-06-08","","   .00 %","-33.33 %",""
"2020-06-09","","   .00 %","-62.50 %",""
"2020-06-10","",""," ##.## %",""
"2020-06-11",""," ##.## %"," -8.33 %",""
"2020-06-12","   .00 %","","-54.55 %",""
"2020-06-13","",""," ##.## %",""
"2020-06-14","   .00 %","   .00 %"," 23.08 %",""
"2020-06-15","","","-50.00 %",""
"2020-06-16"," ##.## %",""," 50.00 %",""
"2020-06-17","   .00 %",""," ##.## %",""
"2020-06-18","",""," -3.70 %",""
"2020-06-19","-50.00 %","","-42.31 %",""
"2020-06-20","   .00 %","   .00 %"," ##.## %",""
"2020-06-21","","","-46.00 %","   .00 %"
"2020-06-22","","","-37.04 %",""
"2020-06-23","   .00 %","","-11.76 %",""
"2020-06-24","","   .00 %"," ##.## %",""
"2020-06-25"," 75.00 %","","-41.38 %",""
"2020-06-26","-57.14 %","","-14.71 %",""
"2020-06-27"," ##.## %",""," ##.## %",""
"2020-06-28","","","-60.00 %","   .00 %"
"2020-06-29","   .00 %",""," 50.00 %",""
"2020-06-30",""," ##.## %","-50.00 %",""
"2020-07-01","   .00 %"," 66.67 %"," -4.76 %",""
"2020-07-02","   .00 %",""," ##.## %",""
"2020-07-03","-66.67 %","","-65.00 %",""
"2020-07-04"," ##.## %",""," ##.## %"," ##.## %"
"2020-07-05","","","-57.89 %"," ##.## %"
"2020-07-06","   .00 %","-80.00 %"," 93.75 %","-90.00 %"
"2020-07-07","","   .00 %","-53.23 %",""
"2020-07-08","   .00 %",""," ##.## %"," ##.## %"
"2020-07-09","","   .00 %","-38.75 %",""
"2020-07-10","-80.00 %",""," 36.73 %",""
"2020-07-11"," ##.## %","   .00 %","-26.87 %","   .00 %"
"2020-07-12","   .00 %",""," 44.90 %",""
"2020-07-13","-90.00 %","","-30.99 %",""
"2020-07-14"," ##.## %","","  4.08 %"," ##.## %"
"2020-07-15","","","  7.84 %","   .00 %"
"2020-07-16"," ##.## %",""," ##.## %","-30.00 %"
"2020-07-17","-25.00 %","   .00 %","-39.84 %","-57.14 %"
"2020-07-18","","","-33.77 %"," ##.## %"
"2020-07-19","-66.67 %",""," ##.## %","-71.43 %"
