"date","Chandigarh/Chandigarh"
"2020-03-19","   .00 %"
"2020-03-20"," ##.## %"
"2020-03-22","-75.00 %"
"2020-03-23","-50.00 %"
"2020-03-27","   .00 %"
"2020-03-30"," ##.## %"
"2020-03-31","-60.00 %"
"2020-04-01","   .00 %"
"2020-04-02","-50.00 %"
"2020-04-10","   .00 %"
"2020-04-12"," ##.## %"
"2020-04-18","   .00 %"
"2020-04-19"," 50.00 %"
"2020-04-21","-66.67 %"
"2020-04-25","   .00 %"
"2020-04-26"," ##.## %"
"2020-04-27"," 12.50 %"
"2020-04-28"," 22.22 %"
"2020-04-29","  9.09 %"
"2020-04-30","-50.00 %"
"2020-05-01"," ##.## %"
"2020-05-02","-57.14 %"
"2020-05-03","-50.00 %"
"2020-05-04"," 66.67 %"
"2020-05-05"," ##.## %"
"2020-05-06","-70.59 %"
"2020-05-07"," ##.## %"
"2020-05-08","   .00 %"
"2020-05-09"," ##.## %"
"2020-05-10","-82.61 %"
"2020-05-11"," ##.## %"
"2020-05-12","-25.00 %"
"2020-05-13","-33.33 %"
"2020-05-14",""
"2020-05-15","   .00 %"
"2020-05-16","   .00 %"
"2020-05-18","   .00 %"
"2020-05-19","-40.00 %"
"2020-05-20","   .00 %"
"2020-05-21"," ##.## %"
"2020-05-22","-93.75 %"
"2020-05-23"," ##.## %"
"2020-05-24"," ##.## %"
"2020-05-25","-89.19 %"
"2020-05-26"," ##.## %"
"2020-05-27","-91.67 %"
"2020-05-28"," ##.## %"
"2020-05-30",""
"2020-05-31","   .00 %"
"2020-06-01","   .00 %"
"2020-06-02","   .00 %"
"2020-06-04","-75.00 %"
"2020-06-05"," ##.## %"
"2020-06-06","-57.14 %"
"2020-06-07","-33.33 %"
"2020-06-08"," ##.## %"
"2020-06-09","   .00 %"
"2020-06-10","-66.67 %"
"2020-06-11"," ##.## %"
"2020-06-12"," ##.## %"
"2020-06-13","-61.54 %"
"2020-06-14","-60.00 %"
"2020-06-15"," ##.## %"
"2020-06-16"," 60.00 %"
"2020-06-17","-37.50 %"
"2020-06-18","-20.00 %"
"2020-06-19"," 75.00 %"
"2020-06-20"," ##.## %"
"2020-06-21","-91.30 %"
"2020-06-22"," ##.## %"
"2020-06-23"," 40.00 %"
"2020-06-24","-71.43 %"
"2020-06-25"," 50.00 %"
"2020-06-26","-33.33 %"
"2020-06-27"," 50.00 %"
"2020-06-28","   .00 %"
"2020-06-29","   .00 %"
"2020-06-30"," ##.## %"
"2020-07-01","   .00 %"
"2020-07-02","-33.33 %"
"2020-07-03","   .00 %"
"2020-07-04"," 25.00 %"
"2020-07-05"," 40.00 %"
"2020-07-06"," ##.## %"
"2020-07-07","-76.19 %"
"2020-07-08"," ##.## %"
"2020-07-09","  6.67 %"
"2020-07-10","-18.75 %"
"2020-07-11","   .00 %"
"2020-07-12","-23.08 %"
"2020-07-13"," ##.## %"
"2020-07-14","-58.62 %"
"2020-07-15"," 58.33 %"
"2020-07-16","-15.79 %"
"2020-07-17"," 56.25 %"
"2020-07-18"," 24.00 %"
"2020-07-19","-16.13 %"
"2020-07-20","-23.08 %"
"2020-07-21","-30.00 %"
"2020-07-22"," ##.## %"
"2020-07-23","-31.03 %"
"2020-07-24"," 15.00 %"
"2020-07-25"," 26.09 %"
"2020-07-26"," 20.69 %"
"2020-07-27","-34.29 %"
"2020-07-28","  4.35 %"
"2020-07-29"," 83.33 %"
"2020-07-30","-13.64 %"
"2020-07-31"," -7.89 %"
"2020-08-01","-20.00 %"
"2020-08-02"," 35.71 %"
"2020-08-03"," 13.16 %"
"2020-08-04","  6.98 %"
"2020-08-05"," 39.13 %"
"2020-08-06","-10.94 %"
"2020-08-07","-17.54 %"
"2020-08-08"," 10.64 %"
"2020-08-09"," 71.15 %"
"2020-08-10","-10.11 %"
"2020-08-11"," -6.25 %"
"2020-08-12","  8.00 %"
"2020-08-13"," 12.35 %"
"2020-08-14"," -5.49 %"
"2020-08-15"," -5.81 %"
"2020-08-16"," 14.81 %"
"2020-08-17"," 22.58 %"
"2020-08-18","-21.93 %"
"2020-08-19","  2.25 %"
"2020-08-20"," 30.77 %"
"2020-08-21"," -2.52 %"
"2020-08-22"," 25.00 %"
"2020-08-23"," -2.07 %"
"2020-08-24","-17.61 %"
"2020-08-25"," 48.72 %"
"2020-08-26"," -4.02 %"
"2020-08-27"," 12.57 %"
"2020-08-28","-14.89 %"
"2020-08-29"," 63.12 %"
"2020-08-30","-34.87 %"
"2020-08-31"," 12.35 %"
"2020-09-01","  6.81 %"
"2020-09-02"," 17.16 %"
"2020-09-03"," 15.48 %"
"2020-09-04","-26.45 %"
"2020-09-05"," 15.27 %"
"2020-09-06"," 11.54 %"
"2020-09-07"," ##.## %"
